M	CHARACTER	DIALOGUE
M	To establish.	A school marquee with removable plastic letters reads,
M	PRINCIPAL SNUR	Well, it's been another great year here at JAMS. Who can forget Mr. Pinkus' haunted classroom? Sandy, thank you. SANDY PINKUS, 40s, sporting a ponytail, smiles, clearly
M	SANDY	I ain't afraid of no ghost. The other teachers laugh.
M	PRINCIPAL SNUR	Or the wild success of...
M	VOICE (O.C.)	Wally, can I just say one quick thing? Wally turns to AMY SQUIRREL, late 20s, cute and
F	AMY	Just wanted to remind everyone the school day's not over. So let's keep the drinking under control, hmm? That's it. Back to you, Wally. A bunch of teacher roll their eyes.
M	PRINCIPAL SNUR	Thanks, Amy, . Or the wild success of the book drive for the women's prison sponsored by Ms. Savicki's class? A broad-shouldered teacher with spiky hair, MS. SAVICKI, nods.
M	PRINCIPAL SNUR (CONT'D)	But now as the summer is upon us, it's time to not only say goodbye to another school year, but to also say goodbye to a member of our faculty. Elizabeth, can you come up here? ELIZABETH HALSEY, mid 20s, pretty and petite, walks up to
M	PRINCIPAL SNUR (CONT'D)	You've only been with us for one short year, but know that you'll always be a part of the JAMS family. Elizabeth gives Principal Snur an appreciative smile. And we got you a little something. Wally hands Elizabeth an envelope. She opens it and.
F	ELIZABETH	Almost forty dollars. Thank you!
M	PRINCIPAL SNUR	Why don't you say a couple words?
F	ELIZABETH	Okay. Um... I'm not really good at this type of thing so I'll make it quick. I know I've only been here a year, but there's so much I'm going to miss...
M	ELIZABETH (V.0.)	My students, probably most of all.I'm not saying they were little angels, butthey were all there to learn and that'sthe greatest gift a student can give a teacher. Elizabeth's class is horsing around, enjoying the last A dim-looking BOY tentatively approaches her desk with
M	ELIZABETH (V.0.)	And I wish that I had gotten to know all of you better, but between four classes and planning a wedding, I had my hands full. From the little I do know about you, I know that our students are in good hands. Elizabeth passes Amy's classroom, where she is carefully
M	ELIZABETH (V.0.)	And I can't believe it's all over. This year flew by. And even though I'll never teach again professionally, I've realized that I don't need a blackboard and classroom to set an example. Elizabeth comes up behind them.
M	ELIZABETH (CONT'D)	Hand it over. The Burnouts' eyes all go wide and they freeze. One of
M	ELIZABETH (CONT'D)	Everything. The kids look at each other and then pull out a bag with
M	ELIZABETH (CONT'D)	This was a warning. Next time, I don't call the principal. I call the cops.
M	ELIZABETH (O.S.)	Woo-hoo! A couple students look at her strangely.
M	ANGLE ON	The dim-looking kid that had Elizabeth sign his yearbook.
M	DIM-LOOKING KID	You are... Illit... Illit... Elizabeth's car comes barrelling toward him and nearly She accelerates into the speed bumps, almost hitting the
M	JANITOR	Slow down! Baby Doll?
M	MARK (O.S.)	Coming! MARK, early 30s, exits the bedroom in his underwear. Hey! That was a quick party. Elizabeth kisses Mark on the top of his head and hands
F	ELIZABETH	Yeah. You should have seen it. What a joke. She raises her glass for a toast. He raises his.
M	ELIZABETH (CONT'D)	Here's to me never having to work again. And I owe it all to you, Lover. Elizabeth takes a big sip. So I made a reservation at Ruth's Chris, and then I booked us a suite at the Drake, and I thought we could finish the night in "anal alley." Hmm? Something drops in the bedroom. Mark, alarmed, turns
M	MARK	See? Nothing. Just then, the wooden chest at the foot of the bed SNEEZES. Motherfucker!
F	ELIZABETH	How could you do this to me?! I'm sorry.
F	ELIZABETH	You are buying me the biggest pair of yellow diamond earrings they make! I'm talking serious blood diamonds. Sheila SNEEZES again. Bless you. Get out of my house, bitch!
M	MARK	Don't talk to her like that.
F	ELIZABETH	Excuse me? I love her. Mark puts his arm around Sheila. Elizabeth eyes Sheila's
F	ELIZABETH	You love her? She's a hooker.
M	MARK SHEILA	She's not a hooker. I dance. Elizabeth takes a deep breath. Listen, Marky, you made a mistake. You're human. I'm human. And this time it was you. Maybe six months from now, you'll walk in on me. I don't know, but probably. Sheila SNEEZES again.
M	ELIZABETH (CONT'D)	Shut the fuck up. And. maybe I'm talking crazy, but I don't want to throw away our life together over something like this. We're getting married! I'm willing to fight for us.
M	MARK	I'm not. And you know why? Because Sheila loves me -- and not just for my money. Sheila squeezes his shoulder.
F	ELIZABETH	I'm sorry if I care that my future husband can support me. We didn't all grow up with a silver spoon in our mouths. You can't even imagine what it's like going to bed hungry, night after night.
M	MARK	What are you talking about?! Both your parents are CPAs.
F	ELIZABETH	My parents worked their asses off to send me to private school. Do you know what it's like driving a Pontiac when everyone else gets a Beemer the second they menstruate? That shit stays with you.
M	MARK	It's over, Elizabeth.
F	ELIZABETH	For the record, there's a shitload of things that I hate about you, but I still, would've gotten married. Because I love you.
M	MARK	I'm gonna need the ring back. She grabs her bag and heads for the exit. Mark follows.
F	ELIZABETH	You sad little troll! I hope you and your hooker enjoy chlamydia together!
M	MARK	Elizabeth. The ring.
F	ELIZABETH	I'm not even listening to you anymore. She starts to open the door. He closes it.
F	ELIZABETH	Like I even want your gay-ass ring. She tries pulling it off.
