M	CHARACTER	DIALOGUE
M	1ST SGT. ROY (O.S.)	Must be some kind of mistake... Company 1st SERGEANT JOHN ROY, also late 30s, sits behind his
M	1ST SGT. ROY	I got paperwork here, with your signature, says you're retiring.
M	SGT. NANTZ	No mistake, John.
M	1ST SGT. ROY	My ass. You got a box full a', medals, file full a' commendations. Hell, everything but the Good Conduct.
M	SGT. NANTZ	They can take the Good Conduct Medal and shove it up their... See, that's what I'm talking about, Mike. You're a marine! Nantzsmiles back now.
M	SGT. NANTZ	I appreciate it, John. You know that. But, I been to too many funerals. Had to visit too many moms and dads, tell 'em about what happened to their sons...
M	1ST SGT. ROY	Look. You're on that training assignment right now. Why don't you just ride it out for a month or two. See how you feel...
M	SGT. NANTZ	I did my twenty. I'm done. Roy takes this in, nods. He stands, holds his hand out.
M	1ST SGT. ROY	You're gonna miss it. Nantz shakes.
M	SGT. NANTZ	Wanna bet? I don't see it...
M	VOICE #2 (O.S.)	I'm telling you, it's in the trees.
M	FIVE MARINES	From the 1st Platoon, 2nd battalion, 5th Marines (the 2/5)..
M	CPL. CORREGGIO	Screw it. I'm gonna launch another one... The other marines back away quickly as... The marines follow the ball as it sails into the darkness.
M	CPL. CORREGGIO -	That's more like it. PVT. LENIHAN, 18, baby-faced, looks impressed.
M	PVT. LENIHAN	Sweet. PVT. IMLAY, 19, a dense but good-natured country boy, moves
M	PVT. IMLAY	Don't encourage him. Correggio's freakin' ego's big enough already. He takes the club from Correggio.
M	PVT. IMLAY	Let an expert show you how it's done, bro. Imlay TEES OFF, his swing plainly choppy, uncoordinated.
M	PVT. IMLAY (O.S.)	Mother fu... Then he stops as a LIGHT flashes beyond the trees.
M	PVT. IMLAY	Foot mobiles. 3 O'clock.
M	CPL. CORREGGIO	Told you they'd come! THREE GIRLS, 19-21, signal with a FLASHLIGHT. Then race down
M	PVT. IMLAY	That dog'll hunt! Damn, Daktari, you can play! We have courses in Nigeria, Imlay.
M	PVT. IMLAY	Well, how would I know? I mean, it's an American game.
M	PVT. LENIHAN	Actually, Imlay, it's Scottish. PVT. KERNS, 19, an antsy fireplug of a guy, shakes his head.
M	PVT. KERNS	Lenihan, you as good with an M-16 as you are with your mouth?
M	PVT. IMLAY	Kerns. Lay off him.
M	PVT. KERNS	What? Just wanna make sure the rookie won't fold under fire. Correggio shoves a beer into Kerns' hand.
M	CPL. CORREGGIO	Relax, dude. He throws an arm around Kerns' shoulder, smiles at the girls.
M	CPL. CORREGGIO	My buddy's jumpy 'cause he got an assfull a' shrapnel our last tour.
M	PVT. KERNS	I'm jumpy? You're crawling up your own ass 'cause we train with Sgt. Nantz tomorrow. Correggio eyes Kerns. This was the wrong thing to say.
M	GIRL #1	what happens if they catch you out here? She readies to take a shot. Correggio snuggles up behind
M	CPL. CORREGGIO	We can handle it, baby. We're experts at night maneuvers. Nearby, the SECOND GIRL chats up Adukwu.
M	GIRL #2	So you're from where again? Imlay pops a beer, interrupting.
M	PVT. IMLAY	Nigeria. Adukwu's our corpsman. Like a medic. Saved Kerns' ass. Daktari, tell her about Nigeria. Adukwu starts to talk, but Imlay interrupts again:
M	PVT. IMLAY	Adukwu's a green card marine... And Lenihan here-- He's just green. Mom signed so he could join at 17. I'm looking after him since he don't know his ass from a hot rock. Lenihan suddenly ducks behind the Tahoe, throwing up.
M	GIRL #3	You're doing a good job.
M	PVT. IMLAY	Yeah. We always take the new meat out here to christen 'em... Lenihan shuffles back out from behind the Tahoe.
M	PVT. IMLAY	Hey, barfy. Grab your beer. toast. Everyone holds beers aloft. Lenihan joins in reluctantly.
M	PVT. IMLAY	To Lenihan. Who gets his first taste a' those hills tomorrow. He points off to the HILLY, DESOLATE TERRAIN near the course.
M	PVT. KERNS	Good luck, rookie. The marines chuckle knowingly, about to drink...
M	CPL. CORREGGIO	MPs! The marines grab the goggles and clubs, pile...
M	INTO THE TAHOE	With the girls. The Tahoe skids away, the beer CRASHING off'
M	GIRL #1	Experts, huh? Correggio grins sheepishly. She smiles. sweetly, taking his
