M	CHARACTER	DIALOGUE
M	TED	Good morning. Annie pretends to wake up.
M	TED (CONT'D)	Wow, you look beautiful. What? No. I don't. Oh my God its the morning. I look terrible. I just woke up.
M	TED	Last night was fun.
F	ANNIE	Yeah, I had the best time. I have't had that much fun on a first date in years, ever... She brushes the hair off his forehead as if he were her
M	TED	So listen Annie, I like you. So, I want to be up front with you. I'm not really looking for a relationship right now. Annie's eyes grow large. She uncomfortably smiles at him,
F	ANNIE	Oooooo. Oops. I mean, yeah. What?
M	TED	I just want to be honest right off the bat.
F	ANNIE	Yeah, yeah. Ok. Yeah. Yeah. I love that. Annie struggles to maintain her composure.
M	TED	I'm just so busy and I don't have time for another person...I...
F	ANNIE	Yeah, me too, I'm soo busy--
M	TED	And summer's coming--
F	ANNIE	Yeah, summer, exactly. It's a crazy season. So you just wanna give me a call in the fall or--?
M	TED	Yeah, I'm not gonna be in town much even in the fall--
F	ANNIE	You shouldn't be! Yeah, Halloween--
M	TED	I'm gonna be travelling a lot for work.
F	ANNIE	Me too, I'm just- so many business trips to places that are just far awayâcause I'm doing really well at work.
M	TED	And honestly, (sits up) I don't even know how I feel about the whole monogamy thing, is one person really enough for anyone? I mean, I like to be with a lot of different people.
F	ANNIE	It is sooo refreshing to hear you say that, because isn't that what everyone thinks but is afraid to say? I mean, i's science. I'm-I don't want a relationship either. Let's just say that. And I wouldn't even care whatever you do or I do, I just wanna have tons of fun, like no strings attached at all. I'm just different from other girls.
M	TED	Yeah. Well anyway, I really should get going. I was gonna get a haircut today.
F	ANNIE	Yeah, they say that every couple months it's good to trim the ends, you know, get all the dead stuff. So, cool. Cool. 've cut hair before. He waits, but Annie doesn't budge.
M	TED	Well, like I said I got stuff to do. Annie notices a picture of a sailboat above the bed.
F	ANNIE	Yeah, me too. Gonna try to get some sailing in before the weather gets crazy...
M	TED HOLLY	Cool, well I don't wanna be Get up the jib.. late. Ted gets up. Awkward moment leading into...
M	TED	Oh, and thanks for the lemon bars.
F	ANNIE	Oh, no problem. Made from scratch.
M	TED	Sometimes it sticks!
F	ANNIE	No, I love it! The gate starts to open. Annie exits.
M	ANNIE (CONT'D)	Byyyyee!
F	ANNIE	Oh, shit. The brakes squeak as she very slowly drives away.
F	LILLIAN	It's summer?! What the hell does that mean? He can't date anyone in the summer?
F	ANNIE	I guess? I don't know. I feel so stupid now.
F	LILLIAN	No he's stupid Ann, not you.
F	ANNIE	I think I might be a little bit stupid.
F	LILLIAN	Ew. Did you have sex with him?
F	ANNIE	No! But I gave him a blow job.
F	LILLIAN	What?!
F	ANNIE	Well, he kept putting it in my face. Lillian's boyfriend DOUGIE enters the bedroom eating a
F	LILLIAN	Well, at least he was honest with you so you don't waste your time with him.
M	DOUGIE	Baby, look how hard I worked out. Look at all this sweat.
F	LILLIAN	Can you see that I'm on the phone? I'm talking to Annie.
M	DOUGIE	Hey Annie.
F	LILLIAN	Are you eating my Luna Bar? Those are for women you know?
M	DOUGIE	Shit. Really?!
F	LILLIAN	It's not gonna do anything to you.
M	DOUGIE	Oh my God. My breasts are getting bigger. He tries to rub up against Lillian.
F	LILLIAN	Ew, go take a shower. Dougie leaves.
M	DOUGIE (O.S.)	I'm gonna play with my new boobs in there.
F	LILLIAN	I swear I cannot handle him right now. He has been driving me crazy. Sometimes it feels like I'm kissing my brother. I don't know what do. Annie pulls into an alleyway behind HARRINGTO'S JEWELRY
F	ANNIE	At least you have someone. God, wha's wrong with me?
F	LILLIAN	There's nothing wrong with you. But I think maybe, and don't get mad at me, I've said this to you before, you need to stop trying so hard.
F	ANNIE	I still don't think I do that.
F	LILLIAN	OK, so you had a first date last night. Did you bring him a present? Annie is silent. Ann, what did I tell you?
F	ANNIE	I brought him lemon-bars because I was making them anyway, as a friend. Yo're right, that's weird.
M	DOUGIE (O.S.)	Shit!
F	LILLIAN	What?! I just chipped a nail!
F	LILLIAN	Ok, I don't know if it's because I'm tired or what, but I wanna kill him.
F	ANNIE	Ok, just take a deep breath, look in the mirror and remember when I was getting my braces off and farted at the orthodontist. Lillian laughs.
F	LILLIAN	Oh my God. We need to hang out. 'm coming to Milwaukee this weekend.
F	ANNIE	Are you serious?
F	LILLIAN	We'll go to Joni's and pig out and I'll bring some shitty magazines, and I'm gonna spend the night.
F	ANNIE	God, I haven't seen you in months!
F	LILLIAN	I'll call you tomorrow. Bye. They hang up. Dougie is in the doorway wearing her
M	DOUGIE	Baby, I'm going through some changes...
F	LILLIAN	We see she gets a kick out of him.
F	ANNIE	Hi. Sorry, sorry! I'm here. I'm here.
M	DONNA	Gather around me please, in a tight semicircle. Annie and six other employees gather around DONNA.
M	DONNA (CONT'D)	terrible has happened. Donald will not be coming in to work today. He stepped on a wasp and there is some uncomfortable swelling. Employees mumble.
M	DONNA (CONT'D)	Annie? Where's your tie? Everyone looks at Annie. She holds it up and starts to Now, I have an eye doctor's appointment that I can't change or they'll will charge me. So someone will have to cover for Donald in engagement rings. Now I-- Annie and SANDY, a male co-worker, shoot their hands the Sandy? Today's your day.
M	SANDY	Ooh, my horoscope said I would be presented with an opportunity at work today. That is eerie. That is eerie.
M	DONNA	Annie, that means you'll be alone in keepsakes. You think you can handle it? Yeah, look out. There might be a bum- rush for letter openers... The employees snicker.
F	ANNIE	Sometimes there is, so....there have been. At times, there has been.
M	DONNA	Alright everybody, let's get to work! Saneel?!...OPEN SESAME! SANEEL, the security guard, rolls his eyes and unlocks
F	ANNIE	Donna, can I talk to you for a second? I feel like if you gave me a shot at engagement rings sometime, I could really-
M	DONNA	Annie, what is the calibration of a 2 carat diamond in a standard English setting?
F	ANNIE	Five?
M	DONNA	I just made all of that up. None of that was real. I just put words together. You're not ready for the big leagues. Understand?
F	ANNIE	It's so hard to make commission over there.
M	DONNA	Sweetheart...did I ever tell you the story of the little paralyzed Chinese girl who wanted to be dancer?
F	ANNIE	Many times.
M	DONNA	She was paralyzed Annie, had no feeling in her legs, and then one day after years of believing in herself, she stood up out of that chair and tap-danced for the king. On his birthday! My point is, Sandy makes a real effort around here. He connects with the customer. And when he wants to make a sale, he goes for it.
F	ANNIE	Okay. (beat) I do want it.
M	DONNA	wonderful place to start. Donna talks to herself and gathers her things.
M	DONNA (CONT'D)	Uhh! A wasp! Who walks around even their own backyard without at least a thin sandal. It's reckless! Donna exits. A customer passes Anni's section.
F	ANNIE	Hello, can I interest you in a sterling silver money clip that will create memories for you and your family? No? We cut to a HOME IMPROVEMENT SHOW on T.V.
M	T.V. HOST	When Dave and Rhonda bought this house, it was a medical clinic. I've never seen so many cupboards!
M	STEVE	Noooo. That's, that's sooo smart. Annie enters the apartment, tired. She throws her keys
M	STEVE (CONT'D)	There you are, you stayer-out-all- nighter. Did you make out? Sleep over? As Annie heads for her bedroom, he walks towards her
M	STEVE (CONT'D)	Don't go in the bathroom. Are you going to bed?
F	ANNIE	Yes. I'm beat.
M	STEVE	Your ex-boyfriend got more mail, I did what you said and just threw it away.
F	ANNIE	Thanks. Goodnight Steve! She shuts the door behind her.
M	STEVE	That credit lady called! She wants to talk to you, Annie! She's gonna find you. Steve sits back on the couch, un-mutes the T.V..
M	ALLEN (ON SHOW)	This is where they bagged the animals that didn't make it through the testing. We turned it into a cozy Moroccan reading room.
M	STEVE	Gross/Amazing.
F	ANNIE	You're right. God, she's getting really skinny.
F	LILLIAN	Ann.
F	ANNIE	What?
F	LILLIAN	(quietly) Your boyfriend just walked in. REVEAL: An orange-skinned BODY BUILDER with HUGE arms and
F	ANNIE	Oh my God! Look, he showed up with your mom. It's a short grey-haired OUTDOORSEY WOMAN in hiking
M	ANNIE (CONT'D)	Cool! They're making a WKRP movie.
F	LILLIAN	Here Annie, let me turn the page for you.
F	ANNIE	What? Lillian splays her hand over the magazine showing off a
F	LILLIAN	the page of your magazine for you...
F	ANNIE	Lillian! What is that?!
F	LILLIAN	I'm engaged.
F	ANNIE	What?!!
F	LILLIAN	He proposed at dinner last night. I wanted to tell you in person and show you this rock!
F	ANNIE	It's beautiful. Lillian. Oh my God, this is...this is crazy!
F	LILLIAN	I know Dougie and I have been fighting a lot, but I've been so stressed out with
F	ANNIE	That's not I mean. I mean, I remember when we met him at Lake Mills. You lost your virginity to him right in front of me on the dock, remember?
F	LILLIAN	Oh you want to get into who's done what down at the lake?
F	ANNIE	No, I don't. It's just making me realize how long we've known each other.
F	LILLIAN	Well then, who better to be my Maid of Honor?
F	ANNIE	Oh my God! I don't know what to say!
F	LILLIAN	Annie, you're my best friend. Honestly I didn't even have to think about it.
F	ANNIE	Uh, wow. Yes! Of course! Yes! My God. I've never been in a wedding.
F	LILLIAN	It's no big deal, and I don't want to make it one. It's not gonna be a big crazy thing. I wanna keep it simple. (beat) What dessert are you gonna get?
F	ANNIE	I know what you're doing. Don't downplay this. I'm happy for you. And someday when hell freezes over and I get married, you can be my Maid of Honor. But for right now, this is about you. OK? This is you're day, and it is a big deal.
F	LILLIAN	Ok, but I still don't want this to be a huge production. I just want to have all my friends meet each other, have fun, dance, drink, whatever.
