M	CHARACTER	DIALOGUE
M	LELAND TURBO	This is Agent Leland Turbo. I have a flash transmission for Agent Finn McMissile.
M	LELAND TURBO	Finn. My cover's been compromised. Everything's gone pear-shaped.
M	LELAND TURBO	You won't believe what I've found out here.
M	LELAND TURBO	This is bigger than anything we've ever seen. And no one even knows it exists. Finn, I need backup. But don't call the cavalry - it could blow the operation. And be careful. It's not safe out here!
M	LELAND TURBO	Transmitting my grids now. Good luck!
M	CRABBY	Alright buddy, we're here. Right where you paid me to bring you. Question is, why?
M	FINN	I'm looking for a car.
M	CRABBY	A car? Hey pal, you can't get any further away from land than out here.
M	FINN	Exactly where I want to be.
M	CRABBY	Well I got news for you, buddy. There's nobody out here but us.
M	COMBAT SHIP	What are you doing out here?
M	CRABBY	What does it look like, genius? I'm crabbing!
M	COMBAT SHIP	Well turn around and go back where you came from.
M	CRABBY	Yeah? And who's gonna make me?
M	CRABBY	Alright, alright! Don't get your prop in a twist. What a jerk. Sorry, buddy. Looks like it's the end of the line. Buddy?
M	FINN (INTO RADIO)	Leland Turbo, this is Finn McMissile. I'm at the rally point. Over.
M	FINN (INTO RADIO)	Leland, it's Finn. Please respond. Over.
M	PROFESSOR ZUNDAPP	Too many cars here. Out of my way!
M	FINN	Professor Zundapp?
M	PACER (O.S.)	Here it is, Professor.
M	NOSY PACER	You wanted to see this before we load it?
M	PROFESSOR ZUNDAPP	Ah, yes. Very carefully... Oh. A TV camera. What does it actually do?
M	PROFESSOR ZUNDAPP	This camera is extremely dangerous.
M	FINN	What are you up to now, Professor?
M	PROFESSOR ZUNDAPP	This is valuable equipment. Make sure it is properly secured for the voyage.
M	NOSY PACER	You got it.
M	GREM (O.S.)	Hey, Professor Z!
M	GREM	This is one of those British spies we told you about.
M	ACER	Yeah. This one we caught sticking his bumper where it didn't belong.
M	PROFESSOR ZUNDAPP	Agent Leland Turbo.
M	PROFESSOR ZUNDAPP	It's Finn McMissile! He's seen the camera! Kill him!!
M	GREM	Get to the boats.
M	ACER	He's getting away!
M	COMBAT SHIP	Not for long.
M	GREM (OVER RADIO)	He's dead, Professor.
M	PROFESSOR ZUNDAPP	Wunderbar. With Finn McMissile gone, who can stop us now?
F	MATER	Mater. Tow Mater, that's who... is here to help you!
F	MATER	Hey, Otis!
M	OTIS	Hey, Mater. Gosh, I'm so sorry. I thought I could make it this time, but... Smooth like pudding, huh? Ah, who am I kidding? I'll always be a lemon.
F	MATER	Well dadgum, you're leaking oil again. Must be your gaskets. Hey, look on the bright side: This is your tenth tow this month, so that means it's on the house.
M	OTIS	You're the only one that's nice to lemons like me, Mater.
F	MATER	Don't sweat it. These things happen to everybody, Otis.
M	OTIS	But you never leak oil.
F	MATER	Yeah, but I ain't perfect. Don't tell nobody, but I think my rust is starting to show through.
M	OTIS	Hey, is Lightning McQueen back yet?
F	MATER	Not yet.
M	OTIS	He must be crazy-excited about winning his fourth Piston Cup. Four! Wow!
F	MATER	Yeah, we're so dadgum proud of him. But I sure wish he'd hurry up and get back `cause we got a whole summer's worth of best friend fun to make up for. Just me and --
F	MATER	--- McQueen!
M	OTIS	Uh, Mater? I'm in no hurry. You don't need to go so fast!
M	LUIGI	Oh, Lightning. Welcome home.
F	FLO	Good to have you back, honey.
M	FILLMORE	Congratulations, man.
M	SARGE	Welcome home, soldier.
M	SHERIFF	The place wasn't the same without you, son.
F	LIZZIE	What? Did he go somewhere?
M	MCQUEEN	It's good to be home, everybody. McQueen!
