M	CHARACTER	DIALOGUE
M	ROGER LEMKE (V.O.)	The Brown River Valley: It's where we work. It's where we play. It's where we live. But even here in paradise, accidents can happen.
M	ROGER LEMKE (CONT'D)	At Northlands Insurance, our goal is to provide high quality insurance services and related products to businesses and individuals in Wisconsin's Northlands. I'm Roger Lemke. Not only do I care about you, we also endeavor to give you the coverage you need at the best prices around. It's that reason Northlands has been awarded the prestigious Two Diamond Award from the American Society of Mutual Insurers three years running. Because at Northlands Insurance, we insure your dreams.
M	BILL KROGSTAD	Ho-lee Christmas, knocked her outta the park, Roger! Out of the G-D park, you sonofagun! Cedar Rapids, 6-12-09
M	ROGER LEMKE	Hell, I'm just a pretty face, Bill. That copy was all you. Do got one little gripe though, boss-- if you'd waited until after Cedar Rapids we could've said winner of the Two Diamonds four years running!
M	BILL KROGSTAD ROGER LEMKE	Aroo-aroo! Two Diamonds! Two Diamonds!
M	GWEN LEMKE	So proud of you, Roggie. God, you rock. Doesn't your dad rock, boys?!
M	ROGER LEMKE	Thank you. Thank you very much!
M	ROGER LEMKE (CONT'D)	Tim! Timmy Lippe! Didn't even know you were here. You see it, bud?
M	TIM	Oh, heck yeah. You were awesome.
M	TIM (CONT'D)	Just super... super awesome. Man.
M	ROGER LEMKE	Y'know what Tim, I want people to see the insurance game for what it really is-- it's a noble field. I believe that. Like I say, we're not just insuring vehicles and homes and that. Hell no. We're insuring people's dreams.
M	TIM	Oh. Yeah. I say that, too... sometimes. Cedar Rapids, 6-12-09
M	ROGER LEMKE	Well shit, you do, don't you? By god, I stole your line! Knew I'd heard that somewhere!
M	TIM	Oh, no biggie...
M	ROGER LEMKE	Bummer they cut your little deal outta the ad, though.
M	TIM	Ach. Y'know. Got left on the ol'...
M	FEMALE CO-WORKER	Roger! Look out Brad Pitt!
M	TIM	The ol' cutting room floor, right? Brad Pitt. Ha. That's... Whoa. Cake. Cool.
M	TIM (CONT'D)	So awesome. Cedar Rapids, 6-12-09
M	TIM	There she is! How you feeling?
M	MILLIE	Oh, it's no big whoop.
M	TIM	Ta-da. Quack, quack. D'you already have this guy? Wasn't sure. Cedar Rapids, 6-12-09
M	MILLIE	Gayle Syrstäd gave me a Quackers for Secret Santa last year. I can probably trade with Nan, though.
M	MILLIE (CONT'D)	Cute. Brandy would never sit still long enough for me to dress her up like that. Tell you that right now. You didn't have to do this whole rigmarole, Tim. I told you it's just a little diarrhea.
M	TIM	I know. But for you to miss a day of school, Millie... I can't remember you ever calling in sick when I had you.
M	MILLIE	Well I wasn't going through menopause when you were in middle school now was I?
M	TIM	Negative. Not to my knowledge. Not to my knowledge.
M	TIM (CONT'D)	So. Does your tummy feel good enough to...? Cedar Rapids, 6-12-09
M	TIM	I can try and... hold it, Mil. Can you...?
M	MILLIE	Bring it home. Bring it home.
M	TIM	I'm bringing it. Bringing it! Bringing it! D'aaaarrgho'awesome...
M	TIM	Ooh, you make me live! You're my best friend!
M	MILLIE	C'mon Tim, I can't hear.
M	TIM	Sorry. But you are, babygirl. You're my best friend.
M	MILLIE	Tss. Goofball.
M	MILLIE (CONT'D)	Y'know Galen and Dar Krause just did a cruise to the Bahamas? Pretty reasonable they said, price-wise.
M	TIM	Ya mon, Bahama-mama.
M	MILLIE	It's a little different I suppose-- a cruise. But... Look, I'm not gonna shilly-shally around here, Tim. I found a river cruise through Germany-- Viking Line, real grade-A. It's what I want. For the honeymoon.
M	TIM	Whoa, whoa, whoa, whoa. Wait... Where's this coming from? We agreed on Wisconsin Dells for the honeymoon. It's what we agreed on.
M	MILLIE	You've been to the Dells two dozen times...
M	TIM	So? Roger and Gwen Lemke go to the Dells every year...
M	MILLIE	Because they have children. Water parks are for children...
M	TIM	Hello, Tommy Bartlett's Ski, Sky and Stage Show? It's not just a water park...
M	MILLIE	Timothy, settle. You've never even left the state of Wisconsin. Barely left Brown Valley...
M	TIM	What's so great about...? You're not... You're missing the... We agreed on the Dells.
M	MILLIE	God rest her. Your mom was my best friend. But it's going on 20 years now. You gotta grow up. You gotta let go. You gotta live a life here. See?
M	TIM	I'm living a perfectly fine life. I don't know why you'd want to... Cedar Rapids, 6-12-09 rock the waters or whatever. Ridiculous.
M	TIM (CONT'D)	We agreed on the Dells.
M	TIM	Hello... Oh, hey Bill...
M	TIM (CONT'D)	Aw jeez. Oh my gosh. No...
M	WADE	Guy had it all. Everything you'd ever want. Y'know he flew a Cessna? In his spare time?
M	MILLIE	I always say people like that-- who live fast? They die hard. Look at River Phoenix.
M	WADE	Everything you'd ever want.
M	MILLIE	I just don't know. To do those things to yourself. Just perverted. Who ever heard of such a thing? Cedar Rapids, 6-12-09
M	TIM	I'm... Gwen, I'm so sorry. Roger is-- was-- is-- a personal hero to me. He just... he had it all. If there's... I'm...
F	PAM	You just don't get it, Kurt...
M	KURT	Aw Christ, Pammy...
