M	CHARACTER	DIALOGUE
M	VOICE	Cataleya!
M	MOTHER	Cat! Is your homework finished yet?
F	CAT	Working on it Mama.
M	MOTHER	You draw beautifully my love, but if you want to be something in life you have to study.
F	CAT	I am studying Mama. I want to be a super hero.
M	MOTHER	Better to be a doctor. A lawyer.
F	CAT	Are we going to see Uncle Emilio?
M	MOTHER	I don't know. Just waiting to hear from your father.
M	DON LUIS	I can't believe this.
M	FABIO	Why not?
M	DON LUIS	Because I love you Fabio. Like a brother.
M	FABIO	And I love you Don Luis. Like a brother.
M	DON LUIS	Can you believe this guy Marco? We started when we were little...how old were we Fabio?
M	FABIO	Ten.
M	DON LUIS	Ten year old bastards stealing apples from the carts in the market. After all we've been through. And now we're on top, he wants to leave...
M	FABIO	Luis, I'm going to be honest with you. You remember I had that operation?
M	DON LUIS	That was last year.
M	FABIO	Since then, I'm not a hundred percent. And you can't do this thing if you're not a hundred percent. I'm tired.
M	DON LUIS	So you'll take a rest.
M	FABIO	You know how many times we should have been dead?
M	DON LUIS	I don't even want to count.
M	FABIO	Neither do I. But you gotta think. How lucky we are to still be alive.
M	DON LUIS	Yeah. That's right. We're alive. And what about the future of this thing we built?
M	FABIO	It's yours. It's not my thing any more.
M	DON LUIS	I'm not going to talk you out of it, am I cabron?
M	FABIO	I'll always be there for you Luis. Just pick up the phone, I'm there.
M	DON LUIS	I'm gonna hold you to that. You bastard. I'm going to miss you.
M	FABIO	And I'm going to miss you.
M	DON LUIS	OK. Enough of this sentimental bullshit. Next we'll be crying like two old women. Come on! One last drink, huh?
M	DON LUIS	To the future.
M	FABIO	Bueno.
M	DON LUIS	So. Business is all clear?
M	FABIO	All clear.
M	FABIO	It's all here.
M	DON LUIS	No other copies?
M	FABIO	You even have to ask?
M	DON LUIS	Hey.
M	FABIO	Adios Marco. Make sure he doesn't get in too much trouble.
M	MARCO	Adios Don Fabio. I'll do my best.
M	DON LUIS	Kill this motherfucker.
M	FABIO	This fucker! The motherfucker!
M	DRIVER	Not OK Boss?
M	FABIO	This bastard thinks I'm an idiot. Playing it all mellow and shit. If he would have yelled and screamed and threatened to kill my whole family, it would have been OK. We have an hour to get out of here. At most.
M	MOTHER	Fabio?
M	FABIO	We've got ten minutes.
M	MOTHER	Cataleya, go pack!
F	CAT	I'm packed Mama.
M	FABIO	Listen to me my darling. Just in case of anything. This...
M	FABIO	This is your passport. Do you understand?
M	FABIO	You find yourself alone? You go to the address on this card. Show it to the man at the front gate.
F	CAT	I don't understand papa.
M	FABIO	You don't have to understand. You just have to listen, and remember.
M	MAN	Hola. We want to see Don Fabio.
M	BODYGUARD	He's not home.
M	MAN	You mind if we wait?
M	BODYGUARD	Your time.
M	FABIO	And this will keep you safe.
M	FABIO	The Cataleya orchid. It comes from one place on Earth. Our place. My mother, your grandmother, used to grow them. Every morning I would wake up to the sight of them. The smell of them. That's why I named you after them. It reminds us of who we are.
M	MOTHER	I'm ready.
M	MAN	They said he's not home yet.
M	MAN	OK. OK.
M	MAN	Change of plans.
M	FABIO	Back!
M	FABIO	Too late. Get ready!
M	FABIO	I love you very much.
F	CAT	I love you too Papa.
M	FABIO	Alicia!
M	MARCO	You in the kitchen. You, the bedroom. You, the back.
M	MARCO	Hey! What are you doing?
M	GUNMAN	Don Luis said kill everyone.
M	MARCO	He also said no names.
M	GUNMAN	She won't remember.
M	MARCO	HEY!
M	MARCO	She's a kid.
M	GUNMAN	So what?
M	MARCO	What do you mean so what? You take a kid, teach them, they have value.
M	GUNMAN	I couldn't even get ten bucks for her in the street.
M	MARCO	Are you stupid or what? Here.
M	MARCO	Here's twenty asshole. Go do your job.
M	MARCO	Remember me Cataleya?
M	MARCO	I was at your confirmation. My name is Marco, and I was a very good friend of your father. I see he gave you his medal.
M	MARCO	The Cataleya orchid. His symbol. Your name. That's good. This way you will always remember him. I know this is a terrible thing for you to have seen.
M	MARCO	Some things are too complicated for a kid to understand. This is one of them. But I am going to try explain it and make it very simple for you. So you understand. Now, you know who Don Luis is?
M	MARCO	Of course you do. He was your father's best friend since they're kids. He's like an Uncle to you. You know he has always been good to your family, don't you?
M	MARCO	This house, the food you eat, the clothes you wear. Even your school fees. All this comes from Don Luis. You know that?
M	MARCO	But when someone is good to you and you are not good to them back, then bad things happen. Things like...
M	MARCO	This.
M	MARCO	I know you are a smart girl. You do well in school. So I know this is not too complicated for you to understand. Am I right?
M	MARCO	Good. Now, your father had something that belonged to Don Luis. A little thing. No bigger than...
M	MARCO	This. Maybe it was in this.
M	MARCO	Do you know what I am talking about?
M	MARCO	Excellent. Do you know where it is?
M	MARCO	Well, if you give it to me, Don Luis will be very grateful. And very generous. He will make sure that you are clothed, fed, and sent to the very best school. You will have everything you want. But if you don't give it to him, he will be very unhappy. And you see what happens when he is not happy, yes?
M	MARCO	So why don't you just give that little thing which belongs to him. Will you do that?
M	MARCO	You are a smart girl.
M	MARCO	And in this life, smart girls get everything they want. What do you want Cat?
M	MARCO	Just tell me sweetheart...what do you want?
F	CAT	To kill Don Luis!
M	MARCO	AAARRRGGGHHHH!!!!!
M	MARCO	Get her!
M	TRACK WITH CAT	
M	MARCO	We need her alive!
M	MARCO	Go! Go!
M	ON THE GUNMEN	
M	MARCO	There!
M	MARCO	Alive!
M	MARCO	North! Go North! We're cutting off the southern streets!
M	GUNMAN	North!
M	GUNMAN	Let's go.
M	MARCO	We got her! Close the net!
M	ON MARCO	
M	MARCO	What is she doing?
M	MARCO	No!
M	MARCO	Get down there!
M	GUNMAN	We lost her!
M	MARCO	FUCK! FUCK!
M	MARCO V.O.	Come back out.
M	VOICE	Excuse me...
M	AMERICAN 1	And you say you have something for us?
M	AMERICAN 1	May I see it?
M	AMERICAN 1	Oh jeez...
M	AMERICAN 1	Thank you.
M	AMERICAN 1	We have to record this.
M	AMERICAN 1	Where did you get this?
F	CAT	My Papa.
M	AMERICAN 1	And where is your Papa?
F	CAT	Dead.
M	AMERICAN 1	Did he tell you what this is?
F	CAT	Yes...my passport.
M	VOICE	We are making our final approach to Miami International airport. Please fasten your seat belts.
M	MAN	Come with me.
M	BUREAUCRAT	She's the one?
M	MAN	She is indeed.
M	BUREAUCRAT	You must have done something pretty important to get the royal treatment little lady.
M	BUREAUCRAT	Welcome to America.
M	MAN	You like music?
M	VOICE	It's been our mission statement since we first opened our doors in nineteen twenty three...
M	HEADMISSTRESS	To provide a safe, healthy nurturing environment where young women can get the education they will need to meet the challenges of that amazing adventure called life. How does that sound to you, my dear?
M	MAN	It's been a long day for her. Here's the check for the year's tuition.
M	MAN	And the five hundred dollars allowance for the first six months.
M	HEADMISSTRESS	Which we keep right here...
M	HEADMISSTRESS	And give you twenty a week for incidentals.
M	HEADMISSTRESS	What do we say darling?
F	CAT	Where do I sleep?
