M	CHARACTER	DIALOGUE
M	1870. THE ARIZONA TERRITORY.	We descend past DARK CLOUDS. Violent FLASHES ripple within. Thunder blends with DRUMS as we reach a BOX CANYON... Whirling around the fire -- war paint -- masks and headdresses -- beautiful BABY in her arms as we FOLLOW THEM INTO -- A TEEPEE. The simple melody of the woman's song as she lays the baby on a blanket, gently swaddling it, LOVE in her eyes. But. The wind starts to HOWL. QRAJ. And then... a BURST OF LIGHT through the opening of the teepee -- intense ULTRAVIOLET: FWHOOOOOOOOOOOOOOOSHHss!!! superior force -- PLUCKED savagely into the light, GONE -- as we
M	FLEEING PEOPLE.	Impossibly, the objects are STEEL MACHINES. BELLY VENTS snap open and DRILL CONES drop out -- jagged teeth CHURN TO LIFE -- C--() ... .-4ï¿½_ s A N D A A PINK TONGUE LICKS HIM. The man STARTS AWAKE -- to find a MONGREL DOG over him. Mangy. But sweet. COUGHING, the man stumbles up. How'd he get here? And where the hell i.: here? And -- OWWW. A GASH in his side... .. part of the wound oddly SEARED. He winces. Trying to solve this painful puzzle. Something GLINTS on his wrist: A STEEL BRACELET. No clasp to pull it off. He touches the surface -- TSSS -- SHIT -- It's HOT! And there's a BLACK STETSON on the ground. The Man grabs it to shield his eyes... but STOFS: A WORN PHOTOGRAPH in the inner brim. A WOMAN. Young, beautiful. SMILING. The Man stares: does he KNOW this woman? is this even HIS hat? THE CLAIBORNE BROTHERS -- WES, MOSE and LUKE. Dusty and tough. Wes gallops right up to our Man, gives him the once over --
M	WES CLAIBORNE	Howdy. We're riding towards Absolution. You know how far west we are? The Man's got NO IDEA what he's talking about.
M	LUKE CLAIBORNE	Maybe he's a dummy. Wes hops off his horse, right in The Man's face now --
M	WES CLAIBORNE	There a reason you don't wanna answer my question, friend? And now, Mose nods to the BRACELET on The Man's wrist --
M	MOSE CLAIBORNE	Wes, he's got iron on his wrist... and he's been shot.
M	LUKE CLAIBORNE	Bet he's a chain jumper. Luke spurs his horse behind him -- The Man's SURROUNDED.
M	LUKE	If he escaped, there'll be a bounty. Let's bring him with us. Wes nods as he slides a SAWED-OFF DOUBLE-BARREL from his back
M	WES CLAIBORNE	Not your lucky day, Stranger -- turn round and start walking. But The Man doesn't move. The Claibornes share glances. Wes
M	WES CLAIBORNE (CONT'D)	Dead or alive, no difference. I said
M	WALK OR--	THE MAN MOVES, A MECHANISM OF BRUTAL VIOLENCE -- YANKS the rifle forward as BLAMI -- shot goes WILD -- suddenly the gun's in THE Luke's horse -- GRABBING Luke's ankle -- suddenly Luke's FLAT on
M	LUKE CLAIBORNE	-- P-please, God -- d-don't -- -- The Man PULLS the trigger but CLICK! The rifle's EMPTY. Luke's RELIEF is short as The Man SLAMS the gun-butt down, knocking him out cold. And ALL of this took about ten seconds. This man is a cold-blooded KILLER. But somehow... he didn't seem to KNOW that. CONFUSION. Drops the rifle, looks down at on the breeze -- flattens against The Stranger's foot. He picks it up, BLOODY FINGERPRINTS on what we now see is a TELEGRAM --
M	THE MAN IN BLACK	Absolution... With a HYA! The Man sends two horses GALLOPING, mounts the third, wincing at that gash in his side. Starts to trot off... sees the dog following... Get outta here. Leave me alone. But the dog keeps following. Like they're FRIENDS now. The man VALLEY below... and a SPECK within it that is: dehydrated, the wound DRAINING him. His eyes fall on the first building he sees... A CHURCH.
M	THE MAN IN BLACK	Stay. The dog sits by the door as The Man enters -- EMPTY -- he's uncorks it with his teeth -- drinks -- pours some on the wound -- then A PISTOL COCKS behind him -- Meet MEACHAM, town preacher, a tough, wash-foot Baptist:
M	MEACHAM	Palms to heaven, Friend. The Man freezes. Turns up his hands.
M	THE MAN IN BLACK	Been shot.
M	MEACHAM	Only two kinds of men get shot -- criminals and victims. Which one're you?
M	THE MAN IN BLACK	don't know. Meacham hears the HONESTY in his voice. Knows a lost soul when he sees one. Lowers his gun, softening...
M	MEACHAM	Got a name, son?
M	THE MAN IN BLACK	Don't know that either.
M	MEACHAM	What do you know?
M	THE MAN IN BLACK	... English.
M	MEACHAM	Odd wound. Looks... cauterized. Means somethin' burned it half closed. The Man just stares. News to him. And now, as Meacham leans
M	MEACHAM (CONT'D)	Nice trick. That some kinds... magnet? The Man looks at him -- "What the hell is a 'magnet'?!?" Meacham shrugs it off, readies the needle -- Try'n hold still. He pokes the hot needle through the wound -- The Man winces slightly, but bears the pain.
M	MEACHAM (CONT'D)	Where'd you ride in from?
M	THE MAN IN BLACK	West. Woke up in the desert. Looking up at the sun like I'd been dropped outta the sky.
M	MEACHAM	Seems I remember a story about that happening once... fella by the name of Lucifer. How 'bout I just call you "Luke," for short. But TheMan's distracted by his REFLECTION in a cracked mirror: That blood yours or somebody else's?
M	THE MAN IN BLACK	Three men rode up. Drew on me. My hands... moved on their own. Anything else you wanna confess to while you got my attention? And The Man senses somehow that, ygg, there is... but:
M	THE MAN IN BLACK	Everything that happened before I woke up... It's gone.
M	MEACHAM	Well. Too bad. Can't absolve you for your sins if you don't recall 'em. That bein' said... Meacham looks up, eyes twinkling. This is not a fire n' brimstone preacher. This is a guy who GETS IT --
M	MEACHAM (CONT'D)	I seen bad men do good things and good men do bad things. Whether you end up in heaven or hell... it's not God's plan... it's yours. You just got to remember what it was. The Man considers. Darkly --
M	THE MAN IN BLACK	What if I don't want to remember? Then you're probl'y goin' to hell. On cue -- SMASH!!! The stained glass window EXPLODES as a MOLOTOV COCKTAIL hurtles into the church. FIRE spreads around confessional and uses them to STAMP OUT the fire --
M	MEACHAM (CONT'D)	Dammit -- it's Dolarhyde's men! WHOOPS and HOLLERS and GUNSHOTS outside! The Man whirls to see A DOZEN MEN ON HORSEBACK, marauding through town -- HiS NAME ON IT! The gang rides down Main Street, HOOTING -- Percy cocks another Molotov, aiming for the SALOON -- But one of his men, half-Apache NAT COLORADO, shouts:
M	NAT COLORADO	Percy! N2t the saloon!
M	PERCY	Why the goddamn hell not?!
M	NAT COLORADO	Cause your dady said so. Something LOADED in the way he emphasizes "daddy." Percy GLARES -- strange RESENTMENT between them. With a growl, Percy GALLOPS blankets as he moves past The Man --
M	MEACHAM	You wanna help or are you just gonna stand there and burn?!
M	MEACHAM	All right, folks -- don't panic! Get inside and you'll be fine... C'mon... Meacham tosses The Man one of the blankets, nods across the street to the GENERAL STORE which is just STARTING to burn --
M	MEACHAM (CONT'D)	Put it out before it gets goin'! ON THE MAN, not sure how he suddenly became the damn fire brigade, but HUSTLING across the street to -- WHIPS open the blanket, beats at the flames advancing toward the LICORICE. Two FULL JARS of CANDY in his hands. OOPS:
M	KID	Just tryin' to save the candy. You one of my Pa's hired guns? Before he can answer, HOOFBEATS behind them -- and here's PERCY.
M	PERCY	Who the hell're yam? Whatever the opposite of Love At First Sight is, THIS is it:
M	THE MAN	Nobody.
M	PERCY	Nobody is right. You think you can just collect your fifty dollars and ride off? You signed up for the wrong side, boy. The kid's scared. The Man ISN'T, despite the gun in his face:
M	PERCY (CONT'D)	Tell you what. You get down on your knees and kiss my boot. The Man's eyes narrow -- You do that and I'll let you run back to wherever the hell you came from so you can tell whoever you see... Absolution belongs -tg..th-e- 1Dolar es.
M	THE MAN	You want me to kiss your boot? Percy extends his boot just INCHES from The Man's face:
M	PERCY	Tongue's just fine if you're feelin' amorous. Don't hold ba -- THWIP! The Man YANKS Percy's boot off his foot in one quick move and KWHAM!!!1 WINGS IT RIGHT INTO PERCY'S FACE! Percy FLIES off the HORSE -- The Man grabbing his rifle -- the
M	THE MAN	Kiss this, you sonofa -- -- Nat Colorado gallops around the corner, SHOTGUN RAISED.
M	PERCY	Goddamnit, Nat -- SHOOT HIM!!! -- but The Man yanks Percy up by his collar, using him as a SHIELD between himself and Colorado. Eerily calm --
M	THE MAN	Wherever you came from? Go back. Colorado knows he's dealing with a PROFESSIONAL. MORE GANG MEMBERS ride up, surprised -- a dirty outlaw, GREAVEY, barks:
M	GREAVEY	Sheriff's right behind us, Nat!
M	PERCY	You goddamned shitheels! Don't you even THINK about leavin' me!!!! Colorado -- DECISION -- doesn't take long -- glares at The Man --
M	NAT COLORADO	Be seeing you.
M	THE MAN	Look forward to it. With that, Nat spurs his horse -- YA! The others follow him as he RIDES HARD out of town. Percy growls at The Man --
M	PERCY	You are a dead man. You hear me? So help me God I will kill you my-- DM! The Man's SMASHES Percy's skull with the gun, knocking him
M	KID	FA! He caught Percy Dolarhyde! SHERIFF KYLE TAGGART rears up on his horse. Tall, dark and
M	SHERIFF TAGGART	Emmett -- you all right? The Kid (now EMMETT) strides towards his father excitedly: a-f lap jack- then-stared-down-Nat-Colorado- like-he-wasn't-even-scared!!!! Taggart turns to The Man now, cautious, but grateful --
M	SHERIFF TAGGART	Pardon my boy, mister. He can be excitable. Kyle Taggart. The Man shakes Taggart's hand. A beat. Then --
M	THE MAN IN BLACK	. Luke.
M	SHERIFF TAGGART	Well I'm in your debt, Luke. Tune of fifty dollars, actually. Our advert? The telegram? The Man NODS -- Oh, RIGHT.
M	SHERIFF TAGGART (CONT'D)	Could use a man like you in case any of 'em come back...
M	THE MAN IN BLACK	-- I'm just passing through.
M	SHERIFF TAGGART	Fair enough. You don't mind spending the night, bank opens in the morning... I'll get you your money then. Saloon's got rooms. You just tell Maria I sent you. The Man tips his hat, nods to Emmett (still STARSTRUCK), turns
M	SHERIFF TAGGART (CONT'D)	You here with the prospector woman? The Man stops. Intrigued. Turns back --
M	THE MAN IN BLACK	woman?
M	SHERIFF TAGGART	Yup. Real looker. Came into town yesterday with that there dog. She a friend of yours? ON THE MAN. His first real LEAD.
M	THE MAN IN BLACK	Maybe. And as The Man heads off, we HOLD ON TAGGART, his spidey-sense tingling that all is not RIGHT with this...
M	DEPUTY WADE	Somethin' wrong, Kyle?
M	SHERIFF TAGGART	What's that French sayin' where you swear you seen someone before?
M	DEPUTY WADE	Don't speak French.
M	SHERIFF TAGGART	No... you sure's hell don't.
M	RANCH HAND #1	Should take it easy there, Pal --
M	RANCH HAND #2	Mr. Dolarhyde don't like it when we drink on the job.
