M	CHARACTER	DIALOGUE
M	MORELL	What kind is it?
M	VANGER O/S	I don't know. White.
M	MORELL	And the frame?
M	VANGER O/S	Dark.
M	MORELL	Postmark?
M	VANGER O/S	Same as last time.
M	MORELL	No note.
M	VANGER O/S	No. VANGER I can't take it anymore.
M	MORELL O/S	I know. I'm sorry, Henrik.
F	BLOMKVIST	What is this, the media event of the year? REPORTER 1 Don't try to play it down, Mikael, it won't work.
F	BLOMKVIST	Don't try to play it up, that won't either.
M	REPORTER 2	Will you appeal? BLOMKVIST I'll appeal to you, Viggo: Find a real story to cover. He hurries off in the rain.
M	NEWSCASTER V/O	Financial journalist Mikael Blomkvist was found guilty today on 16 counts of aggravated libel against financier Hans-Erik Wennerstrom.
M	TV NEWSCASTER	In an article published earlier this year, Blomkvist claimed Wennerstrom - founder and president of The Wennerstrom Group - used State funds intended for industrial development in Poland for an arms deal with the right-wing Ustashe in Croatia.
M	WENNERSTROM ON TV	I have nothing against Mr. Blomkvist. He's a good journalist who I don't believe is guided by malice. But what he wrote was inaccurate, and inaccuracies can't go unanswered. He - all journalists - have to accept like the rest of us, actions have consequences.
F	BLOMKVIST	Marlboro Red ... and a lighter.
M	TV NEWSCASTER V/O	Blomkvist was ordered to pay 600 thousand SKE in damages and all court costs, which could be significantly more.
F	ERIKA	Where you been?
F	BLOMKVIST	Walking. Thinking.
F	ERIKA	Smoking?
F	BLOMKVIST	Just one. sits, exhausted and depressed, in a cheap Poang chair.
F	ERIKA	TV4 called. I told them no statement until we've read the judgment in its entirety.
F	BLOMKVIST	I have. Who else? ERIKA Everyone who's ever wanted to see you humiliated.
F	BLOMKVIST	You've been on the phone all day then.
F	ERIKA	I'm as much to blame for this as you.
F	BLOMKVIST	You are? You wrote it?
F	ERIKA	I read it. I ran it.
F	BLOMKVIST	Not the same. ERIKA Our credibility isn't dead, Mikael.
F	BLOMKVIST	Mine is. regard each other in another silence. Then -
F	BLOMKVIST	I'm tired. I feel like climbing under a duvet and sleeping for a week. ERIKA Alone? He thinks about it ... shakes his head `no.'
F	ERIKA	I already called Greger and told him I wouldn't be home tonight.
M	ARMANSKY	It's possible we could wait forever.
M	FRODE	You called her, I thought. You spoke to her. ARMANSKY I'm afraid that doesn't mean much.
M	FRODE	I don't understand.
M	ARMANSKY	No one here likes her. So it's better if she works at home. FRODE But you told her I wanted to meet her.
M	ARMANSKY	But I've told her many more times I prefer her not to meet clients.
M	FRODE V/O	But you like her. ARMANSKY V/O Very much. She's one of the best investigators I have. As you saw from her report - FRODE But.
M	ARMANSKY	I'm concerned you won't like her. She's different. FRODE In what way.
M	ARMANSKY	In every way. Ms. Salander's here.
M	ARMANSKY	Lisbeth, Mr. Dirch Frode. FRODE How do you do?
F	SALANDER	Something wrong with the report? FRODE No. It seems quite thorough. There's a wealth of data here. But I'm also interested to know what's not in it.
F	SALANDER	There's nothing not in it.
M	FRODE	Your opinion of him isn't.
F	SALANDER	I'm not paid to give my opinion.
M	FRODE	So you don't have one?
F	SALANDER	He's clean. In my opinion.
M	FRODE	He's - excuse me?
F	SALANDER	He's honest. He's who he presents himself to be. In his business, that's an asset.
M	FRODE	There's less in his asset column after his conviction today. SALANDER That's true. He made a fool of himself with that. If it happened that way. looks at Armansky. What's that supposed to mean?
F	SALANDER	If he made up the story, that's out of character. So is giving up without a fight. People don't do things that are out of character.
M	FRODE	Are you saying he was set up?
F	SALANDER	That wasn't part of my assignment.
M	FRODE	You're quite right he made a fool of himself professionally. How big of a fool did he make of himself financially?
F	SALANDER	The judgement will just about empty his savings. seems to please Frode more than anything else that SALANDER May I go?
M	FRODE	Your report is light in another area. His personal life. Anything you chose not to include? SALANDER Nothing that warranted inclusion.
M	FRODE	I'm not sure if that means yes or no.
M	ARMANSKY	I think what Ms. Salander means, and I agree, is that everyone has a right to a certain amount of privacy, even when they're being investigated.
M	FRODE	Not in this case. I have to know if there's anything about him I might find unsavory - even if she doesn't.
F	SALANDER	He's had a long sexual relationship with his co-editor. It wrecked his marriage, but not hers. Her husband accepts it. Sometimes she sleeps at Blomkvist's, sometimes at home.
M	FRODE	You were right not to include that.
F	SALANDER	I know. FRODE Anything else? SALANDER No.
M	FRODE	Please think before you say no. SALANDER I did. FRODE I don't want to be surprised by something later.
M	FRODE	So. Nothing else. In the personal department. You're sure.
F	SALANDER	He likes sandwiches.
F	ERIKA	Usually when I wake up in a cold bed, it's at home.
F	BLOMKVIST	Sorry.
F	ERIKA	What are you doing?
F	BLOMKVIST	Writing the press release.
F	ERIKA	Saying - BLOMKVIST You're taking over as publisher. You're sorry for any nuisance Wennerstrom was caused. I can't be reached for comment.
F	ERIKA	You're giving up. BLOMKVIST Just taking a few steps aside. For you. ERIKA This makes me sick. The gash on the old man's head could have been caused
M	GREGER	You needed a better attorney. You needed your sister. BLOMKVIST She offered.
F	ANNIKA	He declined.
F	BLOMKVIST	As she hoped. ANNIKA Never a good idea mixing family and business.
F	BLOMKVIST	And I still would have lost.
M	GREGOR	Did you have ... anything on him.
F	BLOMKVIST	I had a lot. It just wasn't any good.
F	ERIKA	It wasn't even about Mikael. It was Wennerstrom sending a message to the press as a whole - and the FSA: Don't ask questions.
F	BLOMKVIST	I'm fine, Nilla. You don't have to worry about me.
M	PERNILLA	Mom's worried. BLOMKVIST About me?
M	PERNILLA	About all that money.
M	DOCTOR	You're Mr. Palmgren's daughter? SALANDER His ward. He doesn't have a daughter.
F	SALANDER	Please.
M	DOCTOR V/O	He's had severe cerebral hemorrhaging. Either from the fall itself, or a stroke that led to the fall. His blood pressure is still high. I'm hopeful he'll regain consciousness, but that's not assured. And it's possible, if he does, there will be neurological damage.
F	BLOMKVIST	Nilla? What are you doing? PERNILLA Nothing.
F	BLOMKVIST	You're not serious. Dragon Tattoo Final 9/1/11 SZ
