M	CHARACTER	DIALOGUE
F	AIBILEEN	I was...born in 1911...on Piedmont Plantation in Cherokee County. An UNSEEN WOMAN interviews Aibileen.
M	WOMAN (O.C.)	Did you know as a girl, growing up, that one day you'd be a maid?
F	AIBILEEN	Yes, ma'am. I did.
M	WOMAN (O.C.)	And you knew that because?
F	AIBILEEN	Momma was a maid. My grandmother was a house slave.
M	WOMAN (0.C.)	Oh. The woman repeats Aibileen's answer slowly as she writes.
M	WOMAN (O.C.) (CONT'D)	A...House...Slave. Uh-huh. Okay. Aibileen squeezes the notebook in her lap.
M	WOMAN (O.C.) (CONT'D)	Now, did you ever dream of being something else? Aibileen gulps. She doesn't answer. The room is quiet.
M	WOMAN (O.C.) (CONT'D)	Well then, what's it feel like, to raise a white child when your own child's at home...being looked after by somebody else?
M	AIBILEEN (V.O.)	I done raised seventeen kids in my life. Lookin' after white babies, that's what I do.
M	AIBILEEN (V.O.)	I know how to get them babies asleep, stop cryin' and go in the toilet bowl before they mommas even get outta bed in the mornin.' Aibileen lifts Mae Mobley out of her crib and pulls her into
M	AIBILEEN (V.O.) (CONT'D)	Babies like fat. They like big fat legs too. That I know. Aibileen sits with Mae Mobley in a rocking chair.
M	AIBILEEN (V.O) (CONT'D)	I work from eight to four, six days a week. Ninety-five cents an hour comes to a hundred seventy-two dollars ever month. I do all the cooking, cleaning, washing, ironing and grocery shopping, but mostly, I take care a baby girl...And law, I worry she gone be fat. Ain't gonna be no beauty queen either. Mae Mobley reaches up and touches Aibileen's face. Aibileen
M	AIBILEEN (CONT'D)	You is kind. You is smart. You is important. Mae Mobley's mother, ELIZABETH LEEFOLT, 21 and lanky, enters Elizabeth has pointed features and a nest of teased, brittle
F	ELIZABETH	Aibileen, bridge club's in an hour! Did you finish the chicken salad? Oh, and Hilly's deviled eggs. No paprika! Elizabeth rotates around like the Tin Man.
M	ELIZABETH (CONT'D)	Does this dress look homemade?
F	AIBILEEN	I reckon when you finish, it won't. Elizabeth exits with her pinned hemline sloping at a good
