M	CHARACTER	DIALOGUE
M	A BILLION STARS	pinprick the velvet-black sky that stretches over a vast It's 20x20 square, with a wraparound porch and simple wooden The Teen's eyes fly open. Fear grips his face as he looks
M	ANOTHER RATTLE.	It's louder this time. Unmistakable. The Teen watches as WHAT HE SEES: The empty porch. No sign of life.
M	A SERRATED METAL BLADE	protruding from his chest. As the sword is viciously
M	MIDDLE-AGED MAN	Run!
M	A MONSTROUS HOWL	ECHOES as something otherworldly catches his scent and begins GOD SHOT LOOKING DOWN as the Teen leaps across the abyss. He
M	A HULKING BEAST.	It's called a Piken and skitters to a stop on the other side.
M	A HAND	wraps around his throat. He is effortlessly hoisted by a
M	THIS IS A MOGADORIAN.	He wears the long red coat of a Commander. We catch the Its serrated blade ignites with silver flame as it sweeps It glimmers to life on the ankle of another TEEN 10,000 miles The trio crisscrosses the turquoise sea while a party rages Daniel makes a kamikaze move, whips his jet ski past his
M	THE SYMBOL	searing into his skin. As he leans forward to grip his
M	BLONDE GIRL	Daniel, what's wrong? Did you break your ankle? But as she turns him over, she sees the light leaking from
M	BLONDE GIRL	Oh my God. He stares up into the crowd's fearful faces, then staggers to
M	A STILT HOUSE	sits at the end. It's cake-frosting pink and is built right
M	DANIEL	Number 3 is dead. Henri's eyes narrow with urgency. He is immediately on his
M	TWO OTHER GEOMETRIC BRANDS.	They are the same size, but each symbol is subtly different.
M	HENRI	Did anybody else see this? OFF Daniel's panicked nod...
M	A GECKO	skitters across the ceiling, its glossy black eyes watch as
M	HENRI	Taillights in five minutes. What we can't carry --
M	DANIEL	-- we burn. I know the drill. Henri carefully hides it under the driver's seat of an old
M	HENRI	Time to go. Daniel clicks the SIM card from his cell phone, snaps it in It darts up the fender, squeezes into the jamb of the trunk,
M	DANIEL (V.O.)	This is the part I hate the most. The running. But it's the only thing in my life that's real. The rest is a lie. My name. My birthday. Even Henri. People think he's my father. He's not. His job is to keep me alive.
M	DANIEL (V.O.)	We are hiding from the Mogadorians. A brutal race that wiped out our entire planet, Lorien.
M	DANIEL (V.O.)	Only nine children escaped the genocide. We were each given a number and sent here to hide. I don't know where the others are. I only know when one of them is murdered.
M	DANIEL (V.O.)	I got the first scar when I was eight. I woke up screaming. We lived in Vermont. The second was on a Tilt-a-Whirl at a fair in Michigan. I was 12. Yesterday was the third. His finger traces the lines of the other two scars.
M	DANIEL (V.O.)	Because of the spell our Elders cast, the Mogs can only kill us in order. That's the reason I've survived this long. But our enemy is relentless.
M	DANIEL (V.O.)	Now their hunt has turned to me. I am number 4.
M	HENRI	Florida's clear. I sent a letter to the school and there's nothing in the papers.
M	DANIEL	I didn't even get a chance to say goodbye. Henri keeps going, passes an envelope across the table.
M	HENRI	New IDs. Daniel pulls out his birth certificate, reads the name.
M	DANIEL	Just when I think you can't get any less original, you lower the bar.
M	HENRI	I'm not interested in originality. I'm interested in untraceable. There are 335,321 John Smiths in the United States.
