M	CHARACTER	DIALOGUE
M	MAN BEHIND THE COUNTER	One forty-nine please.
F	MARGARET	How much is the milk?
M	MAN BEHIND THE COUNTER	Forty-nine pence. Thank you. turns to leave, jostled by a tall young man
F	MARGARET	Too much. Much too much butter.
M	DENIS	I like butter. MARGARET Milk's gone up. 49p a pint. DENIS Good grief! We'll have to economise. I suppose we could always sell the car. Or take in paying guests! He scoops up the newspaper and glances towards the door - Watch out. She's on the prowl. MARGARET looks beyond DENIS to a a sense of growing MARGARET Eat your egg. JUNE smiles with visible relief on seeing MARGARET, now
F	JUNE	Goodness! There you are. JUNE's look of quiet concern. MARGARET Yes. MARGARET eats her egg. Here we are. But for JUNE, she is entirely alone.
F	JUNE	I don't understand how it happened, how could she possibly have got out? It's very very important -
M	JUNE (CONT'D)	Please just make it really clear. Who's on after you?
M	POLICE GUARD	Dixon.
F	JUNE	Beautiful day. Oh, you've made a start. Carol's coming soon, I'll get some bags. Anything you want to go to Mark, I'll bring up a suitcase for it.
F	MARGARET	No no no no. The grey.
M	DENIS (O.S)	You sure?
F	MARGARET	Yes. ...Definitely the grey. Righty ho. Boss knows best.
M	DENIS (CONT'D)	Don't let her take my paper away.
F	MARGARET	Oh, I haven't had a chance to look at that yet, dear.
F	JUNE	Sorry.
M	DENIS	Atta-girl.
M	DENIS (O.S) (CONT'D)	Damn.
F	MARGARET	Blot it...Blot it..
F	JUNE	Sorry ?
M	DENIS	Now look what you've done. Are they to keep the loonies out or you in?
M	DENIS (CONT'D)	I'll be off then.
F	MARGARET	Wear your scarf. There's a chill out there.
F	SUSIE	Good morning Lady Thatcher. Are you alright ? How are you feeling ?
F	MARGARET	I'm fine, thank you Susie.
F	SUSIE	I've just been reading about the bombings.
F	MARGARET	Yes. Frightful.
F	SUSIE	Sorry.
M	SUSIE (CONT'D)	These are the books for you to sign. I brought as many as I could find. Shall we go through your appointments?
M	SUSIE (CONT'D)	We said we'd go through them today.
F	MARGARET	Yes, of course, dear. Today.
F	SUSIE	The invitation has come from Downing Street for the unveiling of your portrait. I'll put it on the mantelpiece, and there's an invitation from Lord Armstrong for lunch on the first Friday of next month.
M	SUSIE (O.S.) (CONT'D)	I said no because you've got a concert that afternoon but if you'd like to..?
M	SUSIE(O.S) (CONT'D)	....It looks like a very interesting programme.
F	MARGARET	What are they playing?
F	SUSIE	I think they said Rogers and Hammerstein.
F	MARGARET	Silly man.
