M	CHARACTER	DIALOGUE
M	EDDIE (V.0.)	They found me.
M	EDDIE (V.0.)	I might have five minutes.
M	EDDIE (V.0.) ( (CONT'D)	I'll never know how they got past security in a half-billion dollar building.
M	EDDIE (V.O.)	They've become sophisticated. Before they couldn't have done this. But now...?
M	EDDIE (V.O.) (CONT'D)	I will never let them touch me.
M	EDDIE (V.0.)	My neighbor must've heard the noise. Opened his door to complain.
M	EDDIE (V.0.) (CONT'D)	He bought me half a minute. I wish he hadn't. Last thoughts are self- pitying and mine are no exception: the waste. The waste of it all. I mean, how many of us ever know what it is to become... the perfect version of ourselves. I'd come that close. To having an impact on the world.
M	EDDIE (V.O.) (CONT'D)	And now, the only thing I'd have an impact on...
M	EDDIE (V.O.) (CONT'D)	... was the sidewalk.
M	EDDIE (V.0.)	Not so long ago, this was me. CONTINUED:
M	EDDIE (V.0.) (CONT'D)	I was a writer. Two years after my copywriting job at Dexter & Kerr came to a non-mutual end, I had, in an extraordinary burst of desperate energy, bullshitted my way into my first book contract. This was it:
M	EDDIE (V.0.)	Now, at last, I was ready to write.
M	EDDIE (V.0.) (CONT'D)	Gearing up, that's all.
M	EDDIE (V.0.) (CONT'D)	Getting psyched. A few days did pass this way... maybe a few months...
M	EDDIE (V.O.) (CONT'D)	Friends fled.
M	EDDIE (CONT'D)	And banks became attentive. But just in case you think nothing ever happened to me....
F	LINDY	I don't think I can keep this.
F	EDDIE	Just like that.
M	EDDIE (CONT'D)	I was kind of under the impression you cared a little more than just--
F	LINDY	If I didn't care, maybe I'd be able to stand to watch you do this.
F	EDDIE	Look, I'm going to give 90 pages to Mark on Friday. If you could just wait, see what he says-
F	LINDY	Stop. You think I don't know what you do all day? I've loved you. I know the good stuff, and I know the shit.
F	EDDIE	And it's all shit to you now?
F	LINDY	You're the one living it. Don't think I don't know it's worse for you.
F	EDDIE	Then you know I could use a friend.
F	LINDY	Don't you dare try that shit on me! CONTINUED:
F	EDDIE	Well -- what'll work, then?
F	LINDY	I see where it's going. You'll lose your apartment. And then what? You'll move in with me--
F	EDDIE	Not with that enthusiastic invite--
F	LINDY	--And then it'll go on this way, and I'll rag on you, and finally boot you out -- and then what? I mean, have you run the film?
M	EDDIE (V.0.)	She knew what was beckoning: the lower bunk in my childhood bedroom in Newark. We'd even had sex on it once. And it was a thing to be pitied and avoided.
M	EDDIE (CONT'D)	Lindy. I really thought I had it in me to do something. --I wasn't getting around it, but it was fucking there. And now, I, ah... don't think it is. There. --Anything. At all.
F	LINDY	You know what...? I'd have had you move in anyway... if...
F	EDDIE	If, what?
F	LINDY	If it was me you wanted. And not Melissa.
F	EDDIE	I never think about Melissa--!
F	LINDY	I have to get back.
F	EDDIE	--Hey, well -- wait -- you didn't tell me what happened yesterday.
F	LINDY	I got it.
F	EDDIE	You got it--?!
F	LINDY	Yeah. I'll have my own assistant. You believe that?
F	EDDIE	You deserve it, Lindy.
F	LINDY	Yeah, thanks. I do. CONTINUED:
M	LINDY (CONT'D)	Oh, please.
M	EDDIE (V.0.)	She was right. I was almost 35. No one talks about "potential" at 35. I had missed the on-ramp. Soon I'd be sleeping in the lower bunk of my childhood bedroom... my father happy to welcome me into the challenging field of dental supply inventory...
M	VOICE	Eddie. Morgan.
M	EDDIE (V.0.)	Of all the useless relationships better forgotten and put away in mothballs, is there any more useless than... the ex-brother-in- law?
M	VERNON	Shit! It's gotta be-- 9 years--?
F	EDDIE	But who's counting.
M	VERNON	Hey, you!!!
M	VERNON (CONT'D)	Jesus, Eddie, pack it on, why don't you? CONTINUED:
F	EDDIE	Sedentary job, you know...
M	VERN	So you're still trying to write?
F	EDDIE	As a matter of fact, I've got a book contract. How about you? Still dealing, Vernon?
M	VERNON	Do I look like I'm still dealing?
F	EDDIE	No.
M	VERNON	Come on, let's get a drink. I wanna hear about this book.
F	EDDIE	Nah, I should go--
M	VERN	You can't tell me you're a health nut, now. Not with that tire-
F	EDDIE	Enticing invitation. Thanks.
M	VERN	C'mon, c'mon, one beer. Or I won't give `em back.
F	EDDIE	It's one o'clock in the afternoon, Vern.
M	VERN	When's that ever stopped you?
F	EDDIE	Fuck.
F	EDDIE	So... how's Melissa?
M	VERNON	Ah-hah. That's why you agreed to the beer.
F	EDDIE	I'm making conversation, Vern.
M	VERNON	Well, I don't know how Melissa is.
F	EDDIE	How don't you know? You're her brother.
M	VERNON	I don't see her. She lives upstate now, she's got some kinda internet home sales kinda job... a couple of kids...
F	EDDIE	A couple of kids...
M	FLASH!	
F	EDDIE	Who's the husband?
M	VERNON	What are you, jealous?
F	EDDIE	It's just a question, Vern.
M	VERNON	Walked out on her, if you really want to know. But what do you care? You guys weren't even married six months, were you--? I mean, it was just a coke thing, right?
F	EDDIE	Is that what she said--?! "A coke thing."
M	VERNON	But I wanna know about this book. How's it going?
F	EDDIE	How's it going... Well... I'm behind. I'm behind on my book, and it's pretty well polluting my days and nights if you really want to know.
M	VERNON	How much have you written of it?
F	EDDIE	Not one fucking word, Vern. CONTINUED:
M	VERNON	Wow. Creative problem, huh?
M	VERNON (CONT'D)	I think I have something that can help you.
F	EDDIE	Oh, no-- no, no, no-
M	VERNON	You don't even know what it is.
F	EDDIE	You're still dealing.
M	VERNON	No -- yeah --will you listen?! This isn't recreational. I've been doing some consulting for a PHARMACEUTICAL COMPANY--
F	EDDIE	You mean a lab in some little Yalie's basement? Give me a--
M	VERNON	No, this is an exclusive product coming on-stream next year, they've had clinical trials, and it's FDA approved.
F	EDDIE	Okay, what is it?
M	EDDIE (CONT'D)	What's in it?
M	VERN	Just take it. Get you over the hump.
F	EDDIE	I'm too old for this, Vernon.
M	VERNON	Look, they've identified these receptors in the brain that activate specific circuits, and-- you know how they say you can only access like 20 percent of your brain? Well, what this does--
F	EDDIE	Vernon. Look at me. Do I look good? I smoke too much: my chest is sore. A fucking corpse has more energy than I do, I've got weird aches, possible lumps, rashes, maybe they're a condition, or a network of conditions. One of these days they're all going to hold hands, light up, and I'll keel over dead. My life's in the crapper, and I DON'T think it's going to take a sudden upswing into the stratosphere if I do some brand new, shiny designer DRUG!
M	VERN	Gant. When. --I know, but when? Tell him we can't do that. He knows that's out of the question. We absolutely can't do that.
M	VERN (CONT'D)	No, I'm not going to tell him! You tell him -- no, now! Fucking people. I'm afraid I'm going to have to leave you here, Eddie. But let's hang out again, have another beer.
M	VERN (CONT'D)	By the way, that's on the house.
F	EDDIE	I don't want it, Vern.
M	VERN	Don't be ungrateful, now. You know how much these things cost?
M	VERN (CONT'D)	Eight hundred bucks a pop.
M	EDDIE (V.O.)	All the way home she was back on my mind ... Melissa.
M	EDDIE (V.O.)	She'd been so smart. Smarter than anyone around her. And oh, how she loved to provoke people...
F	MELISSA	--Oh, please, you think professional women mentor one another? You think there's some mutually supportive empathetic touch-feely network of kindly pie- bakers? --Those bitches hate each other! Quick, who was the worst boss you ever had? A woman, right?! We can't delegate, we can't command -- I mean, there's a reason we're not generals--!
M	EDDIE (V.0.)	I thought, by now, she'd be curing cancer, directing movies, running for the Senate...
M	EDDIE (V.0.) (CONT'D)	What had happened? Her life made no sense. I mean, I could see a direct, plausible link between this Eddie, broke and buzzed at three o'clock in the afternoon, and an earlier Eddie...
M	EDDIE (V.0.)	...vomiting on his boss' desk during a presentation... CONTINUED:
M	EDDIE (V.0.)	... or stealing his dying Aunt's Percocet.
M	EDDIE (V.0.)	But there was no link between my Melissa and this upstate Melissa dumped, cold-calling people from her living room.
M	EDDIE (V.O.)	40 long blocks later I was "home."
M	EDDIE (V.0.)	Well. There was less than nothing to lose.
M	EDDIE (V.0.)	I didn't want to see anybody.
M	EDDIE (V.0.) (CONT'D)	Especially not my landlord's nasty young wife.
M	EDDIE (CONT'D)	Tuesday.
F	VALERIE	Look, enough, okay--?
F	EDDIE	Just tell him-
F	VALERIE	Steve handles the rents. So feed your fucking bullshit to him.
M	EDDIE (V.0.)	I suddenly had extra reason to get away from her. I had thoughtlessly ingested a substance.
F	VALERIE	--Like the rent's not low enough--!
M	EDDIE (V.0.)	I had gotten remarkably little information from Vernon about what this drug would do.
F	VALERIE	You could be a bike messenger and come up with that! CONTINUED: ...What if it was a hallucinogen... oh my God... listening to her rag, if I were tripping...? I'd jump out a fucking window.
F	VALERIE	--Look, I'm just telling you, he's been talking about calling these people he knows from the club to muscle you out -- I've told him not to do that, but he's really pissed.
M	EDDIE (V.0.)	And then... I felt it.
M	EDDIE (V.0.)	Levels more, layers more, 3-D more... galactically more. But the same. Just the depth and beauty... of clarity.
M	EDDIE (CONT'D)	What's wrong?
F	VALERIE	W-What?
F	EDDIE	"I was blind but now I see." CONTINUED: You don't like me, and I don't blame you -- you see a schlumpy energy- sucking defeated sack of shit sponging off your husband. You're hoping I'll blow my brains out. But my existence shouldn't make you this upset. What is it?
F	VALERIE	Look, that's none of your-
F	EDDIE	Something wrong at school?
F	VALERIE	How do you know I'm in school!
F	EDDIE	People who aren't don't usually carry dry, academic constipated out of print books about Dorothea Lange.
F	VALERIE	Are you some kind of creep? Have you been following me?!
F	EDDIE	I just saw the book--
F	VALERIE	You can only see a corner of it. How did you know?
F	EDDIE	I've seen it before.
M	EDDIE (V.0.) (CONT'D)	It was true. 12 years ago. In college...
M	EDDIE (V.O.)	...sitting on the couch of a T.A. I was trying to make, waiting for her to come back out of the bathroom... hoping she'd have a condom...
M	EDDIE (V.0.)	Somehow, my unconscious had served that up... a memory I'd never even recorded. Or was it there the whole time... and all I needed... was the access?
M	EDDIE (V.0.)	Vern was right. This was no recreational drug.
M	EDDIE (CONT'D)	If you're writing a paper, that's not the book I'd use.
F	VALERIE	Well, who asked y-
F	EDDIE	Cal Berkeley has her oral history. I'd start there. Her son is still alive. You could Google him. Sons of famous people always want to dish dirt about their parents. You'd get something no one else has, and you'd've gone the extra mile, a nice little apple for the professor. CONTINUED:
M	EDDIE (V.0.) (CONT'D)	Information from the odd museum show, a half-read article, some PBS documentary, was all bubbling up to my frontal lobes, mixing itself together into a sparkling cocktail of useful information.
M	EDDIE (V.0.) (CONT'D)	She didn't have a chance.
M	EDDIE (V.0.)	We'd really worked on her paper, too. In 45 minutes it was a polished gem. She was pleased.
M	EDDIE (V.0.) (CONT'D)	One nice little side effect...? I stayed hard for hours. Happy and sore, I returned home. CONTINUED:
M	EDDIE (V.0.)	... But it couldn't be my home, could it? Who would live like this?
M	EDDIE (V.0.) (CONT'D)	What was this drug? I couldn't stay messy on it, I hadn't had a cigarette in six hours...
M	EDDIE (V.0.) (CONT'D)	...hadn't eaten... So. Abstemious and tidy. What was this -- a drug for people who want to get anal?
M	EDDIE (V.0.) (CONT'D)	I wasn't high, wasn't wired --just clear. What I needed to do. And how to do it.
M	EDDIE (V.0.)	The next morning, I sent a little probe down into my brain. No surge of brilliance came up to greet me. I felt thick and stupid -- a shuffling zombie without my coffee and cigarette. In short... CONTINUED:
M	EDDIE (V.0.) (CONT'D)	I was back.
M	EDDIE (V.0.)	But something remained.
M	MARK	You're kidding.
F	EDDIE	No.
M	MARK	Words have appeared on paper.
F	EDDIE	Yes.
M	MARK SUTTON	Written by you.
F	EDDIE	Three pages. That's all you have to read. If you read them in the next hour, and you don't want to keep reading I'll give back the advance.
M	MARK SUTTON'S VOICE	Eddie... give me a call when you get in... (BEEP)
M	MARK SUTTON'S VOICE (CONT'D)	Eddie, I'm 40 pages further in... call me... it's a little grandiose, but I'm still reading...
M	MARK SUTTON'S VOICE (CONT'D)	Okay, how did you do this? I'd, uh, I'd really like to -- shit, just call me the minute you get in, call. Okay? Okay. (BEEP!)
M	EDDIE (V.O.)	But how would I finish? It was "enhanced" Eddie who displayed all that brilliance. Not me. CONTINUED:
M	VERN'S VOICE	Yeah?
F	EDDIE	Vern! It's Eddie.
M	VERN'S VOICE	Bad time, okay--?
F	EDDIE	Vern -- last night 90 pages just wrote themselves! I totally chucked the novel I pitched them --I suddenly SAW, Vern, how this whole societal economic class struggle -- and its solution -- didn't have to be futuristic or fictional -- it was actually ACHIEVABLE here, in our lifetime -- and I could just lay it out, like, like a manifesto, or something, like Mein Kampf except not by a crazy racist fuck! Okay, I won't talk any more about this if you let me in.
M	VERN	Well, that was fast.
F	EDDIE	WHAT HAP-
M	VERN	Don't ask.
M	VERN (CONT'D)	So, Eddie. I guess you're interested after all. CONTINUED:
F	EDDIE	Yeah. That stuff's amazing.
M	VERNON	It works better if you're already smart.
F	EDDIE	VERN-
M	VERN	You don't want to know.
F	EDDIE	What's... um... what's it called?
M	VERN	It doesn't have a street name yet, because it doesn't have a street profile. And that's the way we want it to stay. The boys in the kitchen are calling it MDT-48.
F	EDDIE	"The boys in the kitchen...?" Vern, that doesn't sound FDA approved.
M	VERN	"FDA-approved," that's a laugh. Did you really believe that shit?
M	EDDIE (V.0.)	Okay, so what did we have here? Some unknown, untested, possibly dangerous drug scammed out of some unidentified lab somewhere, given to me by a highly unreliable guy I hadn't seen in years.
M	VERN	So you want some more of it?
F	EDDIE	Yes. Definitely.
M	VERN	We'll talk about it. But first maybe you can do me a little favor.
F	EDDIE	Uh... sure.
M	VERN	You can see, I'm in no shape to go out right now. Will you hop down to the dry cleaners and get my suit? And maybe pick me up a little breakfast...?
M	EDDIE (V.0.)	It was amazing how quickly it all slotted back into place...
M	EDDIE (V.0.)	..the dealer-client dynamic......
M	EDDIE (V.0.)	...the easy sacrificing of dignity for the guaranteed return of a dime bag, or a gram, or in this case a little pill that was going to cost me a month's rent.
F	EDDIE	Yes... I... I need to report a murder. Eddie. Morgan. --Edward J. I won't.
M	EDDIE (V.0.) (CONT'D)	It took them forever. And the longer I sat there, the clearer I saw... Vern had known whoever had done this. He'd opened the door.
