M	CHARACTER	DIALOGUE
M	EARL	I'm thinkin', when Not-Guilty- Two gets to four thousand miles, that's two cars ready, that's enough to start the airport runs... You gettin' any of this, Mr. Haller? Not this morning. Mick watches the rain without seeing it.
M	MICK	Just keep your speed up, Earl. Earl kicks it, passes cars... Mick takes a FILE from a stack beside him. Also laptop, cell- THE PEOPLE OF THE STATE OF CALIFORNIA v. LOUIS ROULET.
M	MICK	Earl-- buds. A command. Earl puts in earbuds, Rap cuts out. Into cell--
M	MICK (CONT'D)	This is Haller.
M	MAN'S VOICE OVER CELL	Where are you this morning? This time Mick's in a mussed suit, surrounded by newspapers,
M	MICK	On my way to Lancaster for a calendar call. Why, have you got something?
M	MAN'S VOICE (VAL)	I got a franchise player is what. Reaction Mick: He's heard it before...
M	VAL'S VOICE	I mean it, this guy could be money. But he goes before the judge at eleven.
M	MICK	Van Nuys by eleven could be hard--
M	VAL'S VOICE	But this client, listen Mick, his mother's lawyer just waltzed in
M	MICK	He's already got a lawyer?--
M	VAL'S VOICE	Strictly real-estate, doesn't know his ass about criminal. Will you listen?
M	VAL'S VOICE	Guy waltzes in, ready to put up the family's beach house in Malibu against the million in bail...
M	MICK	A million? What'd they book him on?
M	VAL'S VOICE	He picked up a girl last night-- Whatever went down she ended up pretty bad. Cops want Aggravated Assault with G.B.I.--
M	MICK	Has the D.A. filed yet?
M	VAL'S VOICE	No. See? I'm giving you ground floor. So make it work for me, Mick. Don't let him use the house, get him to go for my bond-- Meanwhile the Lincoln's approaching the Lancaster courthouse,
M	MICK	Bring me around to the employee's gate, I'll talk my way in. I'm at the courthouse. Give me the name.
M	VAL'S VOICE	That would be Louis Roulet... R-O-U-L-E-T, like the wheel.
M	MICK	That's not how you spell the wheel but I got it, thanks.
M	VAL'S VOICE	Remember: I steered him to you.
M	MICK	You're on my Christmas list, Val. Lincoln swings abruptly to a steel gate. "EMPLOYEES."
M	MICK	Harold. Hard Case. Don't hide from your lawyer, Harold, you know what I want to talk about. Caught, Harold slouches towards him.
M	MICK (CONT'D)	Listen. when the judge comes in he's going to want to know if we're ready for trial...
M	HAROLD	We are.
M	MICK	We're not and you know why not. You haven't paid me. Rule one, remember Rule one, Harold? I get paid or I don't work.
M	HAROLD	Don't worry, I have your money...
M	MICK	Right, you have my money, I don't.
M	HAROLD	It's coming. I talked to my boys.
M	MICK	Harold-- I looked at the list of people I trust, and you know what? You're not on it.
M	HAROLD	The law says you can't just quit. The Judge won't let you. I looked it up. Mick's about to react to this jailhouse lawyering-- when a
M	MICK	Pay close attention, Harold. Goes to his seat...
M	MICK	Mickey Haller for the defense, your honor. If I may, I'd like to carry this over.
M	JUDGE ORTON	Do you have a reason, Mr. Haller?
M	MICK	I'm having trouble locating a witness, your honor. An indispensable witness. A Mr. Green. With emphasis. A look goes between the Judge and Mick.
M	JUDGE ORTON	How much time do you need? Would a week be enough?
M	MICK	I hope so, your honor. As your honor knows, Mr. Green can be hard to track down. A look of understanding. Judge nods--
M	JUDGE ORTON	I'm holding this over pending notification from counsel... Then gavels down, for the next case-- As Casey's led off,
M	HAROLD	That was bullshit, askin' for a delay-- I know what that was about.
M	MICK	And so does Judge Powell. He spent a lot of years as a defense lawyer, so he knows all about having to chase "Mr. Green," and he doesn't look kindly on defendants who don't pay their attorneys. Now do you get it, Harold? Casey won't look him in the eye-- RAP MUSIC IN AGAIN, TUPAC'S
M	MICK	This is Haller.
