M	CHARACTER	DIALOGUE
M	BRENNAMAN V/O	... nobody on, two and two to Saenz - who none of them hits - as he settles back in
M	BRENNAMAN V/O	- Rivera looks in for the sign, he has it, the pitch, Saenz swings and -
M	STEVE LYONS V/O	- a ground out to second, Thom, is not what the A's were looking for from Saenz - down by two in the ninth -
M	BRENNAMAN V/O	Eric Byrnes has emerged from the dugout to bat for Menechino -
M	BRENNAMAN V/O	- the A's are down to their last strike and this Yankee crowd is on its feet - Rivera squints for the sign, he has it, delivers and - Again, at the crucial moment, he cuts the radio. Waits
M	BRENNAMAN V/O	It is bedlam in New York. The Yankees - down two games to none - have come back to win three, and the Division Series.
M	STEVE LYONS V/O	This is an exceptional feat not only for New York, Thom, but for Oakland - though not the kind you can be proud of: Only once before has a team lost a Division Series after winning the first two games -
F	BILLY	It's okay, Joe, you can leave it on. It's no big deal.
M	SECURITY GUARD	No, it's okay, I don't need to watch it.
F	BILLY	How's Meg?
M	SECURITY GUARD	She's good, thanks.
F	BILLY	And the boys?
M	SECURITY GUARD	They're good. Everybody's good.
F	BILLY	That's good. The security guard waits for the baseball to sail through
F	BILLY	Night.
M	SECURITY GUARD	Night, Billy. It was a great season.
M	TARA V/O	They had three times your payroll, Billy.
F	BILLY	Yeah...
M	TARA V/O	You're not watching them celebrate, right? Car's off. Billy sits in the dark on his phone.
F	BILLY	No. That would be, uh--
M	TARA V/O	Pointless? Self-destructive? Masochistic?
F	BILLY	Are you asking me to pick one?
M	TARA V/O	What you should be doing is thinking about what an amazing job you did and how great you are.
F	BILLY	I'll be honest, right this minute I'm not thinking about either of those things. You take a team with that payroll to the playoffs? You take the Yankees to a fifth game? I'm not even sure the better team won.
F	BILLY	They were down two-love and then beat us three in a row. Trust me, the better team won.
M	CALLER V/O	--while embarrassing the entire city and making a mockery of their fans. I'm sick of this.
M	TARA V/O	Let's go away.
F	BILLY	That sounds good.
M	TARA V/O	Someplace they don't have a baseball team.
F	BILLY	How about Oakland?
M	TARA V/O	Okay, here are the rules for tonight. You can do anything you want but you can't give any quotes to the press, go on the internet or hurt my car, we have a deal? Yeah.
M	TARA V/O	They had three times your payroll, Billy. From the radio we've been hearing shards of "--an
F	BILLY	Yeah.
M	TARA V/O	How about Hawaii? I'll make a reservation someplace. The place with the turtles. Great. I'm on my way.
F	BILLY	Is it Boston? You're talking to Boston? What are they offering? What does it matter to you?
F	BILLY	What?! I mean -- what does it matter since whatever it is you can't afford it.
F	BILLY	You don't know that.
M	BORAS V/O	I don't? You need to hurry.
F	BILLY	I don't know that -- since I don't know what they're offering. What did she say?
M	TARA	She said we had to hurry up.
F	BILLY	Scott? Scott?
F	BILLY	What did they offer?
M	BORAS V/O	They offered seven and a quarter.
F	BILLY	Just to be clear -- they offered seven and a quarter.
M	BORAS V/O	Yes. As opposed to you said seven and a quarter and they're thinking about it. No, they offered seven and a quarter and I'm thinking about it. And you're thinking -- what.
F	BILLY	I'm thinking I don't want to lose Damon, but I don't pay my whole infield seven million dollars.
M	TARA	We're losing Damon?
M	BORAS V/O	For seven and a half, Billy, you can keep Johnny Damon and we can be done thinking. I have to go, my plane is boarding. Wait, don't hang up. Don't hang up --
M	TSA OFFICER 1	Is that phone still on?
F	BILLY	What's the difference?
M	TSA OFFICER 1	Faradie. Can his phone be on?
M	TSA OFFICER 2	Sir, you need to turn your phone off.
F	BILLY	It's already through. Billy grabs his phone from the other side.
F	BILLY	Seven point five?
M	BORAS V/O	Seven point five.
F	BILLY	I'll talk to Steve. BORAS V/O Talk to Steve.
M	TARA	Try to relax.
F	BILLY	A small emergency is starting to develop.
M	TARA	Try. Try to relax.
F	BILLY	You look fantastic today. Hello?
F	BILLY	Arn. Billy. We gotta talk about Giambi.
M	TARA	Wait, we're losing Giambi, too?
M	ARN V/O	I can't talk about that now. I can't talk about anything now.
F	BILLY	We can talk now. We're talking now.
M	ARN V/O	We can't talk now. I'm at a family thing. I'll call you Monday.
F	BILLY	Who are you talking to -- the Yankees?
M	ARN V/O	I'm talking to everybody. But not today. I'm not in today. I'm hanging up.
F	BILLY	Don't hang up. He hung up.
M	TARA	You found Giambi. Billy dials another number --
M	TARA	A thousand dollars says you don't get on the plane.
M	SECRETARY V/O	Arn Tellem's office.
F	BILLY	Denise. Billy. These guys are auctioning off my team one player at a time. He's not in today, Billy.
F	BILLY	I know, I just want to send him flowers.
M	SECRETARY V/O	Flowers?
M	TARA	Flowers?
F	BILLY	Where would I send them?
M	SECRETARY V/O	To who? To Arn.
M	SECRETARY V/O	You want to send him flowers? You're not going to be anywhere near Hawaii.
F	BILLY	To where he is now, yes.
M	SECRETARY V/O	Beth Israel Temple, Beverly Hills.
M	TARA	The airport is as close as you got. Thank you, Tara.
M	SECRETARY V/O	Denise.
M	TARA	I'm Tara. I know. I need a day. TARA One day. I'll fly out tomorrow.
M	TARA	It's gonna be more than one day. We're losing Isringhausen too?
F	BILLY	Only if my luck stays exactly the same.
M	TARA	It's like the bell rang but you're still getting hit in the head. Just in case.
F	BILLY	I'm sorry. Have fun out there.
M	TARA	I'm picking up a guy at the breakfast buffet.
F	BILLY	A left-handed reliever if you can.
F	BILLY	How much longer you think?
M	GUEST	What?
F	BILLY	Nah, it's okay.
F	BILLY	Arn, I don't wanna lose him.
F	BILLY	I don't wanna lose him.
M	ARN	This is my nephew's Bar Mitzvah.
F	BILLY	He did well with his Torah portion I thought.
M	ARN	Thank you.
F	BILLY	What did they offer?
M	ARN	He's not staying in Oakland, Billy.
F	BILLY	What did the Yankees offer him?
M	ARN	It's New York; you've got to give a player a reason not to play there.
F	BILLY	What did they offer?
M	ARN	17 million.
F	BILLY	No way.
M	ARN	Yeah.
F	BILLY	I don't pay my whole infield 17 million dollars.
M	ARN	I know, I know...
F	BILLY	For how long?
M	ARN	17 a year for seven years.
F	BILLY	A hundred and twenty million dollars?
M	ARN	Hundred and nineteen. You gotta get Steve to let you spend some money.
