M	CHARACTER	DIALOGUE
M	COMMENTATOR	"Returning to England are Britain's acting royalty Sir Laurence Olivier and Lady Olivier, better known as stunning Gone With The Wind star Vivien Leigh. Sir Laurence has added a new string to his bow with the announcement that he is to direct and star in a screen version of Terence Rattigan's stage play The Sleeping Prince with none other than Hollywood siren Marilyn Monroe. When the world's greatest actor romances the most famous woman alive, we can be sure that sparks will fly. Now, now Lady Olivier, don't worry - any romance is strictly for the camera!" As OLIVIER and VIVIEN smile for the photographers, we - We are a very long way from Hollywood.
M	KENNETH	... and this is one of Carracci's earlier works and one is able to see the emergence of his now famous Baroque style, which is clearly rooted in the tradition of high renaissance and antiquity... COLIN pauses briefly and hurries towards them. Throughout the
M	KENNETH	Colin! Come in. Have you met James and Anna? Two very brilliant pupils. He has the avuncular air of a benign academic, affable and a
M	COLIN	I'm leaving for London now, Pa.
M	KENNETH	Ah, yes. Well, bon chance, dear boy... He puts a friendly arm around COLIN's shoulder and starts to
M	KENNETH	I can always get you a research position at the V&A; when you've grown up a bit and got this film idea out of your system... COLIN's smiles but before he can reply JANE CLARK whirls into
F	JANE	Kenneth, you might have told Cook we were another two for dinner. What is everyone supposed to eat? Cabbage soup? Oh, Colin, darling, there you are...
M	COLIN	I'm off now, Mama.
F	JANE	Off?
M	COLIN	My job interview, remember..? But she is already continuing her journey. COLIN smiles
F	JANE	Can't you stay for dinner? There's nothing to eat but I'm sure the conversation will be charming.
M	COLIN	I don't want to be late in the morning. As COLIN hurries after JANE he is nearly run down by an
F	JANE	I'm sure they won't mind. You'll be a famous film director in no time. I know your father's put in a word.
M	COLIN	I wish he hadn't done that. I can manage on my own. She stops so abruptly he nearly slams into her. JANE looks
F	JANE	I have to watch Jenkins like a hawk. One more of his murderous prunings and we'll lose the tea roses for ever. And she's off again, with COLIN still following. He can't
F	JANE	Now go and have a lovely time, darling. We're always here when you're ready to talk your future. COLIN wants to protest but before he can get the words out
F	JANE	Mullins! Be an angel - find Cook and ask her how many pork chops we need for tonight. Then bring the car round. I must get to the village before the shop shuts... She dashes away after the GARDENER, turning back as an He gets in, puts the car in gear and the Bristol pulls out of
F	VANESSA	You're not in Mr. Perceval's diary.
M	COLIN	Larry told me to come. She pauses dubiously, then reaches for her telephone. We Yes?
F	VANESSA	I have a Mr. Colin Clark here. He says Sir Laurence sent him. She stresses the proper name in disapproval of Colin's Oh, God... not another one of Vivien's pretty boys. VANESSA looks at COLIN with amusement. His smile falters as
M	PERCEVAL	Well, what do you want?
M	COLIN	A job on your Marilyn Monroe film.
M	PERCEVAL	Oh really, what as?
M	COLIN	I want to work on the production side. He smiles with as much charm as he can muster. PERCEVAL
M	PERCEVAL	There are no jobs yet. We don't start shooting for eight weeks.
M	COLIN	May I wait?
M	PERCEVAL	What?
M	COLIN	Until there's a job.
M	PERCEVAL	For eight weeks?
M	COLIN	Something might come up. PERCEVAL is distracted as the telephone rings.
M	PERCEVAL	Terry? Larry wondered how the script was coming...
M	PERCEVAL	There are no jobs.
M	COLIN	I'll come back tomorrow morning. Just in case.
M	PERCEVAL	It's a free country. He sounds as though he rather regrets it.
F	VANESSA	Are you going to sit there all day?
M	COLIN	If I have to.
F	VANESSA	You're very determined.
M	COLIN	I'd do anything to be in the film business.
F	VANESSA	Anything?
F	VANESSA	You can start by making me a cup of tea. White, two sugars.
F	VANESSA	You can answer the telephone while I'm at lunch, if you like. She winks. COLIN grins. The phone rings. He picks it up.
M	COLIN	Laurence Olivier Productions... Is Sir Laurence there?
M	COLIN	He's at Notley until the end of the week. Can I take a message? I'll call back. No sooner has COLIN hung up than PERCEVAL appears. He
M	COLIN	Vanessa asked me to...
M	PERCEVAL	Oh, did she? Why didn't you put that call through?
M	COLIN	There didn't seem any need to bother you. But if you want me to transfer every single one... PERCEVAL looks at him grudgingly.
M	PERCEVAL	Use your judgement. He hesitates and looks back.
M	PERCEVAL (CONT'D)	I need a number for Noel Coward. It won't be in the book, so you'll have to track him down. COLIN realises this is a test. He thinks quickly. Hello, Mama.
F	JANE	Colin, darling! How are you getting on? This is urgent. I need Noel Coward's London number. My life depends on it.
F	JANE	How exciting. Let me see... it's Sloane 2965. Ask him if he's coming to Saltwood for the bank holiday.
M	COLIN	I will. Mama, you're an angel.
M	PERCEVAL	That was quick.
M	COLIN	I had a bit of luck. PERCEVAL looks at him shrewdly.
M	PERCEVAL	Am I supposed to be impressed? Did Mummy and Daddy help? Don't think they can do the job for you. The only way you'll get on in this business is through bloody hard work.
M	COLIN	Yes, sir. COLIN leaves. He looks up in surprise as the door bursts open and SIR
M	OLIVIER	Do you know, Hughie, it is simply impossible to get Marilyn Monroe on the telephone? The darling girl spends the entire day asleep. But great beauty has its way... He laughs, but then notices VIVIEN's less than enthusiastic
M	OLIVIER (CONT'D)	Hello, boy... remind me? He smiles vaguely and glances at VIVIEN for help.
F	VIVIEN	You remember Colin, darling. You met him at the Clarks' party. Of course. What are you doing here?
M	COLIN	You said there might be a job on your film. OLIVIER has no recollection of this and fumbles in his
M	OLIVIER	Have a cigarette. Keep the pack. He turns quickly to PERCEVAL. There won't be any film unless Miss Monroe gets her splendid posterior out of bed.
M	PERCEVAL	The House Committee are threatening to withhold Miller's passport. They say he's a communist. No Arthur, no Marilyn.
M	OLIVIER	I'll have a word with the American ambassador. I'm taking him to see Vivien in South Sea Bubble on Thursday... now, tell me, Hughie, are Terry's rewrites in? He puts an arm around PERCEVAL's shoulders and they
F	VIVIEN	They named them after Larry. The first actor since Du Maurier to have his own brand and they pay him an absolute fortune. (Pause) I'm afraid they're rather ghastly. She cups Colin's cheeks with her hands and studies him in
M	VIVIEN (CONT'D)	Isn't he gorgeous, Vanessa?
F	VANESSA	I suppose he's all right. VIVIEN's eyes sparkle. OLIVIER emerges from the office with a Let's elope together and have the most glorious affair. (Arch) Oh, but then, who'd look after my poor Larry? Olivier glances over with a faint look of exasperation.
M	VIVIEN (CONT'D)	Now, darling, you must do something for Colin. You absolutely promised. OLIVIER looks hunted. There is no way out. He glances back
M	OLIVIER	Let's try to find him something to do, Hughie. COLIN grins in triumph. VIVIEN smiles at him.
F	VIVIEN	You will take care of my precious Larrykins, won't you? She flirtatiously offers up her cheek for COLIN to kiss.
M	PERCEVAL	Arthur Jacobs, Miss Monroe's publicist is flying in tomorrow. He wants to see the house she'll be staying in. Find something suitable. COLIN knocks and walks into Perceval's office, carrying a Framed in the light of the projector are PERCEVAL and the He looks up at the screen. The two men are watching make-up, It is an intimate glimpse of her at work. Colin watches, Larry says he particularly likes this dress. She looks radiant.
M	CARDIFF	Exactly - we need to tone her down a bit.
M	PERCEVAL	How the hell do you tone down Marilyn Monroe?! COLIN laughs. He immediately regrets it. Both men turn to
M	PERCEVAL	Marilyn Monroe's publicist is flying in tomorrow. He wants to see the house she'll be staying in. Find something suitable. COLIN nods eagerly, anxious to get out. He is already at the
M	PERCEVAL	And leave the bloody tea. COLIN had forgotten the tray. He blushes furiously, puts it
M	COTES-PREEDY	Out of the question. I can't have a lot of awful film people tramping through the house in dirty boots.
M	COLIN	We'd pay a hundred pounds per week for 18 weeks.
M	COTES-PREEDY	My wife would never agree.
M	COLIN	That's a pity. I'll have to tell Miss Monroe to look elsewhere, then. COTES-PREEDY double takes.
M	COTES-PREEDY	Marilyn Monroe? She's making a film with Sir Laurence Olivier. The Sleeping Prince. From the play by Terence Rattigan.
M	COTES-PREEDY	I saw it in the West End a couple of years ago. Vivien Leigh was marvellous.
M	COLIN	It's Marilyn Monroe in the film. COTES-PREEDY smiles transparently.
M	COTES-PREEDY	I suppose I'd have to be introduced..?
M	COLIN	Good morning, Mr. Jacobs. I hope you had a pleasant flight.
M	JACOBS	Where's the fucking car?
M	JACOBS	Jeez, do you Brits actually read this stuff? He winds down his window and simply throws the whole lot COLIN gapes in astonishment. Welcome to Hollywood.
M	JACOBS	What is this place? A brothel? COTES-PREEDY's face falls.
M	COTES-PREEDY	It's one of the best houses in the area.
M	JACOBS	Jesus. And I thought you Brits had taste.
M	JACOBS (CONT'D)	Is this the best you can do?
M	COLIN	It's very near Pinewood.
M	JACOBS	But ditch the wallpaper. It's given me a migraine.
M	OLIVIER	News travels fast.
M	JACOBS	That house was perfect for Marilyn.
M	PERCEVAL	We can't use it now.
M	COLIN	Yes we can. I knew Cotes-Preedy wouldn't be able to keep this quiet. They stare to him in surprise. He looks at them boldly.
M	COLIN	When you asked me to find a house for Miss Monroe I took the precaution of finding two. The other one, Parkside, is much better and the owner is very discreet.
M	PERCEVAL	But now we have two expensive houses when we only wanted one.
M	COLIN	I thought someone else on the production might want it.
M	PERCEVAL	Oh, did you? There is a dangerous moment when things could go either
M	JACOBS	I guess Milton could use it. It's near the studio, near Marilyn. OLIVIER looks at COLIN, then bursts out laughing.
M	OLIVIER	What are we paying you, boy? He glances at COLIN with amusement.
M	COLIN	Nothing... See to it, Hughie! PERCEVAL sighs grimly.
M	COLIN	Colin Clark. Sir Laurence Olivier Productions.
M	PERCEVAL	The set decorators will have it all sorted out in no time.
M	JACOBS	Marilyn hates red. And blue. (Pause) And green.
M	PERCEVAL	What about white?
M	JACOBS	I'd have to clear it with her. OLIVIER glances mischievously at Colin.
M	OLIVIER	Beige, then. Beige is rarely controversial. JACOBS considers this, unaware that Olivier is teasing him.
M	JACOBS	I guess that's okay. She's never said nothing about beige. Paula will need the room next door.
M	COLIN	Paula?
M	JACOBS	Strasberg. Marilyn's acting coach. OLIVIER looks at him darkly. JACOBS shrugs.
M	JACOBS (CONT'D)	She's nuts about the Method.
M	OLIVIER	Stanislavski and the Method are perfectly fine in the rehearsal room but they don't belong on a film set. Time is too tight. I'm sure Marilyn understands. He turns and walks away. JACOBS frowns uncertainly.
M	JACOBS	Who the hell is this Commie Stan Slavski?
M	ORTON	I don't know why Hugh Perceval sent you here. There's nothing I can do for you.
M	COLIN	Why not?
M	ORTON	Are you in the union?
M	COLIN	No...
M	ORTON	Then you can't have a job on the film.
M	COLIN	How do I get in the union?
M	ORTON	By getting a job on the film.
M	COLIN	But you just said I couldn't have a job on the film unless I was in the union.
M	ORTON	Exactly. It's called a closed shop. COLIN looks at him helplessly. ORTON relents a little.
M	ORTON (CONT'D)	I suppose I might be able to sort something out. The Union owes me a few favours. We haven't got a third yet.
M	COLIN	A third?
M	ORTON	You do know what the job is?
M	COLIN	Assisting the director?
M	ORTON	Christ, no! That's the last thing you do. Lesson One. The third's job is to do whatever the fuck I tell him. ORTON walks to the door, then looks back. What are you waiting for? COLIN scrambles to follow him out.
M	ORTON	Colin! COLIN jumps as ORTON glowers at him.
M	ORTON (CONT'D)	Lesson Two. You don't shit on your own doorstep. Got it?
M	COLIN	Got it. But he sneaks a look back at LUCY as he goes.
M	ORTON	Where are you staying?
M	COLIN	My father's place in the Albany.
