M	CHARACTER	DIALOGUE
F	EMMA	I don't know.
M	ADAM	What about "Comrades-in-Fuck"?.
F	EMMA	No.
M	ADAM	What if we say we're in the Axis of Fuck? we formed a Fuck Alliance. We're neighbors 'on.. Fuck Street.
F	EMMA	What's wrong with "buddies'?
M	ADAM	Who says "buddies"?
F	EMMA	Yeah, you're right.
M	BOY	It tickles. Yeah. It does other stuff. But there's a boy on the, edge of the group : A sweet. face, 'and
M	ADAM	Hey. -
F	EMMA	Hey. A 'long' pause'. -They're not looking at each other. Then
M	ADAM	Do you want to, freak?
M	ADAM	You freak, good.
F	EMMA	Okay.
M	ADAM	"No, I don't want no scrubs"--
F	EMMA	I don't get it.'
M	ADAM	Urn. She doesn't want a -scrub; Because he's hanging out of his. best friend's ride, trying to -holler at her. Katie, in another part of the dance floor, is in the middle
M	CAMP RULES!	Emma scowls at her, looks at Adam.
F	EMMA	Let's go to the dumpster- We're not even going out. But I feel like I've known you.my whole life. So.
M	ADAM	I've enjoyed camp. There's all kinds of fun activities. For example, I learned how to-archer.
F	EMMA	That's good. That'll be useful if you ever make a time machine and go back'to the medieval ages:-and then your-time machine breaks, and you get attacked by knights.
M	ADAM	You're funny. It's weird. 'FR+fAï¿½1A My life's pretty.fucked ug'.
M	ADAM	My parents are gettinga divorce..' That's why I had-to go--to carp. SO. The couple making out next to them rolls over.really close.
F	EMMA	Marriage sucks my ' butt .
M	ADAM	Yeah. it sucks it. It sucks it. all 'ni-ight.
M	EE+MA	People aren't meant to be together forever. .'
M	ADAM	I just want to find a girl Who's really nice. And she likes to eat hummus. Suddenly, another CAPPER comes up.'
M	CAMPER	Are. you guys gonna make out?..
F	EMMA	We just got here. Well people are waiting. WIDEN TO REVEAL a line of awkwardly coupled Campers waiting =
M	EMM.A	Do you want to- Adam leans in and kisses her. with tongue . ' They're both pretty .
M	ADAM	I like frenching with you.
F	EMMA	Okay. Adam starts crying, trying to hide it.
M	EMMA'(CONT'D)..	Are you crying?
M	ADAM	Pretty much.'
F	EMMA	Why are-you crying?
M	ADA	Because- because camp'-s almost over-
F	EMMA	Jesus.. Exwaa pats him a'couple times on the shoulder.
M	EMMA (CONT'D)	Look. I'm not really an affectionate person. Emu a, very uncomfortable, puts her-arm around him. He lets
M	ADAM	Can I finger you?
M	. EMMA	Na.
M	ADAM	Okay. Just like the first scene; A. group of guys are.staring at a The-hot blonde, KATIE 11, is wearing her sexy-little "I'm sorry Miss Jackson,.I'AM FOR She's dancing with a -hot athletic guy,, SCOTTIE', ..who is trying At the edge-of the'group, two guys that don't look,that great
M	ELI	I'd like to give her a Roman Face Mask.
M	ADAM	iï¿½lhat?
M	.ELI.	It's where your balls are hanging over her eyes and your-dick is hanging over her nose. In-the manner 'of- a mask. .
F	VANESSA	Uggh. I'm gonna go get more beer. - Okay. I want to get'y"ou.wasted" tonight.
F	VANESSA	I'm just getting a beer. Vanessa walks away.
M	ELI '	She's not gonna let-you put it in.
M	ADAM	And that'.s totally -fine with me.
M	SH	e thinks sex is more fun when you re -in love. Eli stares at him, disbelieving. -
M	ADAM (CONT'D)	- 1 don t know.,She"s from :Canada. They don't have guns.. Their computers are run 'by tiny mice.
M	ELI	okay, well I'm from the United States, and I want to give that girl a penis mask.
M	ADAM	Why? That's not even hot.
M	ELI	Um. Yeah it is.
M	ADAM	You think it's hot to just sit there with your penis.on her face? You don't? Scottie looks over and smiles at the guys.. One of his nipple
M	ELI (CONT'D)	Look. Scottie's got a gay nipple.
M	ADAM	What do you mean?
M	ELI	Look at it.
M	ADAM	Oh yeah. That nipple is definitely more gay.= You can tell by the way it wants to get legally married to' the other nipple.
M	ELI	.,My dads are gay. I'm not ashamed of
M	I LOVE MY GAY DADS!	.Some people around him cheer.. Some Frat Boys look over,
M	ADAM	Whoa . I know that, girl.
M	ELI	She's got bat.eyes.
M	ADAM	What?
M	ELI	She's got angry bat eyes. Like staring at you from the dark. Its. pretty hot . I'd fuck.a bat. A bat in a cave. A hot bat in a cave. Adam starts to walk -over to her.
M	ELI (CONT'D)	You know who else-is hot? Your girlfriend.
M	ADAM	Hi, T-
F	EMMA	Hello Adam Kurtzman,. of Camp Weehawken: I'm Emma. I held you while you cried.,
M	ADAM	Emma. Whoa. Yeah. Whoa. I was totally in love with you.
M	ELM	You were?
M	ADAM	No. Hi. ,You:'re here. This is crazy. Do you go here?
F	EMMA	No, I grew,up 20 minutes away. Ypsilanti,.Midhigan. The land of my birth. 'l go to MIT.
M	ADAM	Wow. So grew up-to-be a lot smarter than nip.
F	EMMA	Uh-huh. 'It's scary actually, how smart I am. Sometimes my neck gets sore because my:brain is so.big.
M	ADAM	My neck gets sore. when I-eat string, cheese. Sometimes.. so what are you' doing Here? -At a party of Frat.
F	EMMA	I'm trying,to get someone to rufee me'. I keep holding out my cup..
M	ADAM	I'll rufee.you. I was gonna save it for a Freshman but whatever- I'll take you out to.the alley,. I'll light some candles- Some girls near by give Adam a dirty look and walk away.
F	EMMA	So. Times have changed. We've grown up. Do you have -a girlfriend?
M	ADAM	NO. Yes. Over there. Vanessa. Is her name. ANGLE ON- Vanessa, by the beer, talking to a bunch of other
F	EMMA	Oh. The-fat one?
M	ADAM	What?
F	EMMA	Look at that McDonald's face.
M	ADAM	She''s not fat.
F	EMMA	Why won't she sleep, with .you?
M	ADAM	What? We. sleep together. All night.
F	EMMA	Come on. it's obvious. Look how tense your shoulders are. I'd need a flashlight to find: your-balls.
M	ADAM	Whoa.
F	EMMA	I'm Pre MEd, I'm really comfortable., with talking about the human body, and male genitalia in piarticular. S could fill, a book with' a.11 the dicks -and balls' I've seen.'I'd call that book.. "Disks -and Balls".. Or "Dicks, Balls, and .Dogs" and'i'd ptit -pictures of dogs in it too. I- don't know, I'm weird, deal with it. So why won't she sleep with you? We're waiting till we're ready. What do you need to be ready for? The rest of your life? It's just' sex, Adam. It's not a marathon.'You don't have-to train.
M	ADAM	Oh yeah. I guess everyone hapsex at - MIT.
F	EMMA	MIT can get crazy Kids are pretty much ready to fuck anything-. They know that based on attractiveness, they're on - the bottom of -the ' - biological food chain, so if the' opportunity comes along for procreation, they better fucking. ridethat shit. What's' up with those boxers?
M	ADAM	What's'up with your.face?
M	. EMMA	I don't get it.,
M	ADAM	It's like, beautiful.
M	ADAM	My girlfriend's not fat-
F	EMMA	Oh- yeah-. she seems great-
M	ADAM	She is great- He rips open her shirt.
M	ADAM (CONT'D)	And I feel really'bad about this. He puts starts kissing her chest. Then starts coughing.
M	ADAM (CONT'D).	Oh. I got too much boob izi .my mouth.
F	EMMA	Aren't they cool? They move around and stuff.
M	ADAM	You didn't have boobs at Camp. Weehawken. Your boobs were still little stars in the sky. I had such a.big crush-on.you, Jesus. Emma starts taking off his pants. Doo-doo-doo. I'll be removing your -pants now. Adam moves away.
M	ADAM	Hey. Hey. Actually. I can't do. this.
F	EMMA	Was the trumpet sound weird?
M	ADAM -	No. I just-I can't cheat on my girlfriend..
F	EMMA	-Oh. Why not?
M	ADAM	Because then I turn into.my dad. And then.my worst fears have been realized. And then that sucks. Where do. you go from there? -Once your worst :fears have been realized. You become Bob. Sagat.. I want to. A lot. 'A lot,-alot. But I can't. , Is that okay?
F	EMMA	Yeah, but I'm keeping your pants.
M	ADAM	Really? '
F	EMMA	No. Here. She gives his pants back.
F	EMMA	Your dad-was on that show?
M	ADAM	Yeah.-That's him.
F	EMMA	I always hated that TV show. T think it first came out when I was. teething, and I've just always associated it' with. pain in my gums.
M	ADAM	So do you do this stuff all the . time? It.'s okay if you 'do, I might. call you a ho but it's okay-
F	EMMA	No. I don't. But I don't have a problem with it.
M	ADAM	What?
F	EMMA	The affairs of the. heart. The fleeting passions of a drunken night.-The wayI .see it we're all just these big dumb.. animals. who, for the most .part; just want to have sex with each other.: So maybe we should stop beating ourselves up for what-we feel and just make sweet bone.
M	ADAM	You make a c ompelling argument .
F	EMMA	And also, it's somewhat improbable, but I like you. Adam beams. Don't smile. Jesus.
M	ADAM	What?
F	EMMA	You want 'to come with me tomorrow? I have to go to-this-'stupid thing.
M	ADAM	Um, I think I... . Yeah. Ii11 go with you. ' What is it?
F	EMMA	Some stupid thing. The people at the funeral are,. on the whole, without style- They are blowing on their hands. Many people are cryin.g.1Emma A bird shits on the coffin. She's the only one to see it. She Adam-and Emma are.-by the food table, loading up.
M	ADAM '	What the fuck, what the fuck, what the fuck?'
F	EMMA	You have cookie on your face.
M	ADAM '	You said "some stupid thing." I thought you were getting your hair cut.
F	EMMA	Oh. No.
M	ADAM	You were burying your father.
F	EMMA	Yes. NEIGHBOR DARIA comes up to-the food table.
M	NEIGHBOR.DARIA.	1 , .'m so sorry Emma. He was such a good man. He was always sibi.ling.
F	EMMA	Yes. That was-probably because he' was wasted.
M	NEIGHBOR. DARIA	Well. I wish you could have been there to say good-bye. But you were at that fancy college, -right?' - Emma looks.-away, we see.for a moment how much pain she's in
M	NEIGHBOR DARIA (CONT'D)	.And who are you? Are you Emma's boyfriend?
M	ADAM	No. ."11.m just-
M	ADAM	I'm.her.baby--daddy. Adam. puts his hand on her stomach. Emma looks up at him, I shot one past the goalie. So. (miming kicking a ball), Score!' I had no idea.
M	ADAM	But the truth is, I don't even know- if it's mine.
M	EM	Of course iÂ±s his. He'.s the only ope I bareback with. Well. Oh my.' Congratulations. Aria' I'm sorry for your loss.
F	EMMA	Yeah, thank you for being sorry for me. Have a nice day. Neighbor Dana walks away. Emma looks at Adam, smiles. I wish:I'could take you to a funeral'every day.
M	ADAM	You should try the Chex Mix.It',s. theBold Party Flavor.
F	EMMA	E3ow-do they make it so bold? -A 3-or 4 year old Emma with a pair of - underwear on her 'head. Adam looks out the window out into the backyard.. Emma is
M	SANDRA-	I should've got him to move this pool out of here before-he went back to the hospital. Sandra hands-the bottle to Emma, who takes a swig.
F	EMMA	What? Yod were going to stop him from dying so he could come home, first and lift all the heavy stuff? That would'vejustmade him-want-to die faster. Emma, I should have called you, I. thought he was in remission, and then he. just went so quick-
F	EMMA	It's okay. He was a son of a bitch. She's crying. Enna looks at her.
F	EMMA	Yeah. He was not the greatest.- You should have left.-
F	SANDRA	I loved hint. Why?
F	EMMA	Because you're crazy. Because you thought he'd change. Because you still root for the Tigers.
F	SANDRA	The Tigers are gonna come back.
F	EMMA	-Yes..And maybe leprechauns are real.
M	. SANDRA.	You don't believe in anything hopeless, Emma?
F	EMMA	The Toothfairy. And paying off my student loans.-Are you gonna come back inside-,-Mom? Because it's kind of depressing in there.- It's like. somebody died.
F	SANDRA	Yes. I think I will go back in. -You know what I'm gonna do? I'm gonna get-so drunk I can't walk and then I.'m gonna watch "Bambi" and cry for a couple hours.
M	EMMZ	It's good to have a plan. Sandra watches, drunk and sobbing. Adam is also crying, Look at his little his face- His little deer paws- Emma, sandwiched between them, dry-eyed.
F	EMMA	Id say- we should hook up or something, but I've gotta get back' before Mom watches "Terms of Endearment."
M	ADAM	No- I' get it.
F	EMMA	I'm glad you came.
M	ADAM	is it weird if during most of-your father's funeral,, i. was thinking about' you naked? Ewa smiles and starts the car. So should 1.1Â±k6 call you or- Adam, you're wonderful, I hope I never see you 'again.
M	EMMA (CONT'D)	Have fun with McDonald's Face. As.she drives away:-
M	ADM	She works out all the time. All the tine. A brightly- lit living room. A spunky 30-something woman
M	'WIFE	Honey, why did I. find a broken blender in my.herb garden?
M	HUSBAND	I don't know what you're growing
M	OUT THEREL	A roar of laughter. WIDEN TO REVEAL- We're on the set. of a Sit-Com inside .a sound Standing next to the bleachers filled with audience are Further off to the side, A CHILD-ACTOR sits in a 'canvas
M	CHILD ACTOR	Can'you get me a no whip .skim latte?
M	ADAM	Yes. I may.
M	CHILD ACTOR	You're... so... awesome.-
M	ADAM	Oh wow, thank ..you. Yeah. ,That means a lot.. Let's-be best friends forever.
M	ADAM	Dad? is
M	ALVIN (O.S.	O.ut here l Adam walk's 'out to the pool area. It's gorgeous-. A"massive' i .
M	ADAM	Wow, I,. should come over and wash my clothes-on your wasbboarcl. abs .
M	ALVIN	Hit me in the stomach.
M	ADAM	Really? You want me to punch you in the stomach so'you can-show me how ripped you' are but it's going to fucking.hurt my hand?
M	ALVIN	Yeah.
M	ADAM '	Yeah, sounds great. Adam punches him in the stomach.
M	ALVIN	Let's get some ice on that.
M	ALVIN	Hey, it's not what you want to be doing after college, but,you have to start somewhere. I spent the first yearI was out here buying horse tranquilizers for Judy' Garland.'
M	ADAK	I.know-. I've seen the pictures.
M	ALVIN	How's your mom?
M	ADAM	Oh,she's clinically depressed. But it looks like she might start' knitting.So. Alvin lights up the-joint.
M	ALVIN -	Good, good. Are you having sex with anyone?
M	ADAM	In my mind?
M	ALVIN	How long has it been?
M	ADAM	Since Vanessa. 8 months. Alvin offers him the joint.. Adam takes it:
M	ADAM (CONT'D)	But I've been masturbating like my hands-axe made of Vasoline and someone just took my paints. So. Things'are looking up. It's.good to- see you Dad. Adam sucks on the joint.
M	ALVIN	Okay. Here's the deal. I'm dating Vanessa. Adam stares., shocked, holding the pot 'smoke''ixi: his 'lungs.
M	ADAM	owl-owl OW! OW!
M	ALVIN	I ran into her again at a'party. We just started talking. About you actually. Hey.kiddo. Kiddo? Adam says nothing, does. nothing.,
M	ALVIN (CONT'D)	I know you guys went out for a
M	ADAM	Four years.
