M	CHARACTER	DIALOGUE
M	FEMALE DJ (O.S.)	Let's go! Where all my sexy Sagittarian ladies at?
M	FEMALE DJ (O.S.)	Oh my God!
F	LAURA	Where your singles at?!! Where your singles at?!! Yeah, baby!
M	FEMALE DJ	Goddamn I love my job! Alike pulls free just as the dancer takes notice and begins
F	ALIKE	Stop! Chill!!
F	LAURA	Whatchu' come here for?!
F	ALIKE	Excuse me. Sorry. Excuse me. Oof, sorry ladies.
M	ALIKE (CONT'D)	Shit!
M	FEMALE DJ	Let's go!
F	ALIKE	Hi. Umm... Hey! How are you?!
M	CUTE GIRL	What?!
F	ALIKE	Umm...sorry. I was just sayin' Umm...hi.
M	CUTE GIRL	Oh.
F	ALIKE	Oh. You wanna drink or something? Hey! Hey! Over here!
M	FEMALE DJ	Give it up for Sin-A-Min ladies!!
F	ALIKE	C'mon, we're late.
F	LAURA	Huh?
F	ALIKE	I gotta go!
F	LAURA	Hold on a minute.
F	ALIKE	C'mon, why you trippin'?
F	LAURA	What?
F	ALIKE	Why are you trippin', you know I gotta go!
F	LAURA	What?
F	ALIKE	You know I gotta go. I'ma get in trouble.
F	LAURA	Lemme dance with shortie first, then I'll be ready.
F	ALIKE	What?
F	LAURA	Stop pulling on my clothes!
F	ALIKE	How many numbers you get? One?
F	LAURA	I could've gotten more, but your moms was holding me up.
F	ALIKE	Oooh. That's jacked up.
F	LAURA	How many you get?
F	ALIKE	Tonya, Denise, Shelley. No wait that's old, I can delete that one. Tonya...
F	LAURA	Ain't Shelley that chick from your math class?! Denise... What? These are your damn study group numbers! Why you frontin'?!
F	ALIKE	I don't see you with no list of numbers.
F	LAURA	I'm not the one looking for a girlfriend, man. You the one still a virgin!
F	ALIKE	Shut up!
F	LAURA	Trying to help your ass. I'm sayin', whatchu waitin' for?!
F	LAURA	Kickin' that same `ol quiet shit since 6th grade. I don't need to press, I gets plenty. Shit.
F	ALIKE	Wah-wah.
F	LAURA	I get more pussy than your daddy, nigga, what?!
F	ALIKE	Oh shit!! Yeah, you got me with that one.
F	LAURA	Quit playing.
F	ALIKE	Your stop.
F	LAURA	Huh?
F	ALIKE	Your stop-- you're getting off here, right?
F	LAURA	Nah, I'll roll with you a few more stops.
F	ALIKE	Why you gon' walk all the way back down for? That's stupid.
F	LAURA	Make sure you get home okay.
F	ALIKE	You ain't big, nigga. Trying to protect somebody. Hurry up, man, get off!
F	LAURA	That's alright man--next stop. Next stop!
F	LAURA	You ain't gotta push me, why're you beastin'?
F	ALIKE	I'm not beastin'.
F	LAURA	You got a problem. Call me.
F	ALIKE	I'ma call you.
F	SHARONDA	You late.
F	ALIKE	Be quiet.
F	SHARONDA	Where you been this late?
F	ALIKE	Movies.
F	SHARONDA	Movie ended at midnight.
F	ALIKE	Shhh. Shut up.
F	SHARONDA	Don't push me.
F	ALIKE	Go to bed.
F	SHARONDA	I know what stays open past midnight.
F	ALIKE	Shut up!
F	SHARONDA	Good night Lee! Lee? Lee?!
F	AUDREY	Nice to know you still live here.
M	AUDREY (CONT'D)	What're you doing home so late, anyway?
F	ALIKE	Lost track of time.
F	AUDREY	You know what time your curfew is. Where were you?
F	ALIKE	Movies.
F	AUDREY	The show ended at midnight. And your curfew is twelve thirty.
F	ALIKE	I lost track of time.
F	AUDREY	At least you were cute. Where'd you get that shirt? `Princess'. I like that.
F	ALIKE	It's old.
F	AUDREY	Compliments your figure. I saw something just like it on sale, maybe we could go shopping--
F	ALIKE	Goodnight.
F	AUDREY	I really don't care for that young lady you run around with anyway.
F	ALIKE	Yeah, okay!
F	AUDREY	And tie your head up.
M	AUDREY(CONT'D)	It's your head. And you really should wash your face, too.
F	ALIKE	I don't have on make-up.
F	AUDREY	Wash your face anyway.
F	ALIKE	Mom. I'm seventeen years old, please don't talk to me like--
F	AUDREY	Watch your tone. Well, it's your skin.
M	AUDREY (O.S.)	Did you brush your teeth?
M	AUDREY (O.S.)	Lee?
M	AUDREY (O.S.)	Lee?
F	ALIKE	Yes, mom.
M	MATH TEACHER	As promised, I will be grading these on a curve.
M	MATH TEACHER (CONT'D)	But the highest grade on the test was a 98.
M	MRS. ALVARADO (O.S.)	Hey there!
F	ALIKE	Hey!
F	MRS. ALVARADO	Whaddja bring me?
F	ALIKE	Nothin' you can eat.
F	MRS. ALVARADO	You shouldn't be eatin' that crap, either.
F	ALIKE	I know.
F	MRS. ALVARADO	Sooo, where's the new stuff?
F	MRS. ALVARADO	Hmmm.
F	ALIKE	Did you see the one in the back?
M	ALIKE (CONT'D)	I'll probably do it in class.
F	ALIKE	So?
F	MRS. ALVARADO	So what? What do you think?
F	MRS. ALVARADO	They're okay.
F	ALIKE	Okay?
F	MRS. ALVARADO	They're lovely. Of course your descriptiveness and use of alliteration is beautiful and all, you know that. But...I don't know. Is it your best? No.
F	ALIKE	I thought it was good.
F	MRS. ALVARADO	It's good. Not great.
F	MRS. ALVARADO	I believe you can go deeper.
F	AUDREY	Oh, so your log is all up to date?
M	CLERK	No I--
F	AUDREY	And you've checked the round for any calls?
M	CLERK	Well I --
F	AUDREY	Do you even know which doctors are on the floor?
M	CLERK	No ma'am I--
F	AUDREY	Then I suggest you get busy.
F	MRS. SINGLETARY	Hey girl! Mind if I sit here?
F	AUDREY	No, not at all. Help yourself.
F	MRS. SINGLETARY	Whatchu got there? You been shopping?
F	AUDREY	Oh, no. Just some yogurt. Some vanilla yogurt.
F	MRS. SINGLETARY	No I meant in the bag. What do you have in the shopping bag--the big red thing?
F	AUDREY	Oh I'm...I don't know where my mind is...Yeah, this is just uh--well let me get your opinion.
F	MRS. SINGLETARY	Oh that's nice.
F	AUDREY	Yeah see isn't this cute?
F	MRS. SINGLETARY	Umm-hmm. That's for your daughter?
F	AUDREY	Yeah, this is for Alike.
F	MRS. SINGLETARY	The youngest one.
F	AUDREY	No she's the oldest one.
F	MRS. SINGLETARY	Oh, the other one. Okay.
F	AUDREY	What, you think it's too young?
F	MRS. SINGLETARY	No, no. For whatever reason the youngest one popped in my mind first. But I think it should be fine. It's really cute.
F	AUDREY	Thank you.
F	MRS. SINGLETARY	It'll compliment her figure.
F	AUDREY	Now see that's what I thought... But Lee doesn't like anything I pick out for her anymore.
F	MRS. SINGLETARY	Girl, please. My oldest, 17 going on 27 mind you, banned me from buying her any more clothes. We have two completely different tastes. I just give her gift cards now and trust me, we're both happier for it. Is it her birthday?
F	AUDREY	No, no. I just wanted to get her something nice. You know.
M	ROWDY CO-WORKER #1	Hey, Brenda!
M	ROWDY CO-WORKER #2 ROWDY CO-WORKER #3	Audrey, you got me a What'chall in here talking
F	AUDREY	Well, no we--
F	MRS. SINGLETARY	None of yo' damn business!!
F	MRS. SINGLETARY	Let me know how it goes.
F	AUDREY	Oh I will. I'll call you when--
M	ROWDY CO-WORKER #3	Hey Bren' this is what I was telling you about!!
F	MRS. SINGLETARY	Is that her?!
M	ROWDY CO-WORKER #3 ROWDY CO-WORKER #2	you! Look how big she done got!
F	SHARONDA	I don't see why we can't just watch TV like usual.
F	SHARONDA	Quit it!
F	ALIKE	Shut up.
F	SHARONDA	You don't tell me what to do!
F	AUDREY	Girls.
M	ARTHUR	I'm expecting a call.
F	AUDREY	This is your father's night off.
M	AUDREY (CONT'D)	So straighten up.
F	SHARONDA	Homecoming got moved this year. It's gonna be in September instead of October.
F	AUDREY	Oh really?
F	SHARONDA	Yeah. Which means I'll be able to go to Autumn Ball and the Homecoming Dance.
F	AUDREY	Who are you going with?
F	SHARONDA	I don't know. Maybe Derek. If he asks me. Maybe Parrish. I haven't decided yet. But for homecoming, I definitely want to go with Craig.
F	AUDREY	Oooh, I see. Lee, who are you going with?
F	ALIKE	Umm. I'm not going.
F	AUDREY	Not going? This is your junior year. How can you not go?
M	ARTHUR	Leave her alone Audrey, if doesn't want to go, she doesn't have to go.
F	AUDREY	But it's her junior year, she's not gonna have any memories.
M	ARTHUR	I don't like all those boys buzzing around my daughters anyway.
F	SHARONDA	Nobody buzzes around Alike.
M	ARTHUR	That's right and it better stay that way. Matter of fact, I don't know if I'ma let you go.
F	SHARONDA	Daaa-aad?!
F	LAURA	How much we paid him last time?
F	CANDACE	Six twenty-five.
F	LAURA	So that makes--we owe another two seventy-five for the rest of the month.
M	LAURA (CONT'D)	Electric?
F	CANDACE	Half.
F	LAURA	Phone?
F	CANDACE	Let it ride.
F	LAURA	Gas?
F	CANDACE	How much?
F	LAURA	Eighty-five.
F	CANDACE	Half. No let it ride.
F	LAURA	I can get some more hours-- No. You know what you need to do.
F	LAURA	Nah Candy, I can't just dip out on you like that--
F	CANDACE	I was doing just fine before you moved in, remember? I can handle it. You working was only supposed to be temporary. Mom would've wanted--
F	LAURA	Who?! Man, don't even--
F	CANDACE	She would've--
F	LAURA	Stop.
M	LAURA (CONT'D)	I'll get the money orders in the morning.
M	LAURA (CONT'D)	I'll look into it alright?
F	CANDACE	The next test is coming up soon! I said I'll look into it!
M	MIKA'S FRIEND	It was like seven of us--Me, Khalil, Misha, Tamara....
M	FAST GIRL #2	Tamara Marks?
M	MIKA'S FRIEND	Heeeell no--Fat Tamara.
F	MIKA	Oh I was about to say, Tamara Marks is a ughh--I can't stand her.
M	MIKA'S FRIEND	Anyway, it was all of us and oh Laura, you know that girl from the restaurant? She was there with one of her friends.
F	MIKA	That gay chick? Ya'll be hanging like that?
M	MIKA'S FRIEND	Yeah, well it's a couple of them. She's mad cool though, so sometime she come out with us every now and then, anyway--
F	MIKA	Man, y'all be doin' it on it weekends, let me find out!
M	FAST GIRL #2	I told your butt to come.
M	MIKA'S FRIEND	But anyway--
F	MIKA	Some of them AG's are kinda cute-- I'm not saying I would, but I would holla.
M	FAST GIRL #2	I don't know about all that.
F	MIKA	Isn't that one of them over there? What's her name? Amika?--Alisha?
M	MIKA'S FRIEND	Alike.
F	MIKA	Yeah, Alike--she's cute too.
M	FAST GIRL #2	Uugh. I don't be looking at them all like that.
F	MIKA	Look, I'm not gay--but if I was gay I might talk to her.
M	MIKA'S FRIEND	She's in the middle anyway.
F	MIKA	Yeah, but if she was just a little more harder--
M	CUTE BOY	`Sup ladies?
M	MIKA FAST GIRL #2	Heeeey. What's up?
M	MIKA'S FRIEND	Oooh--let me find out, Mika. You act like you bi- or something.
F	MIKA	I like girls but I love boys.
M	FAST GIRL #2 FAST GIRL #1	Umm hmm ! I can't tell!
F	LAURA	Watch out, it's slippery.
F	ALIKE	So what do you think?
F	LAURA	I already told you what I think.
F	ALIKE	But you know her, right?
F	LAURA	I said I know of her, I don't know her know her.
F	ALIKE	I'm saying, you know her friend, right? You gonna introduce us?
F	LAURA	Just put those on that stack right there. Yeah, thank you.
F	ALIKE	You listening?
F	LAURA	I'm listening--all I'm saying is-- pass me that milkshake mix right there.
F	LAURA	All I'm saying is that I don't think you should put yourself out there like that. Especially if you don't even know if she likes you like that.
F	ALIKE	She does.
F	LAURA	How do you know she does?
F	ALIKE	I just know she does.
F	LAURA	Hmmph. We'll see.
F	ALIKE	What're you doing?
F	LAURA	I thought I felt a drop of pig shit.
F	ALIKE	Shut up.
F	LAURA	All I know is I been trying to get you to holla at girls in the club for the longest.
F	ALIKE	I don't want to holla at girls in the club.
F	LAURA	Obviously. Why you pressed about this chick?
F	ALIKE	I wanted to ask you about something else too.
F	LAURA	Oh God, what now?
F	ALIKE	I need you to get something for me.
F	LAURA	What?!
F	LAURA	What?!
F	ALIKE	Just for my image.
F	LAURA	WHAAAAAT???!! You trying to strap!!?? Whaaatt?!! Oh my God, what are you going through...
F	ALIKE	Please.
F	LAURA	What difference you think having a bulge in your pants gon' make?
F	ALIKE	Pleeeeease. By next Friday. Next Friday?! Okay-- Whatever. Oh my God I can't believe you ! Alright. Yeah. She better be cute for all of this...
F	LAURA	I think it looks natural.
F	LAURA	I'm serious, I mean it doesn't look that bad.
F	ALIKE	I can't believe you.
F	LAURA	What?!
F	ALIKE	Laura, this doesn't look right. I'ma look stupid.
F	LAURA	Well, first of all-- I don't think its supposed to be on top of your underwear like that.
F	ALIKE	I'm not putting this thing next to my skin, it pinches already. It's supposed to fit like that.
F	ALIKE	They didn't have any brown?
F	LAURA	I didn't have time for all of that. The brown ones were too big, anyway.
F	ALIKE	Ugh! You gotta take it back.
F	LAURA	I can't take it back.
F	ALIKE	Here's the receipt!
F	LAURA	Unh-unh. I'm not going back in there. One time was embarrassing enough.
F	ALIKE	You grown!
F	LAURA	Still what if somebody would see me in there? I'm not going back, that's it.
F	ALIKE	Then where's my change?
F	SHARONDA	Lee, where'd you put my make-up case...AHHH I'M GON' TELL. OOH LEE, I'MA TELL DADDY!
F	SHARONDA	Eeew get that thing, off a me! Get it off me it's nasty! I'm tellin'!
F	LAURA	Shhh!!
F	ALIKE	Shut up!!! Thought you locked the door?!
F	SHARONDA	Eeew. Get it offa me!
F	LAURA	I did!
F	ALIKE	OK, look I'm offa you. Just be quiet and calm down.
F	SHARONDA	I'm tellin' that you got that thing.
F	LAURA	You can't tell.
F	SHARONDA	I'm telling.
F	ALIKE	Shut up.
F	SHARONDA	It looks nasty.
F	ALIKE	See, I told you so.
F	SHARONDA	Where's my make up case? I know you got it.
F	ALIKE	I just borrowed it.
F	SHARONDA	Give it back.
F	ALIKE	Promise you won't tell.
F	SHARONDA	Give it back.
F	SHARONDA	LEE, STOP IT EEEW!!! I just got that one.
F	LAURA	Shhh!!
F	SHARONDA	Don't touch it with that... eeww that's so nasty. C'mon Lee give it back.
F	LAURA	Then promise you won't tell.
F	ALIKE	Promise...
F	SHARONDA	Ughh, I hate you.
F	SHARONDA	OK, OK I won't tell. Daag!
F	SHARONDA	I'm still tellin'
F	AUDREY	Tellin' what?
M	ALIKE SHARONDA	She took my makeup again.
F	AUDREY	Lee... Oh. Hello Laura, I didn't see you standing there.
F	LAURA	Hi Mrs. Freeman.
F	AUDREY	How's your mother?
F	LAURA	I haven't spoken to her in awhile. She's fine.
F	AUDREY	Well I hope so. And I'm so glad to hear your sisters finally getting back on her feet. Wasn't she--
F	LAURA	She's good.
F	ALIKE	Mom?!
F	AUDREY	I think we'll just leave this open. Let some air circulate in here.
F	LAURA	I was just about to leave, anyway. So...
F	LAURA	Just try it.
F	LAURA	Will you chill? You just gotta get used to it.
F	ALIKE	Owwww!
F	LAURA	Sit still, people gon' think you got something.
F	ALIKE	This joint hurts, man. I'ma go take it off.
F	LAURA	You not gon' take it off.
F	ALIKE	I'm gonna take it off.
F	LAURA	Where you gonna take it off at?
F	ALIKE	In the bathroom.
F	LAURA	Then where you gon' put it? You gonna walk around the club with a dick in your hand? Chill. I knew we shouldn't have done this. You blowin' me right now.
F	ALIKE	Then I'm out.
F	LAURA	Nah, you're `bout to stay and go through this. You're the one who wanted to meet her, not me.
F	ALIKE	Then you come on, too. Hurry up--
F	MIKA	You alright? Yeah, no, yeah it's just--there's a spring in the cushion or something.
F	MIKA	You wanna switch seats?
F	ALIKE	No, I'm good.
F	MIKA	And you don't wanna dance?
F	LAURA	Hey ya'll we're about to go dance!
F	ALIKE	No, no not really. I'm not really feeling the music.
