M	CHARACTER	DIALOGUE
F	SARA	Hi. Sara Matthews. She looks her up in the computer. She plays with a simple
M	R.A.	Des Moines, Iowa. Wow. Flyover country. She says it nicely, but it still stings. Sara smiles gamely.
M	R.A.	You're in room three-sixteen. Welcome. She hands Sara a room key. She fingers it, smiling. Sara steps in. She looks at the two empty beds. Big choice
F	SARA	Told you we'd make it. She steps back to the doorway. As she hauls her suitcase off
M	GIRL	Sorry! Bad driver. Sara kneels to help the other girl -- cute, frizzy hair --
M	GIRL	In case of emergency. I'm Tracy.
F	SARA	Sara. Balancing boxes, they manage to shake hands.
F	SARA	Hey. Yeah, it's amazing here. I met this really cool biker? He's taking me to Mexico this weekend. Hello? Hi, Mom. Just tell him I'm kidding. Sara stops in front of the campus coffee shop. She eyes a
F	SARA	Everything's great. No, she's not here yet so I got to choose my side of the room. She tears a tab off the flyer. Tracy, Tracy's roommate KIM, and two other HALLMATES. All
F	TRACY	Psi U.'s throwing a bash. Let's go.
F	SARA	Psi U.?
F	TRACY	They're a frat. Beer... guys...
F	SARA	I don't know... I might just hang and wait for my roommate. Groans all around. "Come on"... "Lame-O"... Sara bites her
F	SARA	Alright. Just let me change. The girls cheer.
M	BOUNCER	If you want beer, I'll need ID's.
F	TRACY	For a frat party?! Seriously? He holds up a handful of ugly lime-green wristbands. Kim
F	KIM	I don't drink anyway. Tracy looks at her, mouth agape.
M	BOUNCER	There's punch and non-alcoholic beer over there... He points to a table with a giant bowl and cups. No one is Tracy tries to flirt with the bouncer.
F	TRACY	Come on, just us. We won't tell. The bouncer is tempted but not budging.
M	BOUNCER	Honestly, I'm just a pledge. They'll kick me out. She stomps by him.
F	TRACY	Wuss. Defeated, Tracy walks over to the table. Turns back to Sara.
F	TRACY	You want something to drink?
F	SARA	What's the point? Tracy huffs as Sara walks into A SEA OF KIDS. We're talking A HIGH-ENERGY COLLEGE BAND on stage. They're not very good, THE DRUMMER. A cute goof, spastically whaling away. He's Suddenly, a hand grabs her shoulder. Tracy pulls herself in
F	TRACY	Why aren't you dancing?
F	SARA	To this?
F	TRACY	They're not that bad. Tracy pulls Sara deeper in the crowd. Now all three start
F	SARA	Crap. Kim still dances as Sara starts to look around.
F	SARA	Where's Tracy?
F	KIM	She was getting more punch. Sara then spots Tracy, with a full cup, precariously climbing
F	SARA	Uh oh. Guys yell out. "Show em." Several hands armed with camera Tracy. Tracy can't hear her. Sara starts making her way to the Tracy. Don't. Sara slams into STEPHEN, 21, the DRUMMER from the band... who
M	STEPHEN	Damn! Sara's drenched as an enormous cheer erupts from the crowd.
M	STEPHEN	Oh. Woops. I have to go clean this up. She turns.
M	STEPHEN	Looks like my plan backfired. Sara turns back towards him.
F	SARA	What plan?
M	STEPHEN	To spill beer on you so I can start a conversation.
F	SARA	You spilled beer on me purposely? You pissed? She looks at him. Pretty good looking. Goofy smile. It's
F	SARA	I'll get over it. He laughs, making her smile.
F	SARA	I'm not sure how she's so wasted. All she's had is punch. Stephen grins conspiratorially and grabs her hand.
M	STEPHEN	Come on.
F	SARA	It's pretty good. She drinks some more.
F	SARA	It doesn't taste that strong.
M	STEPHEN	Exactly. He takes a drink of his beer as Sara takes a long chug of
M	STEPHEN	Stephen. By the way.
F	SARA	Sara.
F	SARA	Hey, why do you get to drink beer?
M	STEPHEN	Twenty-one.
F	SARA	Old man.
M	STEPHEN	Tell me about it. My back is killing me. They don't move for a moment, Sara's resting her back against
M	STEPHEN	Besides, frat brothers don't have to wear those ugly wristbands.
F	SARA	Ugh. You're in this frat? He jokingly untwirls her away and she bumps into people Did you try the punch? It's pretty good.
F	SARA	What happened to Tracy? Kim shrugs.
F	KIM	I'm the worst roommate ever. Kim goes back to dancing Sara looks a little worried which
M	STEPHEN	Do you want to look for your friend? Sara looks at him sweetly. Nods. I got her. She struggles to hold Tracy up -- the girl's heavier than she
M	FRAT BOY #1	Who's got you? Tracy nearly brings Sara down to the floor...
M	STEPHEN	Guess that would be me. But then he stumbles, nearly dropping them both.
F	SARA	Who's got you? Stephen looks at Tracy in one arm. The other arm around Apparently God. Sara rolls her eyes.
F	KIM	Thanks Sara.
F	SARA	No problem. They linger, smiling, checking out Stephen... They step into
F	KIM	You want us to wait? Sara turns and glares at Kim. An obvious "NO!" Kim lets the
M	STEPHEN	You know, I'm going to be pulling kitchen duty all week for helping girls leave a frat party. It's like opposite everything we stand for. Sara leans in and gives him a long kiss. Then separates, but
M	SAEA	Does that make it worth it?
M	STEPHEN	Honestly, no. She laughs out loud.
F	SARA	Do you want to come up? More than I can tell you, but that wouldn't be fair. Sara starts to take off Stephen's jacket. He stops her.
M	STEPHEN	Keep it... till next time.
F	SARA	Thanks again. For everything. And, sorry about kitchen duty. He smiles... and walks away into the night. Sara looks after
F	SARA	Ow! She reaches her bed and plops down on her back. Breathing She struggles to sit up. She fumbles for the lamp next to her Sara screams.
M	GIRL	Hi. FLASH. The girl takes her picture, further blinding and
F	SARA	Who are you?!
M	GIRL	Rebecca. Your roommate. Sara calms, catching on.
F	SARA	What are you doing?
F	REBECCA	Taking your picture.
F	SARA	Why? Rebecca shrugs. Sara grabs her stomach.
F	SARA	Oh shit. Her cheeks chipmunk as she rushes out the door. Rebecca Rebecca? No answer. Sara makes it back to her bed. She falls onto it, Rebecca's eyes open. And they stay open. She watches Sara go Mellow music plays through top-of-the line speakers that Rebecca sees that Sara's awake.
F	REBECCA	Hey Sara. Sara stares at her blankly. Who is this girl? What happened
F	REBECCA	We met last night.
F	SARA	Right... Starts with a... "T"?
F	REBECCA	Close. Rebecca. She hands Sara a glass of water and two aspirin.
F	REBECCA	Come on. It'll help, trust me. Sara washes down the aspirin.
F	SARA	Thanks. Rebecca smiles, genuinely touched. I didn't throw up on you, did I? No. You made it to the bathroom. Sara looks around the room. Her lounge chair has been moved Rebecca starts to tape drawings to the wall.. .They're various
F	SARA	Did you do those? Rebecca nods.
F	SARA	They're really cool.
F	REBECCA	I just like capturing my moods. A beat. Sara closes her eyes. Bits and pieces of the night
F	SARA	Rebecca -- did you take my picture last night? Yeah. It's just something I do. For my drawings. C'mon, let's hit the bookstore. The walk will help your head. Sara rolls over, groaning.
F	SARA	It's too damn early for me.
F	REBECCA	It's three in the afternoon. Sara's eyes bug out.
F	SARA	Holy shit!
M	GIRL	So what do we do? Sara looks her over. Checks out her outfit.
