M	CHARACTER	DIALOGUE
M	FEMALE CALLER ON ANSWER MACHINE	Hey...It's me?...Pick Up.. Pick Up...
M	DAVID (O.S.)	I find you disgusting..I find you inconsolable..I find you invasive.. That is what the cynics used to say..Companies would refuse to look to the future..They'd say `Can we stop this virus"?
M	DAVID(O.S.) (CONT'D)	As if it was a negative progression, a descent into hell, moving with stealth amongst those you need to affect, growing more and more with a momentum that is unstoppable.
M	DAVID (CONT'D)	Now, some inane kid snorting the entire load of his mother's spice cupboard and posts that on You Tube. They would watch as it would become the buzzword amongst high school kids everywhere. Eventually..their cynicism would turn to awe.
M	BRANDON	Hi.
F	ALEXA	Hi.
M	BRANDON (CONT'D)	Drink?
M	ALEXA (CONT'D)	Perfect.
M	BRANDON	This Way.
M	BRANDON	Slowly.
M	FEMALE CALLER ON ANSWER MACHINE	Hey, it's me..
M	FEMALE CALLER ON ANSWER MACHINE	Pick Up.. Pick Up...
M	FEMALE CALLER ON ANSWER MACHINE	Brandon?
M	FEMALE CALLER ON ANSWER MACHINE	Brandon?
M	FEMALE CALLER ON ANSWER MACHINE	(whispers) Brandon Where are you?- Brandon... Urghhh!
M	FEMALE CALLER ON ANSWER MACHINE	This is me Calling you.. (SIGHS) Fuck!
M	BRANDON	Do you know what's going on with my computer?
M	DAVID	They took it.
M	BRANDON	Yeah, I know. Someone could have told me.
M	DAVID	Some kind of Virus.
M	BRANDON	Cool.
M	BRANDON (CONT'D)	I walk in and it's not there? And I get some kind of replacement?
M	DAVID	Some kind of virus. They're stripping it all out.
M	BRANDON	Cool.
M	FEMALE CALLER ON ANSWER MACHINE	OK......Me..again...I'm dying..I have cancer...I have one week to live..
M	FEMALE CALLER ON ANSWER MACHINE	It's the very worse kind of cancer. Of the vulva-
M	BRANDON	
M	CUTE NEIGHBOR	Hey.
M	BRANDON	Hey.
M	BRANDON	You're such a dick What are you doing, man?
M	DAVID	you'll just please make yourselves at home.
M	CLIENT	Thank you.
M	DAVID (O.S.)	It falls upon me, as your beloved boss, to propose a toast. To Success.
M	DAVID	I hope my wife appreciates it.
M	DAVID (CONT'D)	Get a new tie, please.
M	COLLEAGUES	Oh my goodness. (SNIFFS) I love women in suits. I love women in suits. We could talk business, I would rearrange my life.. Wow, she's beautiful.
M	BRANDON	Grey suit?
M	DAVID	I'm gonna go talk to her.
M	BRANDON	You should go talk to her.
M	DAVID	OK...OK..Count me down...
M	BRANDON	Yeah you should
M	DAVID	Boom.
M	STEVEN	Have fun.
M	BRANDON	Twenty bucks says he fucks it up.
