M	CHARACTER	DIALOGUE
M	MAGYAR	And porkolts. You know porkolts?
M	JIM PRIDEAUX	Yes, I've had it.
M	MAGYAR	It's very good. Better than goulash. But you won't get it in Budapest now.
M	JIM PRIDEAUX	Why's that?
M	MAGYAR	All the pigs have gone to Moscow.
M	JIM PRIDEAUX	When do I get to meet your friend?
M	MAGYAR	I'll take you to him. Not eating? expression doesn't change but he sets his coffee
M	JIM PRIDEAUX	Would you excuse me a moment?
M	KGB MAN	No firing!
M	KGB MAN (CONT'D)	Who told you to fire? Who told you to fucking fire?
M	KGB MAN (CONT'D)	Fucking Hungarian amateur! We wanted him alive! Behind him we can see the breast-feeding MOTHER. She's CLOSE ON SMILEY - as he examines the others, gauging the
M	PERCY ALLELINE	I wish I could have done more, Control.
M	CONTROL	You did all you could, Percy. (Beat) Well, a man should know when to leave the party.
M	TOBY ESTERHASE	What about Smiley?
M	CONTROL	Smiley is leaving with me. Alleline and the Lieutenants are waiting for them. A
M	BILL HAYDON	You little prick Esterhase. Control puts his collar up and walks away. Smiley stands
M	POLYAKOV	Shall we begin?
M	LACON	This is private property. Who are you?
M	RICKI TARR	Minister Lacon.
M	LACON	What do you want?
M	RICKI TARR	I want to talk to Control. And I want breakfast.
M	PETER GUILLAM	Has that been cleared?
M	BILL HAYDON	I'm not bloody chaining it outside. Mind you, probably no safer in here, with you bunch of cut-throats.
M	HAYDON	Thought I'd get a glimpse of the new girl. Before Bland gets to her. He seen her yet?
M	GUILLAM	Oh yes. Down first thing.
M	HAYDON	You may fuck me, Belinda, but you still have to call me sir in the morning.
M	POOL PLAYER (O.S.)	Sorry Peter.
M	PETER GUILLAM	Peter Guillam...
F	SMILEY	Hello, Peter.
M	SMILEY (CONT'D)	Have I time to change?
F	SMILEY	Are we going far?
M	LACON	How's your mother?
M	PETER GUILLAM	Very well. Is this where he got out?
M	LACON	Mmm, I came back in and it was wide open. Do send her my love. Apologies for singling you out, but... very sensitive matter...
M	LACON (CONT'D)	If one can't trust one's own nephew... You know who he was?
M	PETER GUILLAM	Ricki Tarr, sir. One of my scalp- hunters. He's been on the wanted list for a year. Last job was Istanbul, bit of coat-trailing for a Russian convention.
M	LACON	Why is he on the wanted list?
M	PETER GUILLAM	He killed our man in Istanbul. Cut his throat. Been on the run since then.
M	LACON	My God. In my own home... my family... The bloody animals you people employ!
M	LACON	And how are you George? Missing one's work, one's buddies?
F	SMILEY	Oh, I think I manage pretty well, thank you. Behind them, unnoticed, young JACKIE creeps back into the
M	LACON	Your wife, the lovely Ann? She's in the pink, and so on.
F	SMILEY	Very well. (Beat) Very bonny...
M	LACON	Do you know this man Tarr?
F	SMILEY	I recruited him actually. In Penang. Good with women. Likes to talk. What did he say to you?
M	LACON	He said he had some intelligence for Control. Had no idea he was dead. The news obviously hadn't reached Wonga Wonga land. Then he said he would only tell it to someone outside the Circus. If he couldn't have a Minister, he would settle for the Under-secretary. Lucky me. He said there's a mole. Right at the top of the Circus. And that he's been there for years.
M	LACON	I was sad to see you go, George. I thought it was shabby, very shabby.
M	LACON (CONT'D)	But the Minister agreed with Sir Percy. New broom, clean sweep, wheat from the chaff and all that. And to be fair, Percy has had some marvellous results since you and Control left... Anyway, it does mean you're rather ideally placed to look into this matter for us now, doesn't it? Outside the family?
F	SMILEY	I am retired, Oliver.
M	LACON	Thing is, some time back, when Control was still alive, he came to me with a similar suggestion.
M	LACON (CONT'D)	He never mentioned his suspicions to you?
F	SMILEY	No.
M	LACON	I just thought... with you being "his man", so to speak.
F	SMILEY	What did you say to him?
M	LACON	I'm afraid I thought his paranoia had got the better of him and he was pulling his own house down. That does happen in your business. And that bloody mess in Budapest...
M	LACON (CONT'D)	Damn it, George, this is your generation, your legacy! If there's any truth in this you'd think you'd want to...
F	SMILEY	I'll keep Peter Guillam. And there's a retired special branch man. Mendel. I'd like to have him.
M	LACON	Yes, yes. Do your own housekeeping. Good man.
M	LACON (CONT'D)	Damn thing cost a fortune. Three years of lessons and all I hear is Edelweiss. You and Ann never had children, did you?
F	SMILEY	No, we never did. A stow-away BEE appears from somewhere and begins to buzz
M	MRS POPE GRAHAM	It's Georgian, I shouldn't lend it to you but since Mister Mendel recommends you...
M	MRS POPE GRAHAM (CONT'D)	You will love it for me won't you? It belonged to Mister Pope- Graham.
M	MENDEL (O.S.)	My friend just wants peace and quiet in order to work, Mrs Pope- Graham, no disturbances.
M	MRS POPE GRAHAM	And that's what he shall have. You want anything you can ask Norman, can't he, Norman?
M	MENDEL	Her real name is plain Graham. Added the Pope for a touch of class.
M	MENDEL (CONT'D)	Best informant I ever had.
F	SMILEY	Control lived with his sister didn't he?
M	MENDEL	Basingstoke. Not much of a paper- trail as you can imagine. His pension and she owns a block of bedsits in her own name in West London.
M	GUILLAM	We should...
M	MENDEL	... Webb and Bryson are the letting agents. Properties in half of the west end judging by this list...
F	SMILEY	We're only looking for short term rentals. Within the last year.
M	MENDEL	A Miss Hilliard. L. Cavaleri? D Weaver, M Crowley, M Cushing. F. Farling. G. Hiaasen.
M	MENDEL (CONT'D)	A Mrs Hawcombe. R. Kee. M. Kass. H Staunton...
M	MENDEL (CONT'D)	K. Menzies...
F	SMILEY	How long was H. Staunton a tenant?
M	MENDEL	Still is. Been renting for a few years now. Something?
F	SMILEY	Howard Staunton. Control used to say he was England's greatest chess master. Died in eighteen seventy- four. The rest of the room is mounded with PILES AND PILES OF
M	TOBY ESTERHASE	Help you with something Bill?
M	BILL HAYDON	Looking for his Majesty.
M	TOBY ESTERHASE	He's walking the battlements.
M	BILL HAYDON	Much obliged.
M	ALLELINE	Roy.
M	BLAND	It's the Yanks. They want to come in and talk. Alleline continues to stare out over the world, but allows
M	ALLELINE	Of course they do. We have Witchcraft. And they don't.
F	SMILEY	Thank you. Anywhere will do.
M	MENDEL	That enough for you to be getting on with?
F	SMILEY	No. Peter, I need you to do something for me...
M	SMILEY (V.O.)	I want to see the records of staff recently retired. While you're there get the handbook on staff duties... and the diagram of the Circus's reorganization under Alleline...
M	KASPAR	Sorry Peter, didn't know you were doing... whatever you were doing...?
M	PETER GUILLAM	Trying not to bleed to death. Fawley's got a first aid kit in one of his drawers. Get me a plaster will you?
M	ROY BLAND	Heard you had an accident.
M	PETER GUILLAM	Cut it on a drawer handle. some new furniture round here?
M	ROY BLAND	I'll have a word with Esterhase, Peter. We'll make it a priority on the top floor.
M	ROY BLAND (CONT'D)	Where are you off to?
M	PETER GUILLAM	Lunch.
M	ROY BLAND	Want some company?
M	ROY BLAND	Tell you the truth, I'm in no hurry to get back up there...
M	PETER GUILLAM	Smothered by the Mothers.
M	ROY BLAND	Something like that. Those old birds, all pining for Control. Percy still can't get a decent cup of tea out of them. Still, I imagine it takes time.
M	PETER GUILLAM	What does?
M	ROY BLAND	Loyalty.
M	ROY BLAND (CONT'D)	If it was up to me, I'd replace them all with those `naice' girls from registry. Like to hear a few high heels about the place.
M	ROY BLAND (CONT'D)	Scrounge a fag?
M	PETER GUILLAM	Here.
M	ROY BLAND	What do you think of Datsuns?
M	PETER GUILLAM	What?
M	ROY BLAND	Datsuns. Just got one. Wife made me. Hatchback. Caught sight of myself in it, driving past a shop window and I thought to myself "Who's that old fucker?" What are you driving?
M	PETER GUILLAM	Citroen.
M	ROY BLAND	French? Ooh la la...
M	ROY BLAND (CONT'D)	Drink up and I'll drop you back. You've probably got some girl waiting...
M	PETER GUILLAM	Jerry Westerby, dismissed December 4th. And... Connie Sachs, retired November 28th. That's just two weeks after you and Control were forced out.
F	SMILEY	I know that car.
M	LACON	On our way to La Bohème. The Minister wondered if there was anything to report?
F	SMILEY	Not much, I'm afraid. We were just discussing the departure of Connie Sachs. I wonder how Research manages without her.
M	PETER GUILLAM	Probably relieved. She always struck me as unhinged.
F	SMILEY	That was one of her talents.
M	LACON	Looking a little unhinged yourself, George.
F	SMILEY	Hmm?
M	SMILEY (CONT'D)	Yes, I suppose I am. Perhaps that's what we have to become? A little paranoid?
M	SMILEY (CONT'D)	Your "clean sweep." What if the Mole was actually behind that sweep? What if each of us, whether we knew it or not, represented a threat to the Mole?
M	LACON	Control lost his position because of that fiasco in Budapest... that poor chap...? He looks to Guillam for the name.
M	PETER GUILLAM	Jim Prideaux.
F	SMILEY	Yes. Yes, he did.
M	LACON	How did you get this? This is Witchcraft material.
F	SMILEY	Control was out. And Alleline was in. Thanks to...
M	SMILEY (V.O.)	... Alleline's "special source."
M	LACON (V.O.)	There is no connection.
M	SMILEY (V.O.)	Everything is connected. Near the back of the class we find BILL ROACH. He's plump,
F	SMILEY	Return to Oxford please.
F	SMILEY	Oh, I brought...
M	CONNIE SACHS	Not supposed to. Doctor's orders. Wicked, wicked George.
M	CONNIE SACHS (CONT'D)	I miss it all so much. All my lovely boys.
M	CONNIE SACHS (CONT'D)	I don't know about you, George but I feel seriously under- fucked.
M	CONNIE SACHS (CONT'D)	She doesn't deserve you, George. Not one hair on your head, never did...
F	SMILEY	You left the Circus shortly after I retired...
M	CONNIE SACHS	I didn't leave. I was dismissed. Chucked out on the rubbish heap. (Beat) Like you.
F	SMILEY	Why?
M	CONNIE SACHS	"Lost my sense of proportion." That's what that personnel cow said. Wouldn't let go of a bone.
F	SMILEY	Which bone?
M	CONNIE SACHS	Polyakov. Smiley nods, a look of boredom settling on his face - A
F	SMILEY	Polyakov.
M	CONNIE SACHS	Cultural Attaché Polyakov.
F	SMILEY	Stationed where?
M	CONNIE SACHS	Here. London. Turned up in sixty five. And I had a feeling, as soon as I laid eyes on him. But that little swine Toby Esterhase told me I was seeing Spies under the bed.
F	SMILEY	Esterhase said that?
M	CONNIE SACHS	He had him graded Persil. Whiter than white. And that was that.
F	SMILEY	But you disagreed?
M	CONNIE SACHS	Pretty Polly? Very military bearing for someone who's never supposed to have been in the army. But, he was good. Went to Embassy functions, lectures. I love a man who lives his cover. Never put a foot wrong.
F	SMILEY	Never?
M	CONNIE SACHS	Pretty Polly. Pretty Polly... ... the busiest culture vulture that Embassy ever had.
M	CONNIE SACHS (CONT'D)	For years we'd been hearing rumours that Karla was building a private army of his own, outside Moscow Centre. We knew he had agents scattered round the globe. I started spending time with the Moscow gazers combing Soviet bulletins and any material I could get.
