M	CHARACTER	DIALOGUE
F	TESS	Once upon a time ...a long, looong time ago... there was a good little girl...and they called her... REVEAL ...TESS. A stunner with impossibly long lashes,
M	TESS (CONT'D)	Burlesque. MUSIC BLARES from a HOT YOUNG BUMPER BAND -- sax, drums, bass
M	TESS (CONT'D)	Some say she up and died-of neglect. Abandonment. .old age. The club's red booths are about half-full with a hip crowd. But I say...no matter how hard you try, you can't keep a good girl down. And I've got a bevy of 'em. Come to think of it, none of them are all that good, which isn't all that bad... SEAN (31), a cute gay guy with an armful of accessories
M	TESS (O.S.) (CONT'D)	Eight shows a week. Sixteen gorgeous girls. Thirty-two towers of luscious legs... Behind her, our GIRLS slink onto the stage one by one.
M	TESS (CONT'D)	Say hello to Scarlett. Jesse. Anna. Coco-puff. And Georgie-Girl. The girls gather at the edge of the stage, lit by footlights,
M	TESS (CONT'D)	All of them the creme-de la creme. De la creme. The girls strike nasty, (but funny) provocative poses, etc...
M	TESS (CONT'D)	Each one a bastion of bodacious... Elegance. TWO GIRLS upside down on chairs NAIL aerial splits.
M	TESS (CONT'D)	Not to mention their other... Ass-ets. Coco raises a brow, moves her butt to a LOUD BUMP-AND-GRIND.
M	TESS (CONT'D)	Welcome to the Burlesque Lounge, dead smack in the center of the Sunset Strip-- did I say "strip?" I meant TEASE... FOOTLIGHTS FLARE, UPLIGHTING THE GIRLS. They shift their
F	ALI	Uh, excuse me? You forgot something. He turns. Sees: ALI ROSE. One hand holding a bar rag, the other planted on
M	REGULAR	No, that's your tip.
F	ALI	Huh. See, now that's interesting -- you and I must do math completely differently, cause me? I start with the six beers I brought you, add the four spills I cleaned up, the five times I refilled your peanuts, plus the three times you "accidentally" touched my ass, then I tack on lying to your wife when she called looking for you, twice, and I come up with a sum that's a hell of a lot more than twenty-five cents. Before the Regular can respond, Ali is joined by LORETTA --
F	LORETTA	She's just teasing, Ike. You go on home now, and tell Kay I said hi. The Regular leaves. Loretta picks up the quarter.
M	LORETTA (CONT'D)	It's better than nothing.
F	ALI	Nothin's cheap. A quarter's an insult.
F	LORETTA	It'll cover half a load down at the Spanky Clean.
F	ALI	There's only one thing a quarter is good for. Ali takes the quarter and heads to the back of the room,
F	LORETTA	Oh no, hon, now you know how Dwight feels about that.
F	ALI	Dwight isn't here. Ali stops in front of the rinky-dink karaoke machine.
F	LORETTA	He could come back any minute.
F	ALI	Tough. I'm not working here for the tips Loretta. She pops the quarter into the machine and chooses a song.
M	FEELING, Y-E-A-H	And now we see where the confidence comes from. She's got a IN DWIGHT'S BAR, Ali is belting now. Loretta is torn between As other ENTERTAINERS appear onstage:
F	TESS	The insatiable La Puccini Triplets! Death-defying daredevils Missy and Kitten DeVille! The Countess of contortion, Eva Destruction! And how about a little love for those bad boys of burlesque, our naughty- bawdy bumber band! THE TATTOOED BAND blares as the troupe kicks in unison IN DWIGHT'S BAR, Ali sings, with a powerful vocal quality ON THE BURLESQUE STAGE, the GIRLS and the BAND, loud and
M	OOOOOOOOOOOHHHHHHH!!	IN DWIGHT'S BAR, Ali, letting loose now. Wailing. ON THE BURLESQUE STAGE, the BURLESQUE GIRLS move in a line IN DWIGHT'S BAR, Ali, letting it rip. The Geezer sips his ON THE BURLESQUE STAGE, The Girls. IN DWIGHT'S BAR, Ali. ON THE BURLESQUE STAGE, The Girls form a line. IN DWIGHT'S BAR, Ali sings. IN THE BURLESQUE LOUNGE, The Girls, Tess, the other IN DWIGHT'S BAR, Ali finishes the song. Loretta CLAPS. The
F	LORETTA	People around here wouldn't know talent if it bit 'em in the Danglies. Where you gotta go is Des Moines. They got karaoke bars where you can win a hundred bucks a night.
F	ALI	Loretta-- when I get out of this butt-hole of a town, I sure as shit won't be heading for Des Moines. She hops up onto the bar, spins around on her butt, one leg Tess comes off stage and bumrushes Sean.
F	TESS	Where the hell is Nikki?
M	SEAN	Rehab, if there's a God. The BACKSTAGE DOOR BURSTS OPEN revealing--
F	NIKKI	I heard that. Nikki, a stunning, feisty brunette, sashays in--
F	TESS	Jesus, Nikki, you're later than Georgia's period! Where were you?
F	NIKKI	Weave, wax, paws and claws. She drops her bag, quickly peels her clothes off, holds out
F	TESS	Hold it right there. Weigh in. Nikki unwillingly steps on the scale. Tess shakes her head.
M	TESS (CONT'D)	Put on five pounds or I bump you. Nikki protests as Sean double-takes at Georgia -- who FLITS
F	ALI	Nanna? Got your pot roast here!
F	ALI	They were out of steak fries, so I got you some of those... Then she stops in her tracks. Nanna -- 80's, housecoat,
M	ALI (CONT'D)	Nanna?
M	YOUNG MINISTER	Dear Lord, we gather here today not to mourn, but to celebrate the life of Alison Rose.
F	ALI	Arlene.
M	YOUNG MINISTER	What?
F	ALI	She's Arlene. I'm Alison.
M	YOUNG MINISTER	Oh, shit. Can I start over? Ali rolls her eyes.
M	LATER,	The Minister and the Cemetery worker walk away, leaving Ali
F	LORETTA	You were real good to her, Ali.
F	ALI	No, she was good to me. She rearranges the flowers resting on the plot, fixing it up.
M	ALI (CONT'D)	And she wasn't even my real Nanna.
F	LORETTA	What...?
F	ALI	Foster care. She took me in for the checks. When I turned eighteen, the money stopped coming. She could've kicked me out, but she didn't. She had a lot of pain at the end. Nothing she talked about, but I could tell.
F	LORETTA	Well, then I guess this is a blessing. Now she's free. ON ALI, thinking realizing:
F	ALI	Yeah. I guess she is. In the wings, Tess watches with Sean.
F	TESS	Girls look good tonight.
M	SEAN	Amazing what a pink spotlight can do. Hides more cellulite than a burka.
M	DWIGHT	You're three days late.
F	ALI	I had a death in the family.
M	DWIGHT	And what, people stop drinking cause your grandma died? Get your apron and get to work.
F	ALI	I'm not here to work. I'm leaving.
F	LORETTA	You are?
F	ALI	Yeah. I just came for my back pay.
M	DWIGHT	Payday's the end of the month.
F	ALI	But, I won't be here then. And you owe me for three weeks.
M	DWIGHT	I don't owe anyone anything till the end of the month. Ali sets down her suitcase and marches over to him.
F	ALI	You know what, Dwight? Contrary to what you've been told, there's no law in Grundy that says you have to spend every waking minute being a tight-fisted, cheap-ass prick --
F	LORETTA	Ooh, hon, I'm not sure that particular approach is gonna --
F	ALI	I've spent three years of my life
M	DWIGHT	--And you'll probably spend another three. You want to quit? Good riddance. I'll replace you before you hit the county line, but I sure ain't gonna pay for the privilege. He walks out the back door, slamming it behind him. ANGLE ON: THE CASH REGISTER. Ali opens the drawer, pulls out
F	LORETTA	What are you doing?
F	ALI	I'm only taking what he owes me. How much was that bike you been wanting for little Keith? Ali STUFFS a few TWENTIES into Loretta's apron-- pockets the
F	LORETTA	Ali-- where are you gonna go?
F	ALI	Somewhere I can breathe. Now gimme a hug, I gotta get out of here before he gets back. Loretta hugs her tight, then looks Ali in the eye, concerned.
F	LORETTA	You can't just head off into the sunset without a plan. Watch me. Ali gives her one more hug, then grabs her bag and leaves.
M	OLDER WOMAN	She'll be back. As Ali heads off, we HEAR:
F	ALI	How much to Los Angeles?
M	TICKET BOOTH GUY	One way or round-trip?
F	ALI	You're kidding, right? IN THE WINGS, Tess hands Sean her corset as she slips into a
M	SEAN	They're loving you tonight.
F	TESS	They're loving you.
M	SEAN	Oh, shucks, I just tell myself I'm writing for a big old drag queen.
F	TESS	Eat me. As he heads off with her discarded costume:
M	SEAN	A big old foul-mouthed drag queen! Tess looks in a mirror. As she makes the necessary
M	VINCE	Good show tonight. She glances up, sees him. Gets icy. Goes back to primping.
M	VINCE (CONT'D)	Too bad the club's half-empty.
F	TESS	Half-full.
M	VINCE	I got another call from Marcus Gerber.
F	TESS	And you told him we weren't selling.
M	VINCE	He wants to raise his offer. I told him we'd hear him out. Tess spins around, looking him in the eye for the first time.
F	TESS	Vince, I don't care what the number is; the only way Marcus Gerber will get this club from me is by prying it out of my cold, dead, heavily- jeweled fingers. She pivots away and sweeps into the club. Big finish, the number on stage ends. Ali unzips the pocket on her suitcase, takes out the FRAMED
M	RADIO	102.7 KIIS FM. Broadcasting from Hollywood and Vine... Ali perks up-- looks out the window as the bus rounds a bend
F	ALI	Okay! Well. Good luck with that. He drops her suitcase on the bed and stands there. Waiting.
M	ALI (CONT'D)	Oh, hang on. She digs into her purse. All she has is twenties. She peels If I could just get a little -- But before she can finish, he pockets it, nods and leaves,
M	ALI (CONT'D)	-- change. She pulls open the blinds, they fall off the wall with a She digs out her cash, sticks it under the mattress. Then She removes the money, takes a Ziploc bag full of make-up
M	ALI (CONT'D)	Hey. I thought this was a single. The cat curls up next to her. She checks his junk.
M	ALI (CONT'D)	Typical. First guy I meet is neutered. You don't happen to know anyone in the music business, do you? Singer/Actress... Singer/Songwriter .Singer/Scuba diver? Perfect. ON ANOTHER AD: It says: "SINGER/WAITRESS WANTED." MUSIC UP:
M	SKINNY GUY	Sorry, ladies, that's all the applications we're taking today. CLOSE ON: an ad: "DANCERS WANTED. PRETTY GIRLS ONLY."
F	ALI	I can dance.
M	DRUNK GUY	She'll be back. Intrigued, Ali looks for a break in the traffic and crosses
M	ALEXIS	Like I said, LOOK BUT DON'T TOUCH! ALEXIS, drag queen/door whore, also in full costume and make- Ali smiles to herself. Then turns back to look at COCO who
F	NIKKI	Didn't your Mama tell you it's not polite to stare?
F	ALI	Sorry, you're just -- so DAMN beautiful. In that case, screw your Mama, stare away. Nikki strikes a pose, campy, showing Ali her best side. They
M	AL I	No one would ever guess.
F	NIKKI	What?
F	ALI	That you're a dude. Nikki's face turns to stone. Her eyes widen in horror. Ali
M	ALI (CONT'D)	Oh, shit.
F	NIKKI	"Shit's" right, you little half-wit Nikki is about to unleash when the stage door opens.
M	SEAN	Bitch! You're on! Sean grabs her and drags her inside. As he does, a STRAND OF
F	ALI	I'm really sor-- The stage door slams shut. Ali picks up the strand of beads. Alexis sits on a stool, glaring down at her.
F	ALI	What is this place? A strip club?
M	ALEXIS	Strip club? Honey, I ought to wash your mouth out with Jaegermeister. The only pole you'll find in here is Natasha the shot girl. Ali looks back at the photos. Babycakes, shit or get off the throne, I got a club to fill here. Ali digs her ID out, hands it over. Alexis scans it --
M	ALEXIS (CONT'D)	Twenty bucks. Ali looks in her wallet. Sees one lone twenty inside. She Ali ENTERS, rounds a pillar, staring out into the room as a
F	TESS	Smoother than honey and twice as sweet. Each girl lovelier then the next. Gentlemen, hold onto your hats. Ladies, hold on to your gentlemen. We may not have windows.. .but we DO have the best view on the Sunset Strip! MUSIC KICKS IN AS LIGHTS FLARE from the back of the stage, The girls hit the beats, turning upside-down on cabaret
M	JACK	Get you a drink? She turns. A bartender is watching her watch. JACK - 25,
F	ALI	Only if you're buying.
M	JACK	Welcome to L.A. Is it that obvious?
M	JACK	You still have that new-car smell.
F	ALI	Not brand new. But still under warranty.
M	JACK	Where you from? She looks back at the stage, mesmerized.
F	ALI	Iowa.
M	JACK	Oh, yeah? Kentucky. We're practically related.
F	ALI	I thought you looked familiar. He smiles. As Ali sips her free beer, Jack stacks drinks on a
M	JACK	Hey_. Go. The Waitress picks up the tray -- almost spilling the drinks - Damn...
M	JACK	They don't build 'em like this in Iowa, huh?
F	ALI	Hell no. I wouldn't have left. She stares up at the stage, marvels at the dancers.
M	ALI (CONT'D)	So tell me -- who does a girl flirt with to get from here... to there?
M	JACK	Is this you flirting?
F	ALI	With someone wearing more eyeliner than me? He laughs. Points across the club to A DOOR leading
M	JACK	Ask for Tess. She's your guy. Flirt away. As she heads off--
M	JACK (CONT'D)	Hey, Iowa-- use my name. He hands her a card. She looks at it:
F	ALI	Thanks, Jack. She smiles, slips it in her cleavage and heads for the door. In the middle of the maelstrom sits Tess, at a mirror,
F	ALI	Excuse me. I'm looking for Tess.
F	TESS	So am I. And sometimes, when the lights are dim, and I squint my eyes ...I can still see her. She switches to mascara. Sean, arms heavy with corsets,
F	ALI	Hi. I'm a friend of Jack's, and I'm-
F	TESS	New in town.
F	ALI	Yes, and I'm--
F	TESS	Looking for a job.
F	ALI	Yes, and I--
F	TESS	Want to perform here.
F	ALI	Yes. Tess glances at Ali in the mirror. Then goes back to her
M	ALI (CONT'D)	I'm a singer. A good one.
F	TESS	This is a dance show.
F	ALI	I can dance.
F	TESS	Really? You a professional?
F	ALI	I'm a quick study.
F	TESS	Not on my dime. Tess stands, a final check in the mirror. Ali sees her chance
F	ALI	Okay, I get that you're busy so I won't waste any more of your time-- but this place-- I've just never seen anything like it before and I know I belong here. So, how can I be a part of it?
F	TESS	Twenty bucks at the door can make all your dreams come true. Tess strides out, not looking back. Ali sees the Girls
F	ALI	One Dewar's neat, one shot of Patron, and get this, tough-guy in the hat? He wants a Cosmo. Jack looks at her, surprised. Impressed.
M	ALI (CONT'D)	One night. If I'm not 20 times better than boobs-for-brains over there, you don't have to pay me. weaving their way through the tables. WIDEN to see she now She heads back to the bar with empties, eyes glued to the
F	ALI	Her leg went behind her head!
M	JACK	Yeah, Coco's the real deal.
F	ALI	I want to do that.
M	JACK	She used to dance with the Joffrey Ballet. Nikki sang opera. Eva performed with Cirque. Everyone here's a pro. And you're on!
M	BACKSTAGE,	Nikki, lined up with the other girls, peers between the
F	NIKKI	What's she doing here?! I want that bitch out. Now.
M	SEAN	What'd she do to you?
F	NIKKI	She thought I was a drag queen! Stifled giggles from the girls.
M	SEAN	Can't be the first time THAT'S happened. Nikki is about to haul off on Sean when the CURTAIN OPENS, she turns, flashing her best stage smile as she joins Coco From the floor, Ali serves drinks, takes care of customers,
F	ALI	When he kisses me I get a thrill... The Cat MEOWS and slinks out from behind the bed. Ali pulls And when he does that wiggle I can't keep still Cause he's a tough lover.. . ON THE FLOOR, Ali delivers a tray of drinks to a table of
F	ALI	Thanks. She heads back to the bar. As Jack loads her tray up, she
M	SEAN	Okay, girl, time for Sean to give you a real tip. He ties her shirt up higher, undoes the top few buttons...
M	SEAN (CONT'D)	You got lips that could suck the chrome off a Peterbilt, but that matte is about as sexy as a bedpan. As Sean wipes off Ali's lipstick, then whips out a tube of
M	SEAN (CONT'D)	Now baby, go show 'em what you got. He heads off. While Eva performs onstage, Ali delivers the When Ali gets to him:
F	MARCUS	Dewar's on the rocks for me. Bottle of Dom for the table and-- --And tell Nikki I'm here. Ali starts away, then--
F	ALI	And you are?
