M	CHARACTER	DIALOGUE
M	STEPHAN	Breathe. Rachel gathers herself, then stands and turns to follow the We should never forget how young they were.
M	SARAH (V.O.)(CONT'D)	My father, Stephan Gold, was the youngest Unit Commander in Mossad.
M	SARAH (V.O.)(CONT'D)	David Peretz had his twenty-ninth birthday while on the mission.
M	SARAH (V.O.)(CONT'D)	My mother was even younger. Only twenty-five.
M	SARAH (V.O.) (CONT'D)	Despite their youth they'd had the courage to confront an unimaginable evil....
M	SARAH (O.S)	...a man whose sadistic experiments left thousands disfigured or dead, who became known by a name which defiles the annals of medicine: The Surgeon of Birkenau. FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 3. Their mission had been to return him to Israel to stand trial. Instead it ended with his death on the streets of East Berlin...
M	SARAH (V.O.)	But this was not what was celebrated. It was their youth itself that became a symbol. Here were the children who had faced Israel's greatest nightmare, her greatest pain... David and Stephan have moved out of shot and Rachel reaches ...and in the simple act of facing the Monster, had helped to vanquish it. FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 4. This book is dedicated to my inspiration. My mother, Rachel Singer.
M	SARAH (CONT'D)	Mother, I'm so very proud to be your daughter.
M	YOUNG AGENT	David Peretz?
M	DAVID	Yes.
M	YOUNG AGENT	You were expecting me?
M	DAVID	Yes. I was expecting you.
M	YOUNG AGENT	Would you come with me sir?
M	DAVID	Let's go. TITLES BEGIN -
M	DAVID	Sorry.
M	YOUNG AGENT	What, sir?
M	DAVID	I - I think I...
F	SARAH	When are you going to stop?
F	RACHEL	Stop what?
F	SARAH	The smoking.
F	RACHEL	Soon.
F	SARAH	I hope so. Do it for your grandson.
F	SARAH	Are you sure you have to go back home tomorrow?
F	RACHEL	It's all arranged, I'm afraid...
F	SARAH	But we'll have breakfast before you go? I thought maybe we could take a walk on the beach? (Trying to sound casual) I'd like you to see more of him. RACHEL Well, I'll be back. We can...maybe in the holidays or...
M	MIRIAM	I've marked the place. I thought perhaps from chapter eleven...?
F	RACHEL	...Yes, thank you. SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 8.
F	SARAH	If you'd rather read something else, mother.....
F	RACHEL	No, that's fine.
M	MIRIAM	You must be very proud. RACHEL ...It's a wonderful achievement. I'm very proud of her.
M	MIRIAM	And I'm sure you were invaluable in the research.
F	SARAH	Actually, my mother withstood all interrogation. My father was the talker. (Trying a joke) I'm the only journalist in Israel she won't speak to.
F	RACHEL	I thought he couldn't come.
F	SARAH	So did I.
M	STEPHAN	Please, sit, sit. My God, it must be election season.
F	SARAH	You came.
M	STEPHAN	I came. So you're the famous author I've heard so much about?
M	STEPHAN (CONT'D)	Rachel.
F	RACHEL	Stephan.
M	STEPHAN	Now you're the expert, maybe you could tell me something. handsome devil on the cover?
M	STEPHAN (CONT'D)	It went well?
M	SARAH'S HUSBAND	She was wonderful.
M	STEPHAN	That's good. Good, good. That's very good. FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 10.
M	MIRIAM	I just want thank you all for coming to help us celebrate the launch of this wonderful book. I'm sure we're all particularly thrilled to have two of the heroes of this story at the table. And even more thrilled that one of them has agreed to read for us...
F	RACHEL	"On the evening of the 31st of December, it began to rain more heavily. So isolated had they become from the outside world that it was only when she looked out of the window that Rachel remembered it was New Year's Eve... Her training kicking in, Rachel uses a krav magah move to Vogel begins to run, but, driven by adrenaline and FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 12. FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 13.
F	RACHEL	He's driving too fast. This is ridiculous. What's so important? Tell me where we're going?
M	STEPHAN	We're going to David's apartment.
F	RACHEL	David...?
M	STEPHAN	I keep track of people Rachel. It's my job. (Beat) I know he came to see you yesterday.
F	RACHEL	What's this? The jealous ex- husband or the intelligence officer? FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 14.
M	STEPHAN	A little of both. What did he want?
F	RACHEL	Fuck you.
M	STEPHAN	What did he tell you?
F	RACHEL	He didn't tell me anything. (Off his look) He didn't! He told me where he'd been travelling, that he'd been teaching... We spoke for a few minutes and then I had to go. If you don't believe me ask him yourself. FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 15. RACHEL Why did he do it? movements. She turns to look at it with disgust, KNOWING WHAT IT IS.
M	STEPHAN	My car's waiting outside. It can take you to the airport. FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 17. The passport is slid back across the counter and we find
M	DAVID	How was your trip?
F	RACHEL	Fine. Everyone sends their love.
M	DAVID	You've cut your hair. Finally...
M	DAVID	I'm David.
F	RACHEL	Rachel.
F	RACHEL	Where do I sleep?
M	STEPHAN	You're in my room.
M	STEPHAN (CONT'D)	You're at the end there.
M	STEPHAN	What do you think of your new wife?
M	DAVID	Too young.
M	STEPHAN	Pretty. You didn't notice.
M	STEPHAN (CONT'D)	You know what I've noticed? You don't notice women. I've noticed that. How long have I known you?
M	DAVID	I don't know.
M	STEPHAN	Two years. All the places we've been to. You don't look at women. Before I get into that bed, is there anything you have to tell me?
M	STEPHAN	Well, well...I think he just noticed. SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 21.
M	STEPHAN	Yes? Now an attack from behind.
M	STEPHAN (CONT'D)	Where have you come from?
F	RACHEL	Argentina.
M	STEPHAN	Really? Whereabouts?
F	RACHEL	Cordoba.
M	STEPHAN	What were you doing there?
F	RACHEL	My husband is an Industrial Chemist.
M	STEPHAN	He does look like a chemist.
M	STEPHAN (CONT'D)	She's not going to fucking break, David. Move. What were you doing before this? FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 22.
F	RACHEL	Before Argentina we lived in Hungary where my husband studied...
M	RACHEL (CONT'D)	Oh...Liaison.
M	STEPHAN	And what did you do in Liaison?
F	RACHEL	Translator.
M	STEPHAN	So, first time in the field. Rachel feels herself blush a little angrily. Stephan grabs
M	STEPHAN (CONT'D)	Good. That's...good.
M	DAVID	Welcome to Metsada. FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 23.
M	DAVID	I'll be waiting for you.
F	RACHEL	I won't...be long. FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 24.
M	NURSE	Frau Roget?
M	VOGEL	Good morning, Frau Roget. I'm Doctor Bernhardt.
F	RACHEL	Good morning, doctor.
M	VOGEL	Alright now, just relax. We're going to do a little examination. If you feel at all uncomfortable, you just say. Alright? SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 25.
M	VOGEL (CONT'D)	Alright, this is my hand... and this is the speculum. It's going to feel cold. Can I ask how old you are?
F	RACHEL	Twenty five.
M	VOGEL	And how long have you and your husband been trying for a baby? RACHEL Nearly two years.
M	VOGEL	Uhuh. Well, the ovaries look fine. Alright, let's see... your cervix is slightly retroverted. Tilted backwards?
F	RACHEL	Really? The angle from which we next see VOGEL, and the way the
M	VOGEL	Mmm. But that generally shouldn't affect fertility.
F	RACHEL	Oh, good.
M	VOGEL	You have a slight accent, Frau Roget. Where are you from?
F	RACHEL	Argentina. We just moved here... A few months ago. FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 26.
M	VOGEL	Whereabouts in Argentina? Buenos Aires?
M	VOGEL (CONT'D)	Oh, Buenos Aires. Beautiful. I went once, when I was young. We went to the Opera house I remember. What's it called again?
F	RACHEL	Teatro Colon. He turns back to her, holding a swab, the warm smile.
M	VOGEL	That's right. Beautiful. This might sting a little, dear.
M	VOGEL (CONT'D)	I'm sorry. Now, there's a couple of tests we need to run, make sure there are no problems. Is that alright? Brave girl. FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 27.
M	STEPHAN	So. Everything...?
F	RACHEL	Next appointment is on Wednesday. But then Rachel lets go and walks off towards the toilets.
M	SMARTLY DRESSED MAN	Vielen dank!
M	STEPHAN	Bitte sehr.
M	STEPHAN	One, two, three, four, five, six... It's a ghost station... DAVID West Berlin trains pass through East Berlin on this track, but don't stop.
M	STEPHAN	Usually.
M	DAVID (V.O.)	The station's guarded at all times... FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 29.
M	DAVID	...and the stairs to the platform are sealed off. Our train driver makes an unscheduled stop on the near track. The last two carriages will be around...
M	STEPHAN	...here. And they will be empty. Once that train has stopped, the guards won't be able to see this fence. And on the other side of the fence is...
M	STEPHAN (V.O.)	...a postal depot.
M	STEPHAN (V.O.)	The vans come and go all day long.
M	DAVID	We're just one more parcel. Once we're in West Berlin there'll be transport to Templehof airbase and a private charter.
M	STEPHAN	That's the wrapping. Now all we need is the present. Rachel realises both men are looking at her.
F	RACHEL	Try this on. How does it feel? FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 31.
M	STEPHAN	Nice. Here you are, Mossad agent, all those years of training, the highest levels of marksmanship and krav magah, first big mission...sewing.
F	RACHEL	Black belt in dressmaking. STEPHAN I never argue with an armed woman.
F	RACHEL	What is it?
M	DAVID	It doesn't have a name.
M	STEPHAN	Shit.
M	DAVID	Now it does. FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 32. It's my birthday.
F	RACHEL	Uh, at ten - study the Mishnah, at fifteen - study the Talmud. By eighteen - stand under the wedding canopy... STEPHAN We're too late for all of those.
F	RACHEL	Uh...twenty. In your twenties you are to "pursue your life's goals."
M	STEPHAN	What are you pursuing Rachel? Rachel thinks about it, shrugs.
F	RACHEL	I don't know. I'm waiting to find out.
M	STEPHAN	Youth...
F	RACHEL	What about you, grandfather? Have you got a goal?
M	STEPHAN	Oh yes. We believe in goals in my family. We're very driven men. My father was Director of Collections by the time he was fifty. SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 33.
F	RACHEL	So what's your goal?
M	STEPHAN	Director of Collections by forty.
F	RACHEL	What about you David. What "life goal" are you pursuing?
M	DAVID	This is it.
F	RACHEL	This is it? This is all you want?
F	RACHEL	Seriously, what do you want out of life?
M	DAVID	I want this. I want to get Vogel. I want him to be put on trial and I want the world to watch so everyone knows what he did. I want them all to know the truth.
M	DAVID	And...I want another drink.
M	STEPHAN	Forget about it.
F	RACHEL	Forget about what? FINAL SHOOTING SCRIPT WITH PINK AMENDMENTS - 26.03.09 34.
M	STEPHAN	I've spent two years with him, and I don't know him. Nobody knows him. He's alone.
F	RACHEL	What about family?
M	RACHEL (CONT'D)	All of them?
M	STEPHAN (O.S.)	All of them.
M	STEPHAN (CONT'D)	Maybe it's not always a blessing to survive. STEPHAN Vielen dank!
M	SMARTLY DRESSED MAN	Bitte sehr.
