M	CHARACTER	DIALOGUE
M	LYNCH	I don't see her.
M	DAN	The shift change is late. Just wait.
F	PARKER	Are you sure about this?
M	DAN	We've been doing this forever. Trust me. This lady loves Lynch. She always goes for it.
M	LYNCH	I'm cute.
F	PARKER	Is um... is that her?
M	DAN	Shit.
M	LYNCH	Dude.
M	DAN	It's cool, it's cool. Look, all you have to do is smile real pretty and tell him-
F	PARKER	-What? Me? No way. This is your thing. easy. All you do is tell the guy that you and your friends-
M	LYNCH	-GIRLfriends. Say "girlfriends".
M	DAN	-you and your girlfriends forgot your credit card and you can't pick up your lift tickets. Start at $50. That's what we usually give the other lady. He'll take it. Trust me.
F	PARKER	Dan, no. You do it. I feel stupid.
M	DAN	You've got this. You can totally do this.
M	LYNCH	Parker, you've so got this.
M	DAN	The worst thing that happens is he says no. He won't say no. No one ever says no.
F	PARKER	Why me?
M	LYNCH	`Cause you're a girl.
M	DAN	A very beautiful girl with a very charming smile. There.
F	PARKER	My charming smile?
F	PARKER	Hey. Could I bum a smoke? Thanks. I'm Parker.
M	JASON	Jason.
F	PARKER	Oh, cool. My brother's name is Jason.
M	JASON	OK.
F	PARKER	Yeah, so I don't want to waste your time and bullshit you cause you seem like a wicked busy guy and everything...but..this is gonna sound so stupid... My girlfriends and I drove all the way up here from Salem State, and I was sort of the dumbass who told everyone that I could cover the lift tickets on my Mom's credit card...but then I left her credit card at the gas station...and so...
M	JASON	Right.
F	PARKER	No- but I mean, we totally have some cash and stuff. We just don't have enough to cover all 3 lift tickets, you know?
M	JASON	How much?
F	PARKER	Like...fifty?
M	JASON	I could lose my job.
M	LYNCH	He's not going for it.
M	DAN	Will you shut up? He's gonna go for it. It's either stand there and do the job for minimal... minimal, what is it?
M	LYNCH	Minimum.
M	DAN	-Minimum wage or do it for minimum wage plus a little bit more.
M	LYNCH	She had to come skiing with us?
M	DAN	You said you didn't mind?
M	LYNCH	I don't. I don't mind. Don't mind at all. beat. I'm just saying, you haven't done dollar pitchers at Fezziwigs with
M	R	us since last semester. You never come around for Monday night football, nobody has seen you at-
M	A	-I watched the game with you last week!
M	LYNCH	For ten minutes, Dan. Football games are more than ten minutes.
M	M	They're lots of ten minutes-es, you know?
M	DAN	Dude, I have a girlfriend now. I love this girl. I don't know what you... LYNCH No, no it's fine. I'm just saying, the Mount Holliston day trips were our thing, you know? She doesn't even know how to board yet.
M		DAN She's getting better. Now I feel like a dick. You should have said something if it was a problem.
M	LYNCH	It's not a problem. It's not. Forget I ever said anything. Dan smiles at Lynch. DAN Good work! See? They always go for it. PARKER I did good, right?
M	LYNCH	You did great.
M	A	
M	DAN	Oh, so where's my change?
F	PARKER	There isn't any. DAN You gave him the full hundred?
F	PARKER	He wasn't going for it at 50.
M	D	So what happened to the other fifty numbers in between there? Like, I don't know, $51 or maybe even $75? You gave me two 50's. What was I supposed to do, ask for change?
M	LYNCH	I would have asked for change.
F	PARKER	It's still way cheaper than paying for tickets, right?
M	LYNCH	I would have definitely asked him for change. They get up to the front of the line. Jason looks at Dan and
M	JASON	"Girlfriends"?
M	X	Parker gives him an apologetic smile.
M	A	DAN Look at that. See? All these other idiots are paying top dollar to ski. Not us. All thanks to you, baby. PARKER Oh, now I'm "baby"? You never call me pet names.
M	DAN	I'm just not a `pet name' guy.
M	D	PARKER He calls me "Parker." DAN It's your name.
F	PARKER	Yeah but you're supposed to call me something affectionate, you know? Like "honey" or "sweetie".
M	LYNCH	I hooked up with a girl last semester that called me by my last name in bed. It was so weird. "Oh, Lynch! Your hair is so soft! Do me harder, Lynch!" It was like I was throwing it to Dan over here.
M	DAN	See? At least I don't call you "O'Neil".
F	PARKER	You don't touch my face enough either. laughs.
M	LYNCH	
M	R	Third wheel.
M	A	Watch it, Lynch.
M	LYNCH	Hey, that's not fair. I'm not dating you, you don't get to make my life suck.
M	M	shoots Dan a look: "Oh, really?"
M	DAN	Wha-? I never said that. I never said you make my life suck. Sweetie.
M	D	a beat he awkwardly reaches out and touches her face. Aww!
M	LYNCH	Dan tells me you're getting the hang of that board?
F	PARKER	I wouldn't say that. But last time we went I did pretty good, right?
M	DAN	You did awesome. I'm telling you, the first few times are frustrating but once you get the hang of it, it's like riding a bike. Are you gonna trade in those ancient things for a board?
M	LYNCH	Please. Snowboards are too EMO for me. Give it ten more years and that fad will be dead.
M	X	DAN That's what they said about rap.
M	R	LYNCH Mmm-mmm. Smell that fresh mountain air, huh? Kind of smells like... cancer. PARKER You know what, I am so sick of potheads giving me shit about smoking butts.
M	LYNCH	At least pot does something for you. Cigarettes are just gross. Especially out in the cold. It like sticks to you and then you smell like a mixture of ash tray and an old man's used floss.
M	D	
M	DAN	Used floss? Where do you come up with this shit.
M		Have you ever sniffed your floss? It's nasty.
M	DAN	No, I have never- why would I ever sniff my floss? Why am I friends with you? Gimme a drag.
F	PARKER	What time do you think we'll get back? I have about 2 weeks worth of chapters to read tonight.
M	LYNCH	Oh no. She broke the rule.
M	X	Parker you just broke the first rule. What?
M	DAN	No worrying about the bullshit of real life. The whole point of this
M	A	is to relax and have fun. Worry about school when you get home.
F	PARKER	But, I haven't read a-
M	M	chair suddenly stops and lurches forward slightly. The suddenly shut off.
M	D	SKIERS and BOARDERS in the surrounding chairs express
M		DAN It's alright.
M	LYNCH	Uh-oh! Is someone afraid of heights?
F	PARKER	No.
M	LYNCH	So it doesn't bother you when I do this?
F	PARKER	Quit it!
M	PARKER (cont'd)	I'm not afraid of heights. I just don't like them.
M	DAN	Baby, in the whole history of time, only one chair has ever fallen off
M	R	of a lift.
F	PARKER	Points for calling me "baby" but you just made that statistic up.
M	A	LYNCH Yeah, statistics don't work on smokers. Oh, shut-up.
M	LYNCH	OK, WHAT ASSHOLE COULDN'T GET ON THE CHAIR RIGHT?
M	D	echoes from the chairs behind him. COME ON, I PAID GOOD MONEY TO DO SOME SKIING!
M	DAN	Actually, I paid good money.
M	LYNCH	Yeah, but I'm gonna pay you back so it's like the same thing. THAT'S WHAT I'M TALKING ABOUT! WOO!
M	X	He playfully sticks his tongue out at her and she laughs as
M	R	The three begin to get situated with their boards and skis.
F	PARKER	Why do I have to wear a helmet?
M	A	DAN Safety first.
F	PARKER	But you guys don't wear them.
M	M	She looks around.
M	PARKER (cont'd)	I only see little kids wearing them. Cause they're still learning, too. Come on, I'm not gonna argue about this. Even extreme boarders wear helmets. Nobody makes fun of them.
M	DAN / LYNCH	Awww.
F	PARKER	You're just doing this to make fun of me.
M	DAN	No, I'm not. I swear. You look hot in a helmet.
M	X	nonchalantly maneuvers over to her side.
M	LYNCH	Need some help?
M	R	SHANNON Do you think?
M	A	into his face.
M	M	the strap with his other.
F	PARKER	Aww, check out Lynch. See? Chick magnet.
M		RYAN What the hell?
M	LYNCH	Woah! Shit, man! I was just trying to help!
F	SHANNON	Ryan, what the hell?
M	RYAN	He had his hands all over you!
F	SHANNON	No he didn't. I can take care of myself!
M	X	and Shannon help Lynch to his feet. I am so sorry about that. He can
M	R	be such an asshole sometimes.
M	LYNCH	I was seriously just trying to help. I mean, how could I even
M	A	compete with a catch like that?
F	SHANNON	Are you OK?
M	LYNCH	Yeah, I'm fine.
F	SHANNON	Well, thank you for your help. I am so, so sorry about that.
M	D	I'm Shannon, by the way.
M	LYNCH	Joe.
M	RYAN	Shan!
F	SHANNON	Well it was nice to meet you.
M	LYNCH	I was like one second away from beating that guy's ass.
M	DAN	I know you were, man. Come on. Don't sweat it.
M	LYNCH	Seriously, that guy was such a dick.
M	X	PARKER Come on boys. We can talk about how tough you both are at the bottom.
M	R	Lynch starts down the hill.
M	DAN	I'm tough. PARKER I know you are. Dan, Parker, and Lynch move down the mountain on their snow
M	D	Finally, Parker comes to a stop on her own next to Dan and he
M	E	Look at you! See? Having fun?
F	PARKER	Are you kidding? We are totally doing this every weekend. In fact, if they were open during the week I'd say we should cut class, too.
M	LYNCH	Last one to the bottom is buying dinner! Parker and Dan take off laughing while Lynch feebly tries to Dan and Lynch pick at what's left of a pizza on the table in
M	DAN	We gotta take a weekend trip up North one of these days. Hit up Killington or Okemo and really do it up right. Why don't we just do it over Christmas. You and me.
M	DAN	Done. When I stayed with my cousin out West two years ago it was like
M	M	the stuff you see in commercials. We had to take like 3 lifts to get to the top and it was powder as far as you could see.
M	LYNCH	Well, speaking of good skiing... it's been cool doing the bunny hill
M	D	all day but do you think we could get one real run in before we leave tonight? DAN Dude, you didn't have to stay with us. It's totally cool if you want to go off for a few.
M	LYNCH	No, it's fine. I'm just saying let's step it up a notch at some point. It's been cool watching Parker fall on her ass all day but I would like to actually ski at some point. feels horrible.
F	PARKER	You know, I've probably had enough for today anyway. I can just stay in the lodge if you guys want to go-
M	X	Lynch feels horrible.
M	LYNCH	-no, no, no that's not what I meant. I didn't mean it like that.
M	R	looks to Dan.
F	PARKER	I told you I didn't have to come.
M	A	LYNCH Parker, I didn't not want you to come.
M	M	
M	DAN	It was his idea that we invited you in the first place.
M	LYNCH	Exactly. Remember? I was like "Hey man, why doesn't Parker come
M	D	with us?" And you were like-
M	DAN	-I was like, "OK that would be cool".
M		isn't buying it. She puts on a smile.
F	PARKER	It's OK, you guys. The last thing a girl wants to do is intrude on "guy time". I won't be offended. I've got stuff I could do anyway. Actually, can I have the key? I should check my messages.
M	DAN	No. No locker key. I can tell you right now that every message on there is going to be from your Mom giving you more aggravation about whatever the hell.
M	X	laughs.
F	PARKER	She does not.
M	R	looks to Lynch.
M	DAN	Ready for this? Two nights ago we were watching a movie and her Mom
M	A	kept calling and calling. And what did she want? She wanted to know if we wanted to have chicken soup or vegetable soup with Christmas dinner. Christmas dinner! Four weeks away, and she had to now right then and there what kind of soup we'd prefer. LYNCH What did you say? You said chicken. Hell yes, I said chicken, but that's not the point. The point is you can go a few more hours without hearing from Annette.
F	PARKER	I'm sorry if I ruined skiing for you today.
M	LYNCH	You didn't! You didn't at all! You missed the part before you walked over here when I was all like, "Dude, this has been so cool...you know...doing..."
M	X	Parker and Dan are beaming at him. He knows he's beat.
M	LYNCH (cont'd)	What?
M	A	From their POV the chair lift is still moving but the line is
M	M	Joe!
M	LYNCH	Wait up.
M	D	the lift line.
F	SHANNON	Hey. I just wanted to apologize again. LYNCH Oh, no big deal. He's just lucky he didn't make me mad. You know, I just look half your boyfriend's size.
F	SHANNON	Ex. He's my ex-boyfriend. We're, you know, trying to still be friends and everything but as you can see, that's not really gonna work.
M	LYNCH	No way.
F	SHANNON	A group of us all agreed to go skiing this weekend and well, whatever. It's a whole story and-
M	X	-I don't want to hold you up. But that was just really embarrassing. So I just wanted to say sorry. Are you gonna be here next weekend?
M	LYNCH	Where, here? Yeah, probably, yes.
M	A	SHANNON Cool. Well, my roommate and I come like every Sunday, so maybe I'll see you.
M	M	That would be...a nice time.
F	SHANNON	OK. See ya later.
M	D	jogs after Shannon again.
M	LYNCH	Actually, you know what? Would it be cool if I got your number or
M		something? That way I'll...know how to catch up with you and stuff.
F	SHANNON	Yeah, sure.
M	LYNCH	Shit. Don't ski with my phone. It's in the locker with everyone else's stuff. Do you have a pen?
F	SHANNON	Don't ski with a pen. Sorry.
M	LYNCH	Just shoot then. I've got a really good memory. I've only smoked pot like 500 times so I'm good.
F	SHANNON	You know it's a gateway drug right? Kidding.
M	LYNCH	Whew. You! That's so like you!
M	M	He puts a red flag on the back of a chair that heads up the
M	DAN	But we gave you a hundred bucks and we've only gotten like 4 runs!
M	D	
M	JASON	It's not my decision, man. They're closing early. You're only open three days a week. You can't afford to close early.
M	JASON	Why don't you write a letter?
M	LYNCH	Remember "429".
M	DAN	What? Just remember "429".
F	PARKER	
M	X	Come on, just one more run.
M	JASON	Sorry. DAN Honestly, I'd slide you some more money but we gave you everything we have. LYNCH Hey man, do you have a pen? JASON It's not about the money. They need to clear the mountain. We've got weather coming in. There's nothing I can do.
F	PARKER	What if we promise to run straight
M	D	down. Like the quickest run ever.
M	DAN	Wicked fast.
M		struggles. He sighs and looks around. There are still
M	JASON	Fine. But hurry. DAN PARKER you! Thank you so much!
M	DAN	We'll be wicked fast. Like the wind!
M	LYNCH	Seriously. For a hundred bucks
M	X	you'd think he could cut us some slack.
M	DAN	I know right? They're supposed to
M	R	stay open until 10 on Sundays. Whatever happened to night skiing?
M	LYNCH	Wachusett still has night skiing. We should have gone there. It's kinda like Ward Hill but not as lame. Hey, you remember the numbers I told you?
M	DAN	
F	PARKER	Good for you, Lynch. You got her number! DAN What did He-Man have to say about that? That guy? Who cares? Steroids shrink your dick. Wait, shit. What were my four numbers? "5022". Parker, will you remember "5022"?
F	PARKER	Nope. A fellow employee (RIFKIN) approaches.
M	RIFKIN	Early night, huh?
M	JASON	You're not gonna hear me complain.
M	X	
M	RIFKIN	Pendergraft wants you to stop by the office. Something about next weekend's schedule. JASON I'm not working next weekend.
M	A	Oh, come on. It's my brother's bachelor party. I put in for it two months ago. RIFKIN Go talk to the boss. He's getting ready to leave.
M	JASON	I'm the best man! Shit. Rifkin takes his place.
M	RIFKIN	Ready to shut down?
M	E	As Jason runs away he turns back.
M	JASON	There's three more on their way down. Wait for them, then it's all set.
F	PARKER	I'm not waiting til we get back to campus to eat. I'm starving.
M	DAN	Why didn't you have some pizza?
F	PARKER	You mean the cardboard with tomato sauce that you guys ate? That wasn't pizza. That was like,
M	X	`roller skating rink birthday party pizza'.
M	LYNCH	There's a Papa Gino's on our way
M	R	back. It's like 15 minutes down the road from the mountain.
F	PARKER	Sweet. I am gonna eat a whole real
M	A	pizza myself.
M	DAN	Check it out!
M	M	look down to see THREE SKIERS hit a huge jump, one after
