M	CHARACTER	DIALOGUE
M	LASER	I don't know, dude.
M	CLAY	B minus in geometry, yo! This shits the bomb!
M	CLAY (CONT'D)	Add it up, son. Laser takes the bill, bends over and snorts a line. Part Oxford reading room, part teenage girl's lair. Leaning
F	SASHA	Oh my God, Joni, there are so many hotties in your class. You are so gonna hook up the first week.
M	JAI	Just cause you're a 24 hour drive- thru doesn't mean everyone else has to be...
F	SASHA	Hey, she worked her ass off! She deserves some hot jock sausage! Jai looks repulsed, and hurt. Whatever. Why don't you guys just do it and get it over with? What? I'm just asking.
M	JAI	Uh, maybe because we're friends...
F	SASHA	Oh, really...? Sasha turns to Joni like an agent provocateur. Laser and Clay wrestle on the floor while Clay's DAD watches
M	CLAY'S FATHER	Hey, ladies! Take it down a notch. What did I just say?!
M	CLAY	Let me go!
M	CLAY'S FATHER	Don't do the crime if you can't do the time.
M	CLAY	Dad, your pits smell like burnt ass! Get off me! As Laser observes this male-bonding between father and son,
F	JONI	Laser! Knock it off!
M	LASER	What?! I'm not doing anything. NIC ALLGOOD (late 40's) pulls up into the driveway beside a Nic enters. Drops her bag and heads for the table.
F	NIC	Hi guys. Sorry I'm late.
F	JULES	Don't worry. We just started.
F	NIC	27 fibroids. All in the lining.
F	JULES	Honey, that's disgusting. We're eating.
F	JONI	Did you do that laparoscopically?
F	NIC	That's right, Smart Girl. And we got `em all. Hey, whose truck is that?
F	JULES	Mine. NIC Yours?
F	JULES	For the business.
F	NIC	What business?.. The gardening?
F	JONI	Isn't it landscaping. JULES Yes, thank you very much.
F	NIC	Okay... Do we have any Cabarnet left? JULES I didn't look, honey.
M	LASER	Hey, what's up?
F	JULES	Laser, no phone calls at the table.
M	LASER	Lemme hit you back. Who was that?
M	LASER	Nobody. Clay.
F	JULES	Can I ask you something? What do you get from your relationship with Clay?
M	LASER	What do you mean, "get"? Do you feel like he's the kind of person who will help you grow?
M	LASER	Mom, you're windshield wiping me.
F	NIC	Hey, did you start on those thank- you notes for your birthday gifts?
F	JONI	Not yet. But I will...
F	NIC	I just think it's easier to knock them out when it's fresh.
F	JONI	Yeah, I know, I'll do them tonight.
F	NIC	Great...I mean, you don't want to have to start with an apology. You know? Then it's embarrassing.
F	JULES	Okay, honey. She got it. Let it go. Okay, I'll let it go... I mean, if it was up to you, our kids wouldn't even write thank-you notes, they'd just send out good vibes. I can't believe my baby's 18.
F	JULES	I know...
F	NIC	Big girl. You're a big girl...
F	JONI	Mom... As Joni cranks out thank-you notes, Laser enters.
F	JONI	What? Laser looks nervous.
M	LASER	Have you thought any more about, you know, making that call...?
F	JONI	Yeah. I don't want to.
M	LASER	Okay...I was just wondering if you changed your mind.
F	JONI	I haven't.
M	LASER	How can you not even be curious?
F	JONI	Sorry, Laser. I just don't want to, okay? I'm leaving soon and I don't want to deal with that right now. And also, that could really hurt moms' feelings...
M	LASER	God, why do you worry about them so much? They don't even have to know about it!
F	JONI	Look, you can do it when you turn 18, okay? LASER I never ask you for anything.
F	NIC	I just don't understand why you bought the truck now.
F	JULES	Because if I'm starting this business I need something to haul my equipment in.
F	NIC	Okay. It just seems a little cart before the horse. JULES What does that mean?
F	NIC	Sweetie, you don't even have any clients yet.
F	JULES	Well you're the one who's always telling me to "act as if!"
F	NIC	That's true. I do. You're right. Look, I'm sorry. It's good you bought the truck. Its proactive. Hey... Wanna watch a movie?
F	JULES	A movie-movie?
F	NIC	Yeah. We haven't done that in a while. cozied up side-by-side facing the TV.
F	NIC	I don't like the guys in this one. They're too shaved.
F	JULES	Don't focus on it. NIC How about the one with the biker gang?
F	JULES	We left it in Hawaii.
F	NIC	I'm cold, honey.
F	JULES	Sorry. I couldn't breathe. Jules wrangles the blankets, trying to cover her partner.
M	MAN IN MOVIE	Suck that fat cock mother-fucker...
F	NIC	Shit!! Where's the remote?!
M	MAN IN MOVIE	I'm gonna fuck that tight ass!... Jules and Nic both dive for the remote. It's lost under the Joni turns to the wall, confused. She hears the porno music Nic finally recovers the remote and hits mute.
F	NIC	Jesus Christ! Nic flops back, traumatized.
M	NIC (CONT'D)	The whole neighborhood heard that! JULES No, they didn't.
F	NIC	Well, that was a vibe kill. Paul walks in carrying the box of tomatoes. He approaches
M	PAUL	How you doing, foxy?
F	TANYA	Mm, flapjack, you're smelling ripe.
M	PAUL	Oh, sorry... TANYA No, I like it. It's earthy.
M	PAUL	What can I say. I've just been out there, you know...hoe-ing. How's it looking tonight? They stand close to each other, peering at the chart.
F	TANYA	Gonna be tight. PAUL Really... Hello.
M	WOMAN'S VOICE	Hi, is this Paul Hatfield?
M	PAUL	It is. Who's this?
M	WOMAN'S VOICE	My name is Wendy Minter. I'm calling from The Pacific Cryobank. PAUL Okay. What can I do for you?
M	WENDY	I just need to confirm that you donated sperm with us between 1991 and 1993. At the mention of the word sperm, Paul goes pale.
M	PAUL	Yeah...I did a little bit of that back then... Paul enters. The kitchen is humming with COOKS prepping for
M	WENDY	As you know the Cryobank has a confidentiality policy which prohibits us from releasing your identity without your consent.
M	PAUL	Uh-huh. Paul heads to the back of the kitchen, searching for privacy. Paul moves into the pantry, finds the farthest corner.
M	WENDY (O.S.)	Well we've been contacted by a young woman conceived using your semen, and she's asked if you'd be open to having contact with her. OMITTED
M	LATER THAT NIGHT	
F	TANYA	You must of figured you'd get a call at some point.
M	PAUL	Not really. I mean I was 19 when I did it. It was so long ago...I just figured no one actually used my stuff. TANYA Why? I'd use it.
M	PAUL	This is so weird. I mean, a part of me's really curious...
F	TANYA	So what are you gonna do? PAUL I don't know. JONI Hello? Paul anxiously paces his overgrown back-yard on his cell
M	PAUL	Hi, I'm looking for Joni Allgood.
F	JONI	This is she...
M	PAUL	Hi. This is Paul... Uh, your donor...?
F	JONI	Oh! Hi... PAUL Is this a good time to talk?
F	JONI	Yeah...
F	JULES	Where are you going? It's your turn.
M	PAUL	So... How are you?
F	JONI	I'm good. How are you?
M	PAUL	I'm well, thanks. awkward pause. Paul jumps in to fill the void.
M	PAUL (CONT'D)	So, Wendy at the Cryobank said you call-- cuts in, nervous and businesslike.
F	JONI	Actually, my brother asked if I'd call you because I'm 18 and he's only 15 which is too young to call-- anyway, he'd like to meet you...if you want to...
M	PAUL	Your brother?
F	JONI	Yeah. Well, technically my half- brother. Each of my moms had a kid, you know, with your sperm... PAUL No. I didn't know.
F	JONI	Oh.
M	PAUL	Both of them?
F	JONI	Yeah.
M	PAUL	Like in two? JONI Uh huh. Like in gay.
M	PAUL	Good deal. I love lesbians. Paul cringes at his lameness. Joni doesn't know what to say.
F	JONI	I just don't want you to have big expectations.
M	LASER	Will you quit saying that? I don't have any expectations.
F	JONI	Okay. I'm just saying he might be weird. I mean, he donated sperm...
M	LASER	Well if he hadn't done it, you wouldn't be here. So respect, yo! Paul sits alone at a table facing the entrance. He nervously Joni and Laser enter the restaurant. They look nervous too.
M	PAUL	Joni. Hey. Nice to meet you.
F	JONI	Paul holds out a hand to Laser.
M	PAUL	And Laser, right? Right.
M	PAUL	Very cool name.
M	LASER	Thanks.
M	PAUL	Thanks for making the trek all the way over here. No one knows what comes next.
M	PAUL (CONT'D)	Cool, I got a table set up for us out here...
M	PAUL	Listen, feel free and ask me anything you want, okay? Or we can just hang out. That's fine too. Whatever you guys want.
M	LASER/JONI	Okay. Paul presses on, trying to break the ice.
M	PAUL	Anything you want to ask me, Laser?
M	LASER	I...uh...I didn't really have any specific questions... PAUL That's fine. I'd love to know about you guys. What about you, Joni? What are you up to? JONI Uh, well, I just graduated high school. I'm starting college in the fall. PAUL Oh yeah? Congratulations.
M	LASER	Joni's the brains in the family. She won a National Merit Scholarship.
M	PAUL	Shut the front door!
M	LASER	Yeah. And she got like an 800 on her Verbal SAT.
F	JONI	Okay, Laser...
M	LASER	What? I'm just saying you're really smart.
F	JONI	No, I just work harder than you. PAUL Don't stress it, Laze. School wasn't my thing either and I turned out okay.
M	LASER	Laser. I'm sorry. Laser. So tell me about you, Laser. What are you into? freezes. So his sister jumps in.
F	JONI	Laser's an amazing athlete. PAUL Oh yeah?
M	LASER	Did you play any sports in school?
M	PAUL	I played a little basketball in junior high.
M	LASER	That's it?
M	PAUL	Pretty much. The whole "team" thing got on my nerves, you know like, "Hey, let's go kick some ass, man!" What about you?
M	LASER	I play some Soccer. Basketball. Baseball. You know, team sports.
M	PAUL	Hey, I wasn't bagging teams in general. Teams are great. I'm just weird like that.
M	LASER	Yeah, I like teams. JONI So this is your place?
M	PAUL	Yeah, I've been working on it for a while. I also have this organic co- op farm down the road. We use a lot of the stuff we grow there for the restaurant. JONI That's so cool. I'm totally into local.
M	LASER	You are?
F	JONI	Uh, yeah Laser! I've been like trying to get moms to buy local for forever.
M	LASER	So, like, do you raise pigs and stuff?
M	PAUL	No. No pigs... But it's a great spot. You guys should come check it out sometime.
F	JONI	Yeah...Definitely...
M	LASER	Is that yours?
M	PAUL	Yeah. You like motorcycles?
M	LASER	Yeah, but...our moms are kind of anti-motorcycle. JONI And by "kind of" he means they'd kill us if we ever rode one.
M	PAUL	That's too bad. They're fun. Well it was great to meet you guys. I hope this was okay.
F	JONI	Yeah...totally...thank you.
M	PAUL	Really nice to meet you, Laser.
M	LASER	Yeah.
F	JONI	I just never pictured him that way. I just...I don't know...He was so cool and interesting. I can't believe that was him...He was so nice, you know?...
M	LASER	I guess...
F	JONI	You guess?
M	LASER	Yeah...
F	JONI	God, Laser! You're the one that wanted to meet him so bad!
M	LASER	I know.
F	JONI	Well what did you think of him? LASER I don't know. He seemed kind of into himself.
M	OMITTED	
F	JULES	Hey bug, come here. We're watching "Locked Up Abroad: Uganda."
M	LASER	I saw it. It was gnarly.
F	NIC	Where are you going?
M	LASER	Clay's.
F	NIC	Don't be back late, okay?
M	LASER	I know.
F	JULES	Can I have a hug before you go?
M	LASER	Mom... JULES Just a quick one. Please!
M	LASER	Hug her. That's what she's there for.
F	NIC	Ugh. Maybe we should just sit him down and ask him already.
F	JULES	What? "Are you and Clay fucking?"
F	NIC	"Exploring" is the word I'd use...
F	JULES	And what if he is "exploring?" This is the age for that. Why should we care?
F	NIC	We shouldn't... I just don't understand why he's exploring with that loser.
F	JULES	Look, we don't even know what the deal is. We're jumping to conclusions. NIC I feel like he has so much potential and he's just wasting it.
F	JULES	What are you trying to say?
F	NIC	What do you mean, what am I trying to say?
F	JULES	It feels like there's some subtext here.
F	NIC	What are you talking about?
F	JULES	I don't know: Like mother like son? Is that it? Both of us aimless, wandering in the darkness, "wasting our potential?" won't go there.
F	NIC	Okay, honey, you're on a whole other tangent and I have no idea what you're talking about.
F	JULES	Well, maybe it hasn't risen to the plane of consciousness for you yet.
F	NIC	Yeah. Maybe not.
F	TANYA	So what were they like?
M	PAUL	Sweet. They were really good kids. The boy's kind of a sensitive jock and the girl's kind of innocent but whip-smart and super cute.
F	TANYA	Sounds like you connected.
M	PAUL	Yeah, we kinda did.
F	TANYA	Where'd you leave it?
M	PAUL	We didn't really leave it anywhere. Brooke, the sexy Wiccan volunteer, comes up to Paul bearing a
F	BROOKE	Hey Paul. Paul leans over the basket.
M	PAUL	Whatcha got? Oh cool. First strawberries of the season.
F	BROOKE	Don't they look awesome? I thought you should have the first taste. And with that, she smiles, hands him the basket and leaves.
F	TANYA	"I thought you should have the first taste...of my pussy."
M	PAUL	Whoa...
M	LASER	Dude, I don't think they smoke pot.
M	CLAY	Hold up. Clay freezes. CLOSE ON a row of sex toys including a fancy
M	CLAY (CONT'D)	Whoa!
M	CLAY (CONT'D)	Yo, it's alive!
M	LASER	Dude, put it back!! Laughing, Clay throws the dildo back in the drawer. Then he
M	CLAY	Dude, we're watching this.
M	CLAY	Think the whole thing's like this?
M	LASER	Want me to fast-forward?
M	OMITTED	Jules pulls her truck into the driveway, almost running over JULES Laser, you left your bike out...
F	NIC	Laser, your mom and I accept you and love you unconditionally? You know that, right?
M	LASER	Yeah.
F	NIC	And you know you can be open with us about anything.
M	LASER	Yeah, I know.
F	JULES	Laser, is there anything you want to talk about?
M	LASER	Like what?
F	NIC	Anything. Anything on your mind. Well there is something. It's more of a question, really.
F	NIC	That's okay.
F	JULES	We won't judge you. looks at his moms. Nic and Jules brace themselves.
M	LASER	Why do you guys watch gay man-porn? and Jules look at each other, thrown.
F	NIC	Well, first I have to say we rarely watch that movie-- touches Nic's arm.
F	JULES	Honey... NIC And secondly, I really don't appreciate you snooping around our room. Was that Clay's idea? I have to say again, I don't like him. He seems untended...!
F	JULES	Honey, that's not what he asked--
F	NIC	Fine. Do you want to answer his question?!
