M	CHARACTER	DIALOGUE
M	BERTIE	You look like a Christmas tree.
F	ELIZABETH	Buck up, Bertie. The BBC said it wouldn't rain.
M	ELIZABETH (CONT'D)	Never trust the wireless. TKS/Seidler/09/17/08 4.
M	BBC NEWS READER	Ladies and Gentlemen: good afternoon. This is the BBC National and World Programmes taking you to Wembley Stadium. TKS/Seidler/09/17/08 5.
F	ELIZABETH	Why wasn't he told?
M	COSMO LANG	Ten million people listening around the world, Mam. Possibly more. His brother, and father, have been broadcasting since last year.
M	KING GEORGE V	Get on with it. Show what you're made of!
M	BERTIE	Luh-luh-lords, la-la-ladies, gen-tell-men.
M	COSMO LANG	I wouldn't miss His Highness' maiden voyage for all the world. And on such an important occasion.
M	BERTIE	No doubt you wish the Prince Of Wales was standing before you today. TKS/Seidler/09/17/08 6. Be that as it may...my brother David is attending to other duties in the furthest parts of this vast Empire...
M	KING GEORGE V	Just needs more practice.
F	ELIZABETH	Are you there?
M	LIONEL (O.S.)	In the lav. "How poor are they that have not patience! What wound did ever heal but by degrees?"
F	ELIZABETH	Pardon?
M	LIONEL	Iago...world's greatest villain. Just wants to be bad. Sorry, no receptionist.
F	ELIZABETH	I'd be more comfortable in your office.
M	LIONEL	That's for clients. Where's Mister J?
F	ELIZABETH	He doesn't know I'm here.
M	LIONEL	That's not a promising start.
F	ELIZABETH	My husband's seen everyone. They were all useless. He's given up hope.
M	LIONEL	A bit premature.
F	ELIZABETH	Because he hasn't seen you?
M	ELIZABETH (CONT'D)	You're very sure of yourself.
M	LIONEL	I'm sure of anyone who wants to be cured.
F	ELIZABETH	Of course my husband wants to be cured! His position requires public speaking upon occasion. A torment. I fear the requirement may grow more frequent.
M	LIONEL	He should change jobs. TKS/Seidler/09/17/08 8.
F	ELIZABETH	He can't.
M	LIONEL	Indentured servitude?
F	ELIZABETH	Something of that nature.
M	LIONEL	Well, have your `hubby' pop by and give his personal history. I'll make a frank appraisal.
F	ELIZABETH	Doctor...
M	ELIZABETH (CONT'D)	...I do not have a "hubby". We never talk about our private lives. Nor do we `pop'. You must come to us.
M	LIONEL	Sorry, this is my game, played on my turf, by my rules.
F	ELIZABETH	Perhaps you'll make an exception?
M	LIONEL	I thought the appointment was for "Johnson"?
F	ELIZABETH	A name used during the Great War, when the Navy didn't wish the enemy to know His Royal Highness was aboard.
M	LIONEL	I'm considered the enemy?
F	ELIZABETH	You will be, should you continue to be un- obliging. TKS/Seidler/09/17/08 9. For my method to succeed there must be mutual trust, complete honesty, and total equality. That process takes place in my consultation room. No exceptions.
F	ELIZABETH	In which case... I should have kept my pledge. I promised my husband I'd stop seeking "The Great Cure." I've wasted your time. And mine.
M	LIONEL	Bloody hell, I buggered that.
