M	CHARACTER	DIALOGUE
F	LARA	You know what? If you were smart you would stop talking right now.
M	ERIT	Sue me. I just know that women should never work for women.
F	LARA	How can you say that??
M	ERIT	They're always threatened. Especially if you're beautiful and they're not.
F	LARA	Erit, you are so full of shit.
M	ERIT	So, your boss isn't threatened by you?
F	LARA	Because she's a bitch! -- --Not because she's a woman.
M	ERIT	And you would describe her as "attractive"?
F	LARA	That has nothing to do with it!
M	ERIT	And there is my answer.
M	JOHN	Either of you like another drink?
M	ERIT	Women should work under men, men under women. That's it.
M	JOHN	But men under men?
M	ERIT	That's fine, too. They're used to it! Why are you laughing?
M	MICK	I don't know, bro, but I think I'd rather work under you than her.
M	ERIT	Oh please, I'd rather work under him, too.
F	LARA	You'd rather "work under" John?
M	ERIT	You have a problem with that, too?
F	LARA	No, why would I have a problem with your little sexual innuendo?
M	ERIT	What is up your ass tonight??
F	LARA	So, I shouldn't take offense that you're coming on to my husband right in front of me.
M	ERIT	Lara, if I wanted your husband I would have him.
F	LARA	How? You couldn't possibly show him more of your tits.
M	ERIT	-- You know what your problem is?!
M	JOHN MICK	That was a great meal! Okay--okay!
M	JOHN	She is completely full of shit.
F	LARA	DON'T try and agree with me now.
M	JOHN	You know what? I don't even believe she is in the dental profession.
F	LARA	Shut up.
M	JOHN	I bet she can't even spell anesthesiologist. Woman's a complete fraud.
F	LARA	We went to her office party, idiot.
M	JOHN	I think she hit on me that night, too.
F	LARA	You are completely delusional. She wasn't even hitting on you in there; I just don't like her.
M	JOHN	I understand. People who look like that should not be allowed anywhere near oral surgery.
F	LARA	You are such an asshole.
M	JOHN	You're in the chair trying to stay calm; how are you supposed to do that with those things hanging over your--
M	JOHN (CONT'D)	Someone's going to -- WHITE 9-10-09 5.
F	LARA	Hello!
M	LARA (CONT'D)	Did he cry?
F	JENNA	Only when I dropped him down the stairs.
M	JOHN	Thanks. See you next weekend.
M	JOHN	Okay, your turn. Very good, very good...
M	JOHN (CONT'D)	No, no, no; you feed me. Your son is hopeless.
F	LARA	Squeeze in tight.
M	JOHN	You can't do this every morning. It is way too corny.
F	LARA	Smile. It's just until he's eighteen.
M	LARA (CONT'D)	Present.
M	JOHN	Sweetie, you have to stop believing everything you read in a catalogue.
F	LARA	You hate brushing your teeth; this one brushes them in thirty seconds.
M	JOHN	I love brushing my teeth. The lies your mother tells.
F	LARA	When's your last class?
M	JOHN	Three, and I have papers to grade. Can you pick up Luke?
F	LARA	After yesterday I probably don't have a job anyway. Do you think it was wrong to call her a useless cow?
M	JOHN	Bosses admire that kind of frank exchange.
F	LARA	Did you call your father?
M	JOHN	When?
F	LARA	"When?" Yesterday, for his birthday!
M	JOHN (O.S.)	I sent him flowers and a handmade card.
F	LARA	You're completely impossible. Did you notice what I got for my birthday this year? A grunt.
M	JOHN	Mom said Happy Birthday and my father went . Made me tear up.
F	LARA	Ever think that someone has to be the bigger person here?
M	JOHN	Remember this for the custody hearing: how Mommy is always scolding Daddy.
F	LARA	How are you going to feel if Luke grows up and doesn't call you?
M	JOHN	Now she's driving a wedge between us.
F	LARA	I give up.
M	JOHN	And now she is abandoning you.
M	DETECTIVE QUINN	Police. Mr. Brennan?
M	DETECTIVE QUINN (CONT'D)	My name is Detective Quinn. This is a search warrant for these premises.
M	DETECTIVE QUINN (CONT'D)	Stay where you are.
M	JOHN	Get your --
