M	CHARACTER	DIALOGUE
M	Second Draft	
M	PROF. WEST	Watch out!
M	PROF. WEST	How deep are we?
M	SATNAM	8200 feet. Used to be an old copper mine, Professor, sir.
M	PROF. WEST	Helmsley told me that the neutrino count doubled during the last sun eruptions.
M	SATNAM	Correct, sir. But that is not what worries me...
M	SATNAM (CONT'D)	There was a new solar storm, so strong that the physical reaction got even more severe.
M	PROF. WEST	How can that be?
M	SATNAM	We don't know, Professor, sir.
M	SATNAM (CONT'D)	The neutrinos suddenly act like... microwaves.
M	POLITICAL AID #1	Look at Anheuser. Anyone would think he was President. Did you hear, he wants us to sign in and out like school boys?
M	ADRIAN	I still can't believe that Wilson chose him of all people to run the White House.
M	POLITICAL AID #2	Why not? Anheuser owns the Senate and the Congress.
M	ADRIAN	Shame he's such a pompous ass.
M	ANHEUSER (O.S.)	Somebody mention my name?
M	ADRIAN	Yes sir... No, sir.
M	ANHEUSER	Which one is it?
M	ADRIAN	We were talking about what a great speech you gave tonight. Well done, sir.
M	ANHEUSER	It's Helmsley, right? I'll remember that.
M	POLITICAL AID #2	That guy scares the shit out of me.
M	ADRIAN	Professor West?
M	PROF. WEST (O.S.)	I've been trying to reach you!
M	PROF. WEST	Listen, Adrian. The situation is much worse than we thought...
M	ADRIAN	Sir, the President needs to know this.
M	ANHEUSER	Helmsley, how long have you been on the job as science advisor?
M	ADRIAN	Four months this week.
M	ANHEUSER	I would say that's enough time to learn that we have rules here. You'll just have to wait until the quarterly science briefing.
M	ADRIAN	If this is about what I said last night, I am truly sorry, sir.
M	ANHEUSER	So you didn't like my speech?
M	ADRIAN	Can you please have a look at this, sir? It's really important.
M	ANHEUSER	Who wrote this?
M	ADRIAN	An Indian astrophysicist I graduated with from Harvard and Prof. West, the preeminent geologist in the US.
M	ANHEUSER	Who else knows about it?
M	ADRIAN	No one, sir.
M	ANHEUSER	Let's keep it that way, Helmsley. Good Morning...
M	PRESIDENT WILSON (CONT'D)	I hereby present a motion to meet privately with my seven fellow Heads of State, kindly excluding the rest of the delegates.
M	RUSSIAN INTERPRETER	Mr. Makarenko wishes to have his interpreters present.
M	PRESIDENT WILSON	Mr. President, judging from the conversations we've had in the past, I can assure you, your English is absolutely fine, for what I have to say.
M	PRESIDENT WILSON (CONT'D)	Six months ago I was made aware of a situation so devastating, that at first, I refused to believe it. However through the concerted efforts of the brightest scientists of several nations, we have now confirmed its validity.
M	PRESIDENT WILSON (CONT'D)	The world as we know it, will soon come to an end.
M	VOICE (O.S.)	You will have new houses, electricity and running water... ... Some among you will even have the chance to work for the glorious People's Republic of China building the biggest dam project in the world...
M	LIN	I will send you money mother.
M	COLONEL	Who can read and write?
M	COLONEL (CONT'D)	Who can weld?
M	MI-6 OFFICER (O.S.)	Has his Highness had the opportunity to study the dossier?
M	SAUDI PRINCE	You must understand I have a very big family. Mister...
M	MI-6 OFFICER	Isaacs.
M	SAUDI PRINCE	Mister Isaacs, one billion dollars is a lot of money.
M	MI-6 OFFICER	I'm afraid the amount is in Euros, your Highness.
M	MANFRED PICARD	Laura, I'm putting a lot of trust in your people.
F	LAURA	There are too many crazy people who could hurt her, Manfred. The World Heritage Foundation has done this all over the world.
M	MANFRED PICARD	And she'll be safe now? Tucked away in the Swiss Alps?
F	LAURA	Perfectly safe.
M	NEWSCASTER (O.S.)	... The mass suicide was discovered by a BBC documentary crew in the ancient Mayan city of Tikal...
M	NEWSCASTER (CONT'D)	... the victims were said to have adhered to the Mayan-Quiche Calender which predicts the end of time to occur on the 21st of December this year, due to the sun's destructive forces...
M	NEWSCASTER (O.S.)	... Strangely enough, scientific records do support the fact that we are heading for the biggest solar climax in recorded history...
F	JACKSON	Oh no. Not again. Hello?... What do you mean? I'm not late. It's not even 10:30...
M	JACKSON (CONT'D)	Damn it! Kate, I'm on my way... For god's sake...
F	JACKSON	They're kids, Kate, going on vacation. It's not a doctor's appointment... it's supposed to be fun. You remember that, right? Fun?
F	JACKSON	... I know it's mosquito season at Yellowstone, Kate. I'll pick some up on the way.
M	NEIGHBOR	Merrill, we should move back to Wisconsin.
M	RADIO HOST (O.S.)	... Those shake-proof coffee mugs are a genius idea, and they just show the true nature of us Californians.
M	RADIO HOST (O.S.) (CONT'D)	We'll not bow to little inconveniences like these so called `mini-quakes'...
M	RADIO HOST (O.S.)	... If you have a funny `mini-quake' story you wanna share, call Lisa & Randy at 1-800...
M	NOAH	Jackson, what is this?
F	JACKSON	Don't call me Jackson, Noah, I'm your father.
M	LILLY (O.S.)	Noah! Look! Daddy's got Space-Busters in the car... and Space-Busters 2. Awesome!
F	KATE	So what, you're a chauffeur now? What happened to the temp work?
F	JACKSON	This is better hours for me. Means I can still write.
F	KATE	Of course.
M	GORDON	Simone, how many times have I told you, we don't do Lipo on Fridays. It's too messy.
M	GORDON (CONT'D)	Have fun guys. And watch out for those bears. Nice car.
F	KATE	Noah needs to read twenty pages from his book each day...
M	KATE (CONT'D)	... and Lilly has to put these on, before she goes to sleep.
F	JACKSON	Still?
F	KATE	Jackson, they've been really looking forward to this you know. Don't let them down.
M	HARRY	So this time we'll hit the Japs.
M	TONY	So what?
M	HARRY	Well Tony, electronics are cheap there and... you could visit your boy Will.
M	TONY	Afternoon ladies...
M	HARRY	Are you even listening to me?
M	TONY	Yes unfortunately I am Harry.
M	HARRY	I heard from Audrey you're a grandpa now.
M	TONY	Why don't you keep your nose out of my family. You're cramping my style.
M	HARRY	He married a Japanese girl - how is that the end of the world? You should at least go see him.
M	TONY	Why? Do you see your boy?
M	HARRY	Not as much as I'd like. DC is a long way. But at least we talk.
M	TONY	What about?
M	HARRY	Life, how short it is...
M	TONY	What the hell was that?
M	MANFRED PICARD (O.S.)	Laura? They lied to us.
F	LAURA	Manfred is that you?
M	MANFRED PICARD	I had my suspicions. I should have said something. They are following me.
M	LAURA (O.S.)	Who is?
