M	CHARACTER	DIALOGUE
M	MARY (V.O.)	Vita aenigma est. Life is a puzzle. It is. Specifically, life is most like a crossword puzzle. There are a million reasons why, not the least of which is that life, like crosswords, requires the use of your whole entire brain- Her writing hand knocks a glass of grape soda and it spills
F	MARY	Crap. The puzzle answers all run together. In the last chair sits Mary Horowitz, 31, in her best
F	MARY	Four letter word for... vomit. She takes a deep breath to calm her nerves. it doesn't help.
F	MARY	Not "barf". For sure not "barf". That's too easy. "Puke" is okay, but maybe a bit pedestrian (that means boring)... I like "hurl". I do. I like the way it rolls off your tongue -- the word, I mean. But my all time favorite is none of those. She puts her head between her knees, tries to keep it
F	MARY	Four letter word for vomit? S-P-E- W. Spew... Sp-ew. A door nearby opens but Mary doesn't budge. A POLICE OFFICER A 40ish female TEACHER pokes her head out the door, signals
M	TEACHER	We're ready for you now. bag).
F	MARY	Jesus help me. The Teacher reads from her notes.
M	TEACHER	Here's a treat, students. Our final guest for Career Day, Miss Mary Horowitz, is the crossword constructor for the Atlanta Citizen. You know the crossword puzzles you see every week in the newspaper? It's her job to create them. Isn't that fun? Mary stares at the Teacher, whispers.
F	MARY	You weren't supposed to tell them.
M	TEACHER	Pardon me?
F	MARY	I made a crossword puzzle to help them guess what my job is. You ruined it.
M	TEACHER	Oh, I'm so sorry. Mary takes the crossword puzzles out of her bag, looks at
M	TEACHER	Maybe you could tell them a bit about what your job is like? watche s hit
M	GARBAGE	Mary drops thu p file out her the bottom She p lls u hearsed enthusiasm. bag, reads with re
F	MARY	People do crossword puzzles all the time but they don't often think of the person who made all the words fit together, and who thought up the clues, and who made sure the little black squares at the top mirror the ones at the bottom. She pulls one of the crosswords out of the garbage can, holds
F	MARY	Crossword constructors usually have above average intelligence, with knowledge of just about every subject you can imagine. And it helps if they can spell. The card in Mary's hand reads "LAUGH". She laughs. Nobody
F	MARY	Imagine, for a moment, a world without crossword puzzles. A world- Mary notices one Kid with his hand up. It totally throws her
M	TEACHER	Daniel, you have a question?
M	DANIEL	You make a living doing that? Just making puzzles? The Atlanta Citizen only comes out on Fridays. One puzzle a week can't make you enough to live on. A LARGE KID in the front row pipes up.
M	LARGE KID	How do you pay your rent?
F	MARY	My parents -
M	DANIEL	You live with your parents? The Kids all laugh their asses off. Mary just stares at
M	LARGE KID	Oh my God, how old are you? Still living at home! The kids all laugh some more. Mary's on the verge of panic.
M	TEACHER	Children! The Teacher shoots the Kids a warning look, then notices Mary
M	TEACHER	Are you okay? Mary grasps for breath, struggles to speak.
F	MARY	Water.
M	TEACHER	Water. Just hang on. The Teacher rushes out. The kids all stare at Mary.
F	MARY	Yep, I live at home... She forces herself to get it together, totally faking it.
F	MARY	But so do all of you, so there... And sure, I only create one crossword puzzle a week but I have deadlines, I have stress, I have demands on me so huge you would not believe. The newspaper business is hell. I mean it. Hell. Somebody's got to write about all the horrors that go on in this world. And after people read about those horrors, somebody else has to bring them back from the brink of suicide. Who do you think that is? She leans in close to the front row, scares herself more than
F	MARY	Me! My crossword puzzle is always good news. it enlightens. it r andma's entertains. It keeps your g mind alive so she remembers to send you five bucks on your birthday. Think about that as you lie in bed tonight picking your nose and crying yourself to sleep. I know I will. The Kids just stare at her. She leans against the teacher's
F	MARY	My job matters, you know. In media circles I am, as the Dutch say, geliefd. That means I have plenty of friends. Hoards, in fact. Scads even. The kids aren't buying it.
M	LARGE KID	You're a freak. The kids all nod in agreement. Mary's frozen, devastated. Mary looks at the Teacher, fakes a smile.
F	MARY	That's a pretty blouse. The Teacher smiles back. Awkward.
F	MARY	Twelve letter phrase for smashing success! She heads down the walkway toward the bus stop.
F	MARY	As one would say in old Paris... Coup de maitre! A CUSTODIAN cleaning the school yard looks up. Mary keeps on
F	MARY	It means "master stroke", even though the direct translation is actually "master blow"... Leave it to the French to pass off an unpleasant slave activity as an everyday expression. The Custodian doesn't know what the hell she's talking about.
F	MARY	I sometimes suffer from benign positional vertigo. Could you please not drive until I'm - f He ignores her, starts driving. Mary struggles toward the goes.
F	MARY	Excuse me... pardonnez-moi... begnadiyen sie mich... She lurches for an empty seat and just about dislodges her
F	MARY	Hello hematoma. She smiles at an angry ELDERLY LADY sitting across from her. In crosswords, as in life, some days are harder than others. It's true. In the New York Times, for example, the puzzles get harder as the week goes. So on Monday, a day that traditionally bites the big one, the crossword is super easy. It's comforting to know that although life can be difficult at times, crosswords let you off easy when you need it the most. Mary looks around for anybody to talk to. The other 40ish granddaughter BETTY selling magazines, ne smokes and Pocky. In the corner of the newsstand, a muted TV features CNN He ignores her. Mary hands the papers to Betty.
F	MARY	Hi Betty. Betty just rings up the papers.
F	MARY	Did you see the review of "Hairspray" in the Journal yesterday? They used the word "spectacular" -- always a good sign. Maybe you'd like to go see it with rne? I have a coupon for five dollars off. Betty shoves the newspapers back across the counter, points
M	BETTY	Nine dollar twenty. Mary fishes in her bag for money.
F	MARY	We could bring your dad if you want. I don't think the show is ageist. That means he won't feel like a loser for being old. As she takes her time paying, Mr. Takihashi madly gestures
M	BETTY	Pecha kucha! Do Itta! Betty takes Mary's money, waves her on and helps the next
F	MARY	So no then? That's a no? Betty ignores her. Mary waits, loads the newspapers into her
