M	CHARACTER	DIALOGUE
M	VOICE (V.O.)	When I was lying there in the VA hospital, with a big hole blown through the middle of my life, I started having these dreams of flying. Sooner or later though, you always have to wake up...
M	JAKE (V.O.)	They can fix a spinal, if you've got the money. But not on vet benefits, not in this economy.
M	PERKY NEWSCASTER	The Bengal tiger, extinct for over a century, is making a comeback. These cloned tiger cubs at the Beijing Zoo are...
M	JAKE (V.O.)	I became a Marine for the hardship. To be hammered on the anvil of life. I told myself I could pass any test a man can pass.
M	JAKE (V.O.)	Let's get it straight up front. I don't want your pity. I know the world's a cold-ass bitch.
M	JAKE (V.O.)	You want a fair deal, you're on the wrong planet. The strong prey on the weak. It's just the way things are. And nobody does a damn thing.
M	JAKE (V.O.)	All I ever wanted in my sorry-ass life was a single thing worth fighting for.
M	JAKE	I hope you realize you've just lost a customer!
M	JAKE	Candy ass bitch.
M	JAKE	If it ain't rainin' we ain't trainin'!
M	AGENT 1	Are you Jake Sully?
M	JAKE	Step off. You're ruinin' my good mood.
M	AGENT 2	It's about your brother.
M	JAKE (V.O.)	The strong prey on the weak. A guy with a knife took all Tommy would ever be, for the paper in his wallet.
M	JAKE	Jesus, Tommy. The Suits' concern was touching.
M	AGENT 1	Your brother represented a significant investment. We'd like to talk to you about taking over his contract.
M	JAKE (V.O.)	The egghead and the jarhead. Tommy was the scientist, not me. He was the one who wanted to get shot light years out into space to find the answers.
M	JAKE (V.O.)	Me -- I was just another dumb grunt gettin' sent someplace I was gonna regret.
M	JAKE	Are we there?
M	MED TECH	We're there, Sunshine.
M	MED TECH	People, you have been in cryo for five years, nine months and twenty two days. You will be hungry, you will be weak. If you feel nausea, please use the sacks provided for your convenience. The staff thanks you in advance.
M	CREW CHIEF	Exopacks on!
M	CREW CHIEF	Remember people, you lose your mask you're unconscious in 20 seconds and you're dead in four minutes. Let's nobody be dead today, it looks bad on my report.
M	CREW CHIEF	Exopack on, let's go!
M	CREW CHIEF	Go directly into the base! Do not stop! Go straight inside!
M	WAINFLEET	Look at all that new meat.
M	FIKE	Check it out, man. Meals on wheels.
M	WAINFLEET	That is just wrong.
M	JAKE	What're you two limpdicks starin' at?
M	WAINFLEET	Seen a lotta guys leave this place in a wheelchair. Never seen anybody show up in one. You are not in Kansas any more...
M	QUARITCH	... You are on Pandora, ladies and gentlemen. Respect that fact every second of every day.
M	QUARITCH	Out beyond that fence every living thing that crawls, flies or squats in the mud wants to kill you and eat your eyes for jujubees.
M	QUARITCH	We have an indigenous population of humanoids here called the Na'vi. They're fond of arrows dipped in a neurotoxin which can stop your heart in one minute. We operate -- we live -- at a constant threat condition yellow.
M	QUARITCH	As head of security, it's my job to keep you alive. I will not succeed -- -- not with all of you. If you wish to survive, you need a strong mental attitude, you need to follow procedure...
M	JAKE (V.O.)	Nothing like an old-school safety brief to put your mind at ease.
M	NORM	Hey, you're Jake right? Tom's brother? You look just like him. Sorry, I'm Norm Spellman, I went through avatar training with him.
M	NORM	He was a great guy -- funny. It was a big shock to all of us.
M	JAKE	Yeah.
M	NORM	And duh! -- obviously you look like him. I mean, if you weren't genetically identical, you wouldn't be taking over his avatar.
M	JAKE	That's why I'm here.
M	NORM	So -- you want to go check it out?
