M	CHARACTER	DIALOGUE
F	JUDIT	The Door of Alcala has also darkened. Judit heads slowly toward the kitchen. On the wall there is a Vitra On a windowsill (or on the kitchen table) there is an open newspaper. Swiftly, Judit powers the central electrical switchboard, which is in The light's return is contagious, a true spectacle, which ends with a It will probably be a close-up of the sun. Harry lies in bed, his head completely bandaged. Sunlight enters Judit is seated on the bed. She holds his hand and pleads, worried
F	JUDIT	Mateo, say something!
M	MATEO-HARRY	Mateo is dead.
F	JUDIT	(Sweet and devastated) Don't say that! years old. In `94, the time period when the flashback takes place, he
M	OFF HARRY	I always wanted to be another person, to be someone beside myself. To dispose of a single identity didn't seem enough. Living a single life wasn't enough for me. And half-joking, I came up with a pseudonym for myself, Harry Caine, an adventurer who, as fate would have it, became a writer. At that time, I had him author all the scripts and stories that I wrote. I came up with a standard biography to fill the back flap of his books. He had been a sailor, an industrial spy, the doorman at a Parisian cabaret, a boxer, a waiter and an advertisement hand-double. A self-made man, active and attractive like an English spy, vital, skeptical and sarcastic. For many years, Mateo Blanco and Harry Caine shared the same person, me, but a time came when, all of a sudden, I couldn't be anyone other than Harry Caine. I became my pseudonym. (He applies lotion in front of the mirror, reflected in it. Then, suddenly, the mirror does not left). Just as I had planned, a heterodox writer and, never better stated, a self-made man, one might even say, "self-written man". There was only one detail I had not foreseen, Harry would be a blind writer. 3. IMAGES THAT ACCOMPANY THE VOICE -OFF. HARRY CAINE'S DAILY He takes a shower ("Mateo Blanco and Harry Caine shared the same they run over the letters of the credits, making them disappear, in Cut to.
M	WAITER FRIEND	Do you want me to read you something from the newspaper?
M	HARRY	No, thanks. I am off on a stroll. RETURN TO SEC. 5
M	GIRL	Sorry . . .
M	GIRL	I'll tell you when!
M	HARRY	Thank you very much. Harry thanks her for her help, the Girl observes him the entire time,
M	HARRY	I live nearby, two blocks up, would you mind coming along with me? The Girl accepts, delighted. Tall, thin, attractive, modern, and But I warn you, I've never read out-loud, you may not like it!
M	HARRY	You will only have to browse.
M	GIRL	Do you mind if I turn on the light? So that I can read... It's too dark in here.
M	HARRY	Oh, yes... Turn the light on... Cut to.
M	GIRL	Ernesto Martel is dead!
