M	CHARACTER	DIALOGUE
M	STEPHANIE	There is no friction, with proper diction. Good sounds abound, when the mouth is round. She catches herself on the last word, a hint of "Missouri
M	STEPHANIE	Round. Yawn. She slips off her nightgown and lumbers into the
M	STEPHANIE	Well, you're a little cutie. A car's HORN blares, spooking the kitten. It darts into the
M	STEPHANIE	Hey! Slow down! The Van roars past. She pets the Kitten. It PURRS and licks
M	STEPHANIE	Go on home. Shoo now! She heads for the Bank. The kitten follows. She turns back,
M	STEPHANIE	Shoo!
M	MEXICAN MAN	We keep getting the same thing. Because I'm not employed by an American company, they won't take my application until they get my solvency statement. And the Mexican Treasury Department says that's going to take at least four more weeks.
M	MEXICAN WOMAN	And the house will be gone by then.
M	STEPHANIE	It says, here your employed by Pemex?
M	MEXICAN	That's right.
M	STEPHANIE	Isn't Pemex a subsidiary of Union Oil? a MEXICAN MAN Yes. So? 0
M	STEPHANIE	So technically, your employer is an American company. I think we can make this work. I'll call you this afternoon and let you know. The happy couple shake Stephanie's hand and exit. ELLEN,
M	ELLEN	I need clarification on the shoe issue.
M	STEPHANIE	Okay...
M	ELLEN	First of all-- you know you've got the only perfect pair of black dress shoes in L.A. So was that a definite, irrevocable, "no way" or t just a rather not at this time, "no way"?
M	STEPHANIE	It's an absolutely, positively, forget about the shoes already, "no way". They're my only good pair and I need them in good shape for tomorrow.
M	ELLEN	What's Up?
M	STEPHANIE	Dinner with Ray's parents. Ellen picks up a desktop photo: A shot of Stephanie and her
M	ELLEN	Ray's got a nice butt. Really tight Stephanie takes back her photo.
M	STEPHANIE	1 --I know. Thanks.
M	ELLEN	He's a keeper. But I told you about his mom, she's another story. I used to waitress at her country club, and with her, it's all about what private school you went to and who you know. You still up for that promotion? That would help. Stephanie looks longingly to...
M	THE VACANT OFFICE	of the former Assistant Manager. The large oak desk. The Stephanie turns back, pushing the thought away.
M	STEPHANIE	I'm not putting on a show. She'll either accept me for who I am or not.
M	ELLEN	Are you reading self help books again? The Kitten peers out through Stephanie's partially opened
M	ELLEN	Hello there! Ellen reaches for the Kitty but Stephanie waves her off.
M	STEPHANIE	--Shhhl I can't let my boss see him. Stephanie glances to her manager, MR. JACKS, a heavyset man
M	ELLEN	What about the shoes?
M	STEPHANIE	I told you. No. Now beat it. Mr. Jacks sneezes, rubs his nose. He looks suspiciously about
M	STEPHANIE	Uh Oh. You better bring the kitty home for me.
M	ELLEN	Sure. If I can take the shoes.
M	STEPHANIE	I told you, no. Mr. Jacks sneezes again, his eyes water. He turns to his
F	MR. JACKS	Has someone brought a damned animal into my bank?! Mr. Jacks looks about the Bank, his twitching nose leading
M	STEPHANIE	Okay, fine! Take the shoes! As Mr. Jacks arrives at Stephanie's desk, he overhears:
M	ELLEN	Just don't expect me to take care of it. This catches Mr. Jack's Attention. He turns to the ladies,
M	STEPHANIE	Of course not. I'll take care of everything. And thanks for choosing Bank of California. Ellen plays along.
M	ELLEN	Okay. Then I'll see you later. I mean--- whenever the next time I'm in the bank. You know-- for a loan.
M	STEPHANIE	Goodbye. As Ellen passes, Mr. Jacks sneezes again, harder.
F	MR. JACKS	Someone has definitely brought an animal in here. He eyes Ellen suspiciously as she exits.
M	STEPHANIE	I don't see any cats. Or any animals.
F	MR. JACKS	Hope to hell, not.
M	STEPHANIE	By the way, I put the paperwork for the Mcpherson loan on your desk.
F	MR. JACKS	Mcpherson?
M	STEPHANIE	That big corporate loan I've been trying to set up? It's just preliminary but--
F	MR. JACKS	Oh, right. I'll look it over when I get the chance.
M	STEPHANIE	Mr. Jacks, I was wondering it you had made any decision regarding the Assistant Manager's position yet?
F	MR. JACKS	I'm still deciding. Right now it's between Stu and yourself.
M	STEPHANIE	Stu? The trainee? Stephanie turns to see Stu, the balding loan officer who sits
F	MR. JACKS	I know he's new but he's also quite aggressive and we like that. Don't get me wrong, you're well liked here, but we're also looking for someone who's not afraid to crunch the numbers and make the tough decisions.
