M	CHARACTER	DIALOGUE
M	BUS H	Just a boy, that's all. 7 Bush rips down an old faded sign at the road and posts a 7 The Model-T comes to a shaky stop. A MAN climbs out, sees
M	HORTON	Mornin', sir.
F	BUSH	Hard life if you can't read..
M	HORTON	Pardon? I'm uh, Reverend Gus Horton, sir, how you doing? Bush stops his swing and turns and stares coldly at Horton.
F	BUSH	
M	HORTON	Uh, well, Mr. Wiley Starke has passed on, sir. His funeral is tomorrow and I thought you might want to know since.. What got him?
M	HORTON	Just got old, sir.
F	BUSH	Yeah, well.. Bush returns to chopping wood. Feeling awkward, Horton hesitates, starts for his car, stops.
M	HORTON	Mr. Starke told me that you and him ran away from home when you were 6 years old. Is that true?
F	BUSH	I talked him into it. Bush doesn't turn, just keeps chopping.
M	HORTON	Well.. anyway.. I.. alright.. Horton shrugs, get in his car, and leaves.
F	BUSH	Well hell.. Mule sees Bush and grunts anxiously as he rises. Bush tries to think through the fever. He stumbles back to
F	BUSH	Always thought you'd go first.. White as cotton, Bush stares into the lamp that is running Back from the brink of death, Bush emerges into the blinding
F	BUSH	Ahh, don't look so disappointed.
F	BUSH	You better not. Mule looks back, sees an apple in Bush's hand, and stops.
F	BUSH	And coffee when we get there. Mule comes to a wearied stop, breathing hard. Bush climbs off
M	HORTON	Buddy? But as he turns he sees Bush silently looking around.
M	HORTON	Oh! Hello.. Horton comes to Bush but Bush ignores him and keeps
M	HORTON	What can I do for you, sir? Suddenly BUDDY and KATHRYN ROBINSON (20's) enter from the Bush is transfixed by the loving moment.
F	BUSH	I can wait. Buddy and Kathryn see Horton and double-take Bush. Buddy nods
M	HORTON	It's alright, have a seat. Bush sits down uneasily in a pew. Horton sits down in the pew
M	HORTON	What's on your mind, sir?
F	BUSH	Bout time for me to get low.
M	HORTON	Get what?
F	BUSH	Down to business Bush reaches into his overalls and puts a balled-up wad of
F	BUSH	Need a funeral. Horton looks up from the money.
M	HORTON	For who?
F	BUSH	Me. Buddy peers around from the vestibule, listening, curious as
M	HORTON	For you? You want to buy a funeral for you?
F	BUSH	Am I not talking right?
M	HORTON	No, yes, I'm sorry. Are you sick sir?
F	BUSH	Everybody dies.
M	HORTON	True, but..
F	BUSH	I don't take care of my bones it won't get done, will it?
M	HORTON	All right, I see. Well the church can help you get your affairs in order, arrange a service.. Horton glances at the strange wad of money again.
F	BUSH	What would you say?
M	HORTON	About what?
M	BUS H	Me.
M	HORTON	A eulogy? I.. don't know. What do you want me to say?
F	BUSH	Say what you'd say right now to my face.
M	HORTON	Well. I uh, I don't know much about you, Mr. Bush. I mean, I've heard stories but..
F	BUSH	What stories? Bush leans in and stares into Horton. It feels like Buddy peeks in again, this time Kathryn peeks too.
M	HORTON	Just stories.. .you know, people talking.
F	BUSH	What kind of stories? Say one.
M	HORTON	Sir.. my mother used to say that gossip is the devil's radio.. .not that she didn't play that radio at full volume now and then, bless her heart, but.. .what matters when you come to the end of your life is that you're ready for the next one. Have you made peace with God, sir?
M	BUS H	I paid. Horton has no idea what Bush means. He looks at the money,
M	HORTON	Well.. you can't buy forgiveness, Mr. Bush. It's free. But you do have to ask for it.
F	BUSH	Nothing in this world is free, preacher. Bush abruptly grabs his money and starts out. His hand bangs Buddy stares wild-eyed at the big wad of money then drops Bush storms past Buddy, Kathryn and the baby like a hot wind.
M	HORTON	That was, uh, different.
F	KATHRYN	I heard such awful things about him when I was a kid.
M	HORTON	My mother probably told you some of them. Kathryn goes back into the church with Horton who is cooing Bush is holding a big tin cup of coffee for Mule who is Tom (the kid who threw the rock) comes from behind the diner Bush looks up and stares at him.
F	BONNIE	What are you doing, son? Now Tom is scared to death that Bush is going to tell on him.
F	BONNIE	Empty those cans in your daddy's truck and get back in here. Now. Finally Bush drops his gaze and lets Tom off the hook.
M	GARY	Look at that. A mule drinking coffee!
M	CARL	Finally found somebody that likes Bonnie's coffee. As they move past, they see Bush standing there..
M	WORKER	Ya'll better hush, that's old Bush. Carl eyes him. Gary and the others throw curious glances as
M	CARL	Hey.. I'm talking to you.. Carl picks up a handful of gravel, tosses some over
M	CARL	We know about you. You stay out of this diner. There's women and children here and we don't want you around them. Bush stands to mount up, never turning around.
M	CARL	You better hear me. I see you here again, I'll.. Hey! Hey! Hearing the hollering, Tom looks up from the pick-up. But the rock misses Bush and hits Mule, startling him. Old
M	CARL	Shit.. Carl moves up to try and calm him.. .as Bush tries to ease Mule down the cart hitch grinds a As Carl steps up, Bush yanks the BRAKE HANDLE off the cart Carl falls like a bag of bones. He looks up and sees Bush
M	TOM	Daddy! Wild with fear, Bonnie and Tom run toward Bush.
F	BONNIE	Stop it!! Get away! Gary, the Worker burst from the diner but see the brake Bush comes to himself, sees everyone staring, sees Carl in Buddy races up, sees Mule bleeding, and eyes Bush as he grabs I'll kill him! Bonnie shushes him softly as Carl moans in pain.
M	BUDDY	Frank? There was a fight. It was..
M	FRANK	.let me guess. Hmm. Carl?
M	BUDDY	Well yeah but this time it was with that old man Bush.
M	FRANK	Old man? Is there a body?
M	BUDDY	No, the old man did the beating. Never seen anything like it.
M	FRANK	Social event of the year and I missed it. Frank lowers the paper so just his eyes appear. He has no
M	FRANK	Read the paper today? Something strange is happening in the world right now.
M	BUDDY	What?
M	FRANK	People are dying in bunches. Everywhere. But here. He puts the paper down and studies his socks.
M	FRANK	I wonder what the odds are of a funeral home going broke? I mean you have a business everybody on earth needs, you can't make that work, it's got to be you right? And yet.. I don't know.. what do you do when people won't die?
M	BUDDY	Well..
M	FRANK	Onethingabout Chicago, people knowhowto die; they drown, get runover,shot, whatever it takes.
M	BUDDY	We get it done down here, we're just not in a hurry about it.
M	FRANK	It's them or us. Frank sighs and stares forlornly out at a casket. I might know someone who is looking for a funeral. Frank's eyes crawl over to him.
M	FRANK	How much did he have?
M	BUDDY	It was all wadded up.
M	FRANK	Ooo, hermit money. That's good. Buddy sees Bush's signs.
M	BUDDY	There it is..
M	BUDDY	What are you doing?
M	FRANK	You've been wanting a shot at sales..
M	BUDDY	But..
M	FRANK	As of right now, you're on commission. Remember; foot in the door, establish trust, and drop the hammer. Buddy hesitates, crawls out, and eyes the shack.
M	BUDDY	I'd feel better if you'd go too.
M	FRANK	No doubt but if you don't do this by yourself, you won't know if you're any good. And you'll never be any good if you don't know you are. Go get him!
M	BUDDY	Hello? Nothing. He shoots a look back to the hearse - miles away, Buddy spins and discovers Bush standing on the ground behind
F	BUSH	Want to see in my house, do you? BOOM! Bush blows away several windowpanes and re-aims at
F	BUSH	How's it look? Buddy closes his eyes, his last words are for his wife..
M	BUDDY	Oh, Katie.. It makes Bush peek out from behind the barrel.
M	BUS H	You was at the church with your wife and baby. Buddy opens his eyes and can't believe he is still alive.
M	BUDDY	Yes, sir.
F	BUSH	What the hell you doing here?
M	BUDDY	I can't remember.
F	BUSH	What? They stand there while Buddy thinks..
M	BUDDY	Oh yeah, I heard.. you wanted a funeral.
F	BUSH	Funeral?
F	BUSH	Yes sir. I work at uh.. I work at.. .Quinn Funeral Home. I thought I could help you. Bush glances at his blown out window: 'Damn'. He lowers his
M	BUS H	You like rabbit?
M	BUDDY	What? Bush goes inside. Buddy looks desperately back at the hearse but can't see
F	BUSH	Sit down. There is only chair at the table so Buddy dumps the glass off Bush is at the stove tending to a iron skillet of rabbit
F	BUSH	It's how you put things together, see? Some things go, some things never will. Indians said that everything spoke to them. That's how they made medicine and knew what to eat. Things talked to them clear as we talk. You believe that?
M	BUDDY	I.. I don't know, sir.
F	BUSH	If you don't listen you won't hear nothing. Bush puts the big skillet on the table and sits down.
M	BUDDY	Did you make this furniture, sir? Never seen any like it. Can't even tell what's holding it up.
F	BUSH	Magic. Buddy looks up. Bush is dead serious. The word lingers.
M	BUDDY	Alright. Well. Sir, if you do want to plan for a funeral service, which I hope will be a long long time away, we'd treat you with respect and offer a good..
F	BUSH	What'd everybody say about what happened in town?
M	BUDDY	I don't..
F	BUSH	That crazy old son of a bitch tried to beat a man to death for no reason? That it? Buddy is caught off guard by Bush's lucid candor and finds
M	BUDDY	There's two sides to every story. As Bush puts some rabbit on Buddy's old yellowed plate..
F	BUSH	People say that. But they don't mean it. They think what they think and they don't want to know anything else.
M	BUDDY	Yes, sir, but I think people are so scared of what they don't know that they make things up to feel better about it.
F	BUSH	Like life after dying. Heaven. I hope that part's true, don't you? But I don't think we know the actual truth about much of anything. I know I don't. I'm just guessing most of the time. Bush gives Buddy a closer look and motions for him to try the
M	BUDDY	Lord, that's good..
M	BUS H	You boys been coming out here to throw rocks through my window for 20-30 years.
M	BUDDY	I never..
F	BUSH	Ya'll know lots of stories about me? Yes, sir, I guess, but..
F	BUSH	Tell one.
M	BUDDY	I'd rather not. Bush eases forward, his eyes slit. The old Bush is back.
F	BUSH	I rather you did.
M	BUDDY	Well. When I was kid I heard you killed some men in a fist fight.
F	BUSH	Is that all? Bush leans back stone-faced. In the silence, Buddy looks over again at the wondrous
M	BUS H	What's your name again?
M	BUDDY	Buddy Robinson, sir.
M	BUS H	Well, if I need you -- I know where you are. It sounds almost like a threat. It shorts Buddy out. He stops
M	FRANK (O.S.)	Oh yes Ma'am, I do respect your wishes but you see..
M	FRANK	.state law requires.. No ma'am, we can't bury him under the house.. There is a loud KNOCK at the door. Buddy goes to get it.
M	FRANK (O.S.)	Well just for argument's sake, Ma'am, how would we get the casket under the house? No casket? Would you like to come in, sir? Bush stares suspiciously into the room then back at Buddy.
M	FRANK (O.S.)	But you have to have a container of some kind, Ma'am for decency and uh, sanitation. Bush enters the Funeral Home. As Buddy starts to close the
F	BUSH	Leave it.
M	FRANK	Yes, Ma'am, but there's lots of natural things that aren't decent. He did what?! Good God. No, Ma'am, I didn't know that about your husband. Well, yeah now I understand why you want him under the house but still.. The phone goes dead. FRANK sighs as Bush walks in.
M	BUDDY	Frank Quinn, Mr. Bush. Frank takes a quick swallow from his cup to fortify himself,
M	FRANK	Come in, come in, pleasure. Coffee? As Bush shakes Frank's hand, he stares into him, taking
F	BUSH	You from anywhere?
M	FRANK	A little bit of everywhere, I guess. Get him a chair, Buddy! Buddy stands behind the waiting chair. Bush scrapes up a different chair. Frank goes behind the Bush reaches into his coat and pulls out the wad of hermit
M	FRANK	How can we help you, sir? Bush gives Buddy a look, then looks back at Frank who
F	BUSH	I'm after a funeral.
M	FRANK	Boy, are you in luck. Follow me.
M	FRANK	Solid pecan, steel handles.. Bush eyes it, repulsed.
M	BUDDY	Mr. Bush is an amazing carpenter.
F	BUSH	Forget the box. What else?
M	FRANK	Whatever you want, flowers..
F	BUSH	No.
M	FRANK	Burial plot..
F	BUSH	Got it.
M	FRANK	A service?
F	BUSH	Party.
M	FRANK	A what?
F	BUSH	A party.
M	BUDDY	What kind of party?
F	BUSH	Funeral party. Stumped for once in his life, Frank looks at Buddy. Then
M	FRANK	We can do that.
F	BUSH	And I want to be there. Frank goes behind his desk. Buddy and Bush start to sit..
M	FRANK	You will be, I guarantee it.
F	BUSH	I want to be there now.
