M	CHARACTER	DIALOGUE
M	MR. TURNER	Any word from Doug? The way he spits out "Doug" tells us all we need to know
F	TRACY	No, but I'm sure he's-- Just then, Tracy's CELLPHONE rings. She quickly answers it.
M	TRACY (CONT'D)	Hello?
M	VICK LENNON	He's in his late 20's, tall, rugged -- and currently a mess.
M	VICK	Tracy, it's Vick. Parked on the dirt road behind Vick is his near-totalled 1967 Slouched inside are TWO OTHER GUYS, also looking like hell.
F	TRACY	Hey Vick!
M	VICK	Listen, honey...The bachelor party got a little out of control and, well...we lost Doug.
F	TRACY	What?! But we're getting married in like four hours! Vick squints at the rising sun.
M	VICK	Yeah, that's not gonna happen. At the wheel is Vick, looking as sharp as his Caddy in a half-
M	STU	Dude this is already the best weekend ever!
M	VICK	Stu, relax, we're still on the 10.
M	STU	Oh, did I show you pictures of my kids?!
M	DOUG	No, dude, show `em. Stu fishes pictures out of his wallet and eagerly shows them
M	STU	Haylee is two, and Kaitlin is already four! Can you believe it?!
M	DOUG	How cute... Good for you, man. Doug shows the photos to Vick; he nods, impressed.
M	VICK	The one on the left is gonna be a hottie. The other one, not so much. Stu protectively snatches the photos back, muttering:
M	STU	Jesus, dude, those are my children--
M	ALAN	Hey, am I rubbed in? Stu glances over and sees un-rubbed-in sunscreen all over
M	STU	Yeah, you're good.
M	DOUG	Hey so Alan, are you and Becky still together? But before Alan can answer--
M	VICK	Of course they are, Doug. Jesus, Alan's been dating Becky for 14 years. When they first met, Alan had braces and soccer hair, and Becky had a functioning hymen. Asking Alan if he's still with Becky is like asking the sun if it still rises in the east. The guys try not to laugh; Alan scowls.
M	DOUG	She still pressuring you to get married?
M	ALAN	Enh, we've moved past the pressure stage...it's more like aggravated assault stage now? Like at the last wedding we went to, she threw a camera at my head, called me a closet fag, then ran out crying. The guys wince, oooo.
M	ALAN (CONT'D)	But we talked, and everything's cool now.
M	STU	Maybe you could wear a helmet to Doug's wedding.
M	ALAN	Great idea, Stu. Thanks. So Vick, how's business going?
M	VICK	Oh, great. Yeah, I'm working on bringing the next big dessert craze to Los Angeles. It's gonna be huge.
M	DOUG	What is it?
M	VICK	Bavarian custard. We ran the numbers, and it's gonna be bigger than fro yo. Doug and Stu nod, impressed; only Alan looks skeptical.
M	ALAN	Isn't custard like a trillion calories--? Our plan is to open three stores in the Valley and then franchise it. Shares are selling fast, but I can probably squeeze you guys in...
M	DOUG	Yeah, man, count me in.
M	STU	Me too, man! I love pudding! Alan just shakes his head, unbelievable.
M	ALAN	Is this gonna do better than the hip-hop label you started, Vick? Or the topless sushi bar? Or the mobile tattoo parlor--?
M	VICK	Tattoo-To-You was an idea ahead of it's time, Alan! And don't come crying to me when there's a Custard Cabana on every street corner in America and you didn't buy in--! All right, all right, save it for the party... Vick and Alan quiet. Stu is still drumming the seat.
M	STU	Dude! I can't believe I get to party all night, and then, tomorrow ...I get to sleep in! It's almost too much! And FYI, if anyone gets really drunk and craps themself, just let me know, I can have you cleaned up and partying again in under three minutes. No joke. I am a master of stool removal... They rocket off into the desert, LAUGHING...
M	THE FRONT DESK	A perfectly pressed LEBANESE MAN waits behind the front desk.
M	FRONT DESK MAN	Welcome to the Mandalay Bay.
M	VICK	Checking in. Lennon comma Victor. The man types into his computer.
M	FRONT DESK MAN	Yes, we have you down for a one night stay in an economy suite-- Vick glances at the man's nametag; it reads "ATASHIR."
M	VICK	Hold it right there, Atashir. This is my best friend from childhood, Douglas Billings. In two days, he is to marry a woman of great beauty and strong teeth, do you understand? A woman of gigantic bosoms who will give him many, many sons... Atashir looks confused. Alan looks embarrassed. My two other childhood friends have travelled great distances, across many deserts, to be here. This isn't a night in a hotel for us, Atashir: this is a family reunion. Perhaps you too have family situated great distances away, in a foreign country with much sand? Atashir looks like, sort of...? Vick reaches over the counter
M	VICK (CONT'D)	Then I have but one question for you, friend: if they came to town, would you put them in an economy suite?
M	ATASHIR	No, sir.
M	VICK	Well, then. I think one of us needs to get back on his little computer and find us a suitable room. Atashir frowns...but types away at his computer.
M	ATASHIR	All the deluxe rooms are taken. The Dean Martin suite is available, but I'd have to ask my--
M	VICK	Dean-o will be fine. Send up a case of Cristal, two bottles of Patron, four ahi sandwiches, and a crate of skinless mangos... Vick turns to the guys:
M	VICK (CONT'D)	You guys want anything? The guys stammer, too stunned to speak.
M	VICK (CONT'D)	And have Jean-Marie cook up a dozen of those duck skewers I like so well. He knows the ones.
M	ATASHIR	And how would you like to pay?
M	VICK	American Express. Atashir looks up to accept the card. After a beat, Vick turns Dude, give him your AmEx.
M	ALAN	What?
M	VICK	Don't worry, we'll hit you later. Alan stammers.
M	VICK (CONT'D)	Dude, come on, I paid for gas. Stop being such a Jew. Alan stammers some more -- then angrily pulls out his card.
M	STU	This is bigger than my house. Vick blows past them, totally unfazed.
M	VICK	Get dressed, ladies. We're wheels up in ten. Stu and Doug race off to find their bedrooms, leaving Alan
M	ALAN	I am so not getting paid back.
M	VICK	This is Vick. Vick listens -- then grows a bit panicked: He's in Vegas?! You're kidding me! All right, I'll get it. All right. All right--! When Stu walks past, Vick turns away and covers the phone,
M	VICK (CONT'D)	I said all right, dude! How many more times you want me to say all right?! All right. All right. Vick hangs up, looking uncharacteristically stressed...
M	ALAN	So, you ready for Sunday?
M	DOUG	Yeah. I thought I'd be nervous, but I'm actually just really psyched. Alan nods, impressed.
M	ALAN	Tracy's dad still hate you?
M	DOUG	Oh yeah.
M	ALAN	Any closer to figuring out why?
