M	CHARACTER	DIALOGUE
M	TITLE CARD-	"This really happened"
M	TITLE CARD-	"It really did"
M	DOCTOR	Where's the crash cart!?
M	STEVEN (V.O.)	Love sure is a funny thing... It makes you happy. Makes you sad. Makes you do all sorts of things you never thought you'd do before. Love's the reason I'm here actually. "I Love You Phillip Morris" Green Pages 5-23-08 2.
M	RED HAIRED BOY	I still don't see it.
M	LITTLE GIRL	It's right there.
M	YOUNG STEVEN	It's really big. Steeeeeeeeeven...
M	STEVEN'S MOM (CONT'D)	Steeeeeeeeeven...
M	STEVEN'S MOM	Are you a happy little boy Steven?
M	STEVEN'S MOM (CONT'D)	You've always been such a happy little boy. Now Steven, we want to tell you something very important, but I want you to understand that it doesn't change a thing.
M	STEVEN'S MOM (CONT'D)	We're still gonna love you, you're still gonna be our happy little boy and you're still gonna--
M	STEVEN'S BROTHER	You're adopted. Love You Phillip Morris" Green Pages 5-23-08 3.
M	YOUNG STEVEN	Shut up!
M	STEVEN'S MOM	It's true. Your brother overheard your Dad and I talking and well, we didn't want you to hear it from anybody but us. It's true. You're a special little boy. You know why? Because we chose you. Not like your brother here who's natural.
M	STEVEN'S DAD	Your Mother's right. It's cause we love you. So we put some money in a brown paper bag and gave it to your real mom in the hospital parking lot so you could come home with us. Okay?
M	STEVEN'S MOM	It doesn't change a thing honey. We love you just as much as we love your brother here... ...and he's natural.
M	STEVEN'S DAD	So son, are you okay?
M	YOUNG STEVEN	Yes Daddy.
M	STEVEN (V.O.)	It hurt a bit, but I decided I wasn't gonna let it get me down. No way. I was gonna be the best son- No, the best person I could be. "I Love You Phillip Morris" Green Pages 5-23-08 4.
F	MANDI	Virginia Beach Police Department, how may I direct your call?
M	MANDI (CONT'D)	Something came for you.
F	STEVEN	Hey fellas.
M	VARIOUS POLICEMAN	Hey Steve, Steve, mornin', etc...
F	STEVEN	Have lots of dreams...
F	STEPHANIE	Okay.
F	DEBBIE	...and if it wasn't for you Jesus, I would have never found that last coffee filter and Prayer-Girls would have been ruined. So thank you for that.
F	STEVEN	Amen.
F	DEBBIE	And thank you for Steffie's allergy screen coming back all negative. I always knew it was in your plan for her to enjoy nuts. And finally I want to thank you for this man Jesus. This man who works so hard to make us happy without even a thought for himself. This man who pursued me to the ends of the Earth and promised me a life of eternal happiness. A promise he has kept oh Lord. Every day. Amen.
F	STEVEN	Amen. "I Love You Phillip Morris" Green Pages 5-23-08 6.
F	DEBBIE	Sometimes when I think of how happy I am, I just want to cry. Like the time when you--
F	STEVEN	Okay let's wrap it up...
F	DEBBIE	And in your gracious name, I find thee and praise thee. Amen.
F	STEVEN	Amen.
F	STEVEN	I'm absolutely bushed.
F	DEBBIE	Me too.
F	STEVEN	Deb- You know how, as a cop, I have lots of access? You know- records and things?
F	DEBBIE	Steven-
F	STEVEN	Now do you think it's, you know, unethical, to use that to find my mother? "I Love You Phillip Morris" Green Pages 5-23-08 7.
F	DEBBIE	Oh... that. Yeah, um, well I don't know-
F	STEVEN	I swear honey- getting around the system's so easy. No one would even know I did it.
F	DEBBIE	I know you want to find her Steven, but you need to think about this.
F	STEVEN	You're right, I shouldn't have done it.
F	DEBBIE	You did it!? Oh my God, Steven- what'd you find?
F	STEVEN	I haven't looked. It's downstairs.
F	DEBBIE	Really? Well let's go!
F	STEVEN	Well hold on- let me finish.
F	DEBBIE	Oh, right.
F	STEVEN	There- that's got it.
F	DEBBIE	What?
F	STEVEN	She's right here. She's been right here all this time. "I Love You Phillip Morris" Green Pages 5-23-08 8.
F	DEBBIE	It's really her?
F	STEVEN	Yeah. No question.
F	DEBBIE	My goodness Steven, that's wonderful. What? What is it? Steven?
M	MRS. BASCOMBE	Is something wrong officer?
F	STEVEN	Are you Barbra Bascombe?
M	MRS. BASCOMBE	Yes. Is something wrong? Is someone hurt?
