M	CHARACTER	DIALOGUE
M	DON	Carol!... Carol! What?
M	DON	Come here! Quick! What is it?
M	DON	Quick!
M	CAROL (V.O.)	I'm trying to watch this! It's the last episode!
M	DON	Come here!!!
M	CAROL	What is it?
M	DON	It's gone! CONTINUED: 1
F	MARTIN	What the...! CONTINUED: 4
M	ANTON/MERCURY	Ladies and Gentlemen... Step up! Step up!... I, Mercury, the messenger of the gods, invite you... tonight, for one night only... at this very venue... to enter the mind, the very great mind, of Doctor Parnassus!
M	ANTON/MERCURY (CONT'D)	Doctor Parnassus... as old as time... yes, ladies and gentlemen, more than a thousand years old ... he has the power to empower your mind. A secret learned in the mystic East. Let Doctor Parnassus open your imagination. Let him guide and transport you to worlds and possibilities you never dreamt of... If you dare. But... Beware... there are dangers. You will have to choose. Will your soul fly?... Or will it be dashed on the rocks of darkness? The choice is yours and yours alone. Transcend the heights on Beauty's wing.
M	ANTON/MERCURY (CONT'D)	Or, if you must... ... scour the squalid depths with Putrid's brother, Stench!
M	PERCY	Take a ticket and join the queue! Only five quid a go! There's no greater bargain on planet earth!
M	ANTON/MERCURY	You choose... Fulfilment, grace and light or... Waste, filth and darkness. No prizes for guessing what you'll do.
M	ANTON	No. Sorry. That's n-not allowed. You have to t-take a t-ticket first.
F	MARTIN	Hey you...I wanna audition. I wan... I wanna be a star... I wanna...
F	VALENTINA	Stop! Get off the stage!
F	MARTIN	Thas a nice pair of jugs.
F	VALENTINA	Get off the stage!
F	MARTIN	No. I wan you... I wan you... CONTINUED: 5
F	MARTIN	Come here you little sexpot!
M	MARTIN (CONT'D)	Come back! You bitch!
F	MARTIN	Mum...Mum!... CONTINUED: 7 Please... I'll never...! Never again!. Honest!... From now on... I swear!.. Not a drop!
M	MR NICK	Hi there. C'mon in. Looks like you could use a drink. CONTINUED: (2) 7
M	DOCTOR PARNASSUS	Valentina...
F	VALENTINA	He was chasing me.
M	DOCTOR PARNASSUS	You don't go through the mirror.
F	VALENTINA	I had to get away.
M	DOCTOR PARNASSUS	You hit him.
F	VALENTINA	Self defence.
M	DOCTOR PARNASSUS	You're out of control. Ever since your mother died...
F	VALENTINA	When I was three!
M	DOCTOR PARNASSUS	I don't want to talk about it!
F	VALENTINA	You brought it up! CONTINUED: 8
M	DOCTOR PARNASSUS	We don't accept drunks!
M	ANTON	We c-couldn't stop him.
M	DOCTOR PARNASSUS	People must be in their right minds when they make the choice.
M	ANTON	I know. I'm s-sorry.
M	DRUNKEN GIRL (V.O.)	Martin!...
M	DRUNKEN GIRL (CONT'D)	Martin!... Martin!...
M	DRUNKEN GIRL (CONT'D)	He went with that cow! I'll scratch her eyes out!
M	FRIEND OF MARTIN	Marty!? Marty, where are you? Oi! Leave off..it's them..they've got our mate back there.
M	POLICEMAN	You! Gunga Din! What do you think you're playing at!?
M	DR. PARNASSUS	`Playing'? We don't `play'! What we do is deadly serious!
M	DOCTOR PARNASSUS	Gone. Will we miss him? I don't think so.
M	DOCTOR PARNASSUS (CONT'D)	Don't worry if you don't understand it immediately.
M	PERCY	He's doing his bit to save the human race. He thinks it's got a future. Quaint, eh? I keep telling him to get a proper job. Check it out.. another night with nothing in the kitty.
M	POLICEMAN	I want you freaks out of here. Now. If I ever see you in this parish again I'll do you. CONTINUED: 10
M	ANTON	Step up! Step up! For one night only! The Imaginarium of Dr. Parnassus! Not to be missed!
M	ANTON (CONT'D)	Test your imagination! Envisage the sublime. Let Doctor Parnassus be your guide. Discover the heights of Wisdom...
M	ANTON (CONT'D)	... Or, if you will, visit the doldrums with all that's vile and stinks.
M	PERCY	Take a ticket and wait your turn. Twenty quid a go, reduced to five for one night only!
M	ANTON	The world is full of wonders, beauty, enchantment, for those with eyes to see...
F	LINDA	Mum... Mum... I want to go on the wall of death?
M	MUM	Stop going on, Linda! You're not old enough!
M	DAD	They won't let you, darling.
F	LINDA	But I want to!!! I want to!!!
M	MUM	LINDA!
M	DR. PARNASSUS	Excuse me! Excuse me! Would you mind...
F	LINDA	It's not fair.
M	UNCLE BOB	It's the fair, but it's not fair!
M	AUNTY FLO	Ow! Bloody hell!
M	MUM	LINDA! BEEHAVE YOURSELF! I'M WARNING YOU!
M	DAD	Leave her alone!
M	DR. PARNASSUS	Please! This is The Imaginarium! It requires respect, concentration... Kindly go elsewhere and take your detritus with you?
M	MUM	Is he insulting us?
M	DAD	Oy!
M	MUM	Diego!? Where's Diego?
M	DAD	DIEGO!?
F	VALENTINA	Pssst!
M	VALENTINA (CONT'D)	Ladies and Gentlemen, let Dr. Parnassus be your guide... CONTINUED: 11 Beauty, Truth, Wisdom, Justice... without imagination all are dead. DIEGO!!! DIEGO!!! DEGSY!
M	DR. PARNASSUS (V.O.)	OH FOR CRYING OUT LOUD! SHUT UP!
M	DR. PARNASSUS (V.O.) (CONT'D)	AAAHHHH!!! DAMN AND BLAST!!! CONTINUED: 12
M	MR NICK	Come on laddy, cross the bridge! Join up! Be a man. Kill the enemy. Impress your dad. Unlimited ammo. Great fun. Pow! Pow! Pow!
M	PIANO TEACHERS	No, no, start again! Again! From the top! Again! Practice! Practice!
M	DIEGO	Help! It doesn't work! It's broken!
M	ANTON	What?
M	DIEGO	The game!
M	ANTON	What g-g-game?
M	DIEGO	The game! The video game! The one we're in!
M	ANTON	I d-d-don't know what you're t-t- talking about.
M	DIEGO	Help me!
M	ANTON	I c-can't.
M	DIEGO	What?
M	ANTON	I'm n-not supposed to be here.
M	DIEGO	What am I going to do?
M	ANTON	That's the p-point. It's up to you.
M	DIEGO	But... Don't leave me! Don't let me die!
M	MR NICK	Attaboy, sonny. Join the men. Nothing to it. Hup two, hup two...
M	MR NICK (CONT'D)	No, wait! That's the wrong choice! That bridge leads to failure and despair. You'll be dead before you're thirty. This is the one. This is the bridge to manhood!
M	MUM	He's been kidnapped! They've taken him! It's that weirdo up there! Do something, Dad, do something!
F	LINDA	I want my brother! I want my little brother!
M	INSPECTOR	You cannot perform here without appropriate authorization.
M	INSPECTOR (CONT'D)	It's me. I need some support. We've got trouble.
M	DR. PARNASSUS	Ha,ha! Success! One little devil out of the fire... makes it all worthwhile!
M	INSPECTOR	Where did you say you're from? CONTINUED: 13
M	DR. PARNASSUS	I didn't.
