M	CHARACTER	DIALOGUE
M	CIVIL SERVANT	Monitoring. All the usual.
F	MALCOLM	How did your team do at the weekend?
M	CIVIL SERVANT	Yeah, alright. We won.
F	MALCOLM	Great. Wanker.
M	MALCOLM (CONT'D)	Sam. Morning.
M	MALCOLM (CONT'D)	Well, pop pickers....what Shall we start with today? Wonky Ron....or Simon Foster, on the PM programme for the BBC. Malcolm starts listening to the recording of Simon on the
M	EDDIE MAIR (ON RADIO)	Well, I'm joined by Simon Foster, the Minister for International development. Thank you for joining us.
F	MALCOLM	Here we go.
M	EDDIE MAIR	You've been in the job now for eighteen months, do you think you're making headway?
M	SIMON	Ah. Yes I do. You'd expect me to say that I suppose.
F	JUDY	Mark, are you co-ordinating that millenium goals press release?
M	MARK	Yes.
F	JUDY	Well co-ordinate it better.
M	MARK	Yes, can do.
F	JUDY	Is that the Minister? Bloody nail - has anyone got a nail file?
M	SIMON	Have we heard anything from Malcolm about last night's interview?
F	JUDY	No not yet. SIMON Perhaps he didn't hear it.
F	JUDY	Or maybe he's dead.
M	SIMON	He might be dead. He might have had that massive stroke we've all been waiting for. It's in the post.
M	SIMON (ON RADIO)	...preventable sickness in many of the poorest countries round the world....and Of course the big one is diarrhoea, which is a major, major issue.... Page 2
F	MALCOLM	Diarrhoea? I mean, this is the minister for International Development. He should be talking about food parcels, not fucking arse-spraying mayhem.
M	SIMON (ON RADIO)	And so if we can tackle the easy things, like diarrhoea, then we can.....
F	MALCOLM	Oh yes, say it again. Very good. What is this, The Shitting Forecast? ...and then hopefully that will strike another blow in the war against preventable diseases.
M	EDDIE MAIR	You mentioned the word `war"
F	MALCOLM	Steady Eddie... Against preventable diseases, yes....
M	EDDIE MAIR (ON RADIO)	Yes. All the evidence now points to a US military intervention in the Middle East. Is that you view?
M	SIMON (ON RADIO)	Well....personally, I think that war is unforseeable.
F	MALCOLM	Sam! Sam!
M	EDDIE MAIR (ON RADIO)	Unforseeable?
M	SIMON (ON RADIO)	Yes.
F	MALCOLM	NO YOU DO NOT THINK THAT! Sam! I'm going to have to go over to International Development, and pull Simon Foster's fucking hair.
F	MALCOLM	He did not say "unforseeable'. You may have heard him say it, but he did not say that, and that is a fact.
F	JUDY	He'll want you to row back from the `unforeseeable' thing on Question Time tonight.
M	SIMON	On Question Time, you know the funny question they always ask at the end?
F	JUDY	Yes?
M	SIMON	I think we should prep that now. I'd like to shine on the funny question, cos I'm a funny guy. With a light touch.
F	JUDY	There's this guy, he's a property tycoon. He's bought a South Sea Island. It might be something like that, you know. "If you had to spend the rest of your life on a desert island, who would it be with?"
M	SIMON	Ah. Well, I can't say my wife, because I haven't got one, and I can't say my girlfriend, because I haven't got one of those either.
F	JUDY	And don't say Mandela, that's...
M	SIMON	No. Boring. And a bloke.
F	JUDY	Or Keira Knightley.
M	SIMON	Well, that's a good idea. Page 4
F	JUDY	Pervert. Sex. Minister.
M	SIMON	I don't think so.
F	JUDY	People don't want to know.
F	SUZY	Did you take the washing out of the machine?
M	TOBY	No.
F	SUZY	What do you mean, no?
M	TOBY	No. I didn't take the washing out of the machine.
F	SUZY	It's going to go really stale.
M	TOBY	It'll be fine.
F	SUZY	It's not fine. By the time...
M	TOBY	It is fine. I'll wear stale pants.
F	SUZY	I don't want to go out with some who wears stale pants.
M	TOBY	Well, there we go. I could go commando, but I don't think that's acceptable in government.
F	SUZY	Please. So: got everything you need for your first day in International Development? Oh Yes. It's all here. My massive intellect. And an apple for Simon Foster.
F	SUZY	Simon Fluster.
M	TOBY	Don't say that, I'm rebranding him.
F	SUZY	Well he was crap on the radio last night. He sounded like a chicken with a wasp up its arse.
M	TOBY	Well I'm going to sort that out. After a week I'll have him sounding like a chicken without a wasp up its arse. SUZY Have a good day, good luck honey.
M	TOBY	Have a good day at the Foreign Office. Try not to annoy Russia.
F	SUZY	I'll give you a call later. Keep your phone on. Bye.
M	TOBY	Yeah, alright.
F	SUZY	Oh and be careful - cars!
M	TOBY	Are you going to keep ringing me up every two minutes, because you're starting to remind me of my mum. And that could lead to all sorts of erectile dysfunction.
F	SUZY	I'm just checking whether you put last night's lasagne in the fridge.
M	MICHAEL	Croissants!
F	MALCOLM	No. You're fine to go ahead and print that. It's lies, you'd be lying, but go ahead. He did not say unforeseeable. No he did not. Oh, just before you go -- when I tell your wife about you and Angela Heaney at the Blackpool conference...would email be better? Or a phone call? Or, hey I know, I'll write it on a cake, "Your hack husband betrayed you on the 4th of October, and congratulations on the new baby" in those little silver balls. (BEAT) Yeah, maybe
M	TOBY	No, it's fine, it's in the fridge. I put some clingfilm over it. In the FO office, Michael switches on some classical
F	SUZY	Why did you put clingfilm on it?
M	TOBY	To keep it fresh.
F	SUZY	It's in the fridge, that'll keep it fresh.
M	TOBY	No, but it still might dry out.
F	MALCOLM	Yeah, Malcolm Tucker. Can I speak to James Lewis at the PM Programme please? Page 7
M	MICHAEL	Still slightly warm. That's how I like my women as well.
F	SUZY	Clingfilm is carcinogenic, Toby.
M	TOBY	No it isn't. That's a myth. Clingfilm is perfectly safe.
F	MALCOLM	No, I'll hold,. what's he waiting for? A sex-change?
M	TOBY	They wouldn't sell clingfilm if it gave you cancer. Clingfilm doesn't give you cancer. And Lasagne doesn't give you syphillis.
F	MALCOLM	James! Right --Simon Foster? Yeah, very funny, the Diarrhoea of a Nobody. Listen, we get an easy ride on Tom tomorrow, OK? (getting annoyed) No, YOU relax. Tell you what, I'll come over a lock you in a flotation tank and pump it full of sewage until you drown. GET ME FUCKING BRIAN!
M	SIMON	Paris Hilton?
F	JUDY	Are you serious?
M	SIMON	Lily Allen.
F	JUDY	No. No women. Page 8
M	SIMON	The Olson twins?
F	JUDY	Hi. Right. I see.
M	SIMON	What?
F	JUDY	Malcolm's coming to see you.
M	SIMON	Shit. He's still alive. When's he due? Malcolm walks in with Toby sheepishly behind him.
F	MALCOLM	Now. And don't say you weren't prepared because I rang ahead. Give us a minute, will you love?
M	MALCOLM (CONT'D)	In the words of the late, great Nat King Fucking Cole, `Unforeseeable, that's what you are..'
F	JUDY	So you're...whatever your name is, Dan, the new advisor? Daniel.
M	TOBY	Toby.
F	JUDY	Right. Just most of you lot tend to be called Dan, or Danny, so it's always worth a punt. OK, hello. As you know, I'm Judy Molloy, Civil Service Director of Communications for International Development.
M	TOBY	Is this a normal morning, or...?
F	JUDY	Okay, I've got a meeting in two minutes. And the minister was rubbish in last night's interview.
M	TOBY	Rubbish?
F	JUDY	It's a technical term. It means he went on the radio and everyone could hear that he was rubbish.
M	MALCOLM [IN OFFICE]	You sounded like a panicky chimp trapped in a washing machine.
M	SIMON	Come on, Malcolm, he asked me for a personal opinion.
F	MALCOLM	Oh why didn't you say? I mean, he asked you. Fuck. Of course, that explains it. Yeah. Say, if he'd asked you to fucking black up, or give him your PIN number, or shot yourself, would you have done that as well.
M	SIMON	I would have blacked up. It was the radio and no-one would have known.
F	MALCOLM	Yeah. Very good.
M	SIMON	But war is -- basically unforeseeable isn't it?
F	MALCOLM	That is not our line, alright? Walk the fucking line. Look. Page 10 We've got Karen Clark over from Washington, okay? We've got the US National Security Advisor's main guy coming. Yeah? We've got enough Pentagon goons here for a fucking coup d'etat. This is not the time to send out a signal like this in some personal fucking sodcast.
F	JUDY	Minister, this is Toby.
F	MALCOLM	Not the time love. Fuck off.
M	SIMON	Hey Toby. Glad you could join us. Bit of an odd morning, but 'Welcome to the madhouse!'I apologise for Malcolm.
F	MALCOLM	Don't apologise for me. You should apologise for yourself. Did I not just tell you to fuck off and yet you're still here?
F	JUDY	That's correct.
F	MALCOLM	Hey, foetus boy. Lesson One: If I tell you to fuck off what do you do?
M	TOBY	Fuck off?
F	MALCOLM	You'll go far.Now fuck off.
M	TOBY	Right.
M	SIMON	We were thinking, weren't we Judy, that I could row back on Question Time tonight.
F	MALCOLM	No, You're not going on Question Time tonight. You've been disinvited. Page 11
M	SIMON	Why? We've been prepping Question Time.
F	MALCOLM	Because they ask fucking questions on Question Time. And you're no good at questions. If it was Fumbling, Off- Message Shit Fucking Answer Time, you'd be our main guy. But it's not.
F	JUDY	Sorry, why wasn't I told about this?
F	MALCOLM	Why should I tell you about this?
F	JUDY	Because it's a scheduled media appearance by this department's Secretary Of State and it therefore falls within my purview...
