M	CHARACTER	DIALOGUE
M	NEEDY V.O.	Every day, I get letters. I think I get more letters than Santa Claus, Zac Efron and Dr. Phil combined. I'm kind of the shit.
M	RAYMUNDO	Rec time in five minutes, Needy.
F	NEEDY	Grassy-ass, Raymundo.
M	NEEDY V.O.	Sometimes the letters are from people who say they're praying for me. They tell me everything will be okay if I just accept Jesus Christ into my heart. I say the words, but nothing ever happens. Nobody comes back. Nobody gets off the cross.
M	NEEDY V.O. (CONT'D)	Occasionally I get presents from starfuckers who saw my picture in the paper and want to marry me or something. They think they can take me away from all this. CONTINUED: Like I'd really date some perverted Chester with a hard-on for jailbait. I might be insane, but I'm not desperate.
M	NEEDY V.O. (CONT'D)	A lot of people ask me if I'm sorry I did it.
F	NEEDY	I'm sorry I didn't do it sooner.
M	NEEDY V.O.	Welcome to the Mental Olympics. They're big on recreation here. Supposedly it helps us vent our aggressions. We've traded in our hatchets for rackets, our Drain-O bombs for double dutch. CONTINUED: Even the cutters get in on the action when they're fully conscious. Me? I'm just trying to stay invisible. NEEDY V.O. Personally, I think they're trying to wear us out. Keep us sluggish so there won't be an uprising. Well, those J.V. tactics won't work against me. I'm a kicker. K-I- C-K-E-R. It even says so on my chart. A NUTRITIONIST with a clipboard approaches Needy casually
M	NUTRITIONIST	Just one Toastem, huh? NEEDY I like Toastems.
M	NUTRITIONIST	That's good. But I'm not sure a Toastem can provide you with sufficient energy for your day. I'd recommend more complex carbohydrates... CONTINUED: I'D RECOMMEND THAT YOU SHUT THE FUCK UP! The patients shriek. Chaos. As Needy is restrained by Needy is tossed into seclusion. Her hair is wild and her NEEDY V.O. I wasn't always this cracked. I used to be normal-- well, as normal as any girl under the influence of teenage hormones. But after the killings began, I started to feel, I don't know... loose around the edges or something. I was coming undone like those jeans I made in Home Ec. Falling to pieces like Patsy Cline. Shredded like moo-shu pork. Dead inside. Needy cringes as she briefly hallucinates abstract SHAPES Suddenly, soft music is piped into "the hole," ostensibly CONTINUED:
M	CHEESY SONG LYRICS	"Through the trees, I will find you. Heal the ruins left inside you. And the stars will remind you, we'll meet again..."
M	NEEDY V.O.	God, I hate this fucking song. TITLE: TWO MONTHS EARLIER
