M	CHARACTER	DIALOGUE
M	BOWER (V.0.)	Where were you... when Eden was lost? Like every other kid on my block, I was in the middle of a dream, envious of those who were chosen to be part of mankind's greatest quest. Dreaming of the unknown and trying to imagine what only the lucky few would encounter. We PUSH IN towards the cockpit windows and... Muffled SCREAMS are heard somewhere deeper inside the ship.
M	BOWER.(V.0.)	As the entire world watched in wonder, there were only a few, skeptical of the journey's success. Only a few... who would be right. The further we move into the ship... signs of violence CAMERA slowly moves past a corner to see the middle-of a The INSANE OFFICER hits the final command key and warning The trapped OFFICER begins pounding on the glass with a The trapped OFFICER is seen SCREAMING in silence inside his
M	BOWER (P.O.)	Where was I... when I heard we'd lost Eden? Just like every other kid on my block... I was dreaming... of being one who would be chosen to follow. As we move closer to the asteroid field of sleep pods, it's A RUMBLE passes... EYELIDS TWITCH... A GASP.
F	BOWER	Burns are red! Bruises... blue- His voice echoes into the dark, alone in a cavernous room as
M	BOWER (CONT'D)	Hey...? HEY!!? Someone? A constant low RUMBLE is present, joined by the occasional After a few heavy gulps, he suddenly heaves towards the
M	BOWER (CONT'D)	Payton? Lieutenant... Payton? He turns back to his own pod, seeing the name plate that
M	BOWER (CONT'D)	Bower? Bower...? The loss of memory heightens his fear even more as a shiver As he taps the keyboard, powder blooms out from under his Elysium - Flight Systems - Operation Terminal #87153-D.
F	BOWER	Bower. He opens the locker to see an assortment of personalized On the inside of the locker is a emergency manual card with
M	BOWER (CONT'D)	.in the event of mild memory loss... resulting from extended- He freezes on... A PHOTO tucked inside the door. EVALON, a BOWER breaks open a storage bin, pulling out beverage packets
M	PUSH IN	There is a conflict in his eyes, memories trying to return. An image FLASHES past, EVALON smiling as BOWER kneels next to BOWER'S gaze remains hollow, frown deepening as he sips the
F	BOWER	Faa-uck! Distant THUMPS. He pans the pen-lamp across the ceiling and PAYTON, a man in his forties, but the rugged physique of a
M	BOWER (CONT'D)	Whoa! Hey... easy! Lt. Payton? You're- Sir... whoa! PAYTON chokes and gasps, then glances up, giving Bower a once
M	PAYTON	Who are you?
F	BOWER	Bower. Corporal... Bower, sir. I'm the- Bower?
F	BOWER	That's right. You're waking from
M	PAYTON	Corporal?
F	BOWER	Yes, sir. This is disorientation from-
M	PAYTON	corporal... Bower.
F	BOWER	Yes. That's right, I'm-
M	PAYTON	Wanna get that fucking light out of my eyes, pal?
F	BOWER	Sorry... sir. PAYTON rubs his face with a frown.
M	PAYTON	Where... are we?
F	BOWER	We're aboard the Elysium. From what I've Elysium...? Where are we?
F	BOWER	I don't... really know. There's no power in the com and I can't even-
M	PAYTON	Where's the... rest of the crew? It's our shift? Our rotation-
F	BOWER	I believe so.
M	PAYTON	Aren't they suppose to be here... to wake us?
F	BOWER	Sir... I don't know where anyone is. PAYTON takes breaths, trying to regain his senses, glancing
M	PAYTON	Hit the lights, will ya?
F	BOWER	Ah... we're having some power problems-
M	PAYTON	Who woke you up?
F	BOWER	Umm, not sure. It had to have been the flight computer. There's no one here... .except us.
M	PAYTON	Cold in here. BOWER grabs him a towel and water container, turning back to
F	BOWER	There's no power coming off the main grid. Can't fire any of the... Dynos. Can't even open the doors.
