M	CHARACTER	DIALOGUE
M	RICHARD	Where are my clothes? A blob beneath the sheets next to him answers. SIMONE is the
M	SIMONE	In the kitchen. I think. Can I make you some coffee?
M	RICHARD	Sorry, I gotta go. I'm late. Richard hurries to the kitchen. Socks are on the butcher block Have you seen my belt? Simone looks around and sees it tied to her headboard.
M	SIMONE	In here. She unties the complicated knot. Richard comes back half
M	RICHARD	Baby, I just can't do this anymore.
M	RICHARD	You're just too much for me. And I'm just another guy too wrapped up in his job.
M	SIMONE	Fine. Whatever. Just go. Richard sits down on the bed and locks eyes with Simone.
M	RICHARD	Let's not end it like that. It's been an amazing three and a half weeks. Thank you. And you should know that you have the nicest ass I've ever been with. You mean it?
M	RICHARD	I do. It's magnificent.
M	SIMONE	I work really hard on it.
M	RICHARD	I know you do. Simone smiles and begins to seductively pull the sheets off her I really gotta go.
F	MARGARET	I knew you would call! Now come on, tell me what I want to hear. Give it to me.
M	DOORMAN	You have to put it by your mouth so people can hear you.
F	MARGARET	You should get paid extra for being so darn funny. Margaret straightens her jacket, answers the phone, and walks out This is Margaret.
M	JILLIAN	You're running late today.
M	RICHARD	Jillian, you are the best.
M	JILLIAN	If you think I'm good at this, you should use that coffee cup sometime. As he runs out the door, Richard glances at his cup and smiles at
M	RICHARD	See ya tomorrow. Mercifully, a hand reaches out and stops the doors. Inside the
M	CO-WORKER #1	How long is she gonna make us come in by seven?
M	RICHARD	She doesn't exactly consult with me on these things.
M	CO-WORKER #1	Well this sucks ass.
M	RICHARD	Welcome to my nightmare. The doors close as...
F	MARGARET	You've been thinking about our talk because I'm right. Everyone does publicity. Roth, McCourt, Russo. Hell, Chabon practically whores himself. Know what they have in common? A Pulitzer. Yes, I know you haven't done it in twenty years, but that's how long it's been since you've written a book this good. At his desk, he pulls a tie out of a drawer and puts it on
F	MARGARET	I'm not pushing so you'll sell more books, I'm pushing because it'll be a crime if the world doesn't hear that you wrote a genius piece of literature. Do the publicity. Margaret waits for an answer and smiles when she hears "yes." You're making the right decision! Great news. Going into an elevator, think I'm going to lose you... Margaret hangs up. Never give them a chance to change their
M	RECEPTIONIST	Good morning! Margaret quickly walks by and gives only the slightest nod.
M	RICHARD	You've got a conference call in thirty, a staff meeting at nine, and your immigration lawyer sent some papers for you to sign.
F	MARGARET	Cancel the call, move the meeting to eight, I got Frank to do publicity.
M	RICHARD	Nice job.
F	MARGARET	When I want your praise, I'll ask for it. Is Bob here?
M	RICHARD	I'm sure. You want him on the phone?
F	MARGARET	We're going to his office. Grab your pad. Richard calmly backs out of the office...
F	MARGARET	That's cute. You gonna call her today?
M	RICHARD	What? Richard doesn't know what Margaret is talking about, until she
F	MARGARET	Are you bored here? Do you need little distractions like that to get you through the day?
M	RICHARD	Uh...
F	MARGARET	You have another late night out? Margaret starts walking. Richard quickly catches up, worried
F	MARGARET	I'm firing on all cylinders and you've got hearts on your coffee cup, wicked bed head, and a wrinkled suit that you wore yesterday.
M	RICHARD	Oh. Well, it won't be wrinkled for long.
F	MARGARET	You'll magically unwrinkle?
M	RICHARD	Yes.
F	MARGARET	You have magic pants?
M	RICHARD	No. I've sprayed them with stuff that will take care of the wrinkles.
F	MARGARET	Does this work on more than just your pants?
M	RICHARD	Anything that's wrinkled.
F	MARGARET	Buy me some.
M	RICHARD	Will do. Richard makes a note. Margaret stops to make her point.
F	MARGARET	I don't care what or who you do on your own time, but when you walk through that door you represent me, and I will not have your personal life affect you at work. If you want me to think of promoting you to editor, I need you sharp, focused and professional. Got it?
M	RICHARD	Got it.
F	MARGARET	Great. Now you're just a prop in here, so don't say a word.
F	MARGARET	Hey, Bob.
M	BOB	Ah. Our fearless leader and her liege. Margaret smiles.
F	MARGARET	I'm lettin' you go, Bob.
M	BOB	Pardon?
F	MARGARET	You're fired.
M	BOB	What? What are you talking about?
F	MARGARET	This isn't working out.
M	BOB	You can't...
F	MARGARET	I asked you repeatedly to get Frank to do publicity. You said it was impossible.
M	BOB	It is. He doesn't do publicity.
F	MARGARET	I just talked to him. He's in.
M	BOB	But...
F	MARGARET	No more buts, Bob. I've been chief for a month and a half, and this is the third time you've dropped the ball. You didn't even call to ask him.
F	MARGARET	All you had to do to was pick up the phone. That's it. Now I'll give you two months to find a new job, and then you can say you resigned. I won't tell a soul, my lips are sealed. Margaret nods at Richard and he opens the door.
F	MARGARET	What's he doing? Richard turns around and takes a peek. Bob gets out of his chair
M	RICHARD	He's up and about to pop.
F	MARGARET	Oh Bob, don't do it... The office stops. This is going to be good. Margaret turns
F	MARGARET	What are you doing? I gave you a civilized way out of this.
M	BOB	This is because I'm your competition. Because I threaten you!
F	MARGARET	Oh, Bob. You could never threaten me. I'm firing you because you're lazy, entitled and incompetent. I'm firing you because you don't work hard. So if you know what's good for you, you'll shut up, take off that ridiculous bow tie, find a bar and get drunk. Because if you say one more word, Richard here is going to call security and have you thrown out on your ass. Are we perfectly clear? Bob nods. Good. Now I've got work to do, so if you'll Margaret and Richard walk away and speak in hushed tones. We need to call his authors and explain what happened. And get Frank's publicity schedule figured out pronto.
M	RICHARD	No problem. I'll just cancel my trip this weekend.
F	MARGARET	I gave you the weekend off?
M	RICHARD	It was my Grandma's ninetieth birthday. But no big deal. You were right before, I need to stay focused. Professional.
M	RICHARD	Well tell gammy that I'm sorry. Mom, she's making me work this weekend. It's not like I volunteered. I'm sure dad is pissed. Margaret comes to Richard's desk. He tries to wrap it up. I have to go. Yeah. No, I'm not going to do that! No. Sorta. Mom! No. Bye. Richard hangs up the phone. Sorry about that. Damage control.
F	MARGARET	She tell you to quit?
M	RICHARD	No. No. Um. Yes? But as I've explained to them, after three years together, you're the only person on the planet who can make me editor, so that's the way it is. Richard's phone rings and he picks it up. Your 10:55 is here. Mr. Gilbertson?
F	MARGARET	Who is this guy?
M	RICHARD	He said you knew each other. You weren't sure so you told me to set a meeting. We rescheduled on him four times.
F	MARGARET	Go get him. But he's out of here in five minutes, we've got work to do. Margaret leaves and goes into her office.
M	RICHARD	I'll charge up the cattle prod.
M	MR. GILBERTSON	Margaret. Good to see you. I know how busy you are. Congrats on the promotion. Read about it in P-W.
F	MARGARET	Yeah. Well, those announcements are silly, aren't they? Like everyone who needs to know doesn't know already. Margaret has been trying to figure out how she knows this man, Have to admit, I can't place where we know each other from. Gilbertson smiles. He didn't expect her to remember.
M	MR. GILBERTSON	Three years ago? We worked together.
F	MARGARET	Don't have it...
M	MR. GILBERTSON	Remember "Dandelion's Desire?" Margaret gets excited.
F	MARGARET	Oh my God, you read that manuscript with me? That book is legend. Without a doubt the worst ever written.
M	MR. GILBERTSON	You think?
F	MARGARET	It was a fever dream! 900 offensive and pointless pages, with like 30 characters, who all had some weird disability. The paraplegic pornographer, and the stuttering scientist? Oh! And there was the asthmatic alien chapter -- written entirely in his alien language.
M	MR. GILBERTSON	I believe there was a glossary... Margaret laughs, caught up in the memory.
F	MARGARET	Did you see the pass letter I wrote him? "Your grammar is impeccable, but please do not confuse superior form with writing ability. Save your skills for the office newsletter, you sir, are no writer." A beat. Margaret says matter of fact...
F	MARGARET	You wrote the book.
M	MR. GILBERTSON	I did.
F	MARGARET	You're Dante Dickens?
M	MR. GILBERTSON	One of my nom de plumes. Gilbertson paces. Margaret stays seated, at a loss.
