M	CHARACTER	DIALOGUE
M	RYAN	How much does your life weigh?
M	RYAN (CONT'D)	Imagine for a second that you're carrying a backpack... I want you to feel the straps on your shoulders... You feel them? Now, I want you to pack it with all the stuff you have in your life. Start with the little things. The stuff in drawers and on shelves. The collectables and knick-knacks. Feel the weight as it adds up. Now, start adding the larger stuff. Your clothes, table top appliances, lamps, linens, your TV. That backpack should be getting pretty heavy at this point - Go Bigger. Your couch, your bed, your kitchen table. Stuff it all in... Your car, get it in there... Your home, whether you have a studio apartment or a two story house, I want you to stuff it into that backpack.
M	RYAN (CONT'D)	Now try to walk.
M	RYAN (CONT'D)	Kinda hard, isn't it? This is what we do to ourselves on a daily basis. We weigh ourselves down until we can't even move. And make no mistake - Moving is living.
M	RYAN (CONT'D)	Now, I'm going to set your backpack on fire. What do you want to take out of it? Photos? Photos are for people who can't remember. Drink some gingko and let the photos burn. In fact let everything burn and imagine waking up tomorrow with nothing. It's kind of exhilarating isn't it? That is how I approach every day.
M	FEMALE FLIGHT ATTENDANT	Do you want the cancer?
M	RYAN	Excuse me?
M	FEMALE FLIGHT ATTENDANT	Do you want the cancer?
M	FEMALE FLIGHT ATTENDANT	The can, sir?
M	RYAN	Oh... No. Um, no thank you.
M	Two words - Subordinate chic.	
M	STEVE	Who the fuck are you?
M	RYAN (V.O.)	Excellent question. Who the fuck am I? Poor Steve has worked here for seven years.
M	RYAN (V.O.)	He's never had a meeting with me before...
M	RYAN (V.O.)	...or passed me in the hall...
M	RYAN (V.O.)	... or told me a story in the break room.... And that's because I don't work here. I work for another company that lends me out to pussies like Steve's boss...
M	RYAN (V.O.)	... who don't have the balls to sack their own employees. And in some cases, for good reason. Because, people do crazy shit when they get fired.
M	RYAN (V.O.)	And that's where I come in.
M	STEVE	What did I... do? What could I have done differently here?
M	RYAN	This is not an assessment of your productivity. It's important not to personalize this. Steve, I want you to review this packet. Take it seriously. I think you're going to find a lot of answers in there.
M	STEVE	Oh, I'm sure it's going be really helpful.
M	RYAN (CONT'D)	Look, anybody who ever built an empire, or changed the world, sat where you are now. And it's because they sat there that they were able to do it.
M	RYAN (CONT'D)	I'm going to need your key card.
M	STEVE	Right...
M	RYAN	Take the day. Put together your personal things. Talk to your co- workers. Tomorrow, go out and get some exercise. Go for a jog. Give yourself routines and pretty soon you'll find your legs.
M	STEVE	Wait, how do I get in touch with you?
M	RYAN	Don't worry. We'll be in touch soon. This is just the beginning.
M	RYAN (V.O.)	I'll never see Steve again.
M	CHECKOUT GIRL	Do you have your Hilton Honors Card with you?
M	CHECKOUT GIRL	Oh my God... Do you like, live, at the Hilton?
M	RYAN (V.O.)	This is where I live.
M	Subtitles - "Airworld"	
M	AIRPORT CLERK	Pleasure to see you again, Mr. Bingham.
M	RYAN (V.O.)	When I run my card, the system automatically prompts the desk clerk to greet me with this exact statement.
M	AIRPORT CLERK	Pleasure to see you again, Mr. Bingham.
M	RYAN (V.O.)	Had my status simply been gold or God-forbid, silver. I might have gotten a hello or a smile... Maybe.
M	RYAN (V.O.)	Loyalty is earned and rewarded with these small touches. It's these kinds of systemized friendly touches that keep my world in orbit.
M	ADMIRALS CLUB HOSTESS	Welcome back, Mr. Bingham.
M	RYAN (V.O.)	All the things you probably hate about travelling - The recycled air. The artificial lighting. The digital juice dispensers and mini pizzas stacked to their heat lamps are the warm reminders that I am home.
M	KEVIN	Ryan Bingham's office.
M	RYAN	You have me in a Dodge Stratus in Kansas City.
M	KEVIN	They are completely out of all full sized sedans... Did you?...
M	KEVIN	Yes, I reminded them of your remarkable #1 Gold Club status and years in the program. They are moving mountains to see you in a Sebring.
M	RYAN	Fair enough. Any other messages?
M	KEVIN	Your sister Kara called. Needs to speak urgently about your sister's wedding. I told her you were midair and not even I knew your final destination.
M	RYAN	Well done.
M	KEVIN	And you got an invitation to speak at GoalQuest in Vegas.
M	RYAN	GoalQuest twenty?
M	RYAN (V.O.)	Every once in a while I do speaking engagements. Motivational kind of stuff. But GoalQuest... We're talking major Tony Robbins shit.
M	KEVIN	It's got a hologram. They're calling it Dos Equis. That's some pretty major Tony Robbins shit there.
M	RYAN	Talk about burying the lead. I'll check in when...
M	KEVIN	Hold on, I have Craig Gregory for you...
M	RYAN	I... ah, fuck...
M	CRAIG GREGORY	How's the road warrior?
M	RYAN	Twenty minutes from boarding into a world of bliss.
M	CRAIG GREGORY	Great numbers out of Phoenix. You know Big Auto is going to drop another 10K this month.
M	RYAN	No kidding?
M	CRAIG GREGORY	Yeah, Christmas came early. Wish I could have you in five places at once. I need you back in Omaha by the end of the week.
M	RYAN	I thought you needed me everywhere. We got something big - Game changer.
M	RYAN	I don't know why you ever bring me in. Wherever I go, the money follows. Let me plant seeds, they'll grow to Oaks.
M	CRAIG GREGORY	I'm thinking of planting seeds right now.
M	RYAN	What are we talking about here?
M	CRAIG GREGORY	You'll see. Today, I took my first crap in two weeks. Hallelujah.
M	RYAN	That's me, hanging up on you.
M	CRAIG GREGORY	Good. I love that sound.
M	RYAN (V.O.)	To know me is to fly with me. I'm the aisle, you're the window - trapped.
M	RYAN (V.O.)	We start chatting, impersonally at first. Our moderate politics, our sinking opinions on the American service industry.
M	RYAN (V.O.)	You recommend a hotel in Tulsa. I tip you off to a rib joint in Fort Worth.
M	RYAN (V.O.)	You tell me your best joke. I've heard it before, but listen anyway.
M	RYAN (V.O.)	Nothing like turbulence to cement a bond. Soon you're telling me about family.
