M	CHARACTER	DIALOGUE
M	C.I.A. Headquarters	Langley, Virginia
M	PALMER	Ozzie. Sit down.
M	OSBOURNE	Palmer. What's up.
M	PALMER	You know Peck, and Olson.
M	OSBOURNE	Peck, yes, hiya. Olson, by reputation. Hi, Osbourne Cox.
M	OLSON	Yeah, hiyah.
M	OSBOURNE	Aren't you with...aren't you, uh...
M	PALMER	Yeah, that's right. Oz, look. There's no easy way to say this. We're taking you off the Balkans desk.
M	OSBOURNE	You're----what? Why?
M	PALMER	In fact we're moving you out of Sigint entirely.
M	OSBOURNE	...What? No discussion, just----you're out?
M	PALMER	Well, we're having the discussion now Oz. This doesn't have to be unpleasant.
M	OSBOURNE	Palmer, with all due respect----what the fuck are you talking about? ... And why is Olson here?
M	PALMER	... Look, Ozzie----
M	OSBOURNE	What the fuck is this?! Is it my----I know it's not my work.
M	PALMER	Ozzie----
M	OSBOURNE	I'm a great fucking analyst! Is it----
M	PALMER	Oz, things are not going well. As you know.
M	PECK	You have a drinking problem.
M	OSBOURNE	I have a drinking problem.
M	PALMER	This doesn't have to be unpleasant. We found you something in State. It's a, uh... ... It's a lower clearance level. Yes. But we're not, this isn't, we're not terminating you.
M	OSBOURNE	This is an assault.
M	PECK	Come on, Ozzie.
M	OSBOURNE	This is an assault. I have a drinking problem? Fuck you, Peck, you're a Mormon!
M	PECK	Ozzie----
M	OSBOURNE	Next to you we all have a drinking problem! Fuck you guys! Whose ass didn't I kiss? Let's be honest!
M	PALMER	Okay, Olson----
M	OSBOURNE	Let's be fucking honest... ... This is a crucifixion! This is political! Don't tell me it's not!
M	OSBOURNE (CONT'D)	... I have a drinking problem!
F	KATIE	You're home.
M	OSBOURNE	Hang on to your hat, honey. I have some news. I----
F	KATIE	Did you pick up the cheeses?
M	OSBOURNE	Huh?
F	KATIE	Were they ready? I didn't know you were coming home this early.
M	OSBOURNE	The cheeses.
F	KATIE	I left a message for you to stop at Todaro's. The Magruders and the Pfarrers are coming over.
M	OSBOURNE	The Pfarrers? Ugh. I----what did Kathleen say?
F	KATIE	What?
M	OSBOURNE	When you left the message?
F	KATIE	She said. She would give you. The message.
M	OSBOURNE	Well she, I don't know, I guess we had bigger news today. My day didn't revolve arou----
F	KATIE	So you didn't get the cheeses.
M	OSBOURNE	Well, since I didn't get the message, no, I didn't get the cheeses. But hang on to your hat, I----
F	KATIE	Oh for fuck's sake, Ozzie, you mean I have to go out again? All right, well, you better get dressed.
M	OSBOURNE	Honey, we have to talk.
F	KATIE	Not right now. They'll be here in, what, less than an hour.
M	VOICE	Is this a, uh, goat cheese?
M	OSBOURNE (OFF)	Chevre, yes, that is a goat cheese.
M	HARRY	Because I have lactose reflux. But I can----
M	OSBOURNE	You're lactose intolerant?
M	HARRY	Yes, but I can----
M	OSBOURNE	Or you have acid reflux? They're two different things.
M	HARRY	I know what they are.
M	OSBOURNE	Then you misspoke yourself. So I----
M	HARRY	Thank you for correcting me.
F	KATIE	You should try the chevre, Harry. It's very good.
M	HARRY	Yeah. I can eat goat cheese.
M	HARRY (CONT'D)	... I was just explaining to your husband here, I have a condition----
F	KATIE	Harry works with the Marshalls' * Service. *
M	DOUG MAGRUDER	I'm on the legislative side, I * with Senator Hobby. * Used to work for Treasury, but I * didn't go over to Homeland Security. * I'm with the Marshalls. *
M	OSBOURNE	If you want he'll show you his great big gun.
M	HARRY	Very amusing. The gun is actually no big deal. Twenty years in the marshall's service and I've never discharged my weapon.
M	OSBOURNE	Sounds like something you should be telling your psychiatrist.
M	HARRY	What? I don't have a psychiatrist.
M	DOUG MAGRUDER	Boy, I guess my job is pretty undramatic. I'm on the legislative side. What do you do Mrs. Pfarrer? Do you also carry a gun?
M	HARRY	Sandy writes children's books.
F	SANDY	I write children's books----
M	HARRY	Oliver The Cat Who...Who..arghh----Who----
M	HARRY (CONT'D)	...Who Lives In The Rotunda. Excuse me.
M	TINA	Those are wonderful! My nieces and nephews----
M	HARRY	Yeah, it's a beloved series. You wouldn't believe her fan mail. Unghh. Are you sure this is goat cheese?
F	KATIE	Why don't you let your wife tell them about her own books, Harry?
M	HARRY	I'm sorry----was I----
F	KATIE	Here, come in the kitchen, help me with the crudités.
M	HARRY	Goddamnit. He knows, doesn't he.
M	HARRY (CONT'D)	... Nice floors.
F	KATIE	Knows what?
M	HARRY	About us, he knows about us. Little prick.
F	KATIE	Don't be an ass, he doesn't know a thing.
M	HARRY	What is that, forbo?
M	HARRY	What a horse's ass.
F	SANDY	I don't know why we see them.
M	HARRY	Well, she's all right.
F	SANDY	She is a cold, stuck-up bitch.
F	KATIE	You quit?!
M	OSBOURNE	Uh-huh.
F	KATIE	Well----Thank you for letting me know!
M	OSBOURNE	I tried to tell you this afternoon.
F	KATIE	You tried? You tried? And then---- what, the aphasia kicked in?
M	OSBOURNE	Our guests came. We----
F	KATIE	For fuck's sake, Ozzie!
M	OSBOURNE	just----I don't know. I got so
F	KATIE	tired.
M	OSBOURNE	of swimming against the current.
F	KATIE	
M	OSBOURNE	thought is not only not there, they resist it, they it, the bureaucracy is
F	KATIE	you get a pension, or severance or or----
M	OSBOURNE	didn't retire you know, I, I quit. don't want their benefits.
F	KATIE	I suppose my benefits are all I suppose you can live with is that the idea?
M	OSBOURNE	not like that's the only way to money.
F	KATIE	Yes? What're you gonna do?
M	OSBOURNE	do some consulting.
F	KATIE	
M	OSBOURNE	to help while I----I've always to write.
F	KATIE	Write what.
M	OSBOURNE	I've been thinking about it. A book, a sort of, sort of memoir.
M	OSBOURNE	You okay there, Dad?
M	OSBOURNE (CONT'D)	... Dad, I left my job at the Agency...
M	OSBOURNE (CONT'D)	... I, uh... I'm sorry. Dad, government service is not what it was when you were in State. Things are different now. I don't know, maybe it's... it's... the Cold War ending; now it seems like it's all bureaucracy and no mission...
M	OSBOURNE (CONT'D)	... I'm writing a memoir. I think it's going to be pretty explosive. But I don't think you'll disapprove. I don't think you'll disapprove. Katie has had trouble accepting it. But... sometimes there's a higher patriotism, Dad. So we'll... Yes, change is hard. It's hard on Katie. But we'll be okay. We'll be okay. Life is change. This is good. We were all blocked up, Katie and me. This is, this is a blessing in disguise. I'll go into training, you know. Lay off the sauce. Like you did. You managed to do it. Finally. And then I can concentrate on, you know. New beginning. And this'll all have been for the best. Don't you think Dad? ... Cold.
M	OSBOURNE (CONT'D)	... I guess we should head back.
M	A MAN'S VOICE	We've seen this...
M	TERIKHIAN	... I know this kind of man. We've seen this. ... Mrs. Cox, you can't let this man take advantage of you. And he will. He will.
F	KATIE	Yes. This is my fear. He's trying---- he says----he's trying to pull himself together, but...
M	TERIKHIAN	Look, sure, I----I'm obliged to tell you you should try to salvage things. And you should. People turn themselves around. Not unheard-of. But. You---- you haven't broached the possibility of divorce yet?
F	KATIE	No.
