M	CHARACTER	DIALOGUE
F	CHRISTINE	Walter...time for school, honey.
M	WALTER	Just ten more minutes --
F	CHRISTINE	Sorry, champ. You can sleep in all you want tomorrow, that's what Saturdays are for. Now hurry up or your breakfast will get cold.
M	WALTER	It's cereal, it's supposed to be cold.
F	CHRISTINE	We're here, sweetie. Come on.
F	CHRISTINE	Okay Sandy, what's the prob--
M	OPERATOR	You deal with this one, I'm not going near it.
F	CHRISTINE	Hello? Yes, this is the supervisor, ma'am, what can I -- Yes, I can see that you're on a party line, ma'am, what can I -- I know, it's unfortunate, but people sometimes do listen in on party lines. We hope to have private lines installed by -- Well, what's he doing when you're on the phone? Are you sure? Maybe there's a problem with the phone line. He could be asthmatic, or -- Oh. No, I...I've never heard of anything like that before either. Guess there's a first time for everything, right? No, I'm afraid there's nothing we can do about people abusing the equipment or... themselves. I'm sorry. I --
M	MR. HARRIS	Everything all right? CHRISTINE Fine, Mr. Harris...fine...just someone having a problem with a... with the connection.
M	MR. HARRIS	Tell them to take the plug and shove it in and out a few times, that'll usually do it.
F	CHRISTINE	Unfortunately that was part of the problem. If you'll excuse me....
F	CHRISTINE	Hey, sport.
M	WALTER	Hey, mom.
F	CHRISTINE	So how was school?
M	WALTER	Okay. We learned about dinosaurs, and I got in a fight with Billy Mankowski.
F	CHRISTINE	What happened?
M	WALTER	He hit me.
F	CHRISTINE	Did you hit him back? Good. Rule number one: Never start a fight, but always finish it. So why did he hit you?
M	WALTER	Because I hit him.
F	CHRISTINE	Wait...you hit him first? Why?
M	WALTER	He said my dad ran off because he didn't like me.
F	CHRISTINE	Your dad never even had a chance to meet you...so how could he not like you?
M	WALTER	Then why did he leave?
F	CHRISTINE	Well, the same day you were born, something else arrived. It came in the mail, in a box just slightly bigger than you. You know what was in that box? Something called responsibility. Now, to some people, responsibility is fun, it's what you live your whole life for. Other people think it's the scariest thing in the world.
M	WALTER	So he ran away because he was scared of what was in the box?
F	CHRISTINE	Yup.
M	WALTER	That's dumb.
F	CHRISTINE	That's what I thought.
F	CHRISTINE	Walter, I decided a long time ago that I would always tell you the truth, that I would treat you like a grown-up. I can't expect you to respect me unless I respect you. I've never lied to you. Your father leaving had nothing to do with you, and everything to do with what was in the responsibility box.
M	WALTER	Pinky-swear?
F	CHRISTINE	Pinky-swear.
F	CHRISTINE	First one to the corner store gets ice cream!
M	WALTER	Did I miss Amos and Andy?
F	CHRISTINE	I'm afraid so, sport. Come on now, time for bed.
M	WALTER	Are we still going to the movies tomorrow?
F	CHRISTINE	Uh-huh. I hear there's a new Charlie Chaplin playing down at Grauman's, and a new serial called The Mysterious Airman.
M	WALTER	Who's that?
F	CHRISTINE	I don't know. Nobody does. That's what makes him so mysterious.
M	WALTER	Oh. Am I too heavy for you to carry?
F	CHRISTINE	Not for years yet, Walter. Not for years.
F	CHRISTINE	Hello? Oh, hello, Margaret. I'm fine, thanks. No, I was just -- You're kidding. When did she call in sick? What about Myrna? I know she could use the extra hours. Oh. No, it's just...I promised Walter I'd take him to the movies today. There has to be somebody else.... All right, I...guess we can do it tomorrow. I'll get there as soon as I can. But just until four, okay? See you in a bit.
F	CHRISTINE	There's a sandwich and milk in the icebox, and I've asked Mrs. Riley if her daughter can stop by in a couple of hours, just to --
M	WALTER	I can take care of myself.
F	CHRISTINE	Of course you can. She's coming by to check on the house, not you.
F	CHRISTINE	Tomorrow, we'll go to the movies. Then we'll ride the Big Red down to Santa Monica and walk on the pier. How's that? That okay? Good. I'll be back before it gets dark.
M	WALTER	I'm not afraid of the dark. I'm not afraid of anything.
F	CHRISTINE	I know you're not, honey. That's how I raised you. Be good. See you in a bit.
M	OPERATORS	We've got lines jammed from here to Ohio...he insists on talking to someone in charge...I've tried everything and the console's just dead...I need your signature here for a supply requisition....
F	CHRISTINE	All right, get me the Omaha routing station, see if we can put the calls through their switchers...and let's get that console running....
M	MR. HARRIS	Christine...good, I was hoping to catch you. I've been following your work reports, and I just want you to know that I'm very impressed.
M	MR. HARRIS	When I first suggested hiring female supervisors, my superiors weren't big on the idea. But you've held your own as well as any of our male supervisors, and --
F	CHRISTINE	Thank you, Mr. Harris, but I --
M	MR. HARRIS	Ben, please. Point is, we're looking for someone to take on a managerial position in our new Beverly Hills office. If you're interested I can --
F	CHRISTINE	That's great, Mr. Harris, I really appreciate the vote of confidence.
M	MR. HARRIS	Good, good...so maybe we could --
F	CHRISTINE	I'm sorry, but I really have to go. We'll talk on Monday. Good night! She races out to
F	CHRISTINE	Wait...wait...hold on, just a --
F	CHRISTINE	Walter?
F	CHRISTINE	Walter...?
F	CHRISTINE	Walter? Honey? Time to come in.
F	CHRISTINE	Susie honey, have you seen Walter?
M	GIRL	Nuh-uh.
F	CHRISTINE	Mrs. Riley, I'm sorry to bother you at dinnertime, but I was wondering if Walter was here.
M	MRS. RILEY	No, I'm afraid not.
F	CHRISTINE	Do you know if Jamie was able to look in on him?
M	MRS. RILEY	Well, I mentioned it to her, but she was going to a dance with some of her friends...you know how teenagers are. Is everything all right?
F	CHRISTINE	I'm sure it's fine, I just... Thank you, Mrs. Riley.
F	CHRISTINE	Walter...? Walter.... She starts walking again. Faster now. Looking around trees
F	CHRISTINE	Yes, Operator, give me the police. Lincoln Heights Division.
F	CHRISTINE	Yes, hello, my name is Christine Collins, I live at 210 North Avenue 23...I'm calling to report a missing child...it's my son, he....
M	POLICE DISPATCHER (on phone)	How long has he been gone?
F	CHRISTINE	I'm not sure...I just got home from work and...it could be since late this morning, it could be just an hour -- Have you checked around the neighborhood?
F	CHRISTINE	Yes, of course, I --
M	POLICE DISPATCHER (on phone)	Maybe he lost track of the time.
F	CHRISTINE	No, he always stays around the house when it starts to get dark. Can you please send someone down here? I'm sorry, but our policy is that we don't dispatch units on missing child cases for twenty-four hours.
F	CHRISTINE	What? But that's --
M	POLICE DISPATCHER (on phone)	Ninety-nine times out of a hundred the kid shows up by morning. We don't have the resources to go chasing every kid who runs off with his pals and --
F	CHRISTINE	That's not Walter, he doesn't do that. With all due respect, ma'am, every parent who calls us says the same thing.
F	CHRISTINE	Please, I -- I'm sorry, but there's nothing I can do. I'll take your name and information, but that's all until tomorrow morning at the earliest.
M	POLICE DISPATCHER (V.O.)	I'm sure he'll show up by then. They always do.
M	REV. BRIEGLEB (V.O.)	Our thoughts go out again to Mrs. Christine Collins, of Lincoln Heights --
M	REV. BRIEGLEB (V.O.)	-- whose young son, Walter Collins, disappeared almost two weeks ago.
M	REV. BRIEGLEB	Though she is not a member of our congregation, we pray for her today as we have every day since we first learned of her situation on the radio, and in the newspapers. We are told that the Los Angeles Police Department is doing the best it can to reunite mother and child, and I am sure that is true. But given its position as the most violent, corrupt and incompetent police department this side of the Rocky Mountains, that's not saying a great deal.
M	REV. BRIEGLEB	Every day, new bodies show up along Mulholland, or in ditches, the work of Police Chief James Davis and his so-called "gun squad." Every day the needs of honest citizens are put second to greed and personal gain. Every day, the city sinks deeper into a cesspool of fear, intimidation and corruption. Once the City of Angels, Los Angeles is have become our brutalizers...where to be the law...is to be above the law...where none dare speak truth to power. But we will not be silent. We will continue to put their offenses and their failures in full view of the public. We will not be intimidated. Because while the "gun squad" speaks in the only language Chief Davis understands, we speak in the language of compassion, truth and strength. We speak for our fellow citizens, beaten and killed by a renegade police department. We speak for an innocent child, ripped from his mother's arms, now all but forgotten by the police. And that voice, my friends, will never be silenced.
M	MR. HARRIS (V.O.)	Are you sure you're ready for this, Christine?
M	MR. HARRIS	I mean, if you need more time --
F	CHRISTINE	The police are doing all they can, and frankly I could use the money. It's been almost a month, and...it wouldn't do any good to find Walter and bring him home if he doesn't have a home to come back to, right?
M	MR. HARRIS	Of course.
M	MR. HARRIS	Well...I'll leave you to it, then.
F	CHRISTINE	Excuse me, can I have your attention?
F	CHRISTINE	Listen, everyone, I appreciate your consideration, but I'm not made of porcelain. I won't break down and cry if the station to station call to Kankakee doesn't go through. Actually, I...promised myself that I wouldn't cry...wouldn't let myself cry...until I knew, one way or another, what.... Point is...I like the noise here. So don't be afraid to talk and...push buttons, and drop things. If it wasn't noisy, how would I know I was in the right place?
M	MR. HARRIS	Excuse me, has anyone seen Christine?
M	OPERATOR	I think I saw her in the back office.
M	CHRISTINE (O.S.)	-- well, if you do hear anything, would you let me know? Thanks, I appreciate it. Goodbye.
F	CHRISTINE	Missing Persons department, please. Yes, hello, this is Christine Collins, I...yes, fine, thank you. I was just checking back to see if you had found any missing or lost children that might match the -- I see. No, I appreciate that, it's just...it never hurts to make sure all the lines of communication are working. I mean, that's what I do for a living, right? Well, I'll try back next week. If you do hear anything in the meantime, would you be sure to let me know? Thanks. Goodbye.
F	CHRISTINE	Missing persons department, please.
M	COOK	Two dollars.
M	MAN	Hell...looks like I left my wallet at home. Can I owe it to you?
M	COOK	No credit. Pay up or I call the cops. I'm tired of bums like you coming around here.
M	MAN	I'm not trying to stiff you, chief. I just left my wallet at home, that's all. I'll go back and get it. Five, ten minutes tops.
M	COOK	You got any collateral?
M	MAN	Can't ask for better collateral than a man's own flesh and blood, right? You stay here, son, I'll be right back.
M	BOY	But --
M	MAN	Now don't give me any trouble. He's a good man to trust us like this. You just sit here while I go get my wallet. Okay?
M	COOK	Ten minutes, then I'm calling the cops.
M	COOK	Ah, hell....
M	COOK	Hello, Myrtle? It's Harve, down by the diner. Would you get me Sheriff Larsen? Yeah, I'll wait.
M	COOK	What's your name, son? Son...?
M	BOY	I don't remember. COOK Swell.
M	JONES	Mrs. Collins?
M	JONES	My name is Captain J. J. Jones, Lincoln Park Juvenile Division. My office supervises all runaway and missing child cases, including your son's, and.... He's alive, Mrs. Collins. He was picked up two days ago by local police in De Kalb, Illinois. He's safe and unhurt. He was in the company of some drifter, we've got an APB out for him now, and --
F	CHRISTINE	All these reporters...you didn't tell me --
M	JONES	Yours is a story with a happy ending, Mrs. Collins. People love happy endings. Train should be pulling in shortly. We'd better get a move on.
M	JONES	Thank you...we'll have a statement for you in a little while. Right now the important thing is to re-unite this little lady with her son. So if you'll excuse us....
M	"WALTER"	Did you know that Los Angeles is where they make the Tom Mix movies?
M	MATRON	No, I didn't.
M	"WALTER"	His horse is named Blue. You think they'll let me watch them make a movie?
M	MATRON	I don't know, you'll have to ask. But with all this attention, who knows, maybe they will.
M	JONES	Mrs. Collins, I'd like to introduce you to Chief of Police James E. Davis.
F	CHRISTINE	Oh, my, I didn't expect --
M	DAVIS	We don't get a lot of positive attention from the boys in the press these days, so it's good to be here when there's a positive story, don't you think?
M	DAVIS	I take it you've been treated well by my boys in the department?
F	CHRISTINE	Oh...yes, of course, they've been great. Well, there was that part about having to wait twenty-four hours before filing a report, but --
M	DAVIS	Technicalities aside --
F	CHRISTINE	Yes...other than that, no complaints. They've all been wonderful.
M	DAVIS	Good, then you won't have any problem telling that to the press, and how the LAPD is concerned first and foremost with the safety of --
M	JONES	Women. Just a sec....
F	CHRISTINE	Walter...Walter!
M	JONES	Well? Aren't you going to --
F	CHRISTINE	He's not my son.
M	JONES	I...what are you --
F	CHRISTINE	He's not my son. He's not my son.
M	JONES	I'm...I'm sure you're mistaken.
F	CHRISTINE	Mistaken?
M	JONES	He's been through four long, terrible months...he's gone through changes, lost weight --
F	CHRISTINE	I know my own son.
M	JONES	I'm just saying...I mean, you're in shock, and he's changed, and --
M	JONES	What's your name, son? Can you tell me your name?
M	"WALTER"	Walter Collins.
F	CHRISTINE	It's a common name, it --
M	JONES	Do you know where you live, Walter? Do you know your home address?
M	"WALTER"	My house is at 210 North Avenue 23, Los Angeles, California. And that's my Mommy!
M	JONES	Mrs. Collins...listen to me. I know you're feeling uncertain right now, but that's to be expected...a boy this age changes so fast...but we've compensated for that in our investigation. We're experts in child identification. There's no question that this is your son.
F	CHRISTINE	It's not Walter.
M	JONES	It's not Walter as you remember him. That's why it's important for you to take him home, on a...trial basis.
F	CHRISTINE	A trial basis?
M	JONES	Once you've put him back in familiar surroundings, and given yourself time to recover from the shock of his changed condition...you'll see that it is him. I swear to you, Mrs. Collins. I give you my word. Trust me...this is your son.
M	JONES	If there's any problem, any problem at all, come and talk to me and I'll take care of it. Mrs. Collins...he has nowhere else to go.
