M	CHARACTER	DIALOGUE
M	BLACK	Some microphone feedback followed by: Okay, here we go... everybody watching? Our screen goes WHITE as a POWERPOINT PRESENTATION BEGINS... I'd like to tell you all a little lov e story... But the images n screen are JOURNALISTIC PHOTOS OF Whoops... wrong file... LAUGHTER O.S. and we begin PULLING BACK TO REVEAL:
M	A RECEPTION HALL (BEGIN CREDITS) - DAY	The lights are dim. We're looking at a blank, pull-down
M	SEBASTIAN (O.S.) (CONT'D)	Hang on, I got this-- Someone O.S. starts CLINKING a fork against a wine glass. Is
M	ON A BRIDE AND GROOM	sitting at the main table, In silhouette, seen from behind, Standing right by them is SEBASTIAN -- tall, good looking, Alright, now I'm ready-- And now, on THE PORTABLE SCREEN, Sebastian'S MONTAGE BEGINS:
M	SEBASTIAN (O.S.) (CONT'D)	Here's John, first week of college. Nice hair, right?
M	NOT	You think that feathering 'S easy? true. Takes a very well p wrist action... CHUCKLES from the crowd.
M	SEBASTIAN (O.S.) (CONT'D)	I'm just saying...
M	SEVERAL PHOTOS OF JOHN	Throughout college...
M	SEBASTIAN (O.S.) (CONT'D)	Was John a star athlete? A shot of him fumbling a frisbee,
M	SEBASTIAN (O.S.) (CONT'D)	Umm, no. Was he a ladies man? With mid-eighties hair, bad glasses.
M	SEBASTIAN (O.S.) (CONT'D)	You tell me.
M	HIM	What he was, was John, and we loved for it.
M	AN	Taken r. Sebastian. up l ^a nï¿½ghte Sebastian turns the camera on himself, holds
M	SEBASTIAN (O.S.)	And he was always looked after by his guardian angel and best friend.
M	JOHN	People are staring at me - is my fly down?
M	SEBASTIAN	No, no, it's cool.
M	JOHN	All right, enough with the - - all right, what? What are you looking at?
M	SEBASTIAN	Oh, wait, there's something on your forehead. John brushes it. You got it. Leaf or something. A leaf. On my forehead.
M	SEBASTIAN	Yeah, it musta had some sap on it. They pass a cluster of CO EDS who laugh at John.
M	SEBASTIAN (O.S.) (CONT'D)	And then there's Jenny.
M	4 PHOTOS OF JENNY	Looking, indeed, very cool, very put together.
M	SEBASTIAN (O.S.)	Studious, hard-working, quiet.
M	PHOTOS OF A WILDER JENNY	In short-shorts, wet T-shirt, throwing water balloons at a frat house. Standing on an empty keg of beer, rolling it
M	SEBASTIAN (O.S.) (CONT'D)	Well, okay, sometimes not so quiet.
M	VIDEO OF JENNY	Ordering a bunch of guys around, telling who to go where, as
M	SEBASTIAN (O.S.) (CONT'D)	Okay, maybe a little high-spirited, maybe voted Miss Kegger once or twice too often on Fraternity ROW, but a good girl underneath it all. Now could they not fall in love?
M	TWO PHOTOS JUXTAPOSED	One of John "flexing" beside a lake, another of Jenny
M	SEBASTIAN (O.S.) (CONT'D)	Now, in any decent love story, you gotta have the great first meeting. All right, I'm zooming in. Whoa. Not a flosser.
M	JOHN	Turn it off. And as he REACHES for it - WHAM'. He hits another car! The
M	JOHN (CONT'D)	Jesus Christ!
M	SEBASTIAN	They're okay! They're getting out. Sebastian manages to right the CAMERA and unsteadily films
F	JENNY	Are you a complete idiot?!
M	SEBASTIAN (O.S.)	And so one of the truly great love affairs of the late eighties began. In the home video, Jenny advances on John, hurls the rest of The driver of the car, another co-ed, gets out and yells at
M	SEBASTIAN (O.S.) (CONT'D)	Brought together by their love of fast cars, spirited Baskin- Robbins Dreamy Drizzle Ice Cream cake.
M	6 DIFFERENT PHOTOS NOW 6	John and Jenny both at typewriters.
M	SEBASTIAN (O.S.)	From there, they went on to work together at the school newspaper.
M	SHOT OF JENNY IN THE NEWSPAPER OFFICE	Shot of Jenny standing at the head of a table full of
M	SEBASTIAN (O.S.) (CONT'D)	Although, technically, they didn't work together so much as John worked for Jenny who was the editor of said paper...
M	SHOT OF JENNY AND JOHN KISSING	In her office, through the semi-closed Venetian blinds.
