M	CHARACTER	DIALOGUE
M	SIR THOMAS	I received a formal request for marriage today for Anne. From the Carey family. ANNE; the eldest. Dark-haired. Intelligent. The obvious leader among the children.
M	LADY ELIZABETH	But that's wonderful.
M	SIR THOMAS	I turned it down.
M	SIR THOMAS	And offered them Mary instead. MARY, the middle child. Fair-haired. Pretty. Sweet-natured.
M	SIR THOMAS	Fnne's too good for William Carey. She can do (better than a merchant's son.
M	LADY ELIZABETH	You underestimate Mary.
M	SIR THOMAS	Not true. I think she's..the kinder of the two. Quite possibly the fairer.
M	SIR THOMAS	But to get ahead in this world, you need more than fair looks and a kind heart.
M	SIR THOMAS	Bravo! Anne! Bells ring high up in the bell-tower of a country church. MARY, ten years older, and grown into a heavenly bride is in her
F	ANNE	May we come in..?
F	ANNE	Look at you..! Younger than me. More beautiful than me. Married before me. I am eclipsed. I am just the `Other Boleyn Girl.'
F	MARY	Hardly.
M	GEORGE	No, is this it? This is the end of the unholy trinity?
F	MARY	No, George. Never. I'll be married, that's all.. Apart from that - it won't change a thing. A packed country church. The PRIEST officiates in Latin. The air
M	PRIEST	Confirma hoc, Deus, quod operatus es in nobis.. The party afterwards. MUSICIANS play. The bride and groom,
M	WILLIAM	Are you happy?
F	MARY	Very.
M	WILLIAM	You don't secretly wish you'd married someone grander? With a title?
F	MARY	No. I want a husband who loves me. And who thinks it first thing every morning. And last thing at night.
M	WILLIAM	Then you've found the right man.
F	ANNE	Who is that? He was staring at me in church?
M	GEORGE	That's Henry Percy. Heir to the Duke of Northumberland. Richest landowner in England.
M	GEORGE	But don't get your hopes up. He is already betrothed.
F	ANNE	Betrothed is not married, brother George. A lot can happen before you reach the altar. he DUKE OF NORFOLK, the most powerful nobleman in the room, and
M	SIR THOMAS	Thomas..
M	NORFOLK	I think I have managed to persuade the King to come and stay with you on progress. A week-end's hunting in late summer.
M	SIR THOMAS	But that's wonderful! Thank you, thank you so much.. Did you hear that, Elizabeth?
M	LADY ELIZABETH	Yes.
M	SIR THOMAS	Finally we can present George, and with luck, get him a position at court.
M	NORFOLK	These are difficult times. I have it on good authority that the Queen no longer bleeds - yet the matter of a male heir is still not resolved. It cannot be long before the King is forced to look outside the marriage.
M	SIR THOMAS	What? And make a bastard King of England?
M	NORFOLK	A legitimized bastard. What choice does he have? Obviously, I've given it thought, and wondered which Howard girl I could put under his nose. Imagine the influence that would give us. To be blood family of the next King of England. Equally, imagine if another family were to achieve the same?
M	SIR THOMAS	What about Anne?
M	SIR THOMAS	I realise as a `Boleyn' she is not officially a `Howard', but as your sister's daughter..
M	NORFOLK	But she's your eldest, Thomas. Your first born. And your favourite. Wouldn't you prefer her to have a nice, uncomplicated, respectable marriage? Like Mary?
M	SIR THOMAS	If Anne were an uncomplicated, respectable girl like Mary, then I'd say `yes'. But she's not.
M	SIR THOMAS	She's anything but. SIR THOMAS and LADY ELIZABETH stand in a corner, watching the
M	ADY ELIZABETH	don't like it. It would cost a fortune to make our house fit for a royal visit. Money we don't have. LA king doesn't like her? Or if she sleeps with him but gives him a girl?
M	SIR THOMAS	And what if you were to look on the bright side? Just once?
M	SIR THOMAS	Risk nothing, you gain nothing.
M	LADY ELIZABETH	hen was it that people stopped thinking of ambition as a sin, and started thinking of it as a virtue?
M	SIR THOMAS	Easy for you to say. You've had power and wealth all your life.
M	LADY ELIZABETH	Until I married you, Thomas. And I was happy to give it up. ANNE knocks on the door of her father's study. She waits.
F	ANNE	You asked to see me father?
M	SIR THOMAS	Yes. Come in. MARY is in a bathroom. Being prepared by ANNE for her wedding
F	MARY	o - the King himself is coming to Hever. I'm so happy for George.
F	ANNE	Yes. But Father took me aside. It seems he has ambitions for me, too. unpleasing appearance...
F	MARY	What? What are you saying..?
F	ANNE	It's known the King has a wandering eye. Imagine...if he were to like me?
F	MARY	But...you could never be more than his mistress. And that's no substitute for a husband.
F	ANNE	But as the King's mistress the least I'd get after he finished with me would be an Earl. And if I fell pregnant? And gave him what his wife has failed to? Quite apart from the money, it'd be a Duke at least.
F	MARY	But what about your happiness? Your future?
F	ANNE	I could be a happy Duchess. MARY and ANNE enter the bedroom. A sea of candles. MARY stares
F	ANNE	Are you nervous?
F	MARY	A little.
F	ANNE	You'll tell me everything in the morning?
F	MARY	I promise.
F	ANNE	No details spared?
F	MARY	Hold me a moment?
M	MARY (cont'd)	I'm so lucky to have a man who is content with what he has.
M	MARY (cont'd)	You are, aren't you?
M	WILLIAM	I am the luckiest man in the world. Drink? You should. It will hurt less. Lie back.
M	WILLIAM (cont'd)	Thank you. The thunder of horses' hooves. A huge cloud of dust. The BOLEYN family page, (WILLIAM STAFFORD), is perched on a Pandemonium breaks out among STAFF and FAMILY MEMBERS as ANNE is being dressed by MAIDS. Hearing the commotion outside,
F	ANNE	There he is!
F	ANNE	You think he will like me?
F	MARY	Of course, sister. How could he not? The entire BOLEYN FAMILY is nervously assembled outside the
M	SIR THOMAS	Your Majesty, you are most welcome.
M	HENRY	Lady Elizabeth..
M	SIR THOMAS	May I present my son, George.
M	HENRY	Your Uncle tells me I should have you at court. Should I?
M	GEORGE	It would be a great honour, Sir.
M	SIR THOMAS	And our daughter, Anne.
M	ENRY	No one said anything of a daughter.
M	HENRY	Had we known, we might have come sooner.
F	ANNE	Your Majesty..
M	SIR THOMAS	Perhaps you'll allow Anne to show you around our modest house?
M	HENRY	A pleasure. ANNE leads the KING through the house. She is followed at a
F	ANNE	Here is the library.
M	HENRY	Charming.
