M	CHARACTER	DIALOGUE
F	BRIGITTE	You didn't wake me.
M	MICHAEL	You were sleeping.
F	BRIGITTE	You let me sleep because you can't bear to have breakfast with me.
M	MICHAEL	Nothing could be further from the truth. I boiled you an egg. See?
M	MICHAEL	I'd hardly have boiled you an egg if I didn't want to see you. Tea or coffee?
F	BRIGITTE	Does any woman ever stay long enough to find out what the hell goes on in your head?
F	BRIGITTE	What are you doing tonight?
M	MICHAEL	I'm seeing my daughter.
F	BRIGITTE	Your daughter? You've kept very quiet about her.
M	MICHAEL	Have I? She's been abroad for a year. Did you say tea?
F	BRIGITTE	I'm going. Give my love to your daughter.
F	HANNA	Hey. Hey!
F	HANNA	Hey, kid. Hey.
M	MICHAEL	I'm sorry. I'm sorry.
F	HANNA	Where do you live?
M	MICHAEL	It's here. I'll be fine now. Thank you.
F	HANNA	Look after yourself.
F	CARLA	I'm worried about him. He looks terrible.
M	PETER	The boy's saying he doesn't need a doctor.
F	EMILY	He does.
M	MICHAEL	I don't need a doctor.
M	PETER	Good then.
F	CARLA	Peter.
M	PETER	We're not going to argue about this. People have to take responsibility for their own lives.
M	DOCTOR	Remind me, how old are you now?
F	CARLA	Michael's fifteen.
M	DOCTOR	It's scarlet fever. He'll be in bed for several months. At least.
F	CARLA	Keep away. He's contagious.
M	DOCTOR	Burn the sheets. Complete isolation. And three months is the minimum.
F	CARLA	How are you feeling?
M	MICHAEL	Better. By the way, I meant to tell you, the day I got ill... a woman helped me. A woman in the street.
F	CARLA	She helped you?
M	MICHAEL	Yes. She brought me home.
F	CARLA	Do you have her address?
F	HANNA	Come in.
M	MICHAEL	I brought you these flowers. To say thank you.
F	HANNA	Put them down there.
M	MICHAEL	I would have come earlier, but I've been in bed for three months.
F	HANNA	You're better now?
M	MICHAEL	Thank you.
F	HANNA	Have you always been weak?
M	MICHAEL	Oh no. I'd never been ill before. It's incredibly boring. There's nothing to do. I couldn't even be bothered to read.
F	HANNA	I have to go to work. I'll walk with you. Wait in the hall while I change.
F	HANNA	There are two more buckets downstairs. You can fill them and bring them up.
F	HANNA	You look ridiculous, look at you, kid.
F	HANNA	You can't go home like that. Give me your clothes, I'll run you a bath.
F	HANNA	What, do you always take a bath in your trousers?
F	HANNA	It's all right, I won't look.
F	HANNA	Wash your hair, I'll get you a towel.
F	HANNA	So. That's why you came back.
M	MICHAEL	You're so incredibly beautiful.
F	HANNA	Now, kid, you know that's not true.
M	PETER	You've inconvenienced your mother.
M	MICHAEL	How many more times? I've said I'm sorry.
M	PETER	You scared her.
M	MICHAEL	It's hardly my fault, I got lost, that's all. That's why I was late. Can I have some more?
F	EMILY	How can anyone get lost in their own home town?
M	MICHAEL	The doctor told me I had to take walks.
F	EMILY	So?
M	MICHAEL	I meant to head for the castle, I ended up at the sports-field.
F	EMILY	They're in opposite directions.
M	MICHAEL	It's none of your business.
F	EMILY	He's lying.
F	CARLA	He's not lying. Michael never lies.
M	MICHAEL	Dad, I've decided, I want to go back to school tomorrow.
F	CARLA	The doctor says you need another three weeks.
M	MICHAEL	Well I'm going.
F	CARLA	Peter?
M	PETER	If he wants to go back, then he must.
