M	CHARACTER	DIALOGUE
M	SLICK ESTATE AGENT (V.O.)	Two years ago this property cost one million pounds. Today, it costs five million. How did this happen? Attractive tax opportunities for foreign investment, restrictive building consent and massive hedge fund bonuses,... London, my good man, is fast becoming the financial and cultural capital of the world.
M	SLICK ESTATE AGENT	And of course the Russians have come to town.
M	OTHER SLICK ESTATE AGENT	Makes it hard to compete with an ex- Soviet oligarch that has six billion dollars in his back pocket. They don't haggle the price, they double the price.
M	SLICK ESTATE AGENT	Russians come, prices rise, and it doesn't stop. It only goes one way.
M	OTHER SLICK ESTATE AGENT	Up.
M	SLICK ESTATE AGENT	I can't teach you how to skin a cat, but I can tell you a lot about the money in bricks and mortar.
M	SLICK ESTATE AGENT (CONT'D)	Like he said, it's going one way. You need to see a lawyer.
M	ONE TWO	We need to see a Lawyer.
M	LAWYER TYPE	They say it's only going one way.
M	LAWYER TYPE	It looks like a great deal.
M	LAWYER TYPE	These are the plans,...it costs ten and it'll be worth twenty with planning. But first you gotta give the councilor a drink.
M	COUNCILOR	Tell them they'll get the planning,...
M	LAWYER TYPE	You'll get the planning. Take care of the councilor and it will move like shit through a goose.
M	ONE TWO	We need help.
M	MUMBLES	Lenny Cole?
M	ONE TWO	Dog number one,...
M	MUMBLES	But he moves fast and he loves bricks and mortar.
M	LENNY COLE	I do move fast and I love bricks and mortar, properties are always the safe bet, but you better know what you're doing 'cos this ain't soft money. You trip up,... And it's not me that's gonna get hurt. You got security?
M	MUMBLES	We got property.
M	LENNY COLE	Don't let me down boys. Come on then, give us your hand. They shake hands and sign the papers.
M	COUNCILOR	Can't talk now, but there has been a problem. I can't get you the planning.
M	LAWYER TYPE	I'm sorry boys, can't get the planning.
M	ONE TWO	He can't get the planing.
M	MUMBLES	He can't get the planing?
M	LENNY COLE	What do you mean you can't get the fuckin planning? There is seven million of my cash in there, without planning it's worth five,...you owe me. I take the building, you lose your share, but I am still outta pocket two large ones. Find it.
M	LENNY COLE	Is that you Councilor? I hear you got that car you was after,....now, sort the planning out. Sorted Lenny.
M	LENNY COLE	What's wrong with you Arch?
M	ARCHY	That's a bit strong isn't it Len? They come from the same place as you, you'll clean 'em out.
M	LENNY COLE	Same place as me? Do I look like an immigrant Archy? No one gave me a leg up, did they? They need a bit of fear, 'cos otherwise they're gonna come up against me,...need a little lesson don't they?
M	ONE TWO	We gotta sell.
M	MUMBLES	And be left with what?
M	ONE TWO	Just gotta start again,....
M	URI	Glad you could join us here Lenny.
M	LENNY COLE	It's nice to see you Uri.
M	URI	Good. I can see we are very much alike you and I Lenny. We like to get things done. What's it going to cost me?
M	LENNY COLE	First, let me make clear how much we can help you benefit from this deal. With out me, it will take you five to ten years to get the permission to erect your arena. Second, with Government policy as it so stands we both know it's unlikely that you'd ever get that consent. Thirdly, in legal fees, transactions and building consent, you'd be paying 6 to 12 million without any real guarantee of that result.
M	URI	So Lenny,..... how much?
M	LENNY COLE	Seven million Euros.
M	URI	I expect a guarantee that I have consent within six months and no red tape.
M	LENNY COLE	That's right Uri, you can consider that done.
M	URI	Drink! Follow me.
M	LENNY COLE	Oh, that's a nice picture Uri, hasn't it got, errrh depth?
M	URI	That picture has brought me nothing but luck Lenny,..it's my lucky picture. You like? Take it for a while, maybe it will give you luck.
M	LENNY COLE	Oh I couldn't Uri,...
