M	CHARACTER	DIALOGUE
M	CARRIE (V.O.)	Year after year, twenty-something women come to New York City in search of the two "L's": labels and love.
M	CARRIE (V.O.)	Twenty years ago... I was one of them.
M	CARRIE (V.O.)	Having gotten the knack for labels early... I concentrated on my search for love. Turns out, a "knock-off" is not as easy to spot when comes to love...
M	CARRIE (V.O.) (CONT'D)	Until it is.
M	CARRIE (V.O.)	That is why you need help to spot them... ... Lots of help. Year after year, my single girlfriends were my salvation. And, as it turns out... ... My meal ticket.
M	CARRIE (V.O.) (CONT'D)	We still are those four single girls...
M	CARRIE (V.O.)	Even though, technically... we're not.
M	CARRIE (V.O)	One of us is married...
M	CARRIE (V.O)	One of us... married, divorced and re-married... One of us... relocated.
M	CARRIE (V.O.)	And... one of us stayed exactly where she was.
M	CARRIE (V.O.) (CONT'D)	In love.
M	BIG	I got a good feeling about this one, kid.
F	CARRIE	I've always loved this block.
M	CARRIE (V.O.) (CONT'D)	Finding the perfect apartment in New York City is like finding the perfect partner. It can take years.
M	BIG	How many does this make?
F	CARRIE	This is thirty-three.
M	BIG	Lucky thirty-three!
M	CAROL	The worst. I just left you a message.
F	CARRIE	Thirty-four. Lucky thirty-four?
F	CARRIE	If anything else opens up let us know. We're very interested in this building.
M	AGENT	I do have another apartment that's not even on the market yet. Care to take a look?
M	CARRIE/BIG	Sure.
M	AGENT	It's more than you were looking to pay.
M	CAROL	How much more?
M	AGENT	More.
M	BIG	Oh, so this is where they keep the light.
F	CARRIE	Oh my God. I've died and gone to real estate heaven. Look at this place.
M	CARRIE (CONT'D)	Hellooo, I live here.
M	BIG	Must be the altitude.
M	AGENT	And across the rooftop terrace ---
F	CARRIE	What -- Nirvana?
M	AGENT	Your wife has quite a sense of humor.
M	CAROL	They're not married.
F	CARRIE	No, he's my boyfriend.
M	AGENT	This way.
M	BIG	Aren't I a little old to be introduced as your boyfriend?
F	CARRIE	Point taken. From now on... you'll be my man friend.
M	BIG	Sounds like a dog.
F	CARRIE	Well, if the shoe fits.
M	AGENT	And this is the master bedroom.
F	CARRIE	Hideous. Hate it. Hurts my eyes.
M	CARRIE (CONT'D)	How is this place even available?
M	AGENT	Nasty divorce.
F	CARRIE	If you live here what is there to fight about?
M	CARRIE (CONT'D)	This is the master closet? No.
M	AGENT	Yes. Small for a room this size. I know.
F	CARRIE	Hmmm. Hmmm. Now, I understand the divorce.
M	BIG	I can build you a better closet.
M	BIG (CONT'D)	Welcome home, baby.
F	CARRIE	Can we afford this?
M	BIG	I got it.
F	CARRIE	"I got it." Just like that. "I got it" -- like he was picking up the check for coffee or something.
F	CHARLOTTE	It sounds perfect.
F	CARRIE	Except for the closet which Big says he can redo -- also he says the kitchen needs work but I don't know about that `cause I keep sweaters in my stove.
F	MIRANDA	So, he bought it -- and you're going to live there with him?
F	CARRIE	Yes, together. That's right.
F	MIRANDA	But he'll own it. So. You are keeping your own place, right?
F	CARRIE	Oh, Miranda, please, I haven't figured out all the details yet, but I'm a smart girl and I'm sure I'll figure out something I'm comfortable with.
F	MIRANDA	I just want to make sure you're being smart here --
F	CARRIE	And I love you for it -- but for now can't you stop worrying for me and just go ahead and feel what I want you to feel. Jealous. Jealous of me living in this gorgeous penthouse in Manhattan.
F	MIRANDA	Fine. I'm jealous. You're in real estate heaven and I'm in Brooklyn.
F	CHARLOTTE	New York magazine said Brooklyn is the new Manhattan.
F	MIRANDA	Whoever wrote that - lives in Brooklyn.
F	CARRIE	There she is. Hey Hollywood!
F	SAMANTHA	Samantha Jones... Smith Jerrod's manager -- I'm in New York `till Monday.
M	CARRIE (CONT'D)	How was your flight?
F	SAMANTHA	Fabulous. Let's go in -- I am so excited!
M	CARRIE (V.O.)	It was a rare occasion that brought all types of women together. The socialites, the trendies the yuppies, the yentas.
M	YENTA	Why the pushing? Blair Elkenn was a waitress turned model turned actress turned billionaire's girlfriend who came home one night to find herself unceremoniously turned out on the street.
M	CARRIE (V.O.) (CONT'D)	And now she was getting the ultimate break-up revenge. An embarrassing and very public auction of all the jewelry he had given her when they were happy.
F	SAMANTHA	There it is. My baby.
M	CARRIE/BIG	And she's a beauty.
F	SAMANTHA	When I saw this in the catalogue I said to Smith: This flower ring is the essence of me. One of a kind, filled with fire...
F	CARRIE	And a little too much.
F	SAMANTHA	Exactly. Come on. Let's go spend some of my hard-earned Hollywood money.
F	MIRANDA	Hey -- what's coming up on Smith's series? Is he going to sleep with that new blonde neurosurgeon?
F	SAMANTHA	He sleeps with every hot woman doctor in that hospital.
F	MIRANDA	Great. Can't wait.
F	CHARLOTTE	Don't you ever get weirded out by seeing Smith in bed with all those other women?
F	SAMANTHA	No, I think it's hot. Sometimes, when I'm alone, I masturbate right along with them.
F	CARRIE	And people say the golden age of television is over.
F	SAMANTHA	Besides, it's fake sex. When they're doing it -- no one's actually turned on.
F	MIRANDA	Kinda like Steve and I.
M	MIRANDA (CONT'D)	I'm kidding. But come one-- it's been seven years. He does that, I do this... It's not like a new plot twist is going to turn up.
M	AUCTIONEER	Next item. The flower ring.
M	CARRIE (V.O.)	If Schadenfreude is the word for feeling pleasure at someone else misfortune -- This was "jewelryfreude."
M	AUCTIONEER	Let's start the bidding at ten thousand.
M	AUCTIONEER (CONT'D)	Thank you madame. Do I hear fifteen?
F	SAMANTHA	Bitch.
F	CARRIE	And the gloves are off.
M	AUCTIONEER	Do I hear twenty?
M	AUCTIONEER (CONT'D)	Twenty. Do I hear twenty-five?
M	AUCTIONEER (CONT'D)	Twenty-five. Thirty?
M	AUCTIONEER (CONT'D)	Thirty-five?
F	MIRANDA	She's bidding for someone on the phone.
F	CHARLOTTE	That's not fair.
M	AUCTIONEER	Thirty-five. Forty?
F	SAMANTHA	I deserve this. I work hard.
M	AUCTIONEER	Do I hear forty?
M	AUCTIONEER (CONT'D)	Do I hear forty fi--
M	AUCTIONEER (CONT'D)	Fifty?
F	SAMANTHA	Sex with only one man for I don't know how long.
M	AUCTIONEER	Do I hear fifty thousand?
F	SAMANTHA	Fifty fucking thousand!
M	AUCTIONEER	Fifty-five?
M	AUCTIONEER (CONT'D)	Sixty? Sixty to our colorful bidder?
F	SAMANTHA	I draw the line at fifty.
F	CHARLOTTE	I thought this auction would be more fun... but it's kinda sad.
M	BABY VOICED WOMAN	Isn't it?
M	BABY VOICED WOMAN (CONT'D)	I thought it was just sad for me `cause I know her. But it's really sad, huh? And it's funny cause they were so happy.
F	SAMANTHA	... Till they weren't
M	BABY VOICED WOMAN	I know, right? We all told her to get married -- but she didn't want to push him. He'd been married three other times. So, she let it ride and then she came home one night and he had locked her out. She didn't even have anywhere to live. After ten years. Such a shame. She was a smart girl till she fell in love.
M	BIG	The creatures are ready. Just gonna sit there?
F	CARRIE	I'm not sitting, I'm thinking.
M	BIG	Here. Husk and think.
F	CARRIE	I'm thinking I'm going to sell my apartment and put the money towards heaven on Fifth.
M	BIG	Why? You love your place.
F	CARRIE	I know but --
M	BIG	But what?
F	CARRIE	We're together ever night -- so I'm basically paying a mortgage on a glorified closet.
M	BIG	You write there. It's your office.
F	CARRIE	There's plenty of room at the new place and -- besides.. I want to make us -- a life there. I want it to be ours.
M	BIG	It is ours. I bought it for us.
F	CARRIE	And that's so amazing --but you bought it, so it's really your place. And -- if anything were to happen...
M	BIG	What's going to happen?
F	CARRIE	I have to be smart here. I mean, we're not married and I'd have no legal rights to... this home that I built... with you.
M	BIG	Did you want to get married?
F	CARRIE	I didn't think it was an option.
M	BIG	Well, Mr. Bradshaw, what if it was an option?
F	CARRIE	Well, people are always assuming we are.
M	BIG	And you know what happens when people assume. They make an ass out of who?
F	CARRIE	You and me.
M	BIG	What do you think, kid?
F	CARRIE	Why -- Do you want to get married?
M	BIG	Well, I wouldn't mind be married to you. Would you mind being married to me?
F	CARRIE	No, if that's what you want. Is that what you want?
M	BIG	I want you. So. Okay.
F	CARRIE	Okay. Really? We're getting married.
M	BIG	We're getting married. Should we get you a diamond?
F	CARRIE	No, please, don't get me a diamond. Get me a really big closet.
M	BIG	Deal. But... You gotta do better on that corn. Look at all the stuff left on there.
F	CARRIE	So, the other night, Big and I were talking about, you know, moving in together and our future... ... And about what makes sense as we move forward. And, well... we decided to get married.
F	MIRANDA	... and I'm deaf.
F	CARRIE	Everyone's looking
F	CHARLOTTE	Sorry! I'm sorry... but my friend here, just got engaged and she's been going out with the man for ten years.
F	CARRIE	I am mortified.
F	MIRANDA	There is literally a ringing in my ear. Samantha Jones--
F	CARRIE	Well... I made a little decision that I hope you'll be happy about.
F	SAMANTHA	Oh, honey... you finally got Botox.
F	CARRIE	No. I did not get Botox
F	SAMANTHA	I'm telling you, Carrie -- you'll love it.
F	CARRIE	I did not call to talk about Botox.
F	SAMANTHA	I'm just saying.
F	CARRIE	So... Last week, after the auction, I started thinking about my options.
F	SAMANTHA	Right.
F	CARRIE	Right, and... well, Big and I decided to get married.
F	SAMANTHA	Really?
F	CARRIE	Yes.
F	SAMANTHA	That's great.
F	CARRIE	You sounded more excited about the botox.
F	SAMANTHA	Well, honey -- I am excited for you but -- you know me... I don't really believe in marriage.... Botox on the other hand -- That works every time.
M	SAMANTHA (CONT'D)	Honey, I've got to go. The People magazine person is on hold. Smith's on the short list to be their "Sexiest Man Alive." We can catch up when I'm in town next week.
F	CARRIE	Hello?
F	SAMANTHA	I think I was in shock. I mean, it's you getting married. This is not some random person -- it's you.
F	CARRIE	I hear ya.
F	SAMANTHA	And I guess, I thought that after that big mess with Aidan -- you'd never want to get married.
F	CARRIE	I know.
F	SAMANTHA	So, I put you in my "we're never getting married" file. Now, I've got to take you out of that file.
F	CARRIE	Sorry about the extra paper work.
F	SAMANTHA	You'll get my bill.
F	CARRIE	Samantha, it feels so different this time. No cliché romantic kneeling down on one knee. Just you know, two grown-ups -- making a decision about spending their lives together.
F	SAMANTHA	Well, I'm happy for you.
F	CARRIE	And one more thing... I want you to be maid of honor. How do you feel about that?
F	SAMANTHA	The same way you feel about Botox. Painful and unnecessary.
F	CHARLOTTE	74, 75, 76.... Seventy-six guests.
M	ANTHONY	Seventy five sounds better. "A small, wedding of seventy five guests."
M	CARRIE (V.O.)	As a wedding gift, Charlotte had given me Anthony Marantino -- friend and wedding planner.
M	CARRIE (CONT'D)	What? She was borderline anyway.
M	ANTHONY	Cut throat -- I love it. I hope you're that decisive when it comes to the location and the dress.
F	CARRIE	Oh. I found the dress.
F	CHARLOTTE	What?! When?
F	CARRIE	The other day. I have it here.
M	ANTHONY	This is going to be good!
F	CHARLOTTE	I'm so excited!
M	CARRIE (V.O.)	Here it is.
M	CARRIE (CONT'D)	Well... that was the exact reaction I was aiming for.
F	CHARLOTTE	No, it's pretty but it's so -- simple.
F	CARRIE	Simple and classic. When I saw it I just thought: That is what I should marry Big in.
M	ANTHONY	Well, who's it by? The label?
F	CARRIE	No one. I found it in a vintage shop.
M	ANTHONY	"The bride wore a dress by no one."
F	CARRIE	Don't worry, I'll style it up with shoes.
