M	CHARACTER	DIALOGUE
M	ACTION TRAILER ANNOUNCER	In a world where only one man made a difference... "n 1a% A POST APOCALYPTIC FIERY TUNDRA... AND ONE MAN...who
M	ACTION TRAILER ANNOUNCER	The one man who made a difference... is about to make a difference... Again... BLACK... then Speedman, again shirtless, is on an ICEBERG
M	ACTION TRAILER ANNOUNCER	Chris Michael Speedman...IS Deke Cogan... BLACK, then... " The NEW LINE LOGO over the stately POMP AND
M	COMEDY TRAILER ANNOUNCER	This summer, the halls of academia are about to get a lesson in... He has red hair, cut in a page-boy style and is dressed
M	COMEDY TRAILER ANNOUNCER	.Comedy! From America's favorite fat guy... uhh...fat KID... An ANGRY HEADMASTER SCOWLS. THE BOYS CRACK UP.
M	COMEDY TRAILER ANNOUNCER	Jeff Portnoy is having...
M	COMEDY TRAILER ANNOUNCER	This summer, lunch is on him!
M	BLACK	The FOX SEARCHLIGHT LOGO comes up. AN EXTREMELY BEAUTIFUL
M	TRAILER ANNOUNCER	In a time where to be different was to be condemned... and to be condemned was to die...
M	TRAILER ANNOUNCER	.one man chose to question his God... Lazarus screams angrily at crucifix on the wall:
M	LAZARUS	You made me! Why can't you... UNMAKE ME!'
M	TRAILER ANNOUNCER	Winner of the Palm D'or, The Golden Bear, The Laughing Monkey and over 350 film critics' '10 BEST' picture lists, and hailed by Roger Ebert as "A MASTERPIECE NEVER KNEW YOU HAD"... Three time Oscar Winner Kirk Lazarus, in two time Oscar winning director Clint Eastwood's boldest film... "SATAN'S ALLEY". THE TITLE HOLDS... then BLACK. Now, finally, the movie starts. We see The DREAMWORKS
M	BLACK	The thumping blade gets LOUDER AND LOUDER, the BASS LINE
M	INSIDE THE COBRA	A GUNNER sprays fire down at unseen anti-aircraft. All The chopper skims the treetops heading toward a hot LZ... As the. chopper tries to land, the gunner tosses a couple DOWN by the enemy. A. heavy set grunt, FATS, looking like he is in great Fats looks a 'lot like JEFF PORTNOY, star of ."Doody For BROOKLYN, an.18 year-old cherry from Brooklyn, is also on He gets up, shaken, just in time to be BAYONETED. through The VC soldier turns around just in time to be machine- shit" on his fatigues, an ace of spades in his helmet, along with some graffiti scrawl that reads "and God impressive pipes. He, is a 'bad muthaf.ucka.
M	MOTOWN	That's for Brooklyn, Muthafucka! Underneath the hovering chopper, OSIRIS,a black, buffed with abandon, yelling at the pilot to get the bird lower. Fats grabs. the mortally wounded Brooklyn and slings him
M	Tropic Thunder 5.	FATS heaves Brooklyn onto the floor of the still-airborne firing. He unleashes a hailstorm of lead at the approaching VC... FATS ignores him and continueb firing. MOTOWN comes
M	MOTOWN	SIR! Requesting permission to disobey Sergeant's orders, SIR! FOUR LEAF IS
M	CHOPPER PILOT	Sir! We gotta DIDI NOW! Air strike confirmed! This place is gonna be toast in about thirty seconds! Osiris turns on Motown, pulling his .45 in the midst of Osiris, standing on the skid, motions for the chopper
M	Tropic Thunder 6.	Motown looks to Fats,:then reluctantly jumps on the
M	BROOKLYN	A 1, I qft Sarge... .We PUSH IN ON BROOKLYN dramatically as he raises his
M	BROOKLYN	It's him. It's Four Leaf... Everyone turns to-see... FOUR LEAF, who looks a lot like CHRIS MICHAEL SPEEDMAN He is being chased.by about-FIFTY _VIET...CONG SOLDIERS...
M	GO! GO!	Fats, still on the ground, in defiance of Osiris, grabs preventing it from flying away. The pilot struggles with the controls, as Fats continues providing weak cover for Four Leaf. The chopper is now gaining momentum, and pulls Fats about with the helicopter. Four Leaf, riddled with bullets, and delirious, is fighting a losing battle to gain ground... He doesn't even have a gun...
M	Tropic Thunder 7.	Osiris looks at the dejected faces of his men, then at FOUR"LEAF, Christ-like and arms extended, sinks to his out of the chopper like an Apache warrior. Fats drops off the runner of the chopper, shooting his Screaming a war cry, Osiris makes a beeline for Four fire ... Osiris finally makes it and kneels beside Four Leaf,
M	FOUR LEAF	Get outta here. I'm worm food, man, you dig?
M	OSIRIS	What, and give up all that California pussy you been talking about? Shiiit. Someone's gotta show me around L.A...
M	FOUR LEAF	Shit. . .the only way you're gonna get a piece of LA pussy if is you go out to the graveyard and dig some up... Osiris looks down at Four Leaf's now missing arms...
M	OSIRIS	Well ...y...you better come along and bring the shovel... He starts to choke up.
M	FOUR LEAF	I'm scared,. Sarge. 'Scared I ain't never gonna see another sunset. Why does a man want to pick up sticks against another man... 'Stead of usin' them sticks. to prop a man up? Osiris nods, now crying like a baby... ï¿½4Id Iu I. Igft
M	FOUR LEAF	Hold my hands... 'cause I got somethin' to say... Osiris looks down.at Four. Leaf's bloody, stringy stumps.
M	FOUR LEAF	Are, you holding them? Oh, I'm holding them..
M	FOUR LEAF	I ain't never been worth a. nothin' in this life, and it's kinda late to start b e i' a somethin' now. But you... you are my... b-b-brother. Four Leaf screws.up.his .face and begins to cry--except up his face grotesquely...
M	FOUR LEAF	You are my... WE NOW PULL BACK TO REVEAL we are actually on location watching, surrounded by millions of dollars worth of film Four Leaf, actually the superstar. playing him, Speedman, The person perhaps most upset about it all is the skinny' life.. .he' mouths the words "you are my brothers..'." as
