M	CHARACTER	DIALOGUE
M	WESLEY (V.O.)	Six weeks ago, I was ordinary and pathetic. His wry smile gives way to... Black. And then... in business casual, pretending to have a good time at lunch in. this cookie-cutter crappy restaurant. At the end of the table, a bowl of spinach dip is in. It was Rochelle's birthday, which meant there was a certain amount of inter- office pressure to go to Appleby's and sit at a table of twenty-five with my boss Janice presiding at the head even though she's too tight to pick up the bill. Which meant, the poor bastard waiting on us had to split the check twenty-four ways -- everyone contributing to Rochelle's free meal -- surf and turf, no less -- don't do us any favors, Rochelle. Anyway, I ate a plate of extreme nachos and then polished off a bowlful of spinach dip pretty much single- handedly... The CAMERA DISAPPEARS in the bowl of spinach dip and
M	WESLEY	.so by the time I got back to my cubicle, my eyelids were so damn heavy, I had to put my head down, even if it was just for a wink. And as his finger presses the button, just where the Soon... Expressionless, he makes his way toward it. Without After a moment, Puja looks up.
F	PUJA	I didn't expect for you yourself to come. One of the heads, in the flesh.
M	MR. X	You're an important fence.
F	PUJA	I'm flattered. She reaches over to an attachâ¬ case and removes a file.
M	PUJA (CONT'D)	The name of the target is Henry Helms. Carrying the file, she moves around the desk and stands a
M	PUJA (CONT'D)	He's a journalist who stumbled on to a story exposing a lot of powerful people, people who don't like having their power threatened. MR. x Poor Helms.
F	PUJA	There.have been five attempts on his life, but he has been well protected... and well hidden. Turns out his wife's family has a lot of money. He's in town to accept an award.
M	MR. X	We'll see to it that it never makes his mantle.
F	PUJA	And for that, my clients will pay handsomely. Mr. X is looking at Puja when a curious thing happens... It's a sh hooter's laser! His eyes go wide as saucers. MR. x .but it's too late as bullets rip into her head. Mr. X crouches, drops his hands behind his back, and a. .all this as Puja's dead body hits the floor, blood seeping out of that holy third eye. ...and rolls up quickly, guns ready. .and on a dead sprint across the roof... . he spots about a CENTIMETER OF FLESH sticking out from left band. The bullet flies through the air and rockets into the .Mr. X ducks behind a stairwell door. He pulls up his right hand and looks down the barrel of stairwell. The third is on the far side of the rooftop. ...then does an amazing thing: in the split second that Before the guy's blood hits the ground, the assassin is ..which causes it to flip up in the air above the head . the second shot strikes the aluminum again, ,,..,sending marksman's heads As he falls... THE CAMERA MOVES OVER TO WHERE... the FINAL MARKSMAN is He squeezes his eyes shut, trying to psyche himself up... C'mon, c'mon, c'mon. He looks out at the stairwell door... and all is quiet. maybe the last marksman can sneak away after all. Okay... okay... He finally decides... .and takes one step forward... THWAP1!1 A bullet disintegrates his knee. He falls, clutching the knee in agony, as Mr. X walks Mr. X's shoe comes down on the final marksman's wrist, Who sent you? For a moment, we're not sure the last marksman's going.to answer. Then... We're... we're just the decoys, man. We were paid to get you out here... The marksman points at a small VIDEO CAMERA sitting on Mr. X's face falls as.those words register, and just then... RA ROCKETS over thetreets of the city, block after block in the blink of any eye... .until it reaches a rooftop, over a mile away.
M	ON THE NEW ROOFTOP:	A man named CROSS is in a crouch, holding a massive RIFLE A small SCREEN on Cross' gun shows the scene from the We follow the arcing bullet back over the rooftops in an path... .to the resigned look on Mr. X's face: an outsmarted The bullet hits him square in the chest, and he falls to Flies start to gather as he lies there. First one, then two, then several as night TIME-DISSOLVES The first set belong to an older man, SLOAN, who looks.
F	FOX	It was a set-up all the way? Sloan just nods. He then stoops down, shoos some of the flies away with The CAMERA PUSHES IN on the back of Sloan's hand as he
M	FOX (CONT'D)	That's two heads in two weeks. Which leaves only one: you. Sloan nods.
M	SLOAN	He wants out.
F	FOX	And killing all three heads gets him that? Sloan nods again. Well, I don't know if we have anyone who can stop him. Sloan squints back up at Fox.
M	SLOAN	There's one person who can.
F	FOX	Yeah? Who? And with that, we... Just then, the shot FREEZE-FRAMES, and we see IN THE
M	WESLEY (V.O.)	My name is Wesley Gibson. If you look at the corner of my desk, you'll see the billing reports I was supposed to hand in to Janice an hour ago. The BILLING ORT is highlighted on the screen for just .then the movie RESUMES normal speed and Janice reaches
M	BOSS JANICE	Oh my fucking god I hope that's not my billing report sitting on your fucking desk. Holy shit on an altar, it isl A couple of the other OFFICE WORKERS look up at the
M	BOSS JANICE (CONT'D)	why don't you just take a dump in your hands, fork it over to me and say, "this is the best effort I'm gonna give to you, Janice. This is the best you're ever gonna get out of me." Hell, Rochelle on her bbirthdav is doing a better a job than your lazy ass and she's already left for the day. Je-sus CHRIST! Wesley looks like he'd rather be anywhere else.
M	WESLEY	I meant to...
M	BOSS JANICE	I meant to... I meant to... Well I meant to be a size four but meaning to doesn't pick no cotton. She snatches up the report off his desk.
M	BOSS JANICE (CONT'D)	Tell you what. I'll just input the four- ones myself. Look everyone, I'm gonna do Wesley's four- ones for him! I don't have enough to do with my own damn job so I'll do Wesley's too! Wesley grabs the report back.
M	WESLEY	I'll do it.
M	BOSS JANICE	Minimum for the maximum. That's all you ever do. The minimum you can do to suck the maximum from this company.
M	WESLEY	I said I'll get it done. I'm sorry.
M	BOSS JANICE	No, you're worthless. I'm the one who's sorry I hired you. She storms away, fuming. Wesley looks over and sees some of the other workers He sits back down to the semi-privacy of his little The CAMERA PULLS BACK to reveal Wesley, bored to tears, The CAMERA FINDS Wesley's note-pad where it looks like you die."
M	WESLEY (V.O.)	My job title is Account Manager. I used to be called an Account Service Representative, but a consultant told us we needed to "manage" our clients and not " service- them. Onemore "life sucks then you die."
M	WESLEY (V.0.) (CONT'D)	I have a girlfriend whom I neither manage nor service.
M	WESLEY (V.0.)	Her name's Cathy. She works at Banana Republic. The guy she's humping is my best friend, Barry. She's giving it her best. As her MOANS reach a crescendo, we... Through the blinds behind the speaker, Wesley can spot Wesley suddenly looks around the room and everyone ijL_ Yes. Uh... Well the 602 deals with applications sent by prospective clients and the 603 is when the client is... Everyone is still just staring... I'm sorry, Jesus... uh... what was the question?
M	CONSULTANT	I asked you about the effects of net investment income with regards to underwriting cycles.
M	WESLEY	Well, that's the thing.-
M	CONSULTANT	What's the thing?
M	WESLEY	Cycles. Hard market, industry-wide cycles differ from our firm's cycles so I think it's amistake to apply...
F	JANICE	Good God a'mighty.
