M	CHARACTER	DIALOGUE
M	TINA	The N.T.S.B. guys are here.
F	CRAWFORD	Yep. - which knocks over the bottle. It skitters across the desk, Crawford just walks out past Tina. N.T.S.B. INVESTIGATORS in shirtsleeves and AIRCRAFT COMPANY But when he gets to them, Crawford is laser-like - holding
F	CRAWFORD	It's here.
M	ROB	What about dinner tonight?
F	JENNIFER	We go out to dinner - we might never come back.
M	ROB	Okay. I want to wake up with you. I want to...
M	ROB	...at least see where you live. I live...here. Crawford gets out, goes to a pay phone. He puts his cell
F	CRAWFORD	Lieutenant Nunally, please.
M	OPERATOR (ON PHONE)	He doesn't come on til six. You want his voice mail?
F	CRAWFORD	No. Thank you. I'll see him later. Crawford eyes them as he passes on the other side of a low The lock clicks to green.
F	JENNIFER	You're - home early.
F	CRAWFORD	I just felt a sudden urge.
F	JENNIFER	Are you...okay? Crawford shrugs, smiling strangely. He looks pained.
F	CRAWFORD	I could use a hug. Jennifer submits guiltily. Crawford embraces her, tight.
F	JENNIFER	Have you been drinking? He lets go and she steps back. Studying him. Scared.
F	CRAWFORD	I've been watching you sleep. At night.
F	JENNIFER	That's creepy.
F	CRAWFORD	Sometimes when I'm at work, I'll start thinking about you and I'll just get - just - overwhelmed.
F	JENNIFER	Tommy -
F	CRAWFORD	It's a dense, crushing - geophysical force. Like I'm pinned. At the core - where things change. You ever get that way about me, Jen?
F	JENNIFER	What are you talking about?
F	CRAWFORD	I'm trying to describe my feelings.
F	JENNIFER	Those don't sound like feelings. No? What's the sound of one feeling...in a forest?
F	JENNIFER	You think you're so much smarter than I am. That must make you feel very powerful.
F	CRAWFORD	Helpless, actually. Silence.
F	JENNIFER	Okay. Maybe it's time to really talk.
F	CRAWFORD	No.
F	JENNIFER	No? He shakes his head. Frayed and worn, she sighs.
F	JENNIFER	Fine. Whatever. I'll make you some dinner. He watches her turn and head for the kitchen. To her back:
F	CRAWFORD	I know. Everything. She stops, exhales. Looking down. Afraid. Grateful it's
F	JENNIFER	I'm so sorry.
F	CRAWFORD	Don't be. Knowledge is pain. I'm used to that. Jennifer winces, feeling some sympathy. Preparing herself to
F	CRAWFORD	It's not like I don't let little pleasures, in return for the pain. She frowns and turns - and her eyes go big with fear. The gunshot explodes out of the muzzle - bright, harsh, loud. He stands looking down at her: face-up on the floor, head in
M	GIFFORD	Tom? Jen? Everything okay in there?
F	CRAWFORD	Everybody just LEAVE US ALONE! He calmly aims up at the frosted-glass transom and fires Peeling off the rubber gloves, he crosses to the fireplace Crawford watches, expressionless - then looks around, UNIFORM COPS pull aside the barriers as a plain-wrap sedan
M	SWAT COMMANDER	You the Negotiator?
M	NUNALLY	Yeah. What do we know?
F	CRAWFORD	Yes?
M	NUNALLY	Mr. Crawford?
F	CRAWFORD	Who is this?
M	NUNALLY	My name is Lieutenant Robert Nunally. I'm a hostage negotiator for the Los - Crawford hangs up. Thoughtful. Mr. Crawford? Nunally grimaces, shuts his phone, shaking his head. But
M	NUNALLY	Okay then. Here we go. He pulls his suit jacket back on, then reaches into the trunk He takes a walkie-talkie and starts for the house.
M	NUNALLY (O.S.)	Mr. Crawford? The door pushes open very slowly. Nunally stays in the
M	NUNALLY	Hey. Crawford studies him, staying back.
F	CRAWFORD	Get rid of the vampires. Nunally is confused; Crawford gestures at the flood-lit lawn
F	CRAWFORD	Do I call you Rob?
M	NUNALLY	If you want. CRAWFORD Not vampires.
M	NUNALLY	What?
F	CRAWFORD	Not vampires. Ghouls. Sorry. Nunally nods, humoring him, glancing around. Sees the small
M	NUNALLY	Mr. Crawford, what do you say you give me the gun - so I can pay more attention to what you're saying? Crawford sighs.
F	CRAWFORD	Is that your best shot? So to speak.
M	NUNALLY	I just think - maybe it would -
F	CRAWFORD	Tell you what: I will if you will. Nunally frowns, wary. Crawford moves to the coffee table in the center of the room,
F	CRAWFORD	We both put down our guns. At the same time. Crawford gestures to a chair across the room - by the foyer
