M	CHARACTER	DIALOGUE
M	SUPER:	Tuesday, April 28th 1992
M	DRIVER	Hey! Come here.
M	DRIVER (CONT'D)	You left your watch, your comb, your change...
M	BACKPACK	Keep it.
M	DRIVER	I don't want your money. And I already have a watch.
M	BACKPACK	If you don't take it, I'm gonna throw it away. I don't want to know what time it is, what day it is, or where I am.
M	BACKPACK (CONT'D)	I don't want to see anybody. None of that matters.
M	DRIVER	Take em.
M	DRIVER (CONT'D)	If you make it out alive, give me a call, and I'll tell you how to get the boots back to me.
M	BACKPACK	Hey, do me a favor, will ya? Take a picture of me. re-enters frame in an OVER-SHOULDER. Driver
M	DRIVER	You gonna be alright?
M	BACKPACK	I'll be better than that. May 1990 absence, when almost magically, he appears in full cap
M	CHRIS (V.O.)	I see them standing at the formal gates of their colleges, I see my father strolling out under the ochre sandstone arch, the red tiles glinting like bent plates of blood behind his head, I see my mother with a few light books at her hip standing at the pillar made of tiny bricks with the wrought-iron gate still open behind her, its sword-tips black in the May air, they are about to graduate, they are about to get married, they are kids, they are dumb, all they know is they are innocent, they would never hurt anybody. I want to go up to them and say Stop, don't do it--she's the wrong woman, he's the wrong man, you are going to do things you cannot imagine you would ever do, you are going to do bad things to children, you are going to suffer in ways you never heard of, you are going to want to die. I want to go up to them there in the late May sunlight and say it, her hungry pretty blank face turning to me,
M	CHRIS (V.O.) (CONT'D)	her pitiful beautiful untouched body, his arrogant handsome blind face turning to me, his pitiful beautiful untouched body, but I don't do it. I want to live. I take them up like the male and female paper dolls and bang them together at the hips like chips of flint as if to strike sparks from them, I say...
F	BILLIE	Here they are.
M	CHRIS	I say...Do what you are going to do, and I will tell about it.
F	CARINE	Who wrote that?
M	CHRIS	Well, it could've been either one of us, couldn't it?
M	CHRIS (CONT'D)	There's a lot of great poems in there.
F	CARINE	Thanks, big brother.
F	BILLIE	You scared the daylights out of me, jumping on to that stage, oh my god.
M	WALT	Congratulations, son.
M	CHRIS	I'm starving.
M	CHRIS	My grades are gonna be good enough, I think, to get into Harvard Law.
M	WALT	That's a big deal. What do you have left in your college fund?
M	CHRIS	It's an inheritance, dad. I've only been spending it as a college fund...Exactly twenty-four thousand five hundred dollars and sixty-eight cents.
F	BILLIE	That's very specific.
M	CHRIS	I had to go to the bank this morning.
M	WALT	Well, we'll certainly contribute the balance for Harvard.
M	CHRIS	Yeah. I've got to figure out what I'm going to do. I got a lot of things to pack and organize here first.
F	BILLIE	I'm so glad you're getting out of that place you're living. It was so much nicer when you lived on campus.
M	WALT	You'll come to Annandale before you disappear on us, won't you?
M	CHRIS	Sure, I will.
F	BILLIE	You promise?
M	CHRIS	Mom.
F	BILLIE	Well, your father and I want to make a present to you. WALT We want to get you out of that junker. CHRIS What's a junker?
M	CHRIS (CONT'D)	The Datsun?
M	WALT	Yes. We want to get you a new car.
M	CHRIS	A new car? Why the hell would I want a new car? The Datsun runs great. Do you think I want some fancy boat? Or are you worried about what the neighbors might think?
F	BILLIE	We weren't going to get you a Cadillac, Chris. Just a nice new car that's safe to drive. You don't know when that thing's just going to suddenly blow up.
M	CHRIS	Blow up? Blow up?! Are you guys crazy? It's a great car. I don't need a new car. I don't want a new car. I don't want anything. Thing, thing, thing.
M	CHRIS (CONT'D)	But, thanks anyway.
M	WALT	Everything's gotta be difficult.
M	CHRIS	I said thank you. I just don't want anything.
F	CARINE	I wouldn't say no to a new car.
M	CHRIS	Ivana Trump McCandless. CARINE Shut up, Chris. Seriously, I'll pay you back. We travel with Chris and his Datsun through the REPRISE MUSIC OVER MAIN TITLE: Chris walks into the distance.
M	CHRIS	This is Emory University freshman Chris McCandless reporting from the vault at Thompson Hall.
M	CHRIS (CONT'D)	We have just dynamited the hatchway and are the first human beings to step foot into this vault in over a hundred years. Somewhere in here lies the secret of the great beast within us all. A beast built on lies, corruption, and greed.
M	CHRIS (CONT'D)	And there it is! The legendary beast Mocra.
M	CHRIS (CONT'D)	We've got to get out of here quick and re- secure the hatch while we make a plan of how to kill the beast. Well, it looks like we've succeeded - - at least for the moment, in sealing the beast back into the vault. Your humble reporter, Chris McCandless will now struggle with the journalistic question of ethics: Will he retain his reporter's objectiveness or save the future of human truth by slaying this awful beast?
M	CHRIS (CONT'D)	Once again, your humble reporter Chris McCandless.
M	OS STUDENT	What is this? Filmmaking 101?
M	OS STUDENT #2	Point the camera at me. I'm a star.
M	CHRIS	Pay no attention to the voices behind the curtain.
M	CHRIS	Ted! We've got a monster in the vault. It represents all the corruption, the deceit, and greed within us all. I must slay it.
M	TED TURNER/STUDENT	McCandless, how many times have I had to tell you? I've had to tell you that you are a journalist and you can't get personally involved in your cases...or your stories.
M	CHRIS	Ted! I know how to kill it. And I'm the only one who knows. You can't keep sending me on stories and expecting me to do nothing! I look like some kind of an idiot.
M	TED TURNER/STUDENT	Do you know who you're talking to? I'm Ted Turner.
M	PANICKED STUDENT	McCandless! You've got to hurry! The monster is scratching at the hatchway. He'll be out in no time.
M	TED TURNER/STUDENT	It'll mean your job, Chris McCandless.
M	CHRIS	That's it, Ted. Fire me if you want but this beast must be slayed. in hand, Chris makes haste. The CAMERA RUNS
M	CHRIS (CONT'D)	This is the only thing that can kill the monster. It's gonna be risky but without great risk, there is no freedom. So we will now hear from the famous singer - Chris McCandless.
M	CARINE (V.O.)	When we were little, Chris was very to himself. He wasn't anti-social, he always had friends, and everybody liked him - but he could go off and entertain himself for hours, he didn't seem to need toys or friends. He could be alone without being lonely. The secrets our parents kept, though unknown to Chris and I, led to bouts of rage and even violence between them that we had been forced to witness since we were very young. It seemed like they never fought without us. I remember the first family meeting to let Chris and me in on their plans for getting a divorce. They wanted us to choose which of them we'd live with. I cried my eyes out. But the divorce never happened, though the threats and meetings never stopped. It wasn't long before Chris and I shut off -- we would tell mom and dad to go ahead and get the divorce. Chris and I just wanted to get away from their fights and mom kept promising to get out and take us with her as soon as their company made enough money. Dad had been the young genius [that] NASA enlisted to do [crucial] designs for the American satellite radar systems that would be our answer to the Russian Sputnik. And mom and he later started up a consulting firm combining her get-up- and-go resourcefulness with his wealth of knowledge. By the time the company actually made its first million, the careerism and money seemed to erase her memory of the promise she'd made us.
M	CARINE (V.O.) (CONT'D)	I think this is when Chris began to see "careers" as a diseased invention of the twentieth century and to resent money and the useless priority people made of it in their lives. He'd begun planning to "slay the beast"...to make himself free. IN: 3. A family ski-boat has taken Chris on. They give him
M	CHRIS (V.O.)	I need a name.
M	CARINE (V.O.)	Toward the end of June, Chris had mailed our parents his final grade report.
M	CARINE (V.O.) (CONT'D)	Almost all A's. "A" in Apartheid in South African Society and History of Anthropological Thought; A- in Contemporary African Politics and the Food Crisis in Africa; and on it went. Clever boy, my brother.
M	CARINE (V.O.) (CONT'D)	But by the end of July we hadn't heard anything from him and my parents were getting very worried.
M	CARINE (V.O.) (CONT'D)	Chris had never had a phone, so they decided to drive down to Atlanta and surprise him. When they arrived at the apartment, there was a "For Rent" sign in his window, and the manager told my parents that Chris had moved out at the end of June. When they got home, I had to hand them all the letters they had sent Chris that summer which had been returned in a bundle.
M	CARINE (V.O.)	Chris had instructed the post office to hold them until August 1st so that mom and dad wouldn't know that anything was up. Some part of me understood what he had done. That he had spent the previous four years fulfilling an absurd and onerous duty in graduating from college. And now, at last he was unincumbered. Emancipated from the stifling world of parents and peers. Abstraction, security, and material excess. Those things that cut Chris off from the raw truth of his existence. I only hoped he was safe...and I missed him.
M	CHRIS	Sign, sign. Everywhere a sign. Fuckin' up the scenery, breakin' my mind. Do this. Don't do that. Can't you read the sign?
M	FOREST RANGER	U.S. Forestry. Could you step out of the tent please?
M	CHRIS	Sorry. I thought you were a bear.
M	FOREST RANGER	I don't blame you. You're less than a hundred yards from the nearest den. That's why I came over here to talk to you. Do you have some identification?
M	CHRIS	No. I'm sorry. My name's Alex. I've been travelling a lot and I got robbed and my identification was taken.
M	FOREST RANGER	You mind if I take a look in your tent?
M	CHRIS	Go ahead.
M	FOREST RANGER	You're not the character who knocked down our sign, are ya?
M	CHRIS	No.
M	FOREST RANGER	Because there was a sign indicating that camping was allowed by permit only.
M	CHRIS	Well, I don't have a permit.
M	FOREST RANGER	No, I'm sure you don't. Listen, it looks like you've got your food secured pretty good, so I'm not gonna make you move on tonight. But, these bears out here are nursing young and you know how that goes. Next time, stop at the Rangers station and get yourself a permit.
M	CHRIS	Alright. I appreciate it. I'm gonna be headed towards the coast tomorrow.
M	FOREST RANGER	Be careful.
M	CHRIS	Is that a man mommy? That's no mere man, sweetheart. That's Alexander SuperTramp! King of the wild frontier!
M	DRIVER	This is where I turn off.
M	CHRIS	Alright man. Thanks a lot.
M	POLICEMAN	How're you doin' this evening?
M	CHRIS	I'm alright. What's the matter?
M	POLICEMAN	You wanna put your backpack down on the hood of my car.
M	CHRIS	Why?
M	POLICEMAN	Because I asked you to, sir.
M	CHRIS	But I haven't done anything wrong. These are my personal items.
M	POLICEMAN	Do you know that it's unlawful to hitchhike on this stretch of highway.
M	CHRIS	You're kidding.
M	POLICEMAN	Do you see a safe area for a vehicle to stop? We got a tree-lined highway without a substantial shoulder here. And we've had a lot of accidents on this road from people stopping in the traffic lane for hitchhikers.
M	CHRIS	Alright, but...I mean, you stopped your car. You're in the traffic lane. And you can see, there's hardly any cars out here. Plus, it's a straight road; you can see for a long ways.
M	CHRIS (CONT'D)	There's really been accidents along here?
M	POLICEMAN	May I see some identification?
M	CHRIS	I don't have any.
M	POLICEMAN	You don't have any identification?
M	POLICEMAN (CONT'D)	Well, I'm gonna site you for unlawful hitchhiking. You don't have to appear. You can send a check directly to the Humboldt County Clerks Office for restitution. If you don't pay it within 30 days, you're subject to fine and warrant. I'm gonna trust that you're gonna give me accurate information. What's your name?
M	CHRIS	McCandless. Christopher Johnson McCandless.
M	CARINE (V.O.)	If Chris were trying to disappear, it would have been a pretty uncharacteristic lapse for him to give the police his real place of residence. Though my parents had already contacted the Annandale police with their initial concerns, this ticket arriving from California made them frantic.
M	CARINE (V.O.) (CONT'D)	My father called one of his old government friends who put him in touch with a private investigator, someone who'd done work with the DIA and the CIA. Using the Willow Creek ticket as a starting point, the investigator began chasing down leads. Most of them led far afield -- to Europe and South Africa. Ultimately turning up nothing. What my dad couldn't believe was that he'd given up his car. He seemed to love that Datsun so much. It sounded just like Chris to me, though. He was very much of the school that you should own nothing except what you could carry on your back at a dead run.
F	JAN	Hi. We just barely saw you there, under that crazy hat of yours. We couldn't back up - the van's reverse is broken.
M	CHRIS	Oh. That's okay. Thanks for stopping.
F	JAN	This door's a little tricky, I'll get it.
M	JAN (CONT'D)	Hop in, that's Rainey.
M	RAINEY	Hey, I'm Rainey.
F	JAN	And I'm Jan.
M	CHRIS	Hey, Rainey. Hi Jan. I'm Alex.
M	RAINEY	Alex of the hat.
M	CHRIS	Yeah.
M	RAINEY	Were you out there a long time hitching?
M	CHRIS	Couple of days. But sometimes I forget to put my thumb out.
F	JAN	Probably, the rest of the time, that hat scares `em away.
M	JAN (CONT'D)	When's the last time you ate something?
M	CHRIS	See that? I've got this book and it shows you all the plants and berries that are edible. You can find things wherever you go.
M	RAINEY	We were just in town getting some beads and stuff. Jan does handicrafts, so we're usually going from one swap meet to another. She's so good at what she does, we sold everything. So, we set up camp at Orick Beach. You're welcome to camp there with us.
F	JAN	And eat there with us.
M	CHRIS	So, I just left the car. It was a great car too. I'd driven it cross country the first time when I got out of high school. I had some really great adventures with it. That thing would just go and go. I mean, it was an `82 but if I'd kept it, it would've lasted me forever.
M	RAINEY	So, you're a leather now. CHRIS I'm a leather?
M	CHRIS (CONT'D)	What's a leather?
F	JAN	You're a leather tramp. That's what they call the ones that hoof it on foot. So, we're technically rubber tramps.
M	RAINEY	As we have a vee-hi-cle.
F	JAN	Alex could have a vehicle. If he didn't burn his money. Why would you want to do that?
M	CHRIS	I don't need money. It makes people cautious.
F	JAN	Well, you have to be a little cautious Alex. That book of yours is all well and fine but you can't depend entirely on leaves and berries.
M	CHRIS	I don't know if you'd want to depend on much more than that.
F	JAN	Where's your mom and dad?
M	CHRIS	Makin' their money somewhere.
F	JAN	Come on Chris. You look like a loved * kid. Be fair. * CHRIS Fair?
F	JAN	You know what I mean.
M	CHRIS	I'll paraphrase Thoreau -- "Rather than * love, than money, than fairness, give me * truth." *
M	RAINEY *	You look like shit. There's the truth. * ANGLE: Rainey at the water's edge. Chris appears beside
M	RAINEY	Geez. If I struck a match to you, I'd have warmth and dinner at the same time.
M	CHRIS	Where's Jan going?
M	RAINEY	Well, my friend, all is not well on the hippie front.
M	RAINEY (CONT'D)	You're an industrious little fucker, aren't ya... Yeah, it's funny how things happen at particular times. I've loved that woman for a lot of years. But you know, she's got a...story. We've been going through this thing real quietly cause, well...So, after running into you last night, this thing we were going through quietly, she started talking about. You know what I mean?
M	CHRIS	I think so.
M	RAINEY	You think what?
M	CHRIS	I think she's probably quietly disconnecting. It doesn't feel right to her to be close to you if there's a hole of some kind somewhere else.
