M	CHARACTER	DIALOGUE
M	ELIZABETH SWANN	Will...!
M	ELIZABETH SWANN	Why is this happening?
M	WILL TURNER	I don't know. You look beautiful.
M	ELIZABETH SWANN	I think it's bad luck for the groom to see the bride before the wedding.
M	LORD CUTLER BECKETT	Governor Weatherby Swann, it's been too long.
M	LORD CUTLER BECKETT	His Lord now... actually.
M	LORD CUTLER BECKETT	In fact, I *do*. Mister Mercer! The warrant for the arrest of one William Turner.
M	LORD CUTLER BECKETT	Oh, is it? That's annoying. My mistake. Arrest her.
M	ELIZABETH SWANN	On what charges?
M	WILL TURNER	No!
M	LORD CUTLER BECKETT	Ah-ha! Here's the one for William Turner. And I have another one for a Mister James Norrington. Is he present?
M	ELIZABETH SWANN	*What are the charges?*
M	LORD CUTLER BECKETT	I don't believe that's the answer to the question I asked.
M	WILL TURNER	Lord Beckett! In the category of questions *not* answered...
M	ELIZABETH SWANN	We are under the jurisdiction of the King's governor of Port Royal, and you will tell us what we are charged with.
M	LORD CUTLER BECKETT	For which the punishment, regrettably, is *also* death. Perhaps you remember a certain pirate named Jack Sparrow.
M	ELIZABETH SWANN	*Captain* Jack Sparrow.
M	LORD CUTLER BECKETT	Captain Jack Sparrow. Yes, I thought you might.
M	GIBBS	Fifteen men on a dead man's chest. Yo ho ho, and a *bottle* of rum. Drink and the devil had done for the rest. Yo ho ho, and a *bottle* of rum. Ha-ha-ha-ha-ha! TURKISH PRISON
M	JACK SPARROW	Sorry, mate.
M	JACK SPARROW	Mind if we make a little side trip? I didn't think so.
M	GIBBS	Not *quite* according to plan.
M	JACK SPARROW	Complications arose, ensued, were overcome.
M	GIBBS	You got what you went in for, then?
M	JACK SPARROW	Mm-hmm!
M	GIBBS	Captain, I think the crew, meaning me as well, were expecting something a bit more... *shiny*. What with the Isla de Muerta going all pear shaped, reclaimed by the sea, and the treasure with it.
M	LEECH	And the Royal Navy chasing us all around the Atlantic.
M	MARTY	And the hurricane!
M	CREW	Aye.
M	GIBBS	All in all, it's seems some time since we did a speck of honest pirating.
M	JACK SPARROW	Shiny?
M	GIBBS	Aye, shiny.
M	JACK SPARROW	Is that how you're all feeling, then? Perhaps dear old Jack is not serving your best interests as captain?
M	COTTON'S PARROT	Awk! Walk the plank!
M	JACK SPARROW	What did the bird say?
M	LEECH	Do not blame the bird. Show us what is on that piece of cloth there.
M	JACK SPARROW	Ohhh!
M	GIBBS	Know that don't do no good.
M	JACK SPARROW	It does me.
M	MARTY	It's a key!
M	JACK SPARROW	No! Much more better. It is a *drawing* of a key.
M	[Among the crew:	Chinese man, black man with a black beard, white bearded man with large black hat]
M	JACK SPARROW	Gentlemen, what do keys do?
M	LEECH	Keys... unlock... *things*?
M	GIBBS	And whatever this key unlocks, *inside* there's something valuable. So, we're setting out to find whatever this key unlocks!
M	JACK SPARROW	No! If we don't have the key, we can't open whatever it is we don't have that it unlocks. So what purpose would be served in finding whatever need be unlocked, which we don't have, without first having found the key what unlocks it?
M	GIBBS	So - We're going after this key!
M	JACK SPARROW	You're not making any sense at all. Any more questions?
M	MARTY	So... Do we have a heading?
M	JACK SPARROW	Hah! A heading. Set sail in a... mmm... a general... in *that* way - direction.
M	GIBBS	Cap'n?
M	JACK SPARROW	Come on, snap to and make sail, you know how this works. Come on, ?oy/?quick, ?oy/?quick, hey!
M	MARTY	Have you noticed lately... The captain seems to be actin' a bit strange... -er.
