M	CHARACTER	DIALOGUE
M	A WRIST WATCH	12:43. Brendan looks up from the watch. the phone and puts the receiver to his ear. Silence for a Originally Dode was later revealed to have been hiding above the tunnel. The street names were changed in production to match existing streets (we couldn't
M	VOICE	Brendan?
M	BRENDAN	Emily?
F	EMILY	Yeah. How's things?
M	BRENDAN	Status quo.
F	EMILY	Yeah?
M	BRENDAN	Uh huh.
F	EMILY	That's good.
M	BRENDAN	What's going on, Em?
F	EMILY	It's good to see you, Brendan. It's been some time.
M	BRENDAN	Two months.
F	EMILY	Yeah. I didn't even know your locker. I had to ask Brain.
M	BRENDAN	Em, why don't we meet somewhere?
F	EMILY	I can't. Why not?
F	EMILY	I screwed up real bad. I really screwed up.
M	BRENDAN	Screwed up how?
F	EMILY	I did what she said with the brick, I didn't know it was bad, but the pin's on it now for poor Frisco and they're playing it all on me-
M	BRENDAN	Slow down now, what?
F	EMILY	You gotta help me Brendan I think tug- Oh! of the booth. window.1 A pale blue arrow is printed on the filter. Because of the orientation of the street, this was all flipped when we shot it, and the
M	BRENDAN	Brain.
M	THE BRAIN	Hey Brendan. It's been awhile. Where you been eating?
M	BRENDAN	Back of school.
M	THE BRAIN	Huh. Yeah, no one's seen you. What's it been, a couple months?
M	BRENDAN	Yeah, it's been awhile. You gave Emily my locker number?
M	THE BRAIN	A few days ago. Was I wrong?
M	BRENDAN	What?
M	THE BRAIN	To give it?
M	BRENDAN	No.
M	THE BRAIN	It's been so long, I don't know you two's stats.
M	BRENDAN	It has been awhile. Who's she been eating with? THE BRAIN I dunno. It's hard to keep track.
M	BRENDAN	Is it?
M	THE BRAIN	Can be.
M	BRENDAN	Uh huh.
M	THE BRAIN	She hasn't been doing too good.
M	BRENDAN	Yeah well. I'm not looking for a patch up. Em's life is her own. But she asked for my help.
M	THE BRAIN	Help with what?
M	BRENDAN	I don't know. I don't even care, it's not my business. I just want to know she's ok, so I've got to find her. That's all this is.
M	THE BRAIN	Well. I know she was poking in with the Ivy-bound cheerleading elite. Laura Dannon's crowd.
M	BRENDAN	Laura Dannon there with the Rabbit?
M	THE BRAIN	Yeah. Brad Bramish with her. Cream on the upper crust.
M	BRENDAN	He's a sap.
M	THE BRAIN	Know him?
M	BRENDAN	By sight.
M	THE BRAIN	I won't argue then. Anyway Em tagged after them for a bit, but it didn't work. So she picked her way down the food chain. Last I seen she was with whasshername, that drama vamp. Small time dealer, augh, the evil one, the one you dated-
M	BRENDAN	Kara.
M	THE BRAIN	That's my bus.
M	BRENDAN	You know her locker number?
M	THE BRAIN	Kara's?
M	BRENDAN	Em's.
M	THE BRAIN	
M	BRENDAN	Thanks Brain. Keep your specs on, find me if she shows.
M	THE BRAIN	Sure. him, the other of Emily with a beautiful sharp-eyed girl at a party, drinks in hand. Sixth period has broke. Masses of students pile into busses.
M	GIRL	Hello, Brendan.
M	BRENDAN	Kara.
F	KARA	Come to see the show? Kisses the freshman's forehead, purring.
M	BRENDAN	No, I didn't. Lapdog, blow.
F	KARA	Stay. Don't be mean.
M	BRENDAN	I'm all friendly. Watch your head, kid - that thing bites. I need words.
F	KARA	I'm listening.
M	BRENDAN	About Emily Kostich.
F	KARA	Get me my purse. Hurry!
M	BRENDAN	Still picking your teeth with freshmen?
F	KARA	You were a freshman once.
M	BRENDAN	Way once, sister. You and Em were tight for a bit. Who's she eating with now?
F	KARA	Eating with?
