M	CHARACTER	DIALOGUE
M	previous revisions by	Mark Bomback Frank Cappello EARLY PRODUCTION DRAFT swelled along an endless wall. Billowing silk frozen is WHISPERING. And tangled VOICES. steps up onto the chest, grabs the edges of the hole reaches down to free his foot when he sees the center is a crudely-shaped IRON RELIC. Eight inches Stop! Stop! spins, griping the relic tight. GUNSHOTS RING num quam laedatur amorsu antiqui serpentes! body convulses, pulls against the bandages tying her MOTHER is off to one side, completely hysterical. rather obese Priest tries to steady his hands and his pauses, pulls an ORNATE LIGHTER and lights a Stranger pushes through. Suspicious faces step out man has no patience for politeness, no time for tact, man is JOHN CONSTANTINE. arrives at his destination, barges into -- Thank God you're here... shoots him a disgusted look. Hennessey gives him a walks past the panic-stricken MOTHER without a Constantine, asshole. girl JOLTS, bandages on her arms cut into her skin. whips out a key chain crammed with medallions. holds them up so they cast shadows across Jeanie's stares at the Saint responsible, seems genuinely the Mother produces a small compact. John pushes -- three feet high. grabs the bed -- shoves Hennessey aside as he swings (20s) looks up from his cab. Cool. Frustrated. from the flesh I command thee -- girl chokes as if ready to spit. SCREAMS -- body suddenly PULSES half again larger. John recoils PULSE and this time a SHAPE is clearly seen arrives at the doorway, BANGS against the JAM. is glad to be called into service -- quickly -- and whatever happens -- do not look into the mirror. men close their eyes. Muscles tense under the from the flesh I command thee! reacts -- that SHAPE reappears, contorts the young unblocks the mirror for a second and Jeanie is SCREAMS -- breaks free of the straps. She rises Not yet! struggles, puts his hands over her mouth -- cutting body is racked by whatever's inside her. She she's passing out first. John quickly takes the and presses it against her forehead. Eyes snap wide child's reflection has now changed to a pissed off PULLS the rope with all three-hundred-plus pushes for him but mirror is jerked into motion. jumps up and helps push the mirror free. looks up, sees he missed dying by three feet. slips FROM VIEW into the kitchenette, hides the fact tugs it off the fridge, tucks it away. shadowy FIGURE several floors up stares over the rail is BALTHAZAR and he definitely does not rent here.
M	Hennessey.	stops his panhandling, continues toward the she was really possessed, not like that. me into --
M	On the left side.	keeps searching. rips his smokes from the left vest pocket -- half. starts to divvy the cash but John snatches the JOHN from yourself. gestures that bagged BOTTLE in Hennessey's jacket. Please, John, I need to sleep. stares at his pathetic friend, sighs, finally slips
M	Well maybe if you had told me you	were dropping a three-hundred pound mirror with a pissed-off demon in it I would have moved it further. slams the hood. They slide into the car. reaches back into John's front coat pocket -- pulls the land of enlightenment. You were so close to growing a conscience. grins, pulls his special lighter, lights a smoke and looks back up at the apartment, still puzzled. crams the car in gear as John takes a drag, coughs. MAN is thirty feet down the same track. Their VOICES gonna do a full marathon? RADIO CHATTER buzzes from Angela's WALKIE- step out with your hands above your head. I put a bullet in your skull just like I did hers! checks the chamber -- sees she has one bullet Now put down your weapon on the tracks and -- BEGINS to VIBRATE. Tunnel starts to GLOW.
M	Well ain't this a peach?!	looks back, sees several SHADOWS of figures waving Get off the tracks! Blueline is coming! Clear the tracks! peeks over the track. Still no sign of her perp. light and be saved!! looks back, squints into the brilliant LIGHT. there he is -- the Man rising with his own gun. hands. This give you any ideas? walks in. Chaz curses under his breath. lifts it from the rack, steps out into the prep snatches a grease pencil from the overhead, throws the suitcases on it as John arrives. Simple question. How much longer do I have to be your slave? pulls a chain and a wall of window shutters open. my very appreciated assistant. Like Tonto and Robin and that skinny fellow with the fat friend. the floor, encircling the entire room, are 5 gallon
M	How much longer?	doesn't like his tone. going rate for saving a taxi driver hanging from his fingernails about to be swallowed into the jaws of Hell? gives him a knowing look, goes back to emptying his Midnite's. Say ten-ish? sighs, starts out -- turns back, catches an object John throws him. a dashboard air freshener shaped like a cow. leaves. John removes a small BLACK BOX from his turns to see BEEMAN waddle in. You were gone only one. diminutive occult version of Bond's "Q" carries a a real drain. shake hands. Beeman sets his bowling bag onto the You smell something, John? just exorcized seemed a bit more spirited than usual. starts pulling things out. First is a frayed RAG. fragments from the Road to Damascus, dust from the Dead Sea Scrolls -- oh, you'll love this -- comes a little MATCHBOX with a smiling bug graphic. the Fallen -- like fingernails on a chalkboard. pulls out a set of sculptured BRASS KNUCKLES.
M	Gold was blessed by the Bishop	Anicott during the Crusades. spots a foot-long COPPER TUBE in the bag, pulls it this puny little thing? John gives the handle a anymore. shrugs, modesty. John starts to put it down on near this. Piece of the shroud Moses wore to the mountain. picks it up -- You're shitting me, right? Nope. How spirited was this incubus? Like it was trying to come right out through the girl just stares at him -- is this a joke? John, elaborate costumes -- they can work us but don't come through us. They can't. You know that. Corinthians. See if there are any precedents. Wouldn't happen to have anything for -- sets down a bottle from the bag -- Vick's 44. two exchange a look.
M	You're alive. Bad guy's dead. No	point in using the other words. Even though it was reckless -- irresponsible -- stupid... one of these days... I know, nobody's luck lasts forever. meets her eyes. Exactly. He really does care. They let him pass. Chaz steps up and lucky him -- Chaz is stiff-armed because the back of this card John? John? glances back -- gives him an impassive look. Chaz walks through a maze of passages while the fantasies fills a line of shot glasses from a pitcher of water. offers a half smile. He likes this kid, walks on. living GROAN BELLOWS from the rigid seams but the doors Midnite! Come on, do I have to huff and puff here?! doors unlatch.
M	Et separatur a plasmate tuo, Ut	num quam laedatur amorsu antiqui serpentes... steps in through the doors behind.
M	Deciding which color to paint this	place again? MIDNITE stands in the jungle he calls an office. money. of living. monks don't take bribes? strides toward him when John calmly pulls from reluctant grin cracks Midnite's stern features. He
M	Second century depiction of a	sephiroth in the 4th realm... ignores his outstretched palm, slides the relic plane -- balance. lets go and the complex machine actually starts fake relics will do to your health? have the wrong piece. Jesus... two have a mini stare-down. John's rigid poker face was a cough. You never cough? reaches into his tuxedo jacket and hands over a
M	Better not be any Washingtons in	here this time. stops the counting, actually thinks about it. suddenly spins toward the entrance doors, is stunned
M	Balthazar.	is behind him. Utterly confident. Chillingly Manhattan, are we? attempt to disguise his anger fails. entire night. deport your sorry ass right where you stand --
M	It's bad enough that you let these	half-breeds in at all but this piece of shit --
