M	CHARACTER	DIALOGUE
M	WILLIAM STARKS (V.O.)	I remember there was so much white everywhere. And I felt peace...even though there was war around me. And I felt alive, even though I knew I was dead.
M	INTERN #1	Come on, come on, let's tag these guys and get them out of here. Starks, William. Born December 25, Wait, so how old? [Searching through records] Here he is. William Starks. Born in Vermont. He hasn't got a family listed. The naval hospital'll figure out what to do with him. Oh my God! This soldier is ALIVE! Code blue! CODE BLUE! This man just blinked!
M	INTERN #1	He's been tagged already. Worry about the others... [then seeing STARKS blink] Oh shit! Shit! CODE BLUE! We need a doctor! Get a doctor over here now!
M	CAPTAIN MEDLEY	The level of arms on the ground really depends. [Answering a question] But no, I'd have to say we haven't had to engage on the ground as heavily as we might have expected.
M	NEWSANCHOR	Have you lost any men today, Captain?
M	CAPTAIN MEDLEY	No. One of my Corporals took a bullet to the head, but it looks like he might make it. Looks that way...
M	DOCTOR	Sergeant Starks was very lucky. A little more to the right and it wouldn't have wanted to come out...
M	MAJOR	But he's never gonna be able to remember what happened?
M	DOCTOR	It's hard to say. Sergeant Starks could have retrograde amnesia or... [lowering his voice] any form of psychological suppression. It's very common with traumas like this. Sergeant Starks is in the room, [beat] and I want to know when I'm going home.
M	LIEUTENANT	Sergeant, you have no surviving family in the States. I'm sure you have friends or distant relatives, but unfortunately we have no record of them yet.
M	MAJOR	Captain Medley has recommended you for the Purple Heart, Sergeant.
M	STARKS	Can I have one of those?
M	LIEUTENANT	Of course.
M	DOCTOR	There is help for you, Sergeant.
M	LIEUTENANT	Of course there is. Their VOICES start to fade as STARKS smokes his cigarette,
M	STARKS [V.O.]	I didn't know where my home was. I just knew I didn't want to be there anymore.
F	JACKIE	Come on, mom. Don't fall asleep...
M	STARKS	You two ok?
F	JACKIE	Our car won't start. What's your mom's name?
M	JACKIE [Cautiously]	Jean.
M	STARKS	Jean? Jean, can you hear me? I need you to try to wake up, Jean.
M	STARKS	Your mom take anything before this happened?
F	JACKIE	Yeah, but I don't know what.
M	STARKS	[Beat] What's your name?
F	JACKIE	Jackie.
M	STARKS	Nice to meet you, Jackie. Why don't you wrap this scarf around yourself and try to keep your mom awake while I take a look at your car.
M	STARKS	What do you think of all this snow?
F	JACKIE	[Beat] Nothing. But I like it I guess.
M	STARKS	Hey, can you reach the gas pedal?
F	JACKIE	Yeah.
M	STARKS	Go ahead, turn it on. Keep pushing it.
M	JACKIE [Smiling]	It works!
F	JEAN	Get your fucking hands off my daughter!
F	JACKIE	Mom, he just fixed our car. Jackie, get in the car. NOW!
F	JEAN	Look, I don't want any trouble, so...
M	STARKS	Neither do I, ma'am. I'll be on my way.
F	JACKIE	Mom, you've got it wrong...
F	JACKIE	You're just gonna walk?
M	STARKS	Yeah, I'll hitch a ride or something. [Beat] Let her throw it all up before she gets back behind the wheel.
F	JACKIE	What're those?
M	STARKS	Dog tags. [Off her blank look] They've got your name and date of birth for identification.
F	JACKIE	What for?
M	STARKS	[Beat] In case you get lost, or can't remember who you are. Hm.
M	STARKS	I think I can remember what's on them.
F	JACKIE	William Starks. [Beat] Thanks. "Jackie" and "Jean" are the only ...things you know for certain about that day? Are you aware we have no last name, no place of residence, and no record of any physical presence for these "friends" of yours? How's that possible in this day and age? I may need to actually hear that answer, Mr. Starks.
M	STARKS	[Beat] Yes. With Starks' answer, the background of the courtroom is
M	OFFICER NASH [Emotional]	Eddie [correcting himself], Officer Harrison, was lying in a pool of his own blood -- on his back.
M	DR. HALE	William Starks could be blocking the incident. It would explain his well- systematized scheme about the little girl and her mother. A delusion as complex as that can often replace the reality of an incident like this.
M	OFFICER NASH [Cont'd]	Officer Harrison'd been shot three times. He was long dead by the time we got there.
M	DR. HALE	I have heard of Gulf War Syndrome. The medical community is only beginning to gather information about it.
M	PROSECUTION	Gulf War Syndrome? What the...Why don't we start diagnosing Hard Life Syndrome while we're at it? I've gotten a lot of convictions we could overturn with that logic...
M	CAPTAIN MEDLEY	Sergeant Starks was awarded the Purple Heart. That award doesn't applaud violence or murder. [Beat] It applauds honor. His subconscious is blocking it, the same way it began to in the Gulf, particularly as something similarly traumatizing happened to him then. It's not a question of whether or not he was sane when he did it?! He absolutely was. Three bullets in one man are three moral failings in another. War isn't a CNN Special. Half the shit that went on couldn't be tidied into a top of the hour headline -- either 'cause it couldn't be said neatly or 'cause it couldn't be said at all. It was ugly. And they don't put ugly on TV. [Looking at Starks] If Starks did kill that officer ... [Beat] You can't hold a man responsible for a damaged mind.
M	DEFENSE	For God's sake, my client said he thinks he's already died once. He doesn't know what's going on. I don't know how it happened. STARKS' eyes finally close as he lapses into unconsciousness.
M	JURY FOREMAN	On the count of first degree murder, we find the defendant, William Starks, not guilty by reason of insanity. I hereby sentence you to be committed to a facility for the criminally insane, where I hope that doctors and the proper treatment can help you...
M	JUDGE [O.S.]	Mr. Starks, I hope that someday you might be well so that we will have lost only one life in this tragedy.
M	CHIEF OF STAFF	I'd certainly say he should be considered violent, just given his case...
M	DR. BECKER	How'd he dodge a conviction?
