M	CHARACTER	DIALOGUE
M	EVEY (V.O.)	"Remember, remember, the fifth of November, the gunpowder treason and plot. I know of now reason why the gunpowder treason should ever be forgot."
M	EVEY (V.O.)	Those were almost the very first words he spoke to me and, in a way, that is where this story began, four hundred years ago, in a cellar beneath the Houses of Parliament.
M	EVEY (V.O.)	In 1605, Guy Fawkes attempted to blow up the Houses of Parliament.
M	EVEY (V.O.)	He was caught in the cellars with enough gunpowder to level most of London.
M	EVEY (V.O.)	Sometimes I wonder where we would be if he hadn't failed. I wonder if it would have mattered.
M	EVEY (V.O.)	I suppose the answer is in the rhyme. More than the man, what we must remember is the plot itself.
M	EVEY (V.O.)	For in the plot we find more than just a man, we find the idea of that man, the spirit of that man, and that is what we must never forget. This, then, is the story of that idea, of that spirit that began with an anarchist's plot four hundred years ago.
M	EVEY (V.O.)	I was born near the end of the millennium, the year 1997. My father used to say that people were so afraid that the world was going to end that they were willing it to happen.
M	EVEY (V.O.)	I don't remember much of the century's turn. I don't remember the market crash or the plague or any of the Trafalgar riots.
M	EVEY (V.O.)	I've read about them since but I don't recall how any of them impacted my life except for the fear. They would hide it from me, like a secret between them.
M	EVEY (V.O.)	But I could feel it.
M	EVEY (V.O.)	Of the chaos that seemed to swallow the beginning of the 21st century, there is one thing I do remember.
M	EVEY (V.O.)	Very clearly, I can remember that sound.
M	EVEY (V.O.)	And I remember those boots, black leather that gleamed bright in the morning sun. I had never seen such boots. All moving in perfect unison.
M	DASCOMBE	The time has come, London, to return to a bygone age, an age of tradition, an age of values that have been disparaged and all but forgotten. What this country needs is a leader! A true leader to remind us of that age. A righteous leader with the strength of his be done. I give you that man! I give you our leader! Adam Susan!
M	EVEY (V.O.)	It must have seemed so easy to them. They offered such a simple deal; give up control and we will restore order.
M	EVEY (V.O.)	At first, the arrests were political. Dissidents. Radicals. Liberals.
M	EVEY (V.O.)	When my parents were younger, they had been activists. They had marched with Labor in the great train strike.
M	LITTLE EVEY	Mommy?
M	MOTHER	My daughter! Don't take my daughter!
M	FATHER	Evey! Evey!
M	LITTLE EVEY	Mommy! Daddy!
M	EVEY (V.O.)	I never saw them again. Overnight, my life, my entire world was erased.
M	EVEY (V.O.)	It was done so quickly and violently, so completely, that it began to seem that it had never even existed.
M	EVEY (V.O.)	The homosexuals were next. What God had started with AIDS had to be finished by man. It was God's work. That's what we were told.
M	EVEY (V.O.)	But once they were gone, there was someone else. Someone different.
M	EVEY (V.O.)	Someone dangerous. There were those who understood what was happening, who knew it was wrong but who kept silent.
M	EVEY (V.O.)	And in the vacuum of that silence, order was imposed.
M	EVEY (V.O.)	Order that was like those boots, order that required rigorous discipline. Order that is exactly the same, where each single step falls with every step. The order of the many shaped into one.
M	EVEY (V.O.)	Somehow in my heart, I knew it wouldn't last.
M	EVEY (V.O.)	What they thought they had crushed, the spirit they believed trampled and ground beneath the marching of their boots, rose up, rose as if from a four hundred year old grave, rose to remind us all that day. Good evening, London. It's nine o'clock, the fourth of November in the year 2019 and this is the voice of Fate broadcasting on 275 and 285 of the medium wave.
M	FATE (V.O.)	People of London, be advised --
M	FATE (V.O.)	-- that Braxton and Streathon are quarantine zones as of today.
M	FATE (V.O.)	It is suggested that these area be avoided for reasons of health and safety.
M	FATE (V.O.)	Good news following the productivity reports from Herefordshire indicating a possible end to meat rationing starting mid February.
M	FATE (V.O.)	Police raided seventeen homes in the Birmingham area, uncovering what is believed to be a major terrorist ring.
M	FATE (V.O.)	Twenty eight people, eight of them women, are currently in detention awaiting trial.
M	FATE (V.O.)	And that is the face of London tonight.
M	FATE (V.O.)	And this is the voice of Fate signing off and bidding you a pleasant evening.
M	EVEY (V.O.)	I don't know what brought us together that night. I had never been to that part of Westminster but ever since I've known him, I've stopped believing in coincidence.
F	EVEY	Excuse me? Uh... excuse me, Mister?
F	EVEY	Would you like... uh, would you like to sleep with me?
F	EVEY	I mean, for money.
M	MAN	That is the clumsiest bit of propositioning I've ever heard.
F	EVEY	Oh god, I'm sorry.
M	MAN	Is this your first time, darling?
F	EVEY	Yes, no, I mean for money. But I know what you want and I'll do it.
F	EVEY	Anything you want, mister. Please, I need the money. I know I'm young but I promise I know what I'm doing.
M	MAN	No. You don't know what you're doing.
F	EVEY	Christ, you're a Fingerman.
M	FINGERMAN 1	Give the little lady a prize.
M	FINGERMAN 2	I've got something to give her.
M	FINGERMAN 1	Prostitution is a class H offense. Know what that means? It means that we get to exercise our own judicial discretion -- And you get to swallow it.
F	EVEY	Oh god, please. It's my first time. Please don't hurt me.
M	FINGERMAN 1	Gosh, fellas, look at those big innocent eyes. What do you think?
M	FINGERMAN 3	Spare the rod, spoil the child.
F	EVEY	Oh no!
F	EVEY	Please, don't!
M	FINGERMAN 3	You heard the man, sweetie. This rod's for your own good.
M	V	"The multiplying villainies of nature do swarm upon him."
M	V	"And fortune, on his damned quarrel, smiling, showed like a rebel's whore."
M	FINGERMAN 1	We're police officers, pal.
M	FINGERMAN 4	We're with the Finger.
M	FINGERMAN 3	So bugger off!
M	V	"Disdaining fortune with his brandished steel, which smoked with bloody execution."
M	FINGERMAN 1	He's got a knife!
M	FINGERMAN 3	Jesus Christ! Don't hurt me!
M	V	Good evening.
F	EVEY	Who -- Who are you?
M	V	Me? I imagine all manner of names shall be heaped upon my humble visage but, for now, let us simply say I am the villain.
M	V	And you would be?
F	EVEY	Evey.
M	V	Of course.
F	EVEY	Why did you do that? Why did you... help me?
M	V	Why indeed?
M	V	Almost time.
F	EVEY	For what?
M	V	For the music.
F	EVEY	Music?
M	V	Yes, music. My music. You see. Evey, I am a performer.
F	EVEY	Is that why you're wearing a mask?
M	V	We all wear masks. Life creates them and forces us to find the one that fits. Do you know what day it is?
F	EVEY	Uh... November fourth.
M	V	Not for long.
M	V	"Remember, remember, the fifth of November, the gunpowder treason and plot. I know of no reason why the gunpowder treason should ever be forgot."
M	V	Tell me, Evey, what good is an actor that plays his part to an empty theatre?
F	EVEY	I don't know.
M	V	Nor do I. That's why you are here. I need you, Evey. I need someone to listen.
