M	CHARACTER	DIALOGUE
F	MARIE	Today's the day, Mom... You here again, Marie?
F	MARIE	Just leaving.
M	RADIO NEWSCASTER (V.O.)	... operation, aimed at finally capturing the Black Widow suspect after a six month trail of embezzlement and fraud, once again failed to snare its subject.
M	RADIO NEWSCASTER (V.O.)	Blue Bay Police Detective Michael Morrison was able to recover over $400,000 in stolen money, but the suspect, described as Female, between eighteen and thirty, remains at large...
F	MARIE	I'm... so... sorry...
F	ELENA	You will be.
F	JENNY	Happy birthday, babe. They ain't diamonds, but you're just gonna have to wait for those...
F	MARIE	Thank you. Thank you so much...
F	JENNY	Are you OK, hon?
F	MARIE	I...yeah...I'll be fine...It's just...that new girl...I almost hit her in the parking lot...
F	JENNY	You mean the towel girl, the one who transferred in? Jesus, she's trouble. You know the only reason she's slinging towels is 'cos it's court ordered...
M	MOSSTER	We're here today to address a growing epidemic that affects all of you.
M	MOSSTER	National studies report sexual activity among students at an all-time high.
M	MOSSTER	We'll see who's cheering when you've got an unwanted pregnancy on your hands, or get slapped with a paternity suit...Or arrested for date rape. But don't take my word for it...
M	PRINCIPAL MOSSTER	Miss Richards and Dr. Borman are here to tell you about the pitfalls first hand...
F	KRISTEN	Good morning, my name is Kristen Richards. I'm an officer for the Miami juvenile parole board, as some of you already know...
F	KRISTEN	But that's not what brings me here today. When I heard about Principal Mosster's sex education program I thought I'd volunteer my own personal story, in hopes that you might learn from the mistakes I made. Back in High school all I wanted to do was get drunk, stoned and laid...
F	KRISTEN	By my junior year, my life was a blur of cheap beer, anonymous sex, partying every night of the week...
F	ELENA	...whore...
F	KRISTEN	And then, one night at some pathetic frat party, someone slipped a roofie in my drink...and raped me.
F	KRISTEN	There isn't a day goes by my skin doesn't crawl when I think of the violation and humiliation I endured. I can promise you that if you make the same kind of wrong- headed choices I did, you'll be seeing Dr. Borman...
F	CHAD	Thank you, Miss Richards. My name's Dr. Chad Borman. I run the forensics lab at the police department, where my work has helped convict hundreds of sex offenders. Most teens like Ms. Richards never get their lives together. The physical scars may go away, but the emotional damage stays forever.
M	MUDDY	That's not...what I think it is, is it?
F	ELENA	Whattchya think it is, bitch?
M	MUDDY	One of them...Parole leashes...
F	ELENA	Bingo.
M	MUDDY	So you can't, like, go more than ten miles from the cop shop?
F	ELENA	Five. I got someone's panties in a bunch.
F	CHAD	And as for the perpetrators of this heinous act, even if you are still a minor, you will be tried as an adult, and, if convicted, you will do hard time.
F	CHAD	Are there any questions?
F	ELENA	Yeah, I got one for Miss Richards.
F	KRISTEN	Ask away.
F	ELENA	When they found the scumbag who took your precious flower of virginity, you sued his sorry ass, right?
F	KRISTEN	Uh, no, actually, I was never able to make a positive ID. All I remember was his alcohol-soaked breath whispering in my ear, "You won't remember, but you'll never forget..."
F	ELENA	So what you're really saying is you fucked for free...
M	PRINCIPAL MOSSTER	Miss Sandoval. You're on thin ice, young lady! Blue Bay High School would like to welcome all participating diving teams from the tri-county region...
M	ANNOUNCER (V.O.)	First up, district champion Marie Clifford...
M	JAY	C'mon now baby, you can do it...
F	JENNY	Your stepfather's just got a lot invested in the team.
M	JAY	Just try to keep those legs together.
M	ELENA (O.S.)	Shouldn't be a problem for Miss teen Virgin.
M	JAY	Excuse me?
F	ELENA	You're Mr. Clifford, right? As in Clifford construction?
M	JAY	I am, yes, but...
F	ELENA	I'd love to see one of your erections...
M	JAY	Nice take off, gotta work on the landing...
F	MARIE	I can't do any better...
M	JAY	No such word as 'can't. Now do it again. Only better...
F	ELENA	Bet you choke.
F	MARIE	What's your major malfunction?
F	ELENA	Just wanted to make a wager. Between best friends.
