M	CHARACTER	DIALOGUE
M	revised draft by	Frank Darabont
M	current revisions by	FOR EDUCATIONAL PURPOSES ONLY revs. 10/12/03 (buff)
M	VINCENT	You okay? Sorry...
M	MAN	Yeah, yeah, I'm fine, mate. Enjoy * LA... CONTINUED: A1
M	MAN	...it's always you. Why is everything always directed at you...?
M	WOMAN	...everything is not "always about me." He was being sarcastic and you goddamn well know it...
M	MAN	...I'm sorry, I didn't hear it that way...
M	WOMAN	...oh, bullshit! How about the dig about the makeover...?
M	MAN	...what do you want me to do, punch the guy out? I work with him. And you're perfectly capable of taking care of your own...... CONTINUED: 6
M	WOMAN	...well, last I checked, you were sleeping with me, so unless you wanna start fucking him, I suggest...
M	MAX	Hey, leave-up on him, man...
M	GANG MEMBER	Say what? What you lookin' at, bitch?
M	ATTENDANT *	How'd you get the chop suey all over * the cab? *
M	MAX *	I didn't. The cab got in a fight with * a gang of Chinese Cholos. *
M	ATTENDANT *	There's been sprouts by the passenger * door. * CONTINUED: 8
M	DISPATCHER	I need it transcribed... *
M	ASSISTANT'S VOICE (UNHEARD) *	Off of what? *
M	ANNIE *	Off the line sheets. *
M	ASSISTANT'S VOICE (UNHEARD) *	Why? *
M	ANNIE *	'Cause I think it's him on there. In * the gold Lexus on the cell. If it is, * he's enhanceable, 'cause of priors in * the late '80's... *
M	ASSISTANT'S VOICE (O.S.) *	What about tomorrow afternoon? *
F	ANNIE	...no, the transcriptions need to be * done by seven a.m.. Period. Okay? *
M	MAX	How ya' doin'? Where to?
F	ANNIE	Downtown. 312 North Spring Street. Take Sepulveda to Slauson to La Brea. La Brea north to 6th into downtown.
M	ANNIE (CONT'D)	So you'll be up late. I'm pulling an * all-nighter, too. Save the tears. CONTINUED: (2) 11A
M	MAX	I'll take 105 east and up the 110. It's faster.
F	ANNIE	What?
M	MAX	105 to the 110 is faster.
F	ANNIE	110 turns into a parking lot around USC.
M	MAX	This late, the 110 is moving, but La * Brea north of the Santa Monica is * jammed. *
F	ANNIE	110 north of the 10 you get people * going to Pasadena and they drive slow. *
M	MAX	That's why I jump off at Grand. * But, hey, surface streets is cool. That's what you want, that's what we do... *
F	ANNIE	Are we taking bets? What if you're wrong?
M	MAX	Your ride is free.
F	ANNIE	You got yourself a deal.
F	ANNIE	Go ahead, say it. Go ahead.
M	MAX	...lucky with the lights.
F	ANNIE	You weren't "lucky with the lights." What you were was right. I was * wrong... ...Max.
M	ANNIE (CONT'D)	You mind turning this up?
M	MAX	You like Bach?
F	ANNIE	I used to play this piece in high school.
M	MAX	Let me guess. Woodwinds?
F	ANNIE	Viola. I never had the lungs for wind instruments.
M	MAX	Could'a fooled me, the way you were unloading into that cell phone.
F	ANNIE	Different instrument... You know, if you'd only listened to me, we'd be all bogged down in traffic right now, and you would have made an extra five bucks.
M	MAX	Yeah? Keep it. Buy yourself something. Go wild. CONTINUED: (2) 13
F	ANNIE	A gentleman. I thought chivalry was a necessary casualty of gender politics...
M	MAX	Not a big thing, you know...?
F	ANNIE	How many cabbies get you into an argument to save you money?
M	MAX	There were two of us. I killed the other guy. I don't like competition...
F	ANNIE	You take pride in...being the best at * what you do...?
M	MAX	This? This is temporary. You know. Pays the bills. I fill in with this. I WILL be the best at what I do, but * that's something else.
F	ANNIE	What else?
M	MAX	I'm setting up something... *
F	ANNIE	Like tell me...?
M	MAX	...limo company I'm putting together. Island Limousines. An island on wheels. So I'm part-timing until I get delivery, Benzes off leases, work up my client lists, staff up, all * that...
M	MAX (CONT'D)	You like being a lawyer? CONTINUED: (3) 13
F	ANNIE	You psychic? CONTINUED: (4) 13
M	MAX	I'm starting an 800 hotline. Caught your phone call. And even if I hadn't, there's the dark pinstripe. * Elegant, not too hip, which rules out * advertising, plus a top drawer briefcase, that you live out of, purse * looks like a Bodega...
F	ANNIE	Bottega.
M	MAX	...Bottega. Guy gets in my cab with a machete? I figure he's a sushi chef. You? Clarence Darrow.
F	ANNIE	Not quite. He worked defense. I'm a prosecutor...
M	MAX	Big case?
F	ANNIE	Yeah.
F	ANNIE	You got us here fast...
M	MAX	You never answered my question. You like what you do?
F	ANNIE	Yeah. CONTINUED: 15
M	MAX	But not right now...?
F	ANNIE	No, I do...like I can't wait. ...I * love standing up in that courtroom. * At the same time...I always get this clenched-up thing the night before the * first day...
M	MAX	Clenched-up how...? *
F	ANNIE	I think I'm gonna lose. I think I * suck. I think my case sucks. I * haven't prepared enough. My exhibits * aren't in order. People are gonna * figure out that I don't know what I'm * doin'. And I've had this charade * going for years. I represent the * Department of Justice of the United * States government and my opening * statement is gonna fall flat at the * really important point and the jury's * gonna laugh at me. * Then I cry... I don't throw-up. A * lot of people throw-up. I have a * strong stomach. * Then I get it together. And rewrite * my opening statement. Work the * exhibits. For the rest of the night. * That's my routine. In the morning, it starts. I'm fine. *
M	MAX	You need a vacation. *
F	ANNIE	I just had...a vacation. On the Harbor Freeway. CONTINUED: (2) 15
M	MAX	No. Not in a cab. You need your head straight, gotta get your unified self up, get harmonic...you know...
F	ANNIE	When was the last time you took a break?
M	MAX	I take little ones all the time.
F	ANNIE	How often?
M	MAX	Dozen times a day.
M	MAX (CONT'D)	Maldives Islands. It gets heavy, I take five. Go there. CONTINUED: (2) 15
F	ANNIE	No, I couldn't take that...I couldn't.
M	MAX	Yes, you could. You need it more than I do. It helps. I promise.
F	ANNIE	Wow. Thanks for everything, Max...
M	MAX	Sure thing.
F	ANNIE	In case you ever...I don't know...wanna start an investigation of a Fortune 500 company or argue cab routes or something... ASSISTANT UNITED STATES ATTORNEY CRIMINAL DIVISION CENTRAL DISTRICT OF CALIFORNIA CONTINUED: 16 CONTINUED: (2) 16
M	VINCENT	Hello?
M	MAX	Uh, yeah...
M	VINCENT	Let's go to... You free? Or... *
M	MAX	Yeah, yeah, sorry... CONTINUED: 17A Where to?
M	VINCENT	452 South Union Street.
M	VINCENT	How long you think this'll take?
M	MAX	Fourteen minutes.
M	VINCENT	Fourteen? Not fifteen? Not thirteen?
M	MAX	Two minutes to get onto the 101. Transition to the 110 to the 10 and exit on Normandie is four minutes. North on Normandie is five minutes. Two minutes to South Union 'cause there's roadwork. Thirteen plus one for "shit happens."
M	VINCENT	Mind if I time you? What do I get if you're wrong? A free ride?
M	MAX	An apology.
M	MAX (CONT'D)	...I already offered up the free ride * today. *
M	VINCENT	To who? *
M	MAX	...some girl. * CONTINUED: 17B
M	VINCENT	Did you ask her out?
M	MAX	First time in LA?
M	VINCENT	No. To tell the truth, whenever I'm here, I can't wait to leave. Too sprawled-out. Disconnected. You know...? But that's me. You like it here?
M	MAX	It's home.
M	VINCENT	17 million people. This was a country, it would be the fifth biggest economy in the world. But nobody knows each other. Too impersonal. * But that's just me...you know... * I read about this guy. Gets on the * MTA, here, and dies. Six hours he's riding the subway before anybody notices. This corpse doing laps around LA, people on and off, sitting next to him, nobody notices.
M	MAX	I see your point. Yeah...
M	VINCENT	Cleanest cab I've ever been in. Your regular ride?
M	MAX	Yeah. I share it with the dayshift guy.
M	VINCENT	Prefer nights?
M	MAX	People are more relaxed, you know? Less stress, less traffic, better tips.
M	VINCENT	You get benefits? CONTINUED: 19
M	MAX	Like sick leave? *
M	VINCENT	Retirement? Health and welfare? *
M	MAX	It's not that kind of job.
M	VINCENT	Start a union.
M	MAX	Me, specifically?
M	VINCENT	Why not?
M	MAX	Last thing I need is a reason to keep driving a cab. It's temporary. I'm fillin' in, you know, while this other thing I'm putting together is shaping up...
M	VINCENT	How long you been driving?
M	MAX	Twelve years.
M	VINCENT	Really? What else are you putting together?
M	MAX	I don't talk about it. No offense, but...
M	VINCENT	None taken. Talkers and doers. Like you, I like doers. CONTINUED: 21
M	VINCENT	Fourteen minutes. Man, you're good...
M	MAX	Lucky with the lights.
M	VINCENT	Yeah, sure. You probably know the light schedules, too. Listen...I'm in town on a real estate deal. A closing. One night. I got five stops to make, collect signatures. See some friends. Then I got a six a.m. out of LAX. Why don't you hang with me for the night...?
M	MAX	I'm not a hire car. It's against regs...
M	VINCENT	Regulations? These guys don't pay you sick leave. How much you pull down a shift?
M	MAX	Two-fifty, four hundred. *
M	VINCENT	I'll make it six hundred. Plus an extra hundred if you get me to LAX and I don't have to run for the plane.
M	VINCENT (CONT'D)	...take a chance.
M	MAX	Man, I don't know.
M	VINCENT	Yes, you do.
M	MAX	Yeah. Okay. CONTINUED: (2) 21
M	VINCENT	Cool. We got a deal. Here's three hundred down. What's your name? CONTINUED: (2) 21
M	MAX	Max.
M	VINCENT	Max? I'm Vincent.
M	MAX	I can't double park here...
M	VINCENT	I'll meet you in the alley behind the building.
M	MAX	Definitely not from around here. CONTINUED: 24
M	MAX	He - He fell on my cab...!
M	VINCENT	You always stutter?
M	MAX	Well, yeah. Yeah. Guy fell on my motherfucking cab from up there...!
M	MAX (CONT'D)	I think he's dead.
M	VINCENT	...taken two .45s and did a high dive onto his head. It's a good guess.
M	MAX	You - you killed him?
M	VINCENT	No. I - I shot him. The bullets and the fall killed him.
M	VINCENT (CONT'D)	Red-light-green-light? Light's red. CONTINUED: (2) 24A
M	VINCENT (CONT'D)	You can run, but you'll die tired.
M	VINCENT (CONT'D)	Put down your hands. Are you cool? Say "I am cool." *
M	MAX	You are cool.
M	VINCENT	No. You say you are cool.
M	MAX	I am...I'm cool.
M	VINCENT	Okay. Help me out here. *
M	MAX	With what?
M	VINCENT	El Gordo decided to get some air and not take the stairs. So we go to plan B. Pop the trunk. *
M	MAX	My trunk?
M	VINCENT	leave him here. So unless you want him riding up front with you...and given the hygiene... ...and his sphincters let go...
M	VINCENT (CONT'D)	Gonna roll him off the hood. * Always lift with your legs... * CONTINUED: (3) 24A
M	MAX	I don't think I can do this.
M	VINCENT	He's only a dead guy. On three. Uno. * Dos. Three.
M	VINCENT (CONT'D)	Got it?
M	MAX	Yeah.
M	VINCENT	What?
M	MAX	His hand moved! His goddamn hand twitched!
M	VINCENT	It's a spasm! Jesus, don't be such a girl...
M	VINCENT (CONT'D)	Never heard of a treadmill? *
M	VINCENT	Six liters of blood in the average Angeleno, he's gotta dump all his...on your cab. Okay, that's good enough. CONTINUED: 25
M	MAX	Uh, look...why don't you, like, take the cab...
M	VINCENT	"Take the cab..."
M	MAX	Yeah. I - I'll chill. You know. And...they don't check. You know? They don't. They don't know who's driving these things. You, me...
M	VINCENT	And you promise you will never tell anybody? Right? ...get in the fucking car.
M	VINCENT	Can we leave the scene of the crime, * now, please?
M	MAX	I'm trying...
M	VINCENT	Max.
M	MAX	It's not me!
M	VINCENT	The engine is already on. Put the little pointer on the letter "D." "D" stands for Drive. CONTINUED: 26
M	MAX	You're making me nervous.
M	VINCENT	I'm making you nervous? I'm the one on a schedule...
M	FANNING *	Ramone? Estas fiestando con una chica? CONTINUED: 29 CONTINUED: 30
M	FANNING	Fuck.
M	VINCENT (O.S.)	Try deep breathing.
M	MAX	What?
M	VINCENT	Adrenaline's wearing off. You get shaky after. Some people slip into shock. It's not uncommon. Deep breathing helps.
M	VINCENT (CONT'D)	Is that better?
M	MAX	I think so. CONTINUED: 31
M	VINCENT	What are you doing?
M	MAX	It's a mess.
M	VINCENT	So?
M	VINCENT (CONT'D)	Lady Macbeth. Leave the seats. The light's green. We're sitting here.
M	DRIVER	Asshole!
M	VINCENT	You no longer have the cleanest cab in La-La Land. You gotta live with that. * Focus on the job. Drive. 7565 Fountain. You know it?
M	MAX	West Hollywood.
M	VINCENT	How long, you figure?
M	MAX	Seventeen minutes. Why?
M	MAX (CONT'D)	Oh. Oh, no. You're kidding. We...
M	VINCENT	I told you we had other stops to make tonight. CONTINUED: (2) 31
M	MAX	You said you were visiting friends!
M	VINCENT	They're somebody's friends... You drive a cab. I make my rounds. We both do our jobs, you might make it through the night and come out seven hundred bucks ahead.
M	MAX	I...I'm not trying to piss you off, see? Okay? But I can't drive you around so you can murder people... Man, that's not my job...
M	VINCENT	Tonight it is.
M	MAX	You don't get it. I mean it. Really. I'm not up for this...
M	VINCENT	You are stressed. I understand that. * Keep breathing. Stay calm.
M	VINCENT (CONT'D)	Are you breathing?
M	MAX	Yes.
M	VINCENT	Good. What else calms you down? Candy? Cigarettes? Breathe.
M	MAX	Music.
M	VINCENT	Play music.
M	VINCENT (CONT'D)	Chopin prelude. Stodgy. Here's the deal. CONTINUED: (3) 31 You were gonna drive me around and never be the wiser. But because of El Gordo's high dive, we're into Plan B. Still breathing? Now. We have to make the best of it. Improvise. Adapt to the environment. Darwin. "Shit happens." The I * Ching...whatever. Roll with it...
