M	CHARACTER	DIALOGUE
F	KIMBERLY	Thanks, Dad. I'll call you.
M	MR. BU RROUGHS	You have everything, Kimberly? Credit card, cell phone, AAA card?
F	KIMBERLY	Relax, Dad. It's Daytona, not Mongolia.
M	MR. BURROUGHS	Fix -A-flat? Road flares? Sunblock? Mace?
M	SHAINA (O.S.)	Condoms, handcuffs, lube?
F	SHAINA	Just kidding, Mr. B. Don't worry, I'll keep an eye on her.
M	MR. BURROUGHS	Oh, that makes me feel a lot better.
F	KIMBERLY	I know this is the first time we've been apart since. But everything's gonna be okay.
M	MR. BURROUGHS	I know, honey. I just --
M	MR. BURROUGHS	Your mother would have been so proud of the way you've handled yourself through all of this...
F	KIMBERLY	I know, Dad. Hello, the guys are waiting!
M	MR. BURROUGHS	Buckle up!
M	SHAINA (O.S.)	Watch it!
F	KIMBERLY	Sorry! My fault!
F	SHAINA	Want me to drive?
F	KIMBERLY	No, I'm good.
M	FRANKIE	Dano, shouldn't we go back and help your mother?
M	DANO	Blo w me.
M	FOOTBALL PLAYERS	Pile up! Pile up! Pile up!
M	DANO	Christ, is this tribute to Princess Di Day or what? Jesus, all the crazies are out today.
F	KIMBERLY	I told you no drugs in the car! My dad will freak!
M	DANO	Calm down, Kimmy. It's not drugs, just weed.
M	FRANKIE	Yeah, you should have specified.
M	MR. BURROUGHS (V.O.)	Kimberly? It's Dad.
F	KIMBERLY	Hey, Dad. What's up? Your car's leaking either transmission or brake fluid. I want you to have it checked ASAP at a gas station.
F	KIMBERLY	You got it, Dad. I'll call you if I have a problem.
M	MR. BURROUGHS (V.O.)	I mean it. Take care of it.
F	KIMBERLY	I will, Dad. Bye, luv you.
F	SHAINA	Um, Kimberly, your dad's not gonna call like every ten minutes is he?
M	DANO	Shit! There's a cop behind us. Pull into the right lane now!
M	DANO	Look first, idiot!
F	SHAINA	Ignore 'em.
F	KIMBERLY	Dano, put that out NOW. won't be able to pitch the campaign. Let's get Silverstein to come in and...
F	KAT	What the hell? No, not you.
M	DANO	What's the cop doing? Did he see that?
F	KAT	Forget it, I'll call him myself. I was supposed to be off today. How did I get screwed?
M	DISPATCHER (O.S.)	No biggie. Drake called in sick.
M	THOMAS	Copy that. Go on, sleep it off Drake.
M	FRANKIE	Relax, dude.
F	KIMBERLY	This trip better be wor th it. What's the guy- girl ratio again?
F	SHAINA	Get ready to smile, five guys per girl.
F	KIMBERLY	I can live with thaaaa --
M	FRANKIE	What's your problem, ya fuckin' crack baby?!
F	ISABELLA	...couldn't Keep your dick in check for another month? I knew this would happen when I got pregnant.
F	ISABELLA	What'd the doctor say? I have to come in to test for STDs? Goddamn Gas it around these idiots. We do have 1200 miles to go, you know.
F	NORA	Tim, will you cut that out? I can't even hear myself think.
F	NORA	I know, we'll be there soon.
M	FRANKIE	Ever hear of the Ozone layer, asshole?
M	THOMAS	Son of a bitch.
M	FRANKIE	A Trans Am. That shit went out with New Kids on the Block. Knight Rider?
M	FRANKIE	Who?
M	DANO	You know, Hasselhoff before he did Baywatch.
F	KIMBERLY	What's the chance of finding a nice mature guy once we get to Daytona?
F	SHAINA	How does a nice mature fuck sound?
F	KIMBERLY	Hey, thanks for talking me into this trip. Ever since my mom... I dunno, I just feel like I'm starting to live again, you know? swerves into Kimberly, SIDE SWIPES her, then swerves to miss a Flight 180. You know, that plane crash with those kids from Mount Abraham.
M	FRANKIE	Dano, shouldn't we stop and help your mother?
M	DANO	Blow me. Yellow means go, Kimberly.
F	KIMBERLY	Oh my god, oh my god...
F	SHAINA	What is it? What are you?
F	KIMBERLY	There's going to be a huge accident! Everyone's gonna die. All of us! I saw it! That's it. My turn to drive. Flight 180. Y'know, that plane crash with those kids from Mt. Abraham?
M	FRANKIE	Dano, shouldn't we stop and help your mother?
M	DANO	Blow me. Yellow means go, Kimmy.
F	KIMBERLY	Oh my God, oh my God...
F	SHAINA	What is it? What are you?
F	KIMBERLY	There's going to be a huge accident! Everyone's gonna die, all of us, I saw it! That's it. My turn to drive. out.
F	KIMBERLY	Highway to Hell, Highway to Hell.
F	SHAINA	For Christ sakes girl, take a breath. Taking you into an all request weekend with a classic from AC/DC.
M	DANO	What the hell are you doing?
M	DANO	Five-O's coming! Let's fucking roll, man!
M	FRANKIE	Jesus Christ! Here he comes! Move!
F	KIMBERLY	No! We'll all die if we do!
M	DANO	I told you she'd ruin everything!
F	SHAINA	Shut up, Dano, just stay cool. He's just stoned.
M	THOMAS	What's going on here?
F	KIMBERLY	There's going to be a pile up. Logs. Bodies everywhere. I saw it happen. It happened.
M	THOMAS	Miss, please step out of the vehicle.
F	ISABELLA	Excuse me, but is there some way we could just drive around? I have a delivery.
F	ISABELLA	Hey hon, you got a mysterious caller on the answering machine from Planned Parenthood. What's going on?
F	NORA	What on Earth are they doing?
M	TIM	Who am I, David Blane?
M	TIM	Okay, quit it already.
F	KIMBERLY	The radio played the same songs, the old lady's bag broke the exact same way it did in my premonition.
F	KIMBERLY	THAT's the truck that's going to kill everyone!
M	THOMAS	Alright miss, calm down. I just need this lane open. I need you to pull your vehicle onto the shoulder!
F	KIMBERLY	You're not listening to me! You have to do something!
M	EVAN	Arrest this whack-job, wouldja? Some of us have lives, y'know.
F	KIMBERLY	Why won't anyone listen to me?
M	THOMAS	I'm not going to tell you to calm down again --
F	ISABELLA	You couldn't keep your dick in check for a month?!
F	KAT	Great, now I'm really gonna be late.
M	THOMAS	L.A. 51, I need assistance and requesting paramedics for a major T.A. At --
F	SHAINA	Kimberly, what's going on?
M	EVAN	I don't know what you want from me. Some crazy chic k blocks the highway with her car, said there'd be an accident and there was. Big deal. Even a broken watch is right twice a day...
F	KAT	Not to sound insensitive, but how much longer is this going to take?
M	EUGENE	If I don't get back to my classroom soon, the kids'll tear the room apart.
F	NORA	Those poor people. To think it would've been us if not for...
M	THOMAS	Tell me again how it started.
F	KIMBERLY	Like I said, it was like I was there. I remember everything. The sounds of the crashes, the smells, the look on Shaina's face...
M	THOMAS	Do you remember what triggered it all?
F	KIMBERLY	The log truck...and everybody I guess. Everyone was driving like a maniac. And somehow I knew something horrible was going to happen, even before it did.
M	THOMAS	You knew? You just mean a hunch, right? A bad vibe, maybe?
F	KIMBERLY	More than that. All the songs on the radio were about car crashes. Some kid's banging toy cars together. She was dialing her cell phone with her headset on. His car was leaking oil all over the road.
M	RORY	Hey, don't be knockin' the Chevette.
F	KIMBERLY	Billboards about accidents. Kids yelling "pile up" for no reason. It all felt...just wrong. Just like...
M	THOMAS	Like what?
F	KIMBERLY	I know this sounds crazy...but you all heard about Flight 180, right? The kid who got off the plane?
M	THOMAS	You mean Alex Browning.
F	KIMBERLY	...My Premonition was just like his.
F	NORA	What are you talking about?
M	EUGENE	
M	Oh, you must have read about that	kid who had a dream about a plane crash so he got his buddies off the plane? Then the thing blew up just like in the dream?
F	NORA	Maybe...
M	EUGENE	But this is where it starts to get freaky. So a month goes by, everything seems cool, but then the survivors start dying one boy one. 'Cause when your number's up, it's up, right? Some people said Death itself started coming for them, hunting down every last one, until they were all dead.
M	THOMAS	Well, not quite all of them. Clear Rivers checked herself into a padded room at Stoneybrook.
F	KIMBERLY	You do believe me, don't you?
M	DETECTIVE SUBY	Officer Burke? Could I see you in here?
M	DETECTIVE SUBY	Tell me you didn't start up on that Flight 180 shit again. Did you? irresponsible and unprofessional.
M	THOMAS	Look, you weren't there. It was weird. She knew that log truck was gonna cause an accident, she knew. Never mind.
M	DETECTIVE SUBY	I thought we we re finished with this bullshit. This is police work, not the psychic Hot Line.
M	KIMBER LY	But if I was never meant to pull over, then we all should have died in the pile up.
M	TIM	Which means Death could be coming for us.
M	DETECTIVE SUBY	Way to console the witnesses Burke.
M	DETECTIVE SUBY	You got 'em thinking Death is after them? Shit, they're the luckiest sons o' bitches on the planet. Get this guy Evan Shaeffer; Yesterday the kid wins the lotto and today some looney bitch b locks traffic and he avoids the worst pile up in years. I should be so damn unlucky. happening all over again?
F	NORA	You're all certifiable, you know that? I can't believe I've been listening to this crap. Come on, Tim, let's go outside.
M	TIM	Jeez, Mom, stop trippin'.
M	EUGENE	Look lady, we're just yankin' your chain.
M	RORY	Yeah, you're acting like we all just got the Diff'rent Strokes curse or something.
F	NORA	What's wrong with you people?
M	MR. BURROUGHS	Kimberly...
M	MR. BURROUGHS	Can I take her home?
M	DETECTIVE SUBY	Sure, you can all go.
F	KAT	First I'm stuck with Jury Duty, now this nonsense.
M	RORY	Yeah, I hate to love and leave ya, but I've been over this X-Files shit since the sixth season.
F	KIMBERLY	I know it's crazy, but I'm really scared for the others. I've got this terrible feeling.
M	MR. BURROUGHS	What feeling?
F	KIMBERLY	That it's not over yet.
M	MR. BURROUGHS	Don 't worry. Everything will be fine, you'll see.
M	EVAN	Motherfucker. Dude! You suck! You buy one fucking ticket in your whole life and win twenty grand? We're going whoring in Prague, you know this! Hold on, the boss is coming.
M	EVAN	Damn it!
M	EVAN	Jesus Christ!
M	DETECTIVE SUBY	Ooooh, I see it now. Your future... A transfer to another department.
M	THOMAS	You've made your point.
M	DETECTIVE SUBY	Good. Cause we just got some new info and I don't ne ed you getting freaky on me.
M	THOMAS	What?
M	DETECTIVE SUBY	Evan Shaeffer's dead. Guess he wasn't as lucky as we thought.
F	KAT	No, Mom. Just turn on any station, they've been playing it all day. Yes, Mother. Channel four will do just fine. Here it is, gotta go. Route 18 was backed up for almost nine hours today when a record breaking pile up... ...killed An estimated 18 people. Emergency crews spent hours sifting through the wreckage. ...hoping To recover any survivors from this tragic collision. So far, the police are refusing to release the names of the victims until their families are notified. The camera of a highway patrol car managed to catch this shocking footage --
M	MR. BURROUGHS	My Lord...
F	KIMBERLY	Don't. I have to see this.
M	RORY	Whoohoo! You see that shit? Right there? That's my fuckin' car right there! Oh God, that's dope.
M	ANCHOR MAN (O.S.)	In other news, a freak accident took the life of a lotto winner.
F	NORA	Come on, Tim, lights out already.
M	TIM	Mom?
F	NORA	Yeah?
M	TIM	You think... You think those guys were b.s.-ing us today or what?
F	NORA	Oh, please. Some people just need some serious rewiring, that's all.
F	NORA	Get some sleep.
F	NORA	Officer Burke, please?
