M	CHARACTER	DIALOGUE
M	Gangs of New York	by Jay Cocks, Steven Zaillian, Kenneth Lonergan. 3rd Draft (1993). More info about this movie on imdb.com sharp SCRAPING of the jagged blade against skin is the first SOUND we cuts himself similarly on the left cheek, then hands the razor
M		Never. The blood stays on the blade, son. nods toward the door. Amsterdam pulls it open. Outside is a dim are walking down a long corridor that's like a tunnel. Patches of beefy man picks up a home-made PIKE, its iron tip sharpened to a lethal thrusts the pike between the wooden bars, impaling the rabbit's body.
M	JACK	you bring the boy for a charm, Priest?
M		Jack. For a baptism.
M	WARRIOR	send a few across the river today, Priest. is near a primitive forge where a half-drunk SLACKSMITH hammers crude FOLLOWS the crowd of men and women with their weapons. And now we men and women from the Brewery fall in behind VALLON and the others in
M		the fight?
M		Dead Rabbits against the Native Americans, same as ever. But it'll all
M		you Native or Rabbit?
M		do you think?
M		alright. I'll stand by you, then.
M		suppose there's to be a fight.
M		
M		Name's Monk Eastman.
M		you want to fight, Mr. Eastman?
M		there's money in it.
M		for the Natives. They have a proper war chest.
M		I might at that. But I thought I'd ask you first, seeing as how I'm
M		see your skills, and we'll talk of payment later.
M		But if you like what you see, pay me double. turns to the door with the grace of a dancer and delivers a
M		with us then. is the tallest structure in the midst of low, squalid SHACKS, winding Brewery occupies one side of a SQUARE surrounded by some storefronts stands still, staring across the square past the monument. His
M		Poole! on whose challenge are we assembled?
M	THE BUTCHER	the challenge of the Native Americans, to settle for good and all who
M		
M	THE BUTCHER	the ancient laws of combat, we offer our bodies to the ghosts of those
M		this time can you bear to look on the glory when it comes, Bill? Can
M	THE BUTCHER	fights untouched in battle has skill, but the warrior who returns
M		wasn't God who touched your eye.
M	THE BUTCHER	was God gave me guidance. Will you be able to look on the death blow
M		don't expect a death blow from your hand, Butcher. Let's have at it.
M	THE BUTCHER	is another matter.
M		it out and quick, before spring gets here.
M	THE BUTCHER	Native American Warrior will dishonor himself with the blood of the
M		
M	THE BUTCHER	we would like to know whether Squire Jack Mulraney of the Dead Rabbits a flash, BILL THE BUTCHER opens his coat. Inside, on a special belt he
M		to receive the Lord. draws first blood. He impales a Native American on the sword end of and Shang exchange a glance of frightened, worried wonder. gallery of Street Kids is awed by this display of power from a new as Shang's GRABBED from behind and pulled off his feet by a PEG-LEGGED
M		run with you! I'm one of you! Born a Native American from the blood of
M		Then you oughta be a red Indian. SOUND grows louder as TWO HORSE-DRAWN CARTS full of battle ready BELLS on the carts toll loudly and work magic. The fighting stops. as one, the Dead Rabbits and the Native Americans RUSH the police GANGS cheer, jeer and continue to throw things at the retreating brief moment of QUIET. The Street Kids settle back into their still blindly SWINGING his blackjack, makes his way closer to the the square, Amsterdam has reached his father in time to see a MAN falls, howling. AMSTERDAM HITS him again. And again. He is sees a HATCHET lying by the body of the Rabbit he has just beaten the two combatants move, Amsterdam MOVES. Bobbing, weaving, feinting, as Bill deals VALLON a blow that ROCKS him back and throws him off and Bill is upon VALLON, SINKING his knife into his chest. VALLON
M	THE BUTCHER	need a weapon? Use a knife. puts the struggling boy's hand on the hilt of the knife that the
M	THE BUTCHER	makes a deeper cut. HIS HAND GUIDING THE BOY'S, he RAMS his knife deep into VALLON's
M	THE BUTCHER	a benediction, Priest.
M	THE BUTCHER	this close to mind, boy, should you ever think of going up against the Butcher rises and all around him, as if on some mysterious
M	THE BUTCHER	and noses will be trophies of the day. Rabbits file past Vallon, rorming a protective CIRCLE around him.
M		cross the river... with steel through my heart. grabs the tortoise handle of the knife, PULLS on it. Vallon
M		yours, rightfully. Monk leans over the lifeless body and reaches inside Vallon's coat,
M		this is mine. Only what's owed. Use the rest for funeral.
M		tries to shove Monk away from his father, when the Native Warrior
M	JACK	fair. boy is just about to kiss his fatheros closed right eye when the lid ... Pa!
M		honor me... think of me ... don't never look away.
M	WOMAN	the body. Bring the boy. RABBITS take a step or two forward, but Amsterdam springs up at
M	WARRIOR	an, lad. Therels nothing to be done now.
M		away! Get away!
M	JACK	him be. He's his to mourn. a few CITIZENS venture out into Paradise square. A couple of stays in the center of the square unmoving, undisturbed, keeping sun has nearly set. A boy--about 10 years old--sits on the edge of the
M		your family, sonny?
M		mother's just there.
M		the trip, her insides all broke up. She wasn't dead and there was three
M		your father? Where's he, then?
M		never knew him.
M		
M		all those streets come together right ahead is the true Five Points. the night's cold, the streets are jammed. WHORES painted like
M		hereabouts are lively of an evening. The city comes here to sport.
M		those? What are those?
M		those. Those are, as you might say, a sort of...
M		sort of whatnot.
M		policeman. I'll buy your bonny friend.
M		
M	JACK	passed the plate amongst ourselves. Come up with enough ned to carry
M		will my father rest?
M	JACK	Field, with everyone else.
M		father won't be buried with everyone else. He'll lie separate in fresh
M	JACK	difference where he faces?
M		face east for the second coming of Christ.
M	JACK	son. When Jesus gets to the Battery you show Him the way from there.
M	CORNELIUS	you have music, entlegen daughter'11 do any song you like.
M	JACK	tonight, Maggie, we got...
M		much?
M		ned in your pocket, sir.
M		sing sweet as she looks?
M		celestial, sir. on, Jenny.
M		Jen, the other.
M		Tweed would like a word, Mr. Cornelius. of Tammany.
M		your office. At your pleasure, of course. the door opens, we see a man gazing out the narrow window onto the inside is astounding.
M		Cornelius. With a view like this I'm surprised the dead can rest in
M		there anything I can...
M		A favor.
M		to serve, Mr. Tweed.
M		Lend me something.
M		I don't know what I could ...
M		believe in form and appearance, you see. Just like yourself, sir. And I
M		matter of civic duty, then.
M		civic pride. I want you to help me set an example. only need to borrow one of your clients. is immediate TENSION, like an electric charge, as other Natives
M	THE BUTCHER	your cortege will cross Paradise Square, into territory protected starts out of the silent room, but STOPS when he sees Mank Eastman
M	THE BUTCHER	expect you first.
M		Oh, I don't know. All that talk of blood loyalty makes me quake. I'll
M	THE BUTCHER	saw us fight today. You know we can pay any price.
M		mine. Not now, and not any time after.
M	THE BUTCHER	see. Independence is a slippery thing. But being a rival ... well, brushes past Monk and leaves, followed by the NATIVES.
M	JACK	on, boyo. I'll put you up tonight.
M		do for myself, Jack.
M	JACK	can't. no mistaking you're his son.
M		the cost to bury my father proud and proper?
M	CORNELIUS	a plot, a headstone, hands to break the earth...
M		much?
M	CORNELIUS	are your current means?
M	CORNELIUS	course you'll have to wait three days for a city permit. But all this
M		
M		owed another. his FATHER, propped up in a coffin, on public display. There is a sizeable CROWD is goggling at the body. Amsterdam BULLS his way through
M		
M		a penny the load.
M		
M		stumbles into the window and against the coffin, which falls
M		me.
M		on! Help me, goddamn it!
M	THE BUTCHER	crusher. What's this all about?
M		the boy.
M		paid Cornelius for my father to rest in honor. He told me I had to wait
M	THE BUTCHER	another Arrangement, looks like. For advertising. go along. I'll see to all this.
M		boy...
M	THE BUTCHER	the little malefactor. Cops YANK the wildly flailing Amsterdam to his feet and DRAG him off
M	THE BUTCHER	the boy what he paid for. Cornelius takes the wagon reins and guides the horses out of the the head of the line, prisoners are being processed by a JAILER and a
M		his first Tombs trip.
M		do they call you?
M		
M		full name.
M		
M		name?
M		told you.
M		
M		none. put city. Now what's your age? twelve. Got a family?
M		more.
M		where was they from when you had one?
M		
M		
M		the charge, Asbury?
M		Assault. Creating a ...
M		that door there. don't stand too near no one else.
M	ONE	to be served in a trough, properly. Will you try some?
M		What is it?
M	ONE	It's made of all that's poured and not drunk, and any they can
M		health. Johnny enters, dragging a large SACK across the crowded floor toward
M		gents and ladies, your bets now on Towser against the vermin, the
M	2	get to live private until they come from the orphan's asylum. On
M		me see! I don't believe it.
M		It's a danger.
M		come on! It's not. tell me where you got it.
M		some man. He took me in his carriage. He only wanted to do something
M		
M		didn't understand.
M		he do the same with me?
M		won't tell you if he's around again. my secret.
M		keep it more careful, then. man and two women cast a glance her way. She looks away, but the TRIO plunges through the darkness, after her. Her footsteps ECHO; there Two Women emerge from the darkness of the tunnel, fighting over the
M	THE BUTCHER	come into the Five Points and you stole from me.
M		don't know...
M	THE BUTCHER	stole Vallon. He was my kill. My example, of my power. You took him
M		a lunatic to come here like...
M	THE BUTCHER	you. Just listen good. The Native Americans holds the Five Points. theylll draw my unwelcame attention. You understand?
M	TWEED	do understand, yes.
M	TWEED	you don't understand at all.
M	TWEED	a whole city to share and all you see is your own narrow streets.
M	THE BUTCHER	just stay out of my place.
M	TWEED	alright. Gladly. It's all blackjack jobs and panel games and killings
M	THE BUTCHER	good work.
M	TWEED	far as it goes.
M	THE BUTCHER	wouldn't be talking to me otherwise.
M	TWEED	we're talking about different things, Bill. You describe the present.
M	TWEED	things demanding to be done that no police force can do, not even
M	TWEED (Cont'd)	now you and your Natives have emerged as the foremost force in the
M	THE BUTCHER	work for no one.
M	TWEED	beside Tammany... in the performance of these civic obligations. And
M	THE BUTCHER	you Tammany boys should do your own lifting and carrying and muscle
M	TWEED	like to. I do miss it. But it's wiser for men in the public life to
M	THE BUTCHER	get cops to do it.
M	TWEED	Jesus, no. The appearance of law must be upheld, especially while it's
M	THE BUTCHER	means nothing.
M	TWEED	not within the Points. But the smart man could go higher.
M	THE BUTCHER	you can talk plain, maybe we can do business.
M		inside?
M		praise God, but all we own...
M		
M		on reinforcements.
M		not them. It's only the Black Jokes. Seems your fire interrupted FLAMES continue to devour the building, but Tweed does not budge from
M		I point out that the building is burning to ashes?
