M	CHARACTER	DIALOGUE
F	GWEN	On your left, honey.
F	JUSTINE	What's that cashier's name?
F	GWEN	Can't say.
F	JUSTINE	When did he start working here?
F	GWEN	Don't know. Yesterday?
F	JUSTINE	Who is he?
F	GWEN	Don't know. Can't say.
F	JUSTINE	What are you doing?
F	GWEN	It's called work, princess. Kind of fun. You might want to give it a go someday.
F	CHERYL	Attention, shoppers. There's a Retail Rodeo special on aisle three. Liquid drain cleaner. Two 12-ounce cans for $5. Liquid drain cleaner has churning power and will churn right through your pipes. Ladies, shove something clean and new up your filthy pipes. Liquid drain cleaner on aisle three. Have a good day and thank you for shopping at Retail Rodeo.
M	CORNY	Hey, Justine. Can I talk to you for a second?
F	JUSTINE	Yeah.
M	CORNY	I was just curious. Have you ever been to a Bible study? Yeah.
M	CORNY	We got a good one going on every Wednesday at the First Church of Nazarine. Rodney comes, Benita comes. You got any interest in reading the Bible?
F	JUSTINE	I have my own, you know, beliefs.
M	CORNY	We don't preach fire and brimstone. Just the Ten Commandments. Were not interested in scaring people. Were about loving Jesus.
F	JUSTINE	I kinda like my nights to myself.
M	CORNY	Well, maybe you'll have nights of eternal hellfire to yourself. Just kidding you. Drive safe.
F	JUSTINE	Bye-bye.
M	BUBBA	Hey, Justine.
M	PHIL	Hey, Teeny. How was your day?
F	JUSTINE	The same. How was yours?
M	BUBBA	The wind was flipping paint in our eyes.
M	PHIL	Paint stings. Feel like I've been attacked by hornets in my eyeballs.
F	JUSTINE	Bubba, stand up.
M	BUBBA	Why?
F	JUSTINE	For Christ's sakes. Look at that couch, Phil. Y'all got paint all over it. This ain't gonna come off. Damn it, Phil.
M	TV REPORTER	...including this gorgeous eggplant...
M	PHIL	I think we got most of it out.
F	JUSTINE	You two were stoned. You, keep frying your brain liike that, you'll slip off a ladder and crack open your head bone. You do really stupid things when you're high, Phil.
M	PHIL	Like what?
F	JUSTINE	Like sitting on my couch with your big blue ass. Everything just turns to shit. You finally get nice things, then everything just gets messed up. Why is this TV buzzing? It's the wind doing that. They the wind's coming in different lately.
F	JUSTINE	Different from what? What you reading?
M	HOLDEN	Catcher in the Rye I'm named after it.
F	JUSTINE	What's your name? Catcher?
M	HOLDEN	Holden. After Holden Caulfield. He's the main character. What's he do?
M	HOLDEN	He's put upon by society. Hypocrisy of the world.
F	JUSTINE	I notice that you're, uh, not very social.
M	HOLDEN	I'm a writer.
F	JUSTINE	What do you write?
M	HOLDEN	Novels, plays, screenplays, stories, poetry.
F	GWEN	be right with you. Where is she?
F	JUSTINE	I better go. What happens at the end of your book?
M	HOLDEN	Oh, he has a nervous breakdown. Goes to a mental hospital.
F	GWEN	You don't get paid to pick your crack. You get paid to work.
F	JUSTINE	I'm not sure I can do makeovers.
F	GWEN	Oh, come on! A little pancake, eyeliner, mascara, rouge on the cheeks and powder it up. Then you take a moist tissue, roll it in a ball and toss it in their face! Jeez, Louise... I'm talking to a tree stump! Girl, where are you?!
F	JUSTINE	Sorry, Im just a little tired.
F	GWEN	It's the food you eat, Justine. Look at me. I am 10 years older than you and have 10 times your energy. Cause I don't eat meat and I don't eat dairy. It's probably why you can't get pregnant, honey. And why you have that hung-jaw look on your face. It's the cheese in your pizza and the chicken in your salad.
F	JUSTINE	I went to the doctor. He says I'm fertile. He says I could repopulate the entire planet.
F	GWEN	Then what's the deal here? Did he say you get enough vitamins?
F	JUSTINE	He didn't say.
M	PHIL	You could make paint where, at different angles, the house is different colours. You stand at the front door and the house is red. You stand at the street and the house is green. Or you could make, like, an invisible paint. Make the whole house disappear. What would be really neat is a paint that could change the molecular structure of a house, like a chemical acid deal.
M	PHIL	What do you think, Teeny?
F	JUSTINE	I think you two are a pair of potheads.
