M	CHARACTER	DIALOGUE
M	HAP (O.S.)	Jesus. Just look at all that. I thought we had a population problem. Everyone should just move up here. Just look at it, Will.
M	WILL	I don't need to look at it.
M	HAP	Nothing wrong with smelling the roses.
M	WILL	Tell that to her, partner. Detective? Better check your belts. We'll be landing in about fifteen minutes.
M	OLD MAN (O.S.)	Eleanor?
F	ELLIE	Hey, Mr. Angstrom!
M	MR. ANGSTROM	What're you doing here?
F	ELLIE	Police business.
M	MR. ANGSTROM	Police business?
M	MR. ANGSTROM (cont'd)	Didn't you used to baby-sit for us?
F	ELLIE	I don't babysit any more, Mr. Angstrom. Just made detective three weeks ago.
M	MR. ANGSTROM	Boy, Charlie must be short-handed down at the station.
M	WILL	"Halibut fishing capital of the world."
M	HAP	This ought to be interesting.
F	ELLIE	Detective Dormer! It's a huge honor to meet you! Ellie Burr. I'm here to take you to the station!
M	WILL	My partner...
F	ELLIE	Detective Eckhart! I know! Welcome to Nightmute!
F	ELLIE	I just want to say how incredible it is to have you working with us, Detective Dormer. I've followed all your cases. Theodore Dineli, Frank and Casey Prud'homme, the Port Angeles shootings...
M	ELLIE (cont'd)	...And especially the Leland Street Murders. That was my case study at the Academy.
M	PILOT	Tell your dad the game's gonna start late this week, Ellie.
F	ELLIE	Sure thing, Spence. That's where Ronald Langley cut you in the basement of his father's house on 325 Leland, isn't it?
M	WILL	You did your homework, Officer.
F	ELLIE	Actually...
F	ELLIE	I just made detective three weeks ago.
M	CHIEF NYBACK (O.S.)	Will Dormer!
M	CHIEF NYBACK	I'll be damned!
M	WILL	How you doing, Charlie?
M	HAP	Hey, Charlie.
M	CHIEF NYBACK	Christ. I haven't seen you boys since...
M	WILL	Just after Leland Street.
M	CHIEF NYBACK	What's that, then?
M	HAP	Eight years.
M	WILL	Seven years.
M	CHIEF NYBACK	Seven years? Where does it all go? That was some amazing time, though, wasn't it?
M	CHIEF NYBACK (cont'd)	You haven't changed a bit, Will.
M	WILL	You have, Chief.
M	CHIEF NYBACK	I knew that was coming. I deserve it. Pay attention to this man, Ellie. He'll teach you how to be a great cop.
F	ELLIE	Yes, sir.
M	CHIEF NYBACK	That's all, for now.
F	ELLIE	Oh. Right. Okay.
M	WILL	Nice kid.
M	CHIEF NYBACK	Got a love affair with police work. Drives me crazy with it.
M	WILL	Keeping you busy up here, Charlie?
M	HAP	"2nd prize Great Kodiak Salmon Catch."
M	CHIEF NYBACK	I told you seven years ago this was a stepping stone to retirement. Looks like it's a good time for you to get up here, too. With all the bad business going on down at Special Branch.
M	CHIEF NYBACK (cont'd)	Just five bad apples so far?
M	WILL	So far.
M	CHIEF NYBACK	What's the D.A. got them on?
M	WILL	Four unwarranted shootings, witness intimidation, and cocaine theft.
M	CHIEF NYBACK	How about you? How you faring?
M	HAP	They're all over us, Charlie.
M	WILL	They're all over everybody.
M	HAP	I.A.'s calling themselves the "Corruption Task Force." Can you believe that? Trying to root out any mistakes or "oversights" any other Detectives may have made over the years. They're turning it into a witch hunt. Something on the news about it practically every night.
M	CHIEF NYBACK	Got a bunch of messages here from some guy named Warfield.
M	WILL	That's I.A.'s pit bull.
M	CHIEF NYBACK	Wants me to keep him posted on all your movements up here.
M	CHIEF NYBACK (cont'd)	I'm just glad Buck could spare you a couple of weeks. Take you out of the frenzy. I gotta tell you, though, I sure don't miss big city police work. Not that I was ever a great detective. But up here there's no Bureaucracy. No Public Relations. No blurred lines. Just good guys and bad guys. Simple.
M	CHIEF NYBACK (cont'd)	Except for this.
M	CHIEF NYBACK	Couldn't get a thing from the body. Not a trace. Town's never dealt with anything like this before.
M	CHIEF NYBACK (cont'd)	I've briefed everybody about your coming. They know to follow your lead.
M	CHIEF NYBACK	This is Detective Dormer and his partner Detective Eckhart. On loan from Buck Lundgard, Seattle Robbery and Homicide Special Branch. They'll be helping with the Connell case.
M	FRED	Helping?
M	CHIEF NYBACK	Anything they need to see, you show them; anywhere they want to go, you take them. This is Detective Fred Duggar. He's been leading the investigation up to now.
M	WILL	Detective...
M	FRED	Suppose you want to see the body.
M	FRED	We can walk from here.
M	WILL	Guess that's what they call Alaskan hospitality. Don't worry about him... He's just mad 'cause you're taking over.
M	FRED	Ellie! Go type something!
M	CORONER (O.S.)	Did a fundascopic examination and found papilledema and petechiae of the retina. Clear cause of death was herniation of the brain stem due to intracerebral hemorrhage.
M	HAP	Beaten to death.
M	CORONER	Beaten to death.
M	WILL	What about these contusions?
M	CORONER	Superficial.
M	WILL	Any signs of rape?
M	CORONER	None.
M	CORONER (cont'd)	She was a nice girl. Played flute with my granddaughter.
M	WILL	Wait. He washed her hair. Combed it. Cleaned under her fingernails. Clipped them. Toes, too. You found nothing on the body?
M	FRED	No.
M	WILL	No fibers, skin flakes, hairs...
M	FRED	Like I said, no. We know about those things up here.
M	WILL	He knew exactly what we'd be looking for. Made sure to cover up all his tracks.
M	HAP	Even the best make mistakes.
M	RACHEL (O.S.)	Lower forty-eight.
M	HAP	Lower forty-eight?
F	RACHEL	You're not from here. I can tell by your walk.
M	HAP	Oh? And how's that?
F	RACHEL	Unsure.
M	WILL	Detectives Will Dormer and Hap Eckhart. There should be a reservation for us.
F	RACHEL	Your friend's all business.
M	WILL	I'm always all business. Is it really 9:30?
F	RACHEL	Alaskan summers. Hope you're an easy sleeper. It'll be like this all night. Sign here.
M	HAP (O.S.)	Me.
M	WILL	Come on in.
M	HAP	See you have the same decor as my room. Same view, too. I've been watching that tugboat for the last half hour. So small, pulling all that weight. We have to talk, Will.
M	WILL	What do you want to talk about?
M	HAP	You know what about.
M	WILL	We'll talk when we get back to Seattle.
M	HAP	When's that, a week? Two weeks?... We have to figure out a plan of action now.
M	WILL	You know my plan of action.
M	HAP	To do nothing.
M	WILL	That's right.
M	HAP	Dammit, Will. Warfield had me locked up in his office again for five hours yesterday. Five hours. Asking all kinds of questions...
M	WILL	He's asking everybody questions.
M	HAP	But he's zeroing in on me. On us. Everyone's talking about it.
M	WILL	He's just rattling your cage.
M	HAP	Well, I gotta tell you. With a wife, three kids, and a pension plan in the balance, it's rattling hard.
M	WILL	We say nothing. It goes away. Simple as that.
M	HAP	Look. We've tampered with evidence. We've pushed witnesses. We've planted shit. And they're sniffing around like dogs. Especially on the Dobbs case...
M	WILL	Weston Dobbs killed an eight year-old boy and left him hanging in the basement like a piece of meat. You remember that?
M	HAP	You know I remember that.
M	WILL	One word to I.A. and he walks.
M	HAP	Maybe not. We could talk to Buck...
M	WILL	No way.
M	HAP	Cut some kind of a deal. I heard that's what Flynn's doing...
