M	CHARACTER	DIALOGUE
M	FLIGHT ATTENDANT	I'm sorry, sir. This cabin is restricted to first cl...
M	JAMES EARL JONES	Is this what you're looking for?
M	FLIGHT ATTENDANT	Oh, I'm sorry. Please. Is there anything I can get you?
M	JAMES EARL JONES	Scotch, blended. Straight.
M	PASQUAL	They say birds can't fly this high.
M	JAMES EARL JONES	They say only angels can.
M	FLIGHT ATTENDANT	Shall I pour your scotch?
M	JAMES EARL JONES	No -- I'll take the bottle. Thank you.
M	JAMES EARL JONES	Ah, c-5. The most dangerous explosive material ever invented. Hard to believe that this little contraption could blow up ten city blocks.
M	PASQUAL	Be careful with it, huh?
M	JAMES EARL JONES	Another movie from an old TV show?
M	PASQUAL	Well, what're you gonna do?
M	JAMES EARL JONES	Walk out.
M	PASQUAL	That's very funny.
M	JAMES EARL JONES	No. It isn't.
M	JAMES EARL JONES (CONT'D)	EVERYONE! FASTEN YOUR SEAT BELTS!
M	JAMES EARL JONES	PULL YOURSELF TOGETHER. WE HAVE COMPANY. PASQUAL WHAT?
M	PASQUAL	You crazy bastard!
M	JAMES EARL JONES	I think you mean crazy bitch.
F	DYLAN	Don't need this anymore.
M	DYLAN (CONT'D)	But I sure could use this.
M	DYLAN (CONT'D)	Damn I hate to fly.
M	BOSLEY	Well, Angels, the experimental explosives are back in the hands of the government, and the free world can breathe just a lit-tle bit easier tonight, thanks to you three.
F	NATALIE	And thanks to you, too, Bos.
F	ALEX	We couldn't have redirected the flight path without your help.
M	BOSLEY	Nothing a little teamwork can't do. At least, that's what Charlie's always telling us, right ladies?
F	DYLAN	Charlie will be joining us, won't he?
M	BOSLEY	He sends his regrets. But he wanted you to know that dinner is on him, so feel free to celebrate.
F	ALEX	If it's on Charlie, we will.
M	CHARLIE (V.O.)	Once upon a time...
M	CHARLIE (CONT'D)	... there were three very different little girls.
M	CHARLIE (CONT'D)	Who grew up into three very different women.
M	CHARLIE (CONT'D)	With three things in common...
M	CHARLIE (CONT'D)	They're brilliant. They're beautiful. And they work for me.
M	CHARLIE (CONT'D)	My name is Charlie.
F	DYLAN	Hi. Hi. Okay. I'll be right in.
M	DYLAN (CONT'D)	Not him. Not him, not him, not him.
M	THE VOICE	'Morning starfish.
F	DYLAN	Oh God no.
M	CHAD	Hungry? CHAD C'mon Dylan. You + Me. It's magic.
F	DYLAN	It's a mistake. A horrible, horrible mistake.
M	CHAD	Then how come we keep getting back together? It's fate.
M	CHAD	Is it because I live on a boat? If you don't defuse this bomb, Logan, L.A.'s going to be a new underwater attraction.
M	JASON	Get off my back, Sanchez. I know what I'm doing.
F	ALEX	Which wire? The red one or the blue one?
M	JASON	Marix has a thing for red. Red cars, red boats, red-headed hookers.
F	ALEX	So the red one.
M	JASON	That's why I'm gonna say blue.
F	ALEX	You saved the world again, Logan.
M	JASON	That's my job. I don't think Sanchez would kiss me. He's a forty-year-old man. tell from our surroundings that Jason is a big deal
F	ALEX	Let's have it rewritten.
M	ALEX (CONT'D)	Hello?
M	JASON	So when you coming back?
F	ALEX	Not sure. Whenever I can. I'll call you.
M	JASON	Oh, great, that's helpful. I don't get it, what kind of executive assistant is on 24 hour call?
F	ALEX	A very good one.
M	JASON	You ask me, your boss is an asshole. When do I get to meet this Charlie guy, anyway?
F	ALEX	Charlie's not very social.
M	JASON	Yeah, well I think you should quit.
F	ALEX	Charlie needs me.
