M	CHARACTER	DIALOGUE
F	GINGER	Brigitte. Quit dickin' around. Jus' do it. Brigitte reluctantly stops her thrashing and douses a cotton Without looking up from her TANK GIRL comic, Ginger hauls her Brigitte swabs Ginger's navel with the wet cotton ball. Her Ginger's ten months older than me. we're seriously tight. Share everything. Everything. Around them, many candles burn. There's a dead bolt on the
M	BR IG ITTE	Ready?
F	GINGER	Uh-huh.
F	BRIGITTE	.I can't. Ginger gives Brigitte a look over the top of her comic.
F	BRIGITTE	You said it wouldn't hurt!
F	GINGER	Jus' hurry up! The needle has stopped moving half-way through the skin.
F	BRIGITTE	Uh-oh . Brigitte wiggles the needle. Blood wells up around it.
F	BRIGITTE	Um. I think it's stuck. Oh man. There's blood... Ginger lowers her comic. she takes one look at the needle
F	BRIGITTE	snot funny, Ginger! Laughing her head off, Ginger gives the needle a good tug
F	BRIGITTE	Ali, gawd, gross. Ginger yanks the needle, hard. This time it moves.
F	GINGER	I got it, I got it. Ginger grits her teeth. The needle begins a slow progress.
F	GINGER	It's goin', it's goin'- gimme the ring Brigitte grabs at a tiny silver ring on the bed spread but
F	GINGER	Bee?! C'mon! Brigitte finds the ring and hands it to Ginger. Ginger sets
F	BRIGITTE	Oh, groo-oo-o-ss! The bloody needle pops clear. Ginger grinds on the ring to
F	GINGER	Bee? Feeb. Y'okay?
F	BRIGITTE	Yeah. I think so. Yeah, I think not.
F	BRIGITTE	If you din't say it hurt, I'd a been fine! Ginger beams at her new piercing.
F	GINGER	Pretty cool, unh? The flesh around the navel is hot pink and bruising. Brigitte
F	BRIGITTE	very cool.
F	GINGER	Now I'll do you. Brigitte bravely hangs onto to her smile.
M	BRIGITTE (V/O)	We do everything together. But, at fifteen? A chick can change. Ya know? [3A! You got no idea.
M	BRIGITTE (V/O)	Don't get me wrong. It's not like we were all happy or nothin' to begin with. Brigitte takes a long, ponderous drag on her cigarette as -
M	BRIGITTE (V/O)	The suburb of Bailey Downs? Basically a well lit black hole. The Kingdom of cul du sac. That's French for Dead End. Brigitte flicks her smoke into a pile of neatly raked leaves. You had a gram of personality out here? Life bit the big one. A truck with COUNTY REGREENING PROGRAM on its side pulls up a
M	BRIGITTE (V/O)	Of course I'm generalizing. A tarty teenage girl - TRINA - bounds up to Sam and gives him
M	BRIGITTE (V/0)	No I'm not.
F	GINGER	The fuck, Bee. Take a picture already. Brigitte raises a 35mm still camera to her eye and frames her snap! A slide of Ginger - dead on a white picket fence - snap! Ginger sliced up with an electric knife in the kitchen, Snap! Ginger hanged by nylons in the laundry room, We were always considered freaks. For as long as I can remember, there was Us. And there was Them. Like from kindergarten.
M	ART TEACHER	Very -um. Class? Comments? The students trade constipated looks.
M	ART TEACHER	Brigitte. What does it mean for you? Brigitte shrugs and squirms.
F	GINGER	Means there's more to life than -- well, li.fe. The Fitzgeralds look expectantly at row after row of blank
M	BRIGITTE (V/O)	Attempts at communication wore futile. JASON McCARDY- a good-looking high school Casanova - looks
M	BRIGITTE (V/O)	Some of Them did seem to wanna reach Ginger? Brigitte glances from Ginger's breasts to her own flat chest.
M	BRIGITTE (V/O)	But nobody wanned to reach me. The bell goes.
M	BRIGITTE (V/O)	Like I cared. Ginger and Brigitte slip down the crowded corridors, sticking
F	GINGER	Gawd, People! They hurt my brain!
F	BRIGITTE	They didn't even get it.
F	GINGER	They're retards.
F	BRIGITTE	They're cretins.
F	GINGER	They're bone-heads.
F	BRIGITTE	't'hey' re somnambulists.
F	GINGER	They're leems.
F	BRIGITTE	They're the goddamn walkin'-/ The girls stop before their locker. A folded up piece of Another one? Ginger opens the locker. She unfolds the paper. There's a big Ginger pockets the joint, crumples the paper into a ball and
F	BRIGITTE	Somebody leaves you all. these jays an, yer not even curious to call? Ginger offers her a sucker and has one herself.
F	GINGER	No pe . A FAT JANITOR scoops up the wad of loose leaf with great Brigitte and Ginger pass a NECKING COUPLE practically dry- Ginger bends to tie her boot lace and a collective groan
M	JASON	See? She's weird, but hot.
M	TIM	Anybody poled Fitzy yet? Brigitte gives them a disgusted look.
M	TIM	Not that one. The cute one. Brigitte's face falls. Ginger gives them a Death Stare. The
F	GINGER	Sad. Must be hard to think with yer brains slappin' around yer thighs like that all day. Brigitte laughs. Ginger pulls her on, past a sign: GYMNASIUM.
M	BRIGITTE (V/O)	We didn't do guys. Guys were too gross. Everyone at Bailey High was just too incredibly gross. Ginger applies her boot to a swinging door and they enter, There is only one free spot: next to Trina and her TRINA
M	BRIGITTE (V/O)	The only thing worse than most teenage boys are most teenage girls. Trinas are the limit. Ginger digs at her lower abdomen painfully.
F	GINGER	I feel sick.
F	BRIGITTE	Me too.
F	GINGER	No, J. mean really. Gingler opens a locker and tears off her clothes. Other girls
M	BRI.GITTE (V/O)	There was really only one Trina, but they were all the same. Trina finds the Fitzgeralds' open locker door a nuisance. Ooops. Sorry. Ginger gives Trina a very dirty look. Brigitte tries to rub
F	GINGER	Y' okay's
F	BRIGITTE	I HATE her. Like to feed her ground glass with tacks for desert. Then make her puke it back up and swallow it again until she's like shredded to a bazillion pieces from the inside out... Ginger grips her sides painfully and bends double.
M	BRIGITTE,	what's the matter?
F	GINGER	I got gas...Maybe I'll try an, cut one right in her face out there. They slap hands, laughing. They look down at their gym
M	BRIGITTE (V/O)	After two weeks a' high school., ya come to the conclusion it's all about agony. Take Phys. Ed, sus' practise takin' pain. The gym teacher. M7.,. SYKES - an aging former-traffic cop -
F	SYKES	Field lacrosse is no pussy-assed tea party, ya get IN there, get a LOCK on your target and PUSH IT! I want SWEAT I want ACTION! The Trinas giggle at Sykes. Ginger bends forward, holding her
M	MZ.SYKES	Shake a leg, Fitzgeralds. An, butt out, you gotta death wish!?
F	GINGER	Feel really sick, Mz. Sykes.
M	MZ. SYRES	Cigarettes'll do that for you! Move! Ginger flicks the smoke at Sykes' turned back. It falls The sisters trudge to their places on the field. Ginger is on
